 #cav reff R   maxy z   zmin zmax
 #-   kpc  kpc -    kpc kpc  kpc
 E     13.5  25.3  0.672112486 -1.000001 -1.000001 -1.000001
 W     12.5  23.4  0.688346541 -1.000001 -1.000001 -1.000001
