A  0.0  0.0   15.97   24.9  0.90  0.06  0.0  0.0
B  0.0  0.0   16.06   25.5  0.67  0.04  0.0  0.0
C  0.0  0.0   38.58  100.8  0.71  0.08  0.0  0.0
D  0.0  0.0   24.62   59.3  0.59  0.05  0.0  0.0
E  0.0  0.0  102.34  225.6  0.62  0.15  0.0  0.0
F  0.0  0.0   58.26  104.3  0.71  0.09  0.0  0.0
