# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF    lo    hi  N/NBF     lo     hi       z     Cr   Junk  chisq    dof
1E0657_56                   3184    0.5    0.4  6.53  0.00  0.00 11.44 10.82 12.13  0.27  0.22  0.32   9.91e-03   9.78e-03   1.01e-02  0.95  0.90  1.02  0.787  0.775  0.798  0.2960  0.494      0   0.98    344
1E0657_56                   3184   0.75    0.4  6.53  0.00  0.00 10.14  9.62 10.71  0.30  0.25  0.35   9.27e-03   9.14e-03   9.40e-03  0.85  0.80  0.90  0.736  0.724  0.746  0.2960  0.457      0   0.83    341
1E0657_56                   3184    1.0    0.4  6.53  0.00  0.00  8.68  8.28  9.12  0.24  0.20  0.28   9.52e-03   9.37e-03   9.66e-03  0.72  0.69  0.76  0.755  0.742  0.767  0.2960  0.453      0   1.20    339
1E0657_56                   3184    2.0    0.4  6.53  0.00  0.00  7.24  6.94  7.55  0.14  0.11  0.17   1.04e-02   1.03e-02   1.06e-02  0.60  0.58  0.63  0.828  0.814  0.840  0.2960  0.465      0   1.34    344
1E0657_56                   3184    3.0    0.4  6.53  0.00  0.00  6.67  6.43  6.92  0.18  0.15  0.21   1.16e-02   1.15e-02   1.18e-02  0.56  0.53  0.58  0.924  0.908  0.938  0.2960  0.510      0   1.07    339
1E0657_56                   3184    0.5    0.3  6.53  0.00  0.00 11.38 10.80 12.01  0.32  0.27  0.37   1.09e-02   1.07e-02   1.10e-02  0.95  0.90  1.01  0.864  0.851  0.875  0.2960  0.546      0   0.89    349
1E0657_56                   3184   0.75    0.3  6.53  0.00  0.00 10.32  9.81 10.89  0.27  0.22  0.32   1.01e-02   9.94e-03   1.02e-02  0.86  0.81  0.91  0.800  0.787  0.811  0.2960  0.496      0   1.09    339
1E0657_56                   3184    1.0    0.3  6.53  0.00  0.00  9.17  8.73  9.65  0.30  0.26  0.34   9.51e-03   9.37e-03   9.65e-03  0.77  0.72  0.81  0.755  0.742  0.766  0.2960  0.464      0   1.13    344
1E0657_56                   3184    2.0    0.3  6.53  0.00  0.00  7.72  7.41  8.05  0.17  0.14  0.20   1.11e-02   1.09e-02   1.12e-02  0.64  0.61  0.67  0.880  0.865  0.893  0.2960  0.505      0   1.19    342
1E0657_56                   3184    3.0    0.3  6.53  0.00  0.00  8.00  7.69  8.33  0.20  0.16  0.23   1.12e-02   1.10e-02   1.14e-02  0.67  0.64  0.70  0.889  0.875  0.902  0.2960  0.518      0   1.10    339
1E0657_56                   3184    0.5    0.2  6.53  0.00  0.00 11.77 11.11 12.49  0.28  0.23  0.33   1.09e-02   1.07e-02   1.10e-02  0.98  0.92  1.05  0.863  0.850  0.874  0.2960  0.544      0   1.07    352
1E0657_56                   3184   0.75    0.2  6.53  0.00  0.00 11.00 10.42 11.64  0.23  0.18  0.27   1.11e-02   1.10e-02   1.13e-02  0.92  0.87  0.98  0.884  0.871  0.895  0.2960  0.548      0   0.95    349
1E0657_56                   3184    1.0    0.2  6.53  0.00  0.00 10.53  9.98 11.13  0.23  0.19  0.28   1.03e-02   1.01e-02   1.04e-02  0.88  0.83  0.93  0.816  0.803  0.827  0.2960  0.503      0   1.04    346
1E0657_56                   3184    2.0    0.2  6.53  0.00  0.00  8.63  8.27  9.02  0.20  0.16  0.23   1.13e-02   1.11e-02   1.15e-02  0.72  0.69  0.76  0.896  0.882  0.909  0.2960  0.531      0   1.04    342
1E0657_56                   3184    3.0    0.2  6.53  0.00  0.00  8.58  8.23  8.96  0.20  0.16  0.23   1.17e-02   1.16e-02   1.19e-02  0.72  0.68  0.75  0.930  0.916  0.944  0.2960  0.550      0   0.94    347
1E0657_56                   3184    0.5   0.15  6.53  0.00  0.00 11.72 11.10 12.41  0.26  0.21  0.31   1.10e-02   1.08e-02   1.11e-02  0.98  0.92  1.04  0.870  0.857  0.882  0.2960  0.546      0   0.95    347
1E0657_56                   3184   0.75   0.15  6.53  0.00  0.00 10.68 10.16 11.26  0.30  0.25  0.34   1.11e-02   1.09e-02   1.12e-02  0.89  0.84  0.94  0.880  0.867  0.891  0.2960  0.550      0   0.94    351
