           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    1.27750E-01    1.31510E-01    1.87442E-03    2.98347E-04    4.10314E+00    1.91365E-01    1.81559E-23    3.51979E+01    5.83792E+00    2.11187E+01    3.50275E+00
    1.31510E-01    1.35260E-01    1.82652E-03    2.97700E-04    4.09358E+00    1.82537E-01    1.80630E-23    3.62221E+01    6.12071E+00    2.17333E+01    3.67243E+00
    1.35260E-01    1.39020E-01    1.84524E-03    2.81886E-04    4.08402E+00    1.73710E-01    1.79700E-23    3.59558E+01    5.70168E+00    2.15735E+01    3.42101E+00
    1.39020E-01    1.42780E-01    1.81095E-03    2.73669E-04    4.07444E+00    1.64871E-01    1.78770E-23    3.67409E+01    5.74786E+00    2.20446E+01    3.44871E+00
    1.42780E-01    1.46540E-01    1.85680E-03    2.58083E-04    4.06487E+00    1.56032E-01    1.77840E-23    3.59365E+01    5.18191E+00    2.15619E+01    3.10915E+00
    1.46540E-01    1.50290E-01    1.78558E-03    2.57800E-04    4.05531E+00    1.47205E-01    1.76911E-23    3.74777E+01    5.57939E+00    2.24866E+01    3.34763E+00
    1.50290E-01    1.54050E-01    1.81034E-03    2.45381E-04    4.04574E+00    1.38378E-01    1.75982E-23    3.70727E+01    5.18250E+00    2.22436E+01    3.10950E+00
    1.54050E-01    1.57810E-01    1.82122E-03    2.37074E-04    4.03617E+00    1.29539E-01    1.75051E-23    3.69594E+01    4.95519E+00    2.21756E+01    2.97311E+00
    1.57810E-01    1.61570E-01    1.89075E-03    2.17528E-04    4.02659E+00    1.20700E-01    1.74121E-23    3.57055E+01    4.24501E+00    2.14233E+01    2.54701E+00
    1.61570E-01    1.65320E-01    1.95482E-03    2.04902E-04    4.01703E+00    1.11872E-01    1.73192E-23    3.46381E+01    3.75669E+00    2.07828E+01    2.25401E+00
    1.65320E-01    1.69080E-01    1.91273E-03    2.01284E-04    4.00747E+00    1.03045E-01    1.72263E-23    3.55065E+01    3.84641E+00    2.13039E+01    2.30785E+00
    1.69080E-01    1.72840E-01    2.18728E-03    1.67244E-04    3.99789E+00    9.42061E-02    1.71333E-23    3.11437E+01    2.49183E+00    1.86862E+01    1.49510E+00
    1.72840E-01    1.76600E-01    1.76052E-03    2.08691E-04    3.98831E+00    8.53672E-02    1.70402E-23    3.88111E+01    4.67505E+00    2.32867E+01    2.80503E+00
    1.76600E-01    1.79230E-01    3.98099E-03    9.69203E-05    3.98018E+00    7.78564E-02    1.69612E-23    1.72083E+01    5.37426E-01    1.03250E+01    3.22456E-01
