#Name		r	D	T	rho0	rc	beta	p0
# --		kpc	kpc	keV	cm^-3	kpc	--	erg/cm^3
IC_4296		101	256	0.98	1.79	0.252	0.5736	5.41913815779435e-09
NGC_0315	68	434	1.15	0.442	0.656	0.5325	1.5657129789358e-09
NGC_4261	20	30	0.68	1.44	0.188	0.5346	3.02498009583413e-09
NGC_4782	13	24	1.03	0.141	0.315	0.347	4.47207414110172e-10
NGC_7626	26	109	0.62	0.26	0.337	0.4253	4.9689340232098e-10
