#Name                             z              D             kT           Ecav            tcs           Pcav            err          P1400            err
#--                              --            kpc            keV            erg              s          erg/s          erg/s          erg/s          erg/s
IC_4296                      0.0125            256           0.98       6.98E+58       1.57E+16       8.88E+42       8.88E+41       3.85E+40       3.42E+39
NGC_0315                     0.0165            434           1.15       2.33E+58       2.46E+16       1.90E+42       1.90E+41       5.67E+40       5.14E+39
NGC_4261                     0.0075             30           0.68       4.01E+57       2.21E+15       3.63E+42       3.63E+41       1.82E+40       5.59E+38
NGC_4782                     0.0154             24           1.03       5.64E+57       1.44E+15       7.84E+42       7.84E+41       5.74E+40       1.81E+39
NGC_7626                     0.0114            109           0.62       3.67E+57       8.42E+15       8.72E+41       8.72E+40       3.42E+39       1.27E+38
