#Name                                RA                Dec        z       TX   K0itpl   K0flat         LX        LHa   Type       LRad   Type  IRAC  MIPS   IRS   Data?
#---                              h:m:s              d:m:s      ---      keV keV cm^2 keV cm^2     ergs/s     ergs/s    ---     ergs/s    ---   ---   ---   ---     ---
ABELL_3921                 22:49:57.829       -64:25:42.17   0.0927     5.69   101.19   101.19   3.37e+44  -1.00e+00     UK   6.37e+39     NF     N     N     N    NONE
ABELL_4038                 23:47:43.180       -28:08:34.81   0.0300     3.11    37.14    37.93   8.20e+43  -1.00e+00     UK   6.22e+39      F     N     N     N    NONE
ABELL_4059                 23:57:01.065       -34:45:33.28   0.0475     4.69     0.00     7.06   6.76e+44   1.18e+40      F   1.59e+42      F     Y     Y     N       Y
ABELL_S0405                03:51:32.815       -82:13:10.19   0.0613     4.11    23.55    16.94   7.70e+43  -1.00e+00     UK   1.27e+40      F     ?     ?     ?       ?
ABELL_S0592                06:38:48.610       -53:58:26.32   0.2216     9.08    52.19    58.70   1.74e+45  -1.00e+00     UK   4.30e+40     NF     ?     ?     ?       ?
AC_114                     22:58:48.316       -34:48:08.20   0.3120     7.53   199.79   199.79   1.10e+45  -1.00e+00     UK   6.94e+40     NF     ?     ?     ?       ?
AWM7                       02:54:27.631       +41:34:47.07   0.0172     3.71     4.79     8.37   4.07e+44  -1.00e+00     UK   1.82e+38     NF     N     N     N    NONE
CENTAURUS                  12:48:49.267       -41:18:39.54   0.0109     3.96     1.36     2.25   1.74e+44   1.50e+40      F   7.38e+40      F     Y     Y     Y       Y
CENTAURUS                  12:48:49.258       -41:18:39.46   0.0109     3.96     1.36     2.25   1.74e+44   1.50e+40      F   7.38e+40      F     Y     Y     Y       Y
CENTAURUS                  12:48:49.276       -41:18:39.34   0.0109     3.96     1.36     2.25   1.74e+44   1.50e+40      F   7.38e+40      F     Y     Y     Y       Y
CENTAURUS                  12:48:49.276       -41:18:39.32   0.0109     3.96     1.36     2.25   1.74e+44   1.50e+40      F   7.38e+40      F     Y     Y     Y       Y
CENTAURUS                  12:48:49.262       -41:18:39.09   0.0109     3.96     1.36     2.25   1.74e+44   1.50e+40      F   7.38e+40      F     Y     Y     Y       Y
CENTAURUS                  12:48:49.281       -41:18:39.27   0.0109     3.96     1.36     2.25   1.74e+44   1.50e+40      F   7.38e+40      F     Y     Y     Y       Y
CENTAURUS                  12:48:49.271       -41:18:39.36   0.0109     3.96     1.36     2.25   1.74e+44   1.50e+40      F   7.38e+40      F     Y     Y     Y       Y
CID_0072                   17:33:03.247       +43:45:37.28   0.0344     1.91     4.90     9.45   1.50e+43   1.06e+39      F   3.58e+39      F     Y     Y     N       Y
CID_0072                   17:33:03.262       +43:45:37.40   0.0344     1.91     4.90     9.45   1.50e+43   1.06e+39      F   3.58e+39      F     Y     Y     N       Y
CID_0072                   17:33:03.224       +43:45:37.44   0.0344     1.91     4.90     9.45   1.50e+43   1.06e+39      F   3.58e+39      F     Y     Y     N       Y
CID_0072                   17:33:03.225       +43:45:37.48   0.0344     1.91     4.90     9.45   1.50e+43   1.06e+39      F   3.58e+39      F     Y     Y     N       Y
CL_J1226.9+3332            12:26:58.373       +33:32:47.36   0.8900    10.00   166.03   166.03   3.08e+45  -1.00e+00     UK   1.90e+42      F     Y     Y     N       Y
CL_J1226.9+3332            12:26:58.372       +33:32:47.18   0.8900    10.00   166.03   166.03   3.08e+45  -1.00e+00     UK   1.90e+42      F     Y     Y     N       Y
CL_J1226.9+3332            12:26:58.393       +33:32:47.60   0.8900    10.00   166.03   166.03   3.08e+45  -1.00e+00     UK   1.90e+42      F     Y     Y     N       Y
CYGNUS_A                   19:59:28.381       +40:44:01.98   0.0561     7.68    21.73    23.64   2.18e+44   2.13e+41      F   6.37e+44      F     Y     Y     Y       Y
ESO_3060170                05:40:06.687       -40:50:12.82   0.0358     2.79     7.85     7.98   6.60e+43  -1.00e+00     UK   2.93e+39      F     N     N     N    NONE
ESO_3060170                05:40:06.722       -40:50:11.97   0.0358     2.71     7.85     7.98   2.40e+43  -1.00e+00     UK   2.93e+39      F     N     N     N    NONE
ESO_5520200                04:54:52.318       -18:06:56.52   0.0314     2.37     6.28     5.89   9.00e+42  -1.00e+00     UK   6.21e+38     NF     N     N     N    NONE
EXO_0422-086               04:25:51.271       -08:33:36.42   0.0397     3.40    10.14    13.77   7.40e+43   1.14e+38     NF   4.52e+40      F     N     N     N    NONE
HCG_0062                   12:53:05.741       -09:12:15.64   0.0146     1.10     3.11     3.44   8.13e+42   3.82e+38      F   2.03e+38      F     Y     Y     N       Y
HCG_42                     10:00:14.234       -19:38:10.77   0.0133     0.70     1.78     1.85   1.78e+42  -1.00e+00     UK   8.60e+37      F     Y     Y     N       Y
HERCULES_A                 16:51:08.161       +04:59:32.44   0.1541     5.21     2.76     9.17   3.48e+44   1.30e+40      F   5.52e+44      F     N     Y     Y       Y
HERCULES_A                 16:51:08.158       +04:59:32.35   0.1541     4.15     2.76     9.17   1.05e+45   1.30e+40      F   5.52e+44      F     N     Y     Y       Y
HERCULES_A                 16:51:08.156       +04:59:32.47   0.1541     4.15     2.76     9.17   1.05e+45   1.30e+40      F   5.52e+44      F     N     Y     Y       Y
HYDRA_A                    09:18:05.985       -12:05:43.94   0.0549     4.00    13.04    13.31   2.63e+44   9.61e+40      F   2.89e+43      F     N     Y     Y       Y
HYDRA_A                    09:18:06.010       -12:05:44.30   0.0549     4.30    13.04    13.31   1.17e+45   9.61e+40      F   2.89e+43      F     N     Y     Y       Y
M49                        12:29:46.841       +08:00:01.98   0.0033     1.33     0.88     0.91  -1.00e+00  -1.00e+00     UK   4.58e+38      F     ?     ?     ?       ?
M87                        12:30:49.383       +12:23:28.67   0.0044     2.50     3.49     3.53  -1.00e+00   1.03e+39      F   4.70e+41      F     ?     ?     ?       ?
M87                        12:30:49.383       +12:23:28.45   0.0044     2.50     3.49     3.53  -1.00e+00   1.03e+39      F   4.70e+41      F     ?     ?     ?       ?
MACS_J0011.7-1523          00:11:42.965       -15:23:20.79   0.3600     5.42    14.94    18.83   1.08e+45  -1.00e+00     UK   1.52e+42      F     N     N     N    NONE
MACS_J0011.7-1523          00:11:42.957       -15:23:20.46   0.3600     6.64    14.94    18.83   1.10e+45  -1.00e+00     UK   1.52e+42      F     N     N     N    NONE
MACS_J0035.4-2015          00:35:26.573       -20:15:46.06   0.3644     7.39    69.54    93.42   1.98e+45  -1.00e+00     UK   1.26e+41     NF     N     N     N    NONE
MACS_J0159.8-0849          01:59:49.453       -08:50:00.90   0.4050     9.59    11.95    18.79   2.63e+45  -1.00e+00     UK   2.37e+42      F     N     N     N    NONE
MACS_J0159.8-0849          01:59:49.422       -08:50:00.42   0.4050     9.59    11.95    18.79   2.63e+45  -1.00e+00     UK   2.37e+42      F     N     N     N    NONE
MACS_J0242.5-2132          02:42:35.906       -21:32:26.30   0.3140     5.58     9.72    10.92   1.29e+45  -1.00e+00     UK   4.45e+43      F     ?     ?     ?       ?
MACS_J0257.1-2325          02:57:09.130       -23:26:05.85   0.5053    10.50   234.47   234.47   2.17e+45  -1.00e+00     UK   2.75e+41     NF     N     N     N    NONE
MACS_J0257.1-2325          02:57:09.152       -23:26:06.21   0.5053    10.50   234.47   234.47   2.17e+45  -1.00e+00     UK   2.75e+41     NF     N     N     N    NONE
MACS_J0257.6-2209          02:57:41.024       -22:09:11.12   0.3224     8.02   155.11   155.91   1.09e+45  -1.00e+00     UK   9.44e+40     NF     ?     ?     ?       ?
MACS_J0308.9+2645          03:08:55.927       +26:45:38.34   0.3240    10.54   212.76   212.76   2.06e+45  -1.00e+00     UK   9.55e+40     NF     N     Y     N       Y
MACS_J0329.6-0211          03:29:41.681       -02:11:47.67   0.4500     5.20     6.59    11.13   1.28e+45  -1.00e+00     UK   5.74e+41      F     N     N     N    NONE
MACS_J0329.6-0211          03:29:41.688       -02:11:47.81   0.4500     5.24     6.59    11.13   1.28e+45  -1.00e+00     UK   5.74e+41      F     N     N     N    NONE
MACS_J0329.6-0211          03:29:41.681       -02:11:47.57   0.4500     5.20     6.59    11.13   1.28e+45  -1.00e+00     UK   5.74e+41      F     N     N     N    NONE
MACS_J0417.5-1154          04:17:34.686       -11:54:32.71   0.4400    11.07     9.45    27.08   3.82e+45  -1.00e+00     UK   2.35e+42      F     ?     ?     ?       ?
MACS_J0429.6-0253          04:29:36.088       -02:53:09.02   0.3990     5.66    14.79    17.17   1.17e+45  -1.00e+00     UK   8.66e+42      F     ?     ?     ?       ?
MACS_J0520.7-1328          05:20:42.052       -13:28:49.38   0.3398     6.27    88.59    88.59   9.63e+44  -1.00e+00     UK   3.97e+42      F     N     N     N    NONE
MACS_J0547.0-3904          05:47:01.582       -39:04:28.24   0.2100     3.58    22.04    23.14   1.62e+44  -1.00e+00     UK   4.44e+41      F     ?     ?     ?       ?
MACS_J0717.5+3745          07:17:31.654       +37:45:18.52   0.5480    10.50   158.65   220.15   4.66e+45  -1.00e+00     UK   3.35e+41     NF     Y     Y     N       Y
MACS_J0717.5+3745          07:17:31.651       +37:45:18.46   0.5480    10.50   158.65   220.15   4.66e+45  -1.00e+00     UK   3.35e+41     NF     Y     Y     N       Y
MACS_J0744.8+3927          07:44:52.802       +39:27:24.41   0.6860    11.29    39.54    42.38   2.47e+45  -1.00e+00     UK   5.80e+41     NF     N     N     N    NONE
MACS_J0744.8+3927          07:44:52.779       +39:27:24.41   0.6860    11.29    39.54    42.38   2.47e+45  -1.00e+00     UK   5.80e+41     NF     N     N     N    NONE
MACS_J0744.8+3927          07:44:52.800       +39:27:24.81   0.6860    11.29    39.54    42.38   2.47e+45  -1.00e+00     UK   5.80e+41     NF     N     N     N    NONE
MACS_J1115.2+5320          11:15:15.632       +53:20:03.31   0.4390     8.03   292.28   292.28   1.43e+45  -1.00e+00     UK   1.96e+41     NF     N     N     N    NONE
MACS_J1115.2+5320          11:15:15.646       +53:20:03.74   0.4390     8.03   292.28   292.28   1.43e+45  -1.00e+00     UK   1.96e+41     NF     N     N     N    NONE
MACS_J1115.2+5320          11:15:15.632       +53:20:03.37   0.4390     8.03   292.28   292.28   1.43e+45  -1.00e+00     UK   1.96e+41     NF     N     N     N    NONE
MACS_J1115.8+0129          11:15:52.048       +01:29:56.56   0.1200     6.78    14.12    22.72   1.49e+44  -1.00e+00     UK   6.67e+40      F     ?     ?     ?       ?
MACS_J1131.8-1955          11:31:54.580       -19:55:44.54   0.3070     8.64    62.12    97.26   1.76e+45  -1.00e+00     UK   8.42e+40     NF     ?     ?     ?       ?
MACS_J1149.5+2223          11:49:35.856       +22:23:55.02   0.5440     8.40   280.69   280.69   2.16e+45  -1.00e+00     UK   2.38e+40     NF     N     N     N    NONE
MACS_J1149.5+2223          11:49:35.848       +22:23:54.55   0.5440     8.40   280.69   280.69   2.16e+45  -1.00e+00     UK   2.38e+40     NF     N     N     N    NONE
MACS_J1206.2-0847          12:06:12.276       -08:48:02.40   0.4400    10.21    61.02    69.04   3.73e+45  -1.00e+00     UK   1.27e+43      F     N     Y     N       Y
MACS_J1311.0-0310          13:11:01.665       -03:10:39.50   0.4940     5.60    42.46    47.36   1.00e+45  -1.00e+00     UK   2.60e+41     NF     N     N     N    NONE
MACS_J1311.0-0310          13:11:01.680       -03:10:39.75   0.4940     6.70    42.46    47.36   1.00e+45  -1.00e+00     UK   2.60e+41     NF     N     N     N    NONE
MACS_J1621.3+3810          16:21:24.801       +38:10:08.65   0.4610     7.53    13.88    20.08   1.15e+45  -1.00e+00     UK   7.75e+41      F     N     N     N    NONE
MACS_J1621.3+3810          16:21:24.808       +38:10:08.04   0.4610     7.53    13.88    20.08   1.15e+45  -1.00e+00     UK   7.75e+41      F     N     N     N    NONE
MACS_J1621.3+3810          16:21:24.825       +38:10:08.43   0.4610     7.53    13.88    20.08   1.15e+45  -1.00e+00     UK   7.75e+41      F     N     N     N    NONE
MACS_J1621.3+3810          16:21:24.807       +38:10:09.21   0.4610     7.53    13.88    20.08   1.15e+45  -1.00e+00     UK   7.75e+41      F     N     N     N    NONE
MACS_J1931.8-2634          19:31:49.656       -26:34:33.99   0.3520     6.97    10.32    14.56   2.34e+45  -1.00e+00     UK   1.16e+41     NF     ?     ?     ?       ?
MACS_J2049.9-3217          20:49:56.245       -32:16:52.30   0.3254     6.98   195.85   195.85   8.71e+44  -1.00e+00     UK   9.64e+40     NF     N     N     N    NONE
MACS_J2211.7-0349          22:11:45.856       -03:49:37.24   0.2700    11.30   165.49   165.49   2.22e+45  -1.00e+00     UK   6.26e+40     NF     N     Y     N       Y
MACS_J2214.9-1359          22:14:57.467       -14:00:09.35   0.5026     8.80   238.61   297.70   2.41e+45  -1.00e+00     UK   2.71e+41     NF     N     N     N    NONE
MACS_J2214.9-1359          22:14:57.481       -14:00:09.69   0.5026     8.80   238.61   297.70   2.41e+45  -1.00e+00     UK   2.71e+41     NF     N     N     N    NONE
MACS_J2228+2036            22:28:33.872       +20:37:18.31   0.4120     7.86   118.79   118.79   1.81e+45  -1.00e+00     UK   1.68e+41     NF     ?     ?     ?       ?
MACS_J2229.7-2755          22:29:45.358       -27:55:38.41   0.3240     5.01    10.16    12.39   9.60e+44  -1.00e+00     UK   2.79e+41      F     ?     ?     ?       ?
MACS_J2245.0+2637          22:45:04.657       +26:38:03.46   0.3040     6.06    39.04    42.03   9.46e+44  -1.00e+00     UK   1.91e+41      F     ?     ?     ?       ?
MKW3S                      15:21:51.930       +07:42:31.97   0.0450     2.18    20.74    23.94   1.14e+44   1.69e+40      F   5.88e+39      F     N     N     Y       Y
MKW_04                     12:04:27.218       +01:53:42.79   0.0198     2.06     5.92     6.86   3.00e+42  -1.00e+00     UK   2.42e+38     NF     Y     Y     N       Y
MKW_08                     14:40:39.633       +03:28:13.61   0.0270     3.29   130.68   130.68   8.51e+43  -1.00e+00     UK   3.62e+38     NF     ?     ?     ?       ?
MS_0016.9+1609             00:18:33.503       +16:26:12.99   0.5410     8.94   160.70   162.07   3.32e+45  -1.00e+00     UK   3.24e+41     NF     Y     Y     N       Y
MS_0116.3-0115             01:18:53.944       -01:00:07.54   0.0452     1.84    17.23    12.77   3.00e+42  -1.00e+00     UK   1.67e+39      F     ?     ?     ?       ?
MS_0440.5+0204             04:43:09.952       +02:10:18.70   0.1900     5.46    22.78    25.46   2.21e+44   1.24e+42      F   2.24e+40     NF     ?     ?     ?       ?
MS_0451.6-0305             04:54:11.004       -03:00:52.19   0.5386     8.90   568.13   568.13   3.36e+45  -1.00e+00     UK   3.21e+41     NF     ?     ?     ?       ?
MS_0735.6+7421             07:41:44.245       +74:14:38.23   0.2160     5.55    13.77    15.96   7.65e+44   1.24e+42      F   3.18e+41      F     Y     N     Y       Y
MS_0839.8+2938             08:42:55.969       +29:27:26.97   0.1940     4.68    15.53    19.19   3.13e+44   6.47e+41      F   2.92e+41      F     N     Y     N       Y
MS_0906.5+1110             09:09:12.753       +10:58:32.00   0.1630     5.38   104.23   104.23   4.69e+44   6.38e+40     NF   2.01e+40     NF     N     Y     N       Y
MS_1006.0+1202             10:08:47.462       +11:47:36.31   0.2210     5.61   175.76   160.28   4.81e+44   8.68e+40     NF   3.14e+40     NF     N     N     N    NONE
MS_1008.1-1224             10:10:32.312       -12:39:56.80   0.3010     7.45    96.04    97.62   8.53e+44   1.97e+41     NF   8.04e+40     NF     N     N     N    NONE
MS_1455.0+2232             14:57:15.088       +22:20:32.49   0.2590     4.77    16.88    16.88   1.04e+45  -1.00e+00     UK   3.75e+41      F     Y     Y     N       Y
MS_2137.3-2353             21:40:15.178       -23:39:40.71   0.3130     6.01    12.33    14.68   1.14e+45  -1.00e+00     UK   1.34e+41      F     Y     Y     Y       Y
MS_J1157.3+5531            11:59:52.295       +55:32:05.61   0.0810     3.28     4.14     5.93   1.20e+43  -1.00e+00     UK   4.44e+39     NF     N     N     N    NONE
NGC_0507                   01:23:39.905       +33:15:21.73   0.0164     1.40     0.00     0.00   2.40e+43  -1.00e+00     UK   3.24e+39      F     ?     ?     ?       ?
NGC_4636                   12:42:49.856       +02:41:15.86   0.0031     0.66     1.40     1.42  -1.00e+00  -1.00e+00     UK   1.43e+38      F     ?     ?     ?       ?
NGC_4636                   12:42:49.882       +02:41:16.11   0.0031     0.66     1.40     1.42  -1.00e+00  -1.00e+00     UK   1.43e+38      F     ?     ?     ?       ?
NGC_5044                   13:15:23.947       -16:23:07.62   0.0090     1.22     1.92     2.28   2.09e+43  -1.00e+00     UK   5.42e+38      F     ?     ?     ?       ?
NGC_5044                   13:15:23.972       -16:23:07.78   0.0090     1.22     1.92     2.28   2.09e+43  -1.00e+00     UK   5.42e+38      F     ?     ?     ?       ?
NGC_5813                   15:01:11.260       +01:42:07.23   0.0066     0.76     1.38     1.38   2.57e+42  -1.00e+00     UK   1.24e+38      F     ?     ?     ?       ?
NGC_5846                   15:06:29.289       +01:36:20.13   0.0057     0.64     1.83     1.83   1.95e+42  -1.00e+00     UK   1.31e+38      F     ?     ?     ?       ?
OPHIUCHUS                  17:12:27.731       -23:22:06.74   0.0280    11.12     4.04     8.95   2.78e+44  -1.00e+00     UK   5.66e+39      F     N     N     N    NONE
PKS_0745-191               07:47:31.436       -19:17:39.78   0.1028     8.50    11.91    12.41   1.84e+45   2.80e+41      F   7.00e+42      F     Y     Y     Y       Y
PKS_0745-191               07:47:31.453       -19:17:39.96   0.1028     8.50    11.91    12.41   1.84e+45   2.80e+41      F   7.00e+42      F     Y     Y     Y       Y
PKS_0745-191               07:47:31.469       -19:17:40.01   0.1028     8.50    11.91    12.41   1.84e+45   2.80e+41      F   7.00e+42      F     Y     Y     Y       Y
RBS_0461                   03:41:17.490       +15:23:54.66   0.0290     2.60    95.67    95.67  -1.00e+00   8.81e+38     NF   3.08e+39      F     N     Y     N       Y
RBS_0533                   04:19:38.105       +02:24:35.54   0.0123     1.29     2.04     2.22  -1.00e+00   1.56e+38     NF   6.14e+38      F     N     N     N    NONE
RBS_0533                   04:19:38.135       +02:24:36.02   0.0123     1.29     2.04     2.22  -1.00e+00   1.56e+38     NF   6.14e+38      F     N     N     N    NONE
RBS_0533                   04:19:38.130       +02:24:35.73   0.0123     1.29     2.04     2.22  -1.00e+00   1.56e+38     NF   6.14e+38      F     N     N     N    NONE
RBS_0533                   04:19:38.111       +02:24:35.62   0.0123     1.29     2.04     2.22  -1.00e+00   1.56e+38     NF   6.14e+38      F     N     N     N    NONE
RBS_0797                   09:47:12.693       +76:23:13.40   0.3540     7.68    19.95    20.85   2.63e+45  -1.00e+00     UK   1.02e+42      F     ?     ?     ?       ?
RBS_0797                   09:47:12.729       +76:23:13.37   0.3540     7.68    19.95    20.85   2.63e+45  -1.00e+00     UK   1.02e+42      F     ?     ?     ?       ?
RCS_J2327-0204             23:27:27.524       -02:04:39.01   0.2000     7.06    65.54    68.55  -1.00e+00  -1.00e+00     UK  -1.00e+00     UK     ?     ?     ?       ?
RX_J0220.9-3829            02:20:56.582       -38:28:51.21   0.2287     5.02    33.14    43.00   3.50e+44  -1.00e+00     UK   3.40e+40     NF     ?     ?     ?       ?
RX_J0232.2-4420            02:32:18.771       -44:20:46.68   0.2836     7.83    34.23    44.62   1.83e+45  -1.00e+00     UK   1.26e+41     NF     N     Y     N       Y
RX_J0439+0520              04:39:02.218       +05:20:43.11   0.2080     4.60    12.85    14.92   3.61e+44   6.87e+41      F   8.95e+41      F     ?     ?     ?       ?
RX_J0439.0+0715            04:39:00.710       +07:16:07.65   0.2300     6.50    61.15    66.75   9.44e+44   6.65e+40     NF   4.34e+40     NF     N     N     N    NONE
RX_J0439.0+0715            04:39:00.710       +07:16:07.33   0.2300     6.50    61.15    66.75   9.44e+44   6.65e+40     NF   4.34e+40     NF     N     N     N    NONE
RX_J0528.9-3927            05:28:53.039       -39:28:15.53   0.2632     7.89    69.92    72.85   1.31e+45  -1.00e+00     UK   1.11e+41      F     N     Y     N       Y
RX_J0647.7+7015            06:47:50.029       +70:14:49.66   0.5840     9.07   225.06   225.06   2.65e+45  -1.00e+00     UK   3.91e+41     NF     N     N     N    NONE
RX_J0647.7+7015            06:47:50.114       +70:14:49.99   0.5840     9.07   225.06   225.06   2.65e+45  -1.00e+00     UK   3.91e+41     NF     N     N     N    NONE
RX_J0819.6+6336            08:19:26.007       +63:37:26.53   0.1190     3.87    20.69    20.69   1.12e+44  -1.00e+00     UK   1.10e+41      F     ?     ?     ?       ?
RX_J1000.4+4409            10:00:32.024       +44:08:39.69   0.1540     3.42    23.07    27.71   1.61e+44   1.30e+40      F   1.41e+40     NF     ?     ?     ?       ?
RX_J1022.1+3830            10:22:10.034       +38:31:23.54   0.0491     3.04    43.98    51.60  -1.00e+00  -1.00e+00     UK   1.24e+39     NF     ?     ?     ?       ?
RX_J1130.0+3637            11:30:02.789       +36:38:08.26   0.0600     2.00    23.36    29.93   7.00e+42  -1.00e+00     UK   1.88e+39     NF     ?     ?     ?       ?
RX_J1320.2+3308            13:20:14.650       +33:08:33.06   0.0366     1.01     7.57     8.80   4.00e+42   2.12e+39      F   2.24e+40      F     ?     ?     ?       ?
RX_J1347.5-1145            13:47:30.593       -11:45:10.05   0.4510    10.88    12.45    12.45   1.00e+46  -1.00e+00     UK   3.84e+42      F     Y     Y     N       Y
RX_J1347.5-1145            13:47:30.598       -11:45:10.27   0.4510    10.88    12.45    12.45   1.00e+46  -1.00e+00     UK   3.84e+42      F     Y     Y     N       Y
RX_J1423.8+2404            14:23:47.759       +24:04:40.45   0.5450     5.92    10.23    10.23  -1.00e+00  -1.00e+00     UK   1.06e+42      F     N     N     N    NONE
RX_J1423.8+2404            14:23:47.763       +24:04:40.63   0.5450     5.92    10.23    10.23  -1.00e+00  -1.00e+00     UK   1.06e+42      F     N     N     N    NONE
RX_J1504.1-0248            15:04:07.415       -02:48:15.70   0.2150     8.00    13.08    13.08   3.49e+45  -1.00e+00     UK   9.02e+41      F     N     Y     N       Y
RX_J1532.9+3021            15:32:53.781       +30:20:58.72   0.3450     5.44    14.30    16.93   2.08e+45   4.73e+42      F   1.01e+42      F     Y     Y     N       Y
RX_J1532.9+3021            15:32:53.817       +30:20:58.34   0.3450     5.44    14.30    16.93   2.08e+45   4.73e+42      F   1.01e+42      F     Y     Y     N       Y
RX_J1539.5-8335            15:39:32.485       -83:35:23.83   0.0728     4.29    21.81    25.88   1.42e+44  -1.00e+00     UK   3.92e+40      F     ?     ?     ?       ?
RX_J1720.1+2638            17:20:09.941       +26:37:29.11   0.1640     6.37    20.69    21.03   1.15e+45   7.60e+40      F   7.14e+41      F     Y     Y     N       Y
RX_J1720.2+3536            17:20:16.953       +35:36:23.63   0.3913     5.65    17.52    24.00   1.30e+45  -1.00e+00     UK   1.07e+42      F     N     N     N    NONE
RX_J1720.2+3536            17:20:16.949       +35:36:23.48   0.3913     5.65    17.52    24.00   1.30e+45  -1.00e+00     UK   1.07e+42      F     N     N     N    NONE
RX_J1720.2+3536            17:20:16.947       +35:36:23.29   0.3913     5.65    17.52    24.00   1.30e+45  -1.00e+00     UK   1.07e+42      F     N     N     N    NONE
RX_J1852.1+5711            18:52:08.815       +57:11:42.63   0.1094     3.66    13.66    18.72   6.30e+43  -1.00e+00     UK   1.36e+41      F     ?     ?     ?       ?
RX_J2129.6+0005            21:29:39.944       +00:05:18.83   0.2350     5.91    17.97    21.14   1.27e+45  -1.00e+00     UK   4.63e+41      F     ?     ?     ?       ?
RXCJ0331.1-2100            03:31:06.020       -21:00:32.93   0.1880     4.61     6.38    11.40  -1.00e+00  -1.00e+00     UK   2.64e+40     UK     ?     ?     ?       ?
RXCJ0331.1-2100            03:31:06.025       -21:00:33.13   0.1880     4.61     6.38    11.40  -1.00e+00  -1.00e+00     UK   2.64e+40     UK     ?     ?     ?       ?
SC_1327-312                13:29:47.748       -31:36:23.54   0.0531     3.53    65.52    64.57   3.16e+44  -1.00e+00     UK   1.45e+39     NF     N     N     N    NONE
SERSIC_159-03              23:13:58.764       -42:43:34.70   0.0580     2.65     7.54    10.45   1.10e+44   3.54e+40      F   1.87e+41      F     Y     Y     Y       Y
SS2B153                    10:50:26.125       -12:50:41.76   0.0186     0.80     1.12     1.12  -1.00e+00  -1.00e+00     UK   2.16e+39      F     N     N     N    NONE
UGC_03957                  07:40:58.335       +55:25:38.30   0.0341     2.85    11.02    12.88   2.20e+43  -1.00e+00     UK   1.23e+40      F     ?     ?     ?       ?
UGC_12491                  23:18:38.311       +42:57:29.06   0.0174     0.87     2.99     2.99  -1.00e+00  -1.00e+00     UK  -1.00e+00     UK     ?     ?     ?       ?
ZWCL_1215                  12:17:41.708       +03:39:15.81   0.0750     6.62   163.23   163.23   3.52e+44  -1.00e+00     UK   3.78e+39     NF     N     N     N    NONE
ZWCL_1358+6245             13:59:50.526       +62:31:04.57   0.3280    10.66    13.82    20.67   1.25e+45   1.29e+42      F   7.80e+40     NF     ?     ?     ?       ?
ZWCL_1742                  17:44:14.515       +32:59:29.68   0.0757     4.40    13.83    23.84   2.10e+44  -1.00e+00     UK   1.11e+41      F     ?     ?     ?       ?
ZWCL_1953                  08:50:06.677       +36:04:16.16   0.3800     7.37   194.53   194.53   1.73e+45  -1.00e+00     UK   1.08e+41     NF     ?     ?     ?       ?
ZWCL_3146                  10:23:39.735       +04:11:08.05   0.2900     7.48    11.42    11.42   2.99e+45   5.82e+42      F   2.10e+41      F     Y     Y     Y       Y
ZWCL_7160                  14:57:15.158       +22:20:33.85   0.2578     4.53    18.83    21.09   1.03e+45   3.24e+41      F   3.71e+41      F     ?     ?     ?       ?
ZWICKY_2701                09:52:49.183       +51:53:05.27   0.2100     5.21    33.98    39.66   5.24e+44   5.41e+40      F   2.05e+41      F     Y     Y     N       Y
ZwCl_0857.9+2107           09:00:36.835       +20:53:40.36   0.2350     4.29    23.60    24.25   3.92e+44  -1.00e+00     UK   1.30e+41      F     ?     ?     ?       ?
