ABELL_1664                 7901        195.9276        -24.2233   9.22E+20   8.47e+20   0.92
ABELL_1689                 1663        197.8734         -1.2630   1.84E+20   1.87e+20   1.02
ABELL_1689                 5004        197.8734         -1.2738   1.84E+20   1.87e+20   1.02
ABELL_1689                  540        197.8733         -1.4037   1.84E+20   1.87e+20   1.02
ABELL_1736                 4186        201.7061        -27.1653   4.37E+20   5.13e+20   1.17
ABELL_1758                 2213        203.2017         50.5144   1.02E+20   1.09e+20   1.07
ABELL_1763                 3591        203.8248         40.9741   8.30E+19   8.20e+19   0.99
ABELL_1795                  493        207.2200         26.5943   1.17E+20   1.22e+20   1.04
ABELL_1795                 5289        207.2201         26.6208   1.16E+20   1.22e+20   1.05
ABELL_1835                  495        210.2581          2.9085   2.05E+20   2.36e+20   1.15
ABELL_1914                 3593        216.5128         37.7834   1.04E+20   9.70e+19   0.93
ABELL_1942                 3290        219.5912          3.6294   2.37E+20   2.75e+20   1.16
ABELL_1991                 3193        223.6317         18.6710   2.35E+20   2.43e+20   1.03
ABELL_1995                 7021        223.2392         58.0262   1.18E+20   1.44e+20   1.22
ABELL_2029                 4977        227.7339          5.7723   3.32E+20   3.26e+20   0.98
ABELL_2029                 6101        227.7340          5.7765   3.32E+20   3.26e+20   0.98
ABELL_2029                  891        227.7340          5.7546   3.33E+20   3.26e+20   0.98
ABELL_2034                 2204        227.5521         33.4979   1.59E+20   1.58e+20   0.99
ABELL_2052                 5807        229.1855          7.0404   2.70E+20   2.85e+20   1.06
ABELL_2052                  890        229.1856          7.0095   2.70E+20   2.85e+20   1.06
ABELL_2063                 4187        230.7702          8.6265   2.60E+20   3.21e+20   1.23
ABELL_2063                 6263        230.7703          8.6273   2.60E+20   3.21e+20   1.23
ABELL_2065                31821        230.6230         27.6867   3.06E+20   2.96e+20   0.97
ABELL_2069                 4965        231.0474         29.9272   1.90E+20   1.97e+20   1.04
ABELL_2104                  895        235.0339         -3.3069   8.37E+20   1.49e+21   1.78
ABELL_2107                 4960        234.9130         21.7597   4.51E+20   4.54e+20   1.01
ABELL_2111                  544        234.9193         34.4523   1.83E+20   2.20e+20   1.20
ABELL_2124                 3238        236.2464         36.0925   1.61E+20   1.71e+20   1.06
ABELL_2125                 2207        235.3086         66.1809   2.97E+20   2.75e+20   0.93
ABELL_2142                 1196        239.5870         27.2176   3.70E+20   4.31e+20   1.16
ABELL_2142                 1228        239.5870         27.2176   3.70E+20   4.31e+20   1.16
ABELL_2142                 5005        239.5873         27.2315   3.71E+20   4.31e+20   1.16
ABELL_2147                 3211        240.5709         15.9255   3.00E+20   3.38e+20   1.13
ABELL_2151                 4996        241.1495         17.6578   3.35E+20   3.46e+20   1.03
ABELL_2163                 1653        243.9404         -6.1882   1.10E+21   1.20e+21   1.09
ABELL_2199                  497        247.1594         39.5405   8.47E+19   8.80e+19   1.04
ABELL_2204                  499        248.1955          5.5465   6.11E+20   5.84e+20   0.96
ABELL_2204                 6104        248.1951          5.5379   6.09E+20   5.84e+20   0.96
ABELL_2218                 1666        248.9618         66.2547   2.57E+20   3.12e+20   1.21
ABELL_2219                  896        250.0838         46.7342   1.88E+20   1.76e+20   0.94
ABELL_2244                 4179        255.6774         34.0475   1.78E+20   2.09e+20   1.17
ABELL_2255                  894        258.1789         64.0622   2.55E+20   2.53e+20   0.99
ABELL_2259                 3245        260.0346         27.6171   3.31E+20   3.70e+20   1.12
ABELL_2261                 5007        260.6135         32.2082   3.24E+20   3.31e+20   1.02
ABELL_2294                 3246        261.0318         85.9478   6.58E+20   6.10e+20   0.93
ABELL_2319                 3231        290.2902         43.9374   7.45E+20   9.05e+20   1.21
ABELL_2384                 4202        328.0882        -19.5961   2.77E+20   2.99e+20   1.08
ABELL_2390                 4193        328.4034         17.6663   6.39E+20   6.71e+20   1.05
ABELL_2409                 3247        330.2190         20.8995   6.86E+20   6.72e+20   0.98
ABELL_2462                 4159        339.7974        -17.3484   2.75E+20   3.30e+20   1.20
ABELL_2537                 4962        347.0930         -2.2201   4.84E+20   4.26e+20   0.88
ABELL_2554                 1696        348.0818        -21.5070   1.72E+20   2.04e+20   1.19
ABELL_2556                 2226        348.2559        -21.6347   1.72E+20   2.02e+20   1.17
ABELL_2589                 3210        350.9888         16.7649   3.09E+20   3.98e+20   1.29
ABELL_2597                  922        351.3324        -12.1306   2.51E+20   2.51e+20   1.00
ABELL_2626                 3192        354.1269         21.1395   3.75E+20   4.30e+20   1.15
ABELL_2631                 3248        354.4107          0.3118   3.50E+20   3.74e+20   1.07
ABELL_2657                 4941        356.2386          9.2110   5.62E+20   5.66e+20   1.01
