#Name                             RA             Dec        z       TX       K0    K0err     K100  K100err    alpha     aerr         LX        LHa   Type       LRad   Type
#--                            h:m:s           d:m:s       --      keV     \ent     \ent     \ent     \ent       --       --     ergs/s     ergs/s     --     ergs/s     --
ABELL_0697              08:42:57.549    +36:21:57.65   0.2820     9.52   166.67    24.45   108.16    29.13     1.10     0.18   2.63e+45   1.04e+41     NF   6.92e+40     NF
ABELL_0744              09:07:20.455    +16:39:06.18   0.0729     2.50    63.42    10.17   229.33    15.24     0.79     0.13   8.91e+43   6.49e+40     NF   2.82e+39     NF
ABELL_0754              09:09:18.188    -09:41:09.56   0.0543     9.94   270.39    23.78    69.67    26.50     1.48     0.34   3.31e+45   2.19e+39     NF   1.92e+39     NF
ABELL_0773              09:17:52.566    +51:43:38.18   0.2170     7.83   244.32    31.73    41.10    22.52     1.60     0.33   1.30e+45   5.86e+40     NF   3.80e+40     NF
ABELL_0907              09:58:21.946    -11:03:50.73   0.1527     5.59    23.38     3.22   187.01     8.11     1.05     0.05   6.26e+44  -1.00e+00     UK   4.77e+41      F
ABELL_0963              10:17:03.744    +39:02:49.17   0.2056     6.73    55.77    12.86   169.12    20.27     0.90     0.10   1.07e+45   5.21e+40     NF   3.37e+40     NF
ABELL_1060              10:36:42.828    -27:31:42.06   0.0125     3.29    72.00     5.20   178.34   100.88     1.25     0.49   1.20e+42  -1.00e+00     UK   9.60e+37     NF
ABELL_1063S             22:48:44.294    -44:31:48.37   0.3540    11.96   169.59    19.67    42.21    17.72     1.72     0.27   7.15e+45  -1.00e+00     UK   2.11e+41     NF
ABELL_1068              10:40:44.520    +39:57:10.28   0.1375     4.62     9.11     1.03   108.80     3.24     1.31     0.06   4.77e+44   2.26e+42      F   1.28e+41      F
ABELL_1201              11:12:54.489    +13:26:08.76   0.1688     5.61    64.81    16.87   198.94    25.18     1.03     0.21   4.08e+44   3.41e+40     NF   2.17e+40     NF
ABELL_1204              11:13:20.419    +17:35:38.45   0.1706     3.63    15.31     1.42    81.83     3.64     1.40     0.11   3.98e+44   6.38e+40      F   2.22e+40     NF
ABELL_1240              11:23:38.357    +43:05:48.33   0.1590     4.77   462.40    41.66     8.27    18.17     2.37     1.48  -1.00e+00  -1.00e+00     UK   1.51e+40     NF
ABELL_1361              11:43:39.637    +46:21:20.41   0.1171     5.32    18.64     4.90   117.86    10.53     1.06     0.18   2.39e+44   7.75e+40      F   2.67e+42      F
ABELL_1413              11:55:17.893    +23:24:21.84   0.1426     7.41    64.03     8.33   123.19    12.99     1.19     0.28   1.02e+45   2.38e+40     NF   1.60e+40     NF
ABELL_1423              11:57:17.263    +33:36:37.44   0.2130     6.01    68.32    12.85   124.17    21.13     1.20     0.17   7.07e+44   5.62e+40     NF   4.60e+40     NF
ABELL_1446              12:02:03.744    +58:02:17.93   0.1035     4.00   152.38    43.81   119.50    49.55     0.67     0.27  -1.00e+00  -1.00e+00     UK   5.94e+39     NF
ABELL_1569              12:36:26.015    +16:32:17.81   0.0735     2.51   110.10    27.79   149.14    28.89     0.51     0.19  -1.00e+00  -1.00e+00     UK   2.87e+39     NF
ABELL_1576              12:36:58.274    +63:11:13.88   0.2790    10.10   186.24    49.11    98.35    47.60     1.38     0.29   3.16e+45  -1.00e+00     UK   3.94e+41      F
ABELL_1644              12:57:11.665    -17:24:32.86   0.0471     4.60    19.03     1.16   585.67    81.85     1.76     0.11  -1.00e+00   5.22e+39      F   5.63e+40      F
ABELL_1650              12:58:41.499    -01:45:44.32   0.0843     6.17    37.96     9.95   159.89    12.10     0.84     0.17   4.37e+44   5.04e+38     NF   4.84e+39     NF
ABELL_1651              12:59:22.830    -04:11:45.86   0.0840     6.26    89.46    11.07   115.53    15.16     0.97     0.19   6.71e+44   7.81e+39     NF   8.52e+39     NF
ABELL_1664              13:03:42.622    -24:14:41.59   0.1276     4.39    14.40     0.98   141.84     6.05     1.70     0.09   3.15e+44  -1.00e+00     UK   1.71e+41      F
ABELL_1689              13:11:29.612    -01:20:28.69   0.1843     9.46    78.44     7.56   111.77    13.83     1.35     0.14   2.81e+45   2.80e+39     NF   2.64e+40     NF
ABELL_1736              13:26:49.453    -27:09:48.13   0.0338     3.45   150.35    38.25   127.25    37.91     0.99     0.83   3.47e+44   6.80e+37     NF   7.22e+38     NF
ABELL_1758              13:32:48.398    +50:32:32.53   0.2792    12.14   230.84    37.22   144.04    50.23     1.21     0.32   2.11e+45   1.02e+41     NF   6.76e+40     NF
ABELL_1763              13:35:17.957    +40:59:55.80   0.1866     7.78   214.69    32.84    70.80    29.05     1.37     0.25   9.33e+44   4.22e+40     NF   2.71e+40     NF
ABELL_1795              13:48:52.802    +26:35:23.55   0.0625     6.08    18.99     1.05   130.38     2.77     1.18     0.03   7.81e+44   8.77e+40      F   9.52e+41      F
ABELL_1835              14:01:01.951    +02:52:43.18   0.2532     9.77    11.44     2.47   111.71     7.91     1.26     0.09   3.96e+45   5.04e+42      F   8.49e+41      F
ABELL_1914              14:26:03.060    +37:49:27.84   0.1712     9.62   107.16    18.04   131.15    28.30     1.05     0.18   2.64e+45   3.51e+40     NF   2.24e+40     NF
ABELL_1942              14:38:21.878    +03:40:12.97   0.2240     4.77   107.73    77.72   194.08    88.68     0.66     0.41   2.30e+44   6.28e+40     NF   1.22e+43      F
ABELL_1991              14:54:31.620    +18:38:41.48   0.0587     2.67     1.53     0.32   152.21     4.17     1.09     0.03   4.51e+43   5.96e+39      F   3.25e+40      F
ABELL_1995              14:52:57.410    +58:02:56.84   0.3186     8.37   374.35    60.08    26.81    32.93     2.08     0.81   1.03e+45  -1.00e+00     UK   7.29e+40     NF
ABELL_2029              15:10:56.139    +05:44:40.47   0.0765     8.18    10.50     0.67   163.58     2.12     0.95     0.02   1.56e+45   6.43e+39     NF   8.22e+41      F
ABELL_2034              15:10:12.498    +33:30:39.57   0.1130     7.15   232.64    23.04    85.07    22.58     1.14     0.17   6.50e+44   1.45e+40     NF   9.04e+39     NF
ABELL_2052              15:16:44.514    +07:01:17.02   0.0353     2.98     9.45     0.66   164.72     2.59     1.25     0.03   5.13e+44   1.38e+40      F   1.74e+42      F
ABELL_2063              15:23:04.851    +08:36:20.16   0.0351     3.61    53.51     2.60   129.01     3.92     1.07     0.05   4.27e+44   1.30e+39     NF   4.55e+39      F
ABELL_2065              15:22:29.517    +27:42:22.93   0.0730     5.75    43.95     6.48   195.29    10.59     1.02     0.10   2.95e+44   5.84e+39     NF   3.57e+39     NF
ABELL_2069              15:24:11.376    +29:52:19.02   0.1160     6.50   453.25    35.63    54.57    36.31     1.47     0.51   3.86e+44   1.54e+40     NF   9.57e+39     NF
ABELL_2104              15:40:08.131    -03:18:15.02   0.1554     8.53   160.61    42.16   210.10    53.93     1.20     0.77   6.98e+44   2.85e+40     NF   1.81e+40     NF
ABELL_2107              15:39:39.113    +21:46:57.66   0.0411     3.82    21.24     5.85   396.13    92.51     0.91     0.16   3.02e+44   1.79e+39     NF   7.87e+38     NF
ABELL_2111              15:39:40.637    +34:25:28.01   0.2300     7.13   107.36    97.29   193.98   118.71     0.65     0.38   7.51e+44   6.65e+40     NF   4.34e+40     NF
ABELL_2124              15:44:59.131    +36:06:34.11   0.0658     4.73    98.31    23.95   260.81    30.80     0.90     0.28   4.64e+43   4.71e+39     NF   2.28e+39     NF
ABELL_2125              15:41:14.154    +66:15:57.20   0.2465     2.88   225.17    32.02    32.90    41.18     1.35     1.73   7.87e+43  -1.00e+00     UK   4.53e+40     NF
