#Name                             RA             Dec        z       TX       K0    K0err     K100  K100err    alpha     aerr         LX        LHa   Type       LRad   Type
#--                            h:m:s           d:m:s       --      keV     \ent     \ent     \ent     \ent       --       --     ergs/s     ergs/s     --     ergs/s     --
MACS_J0257.6-2209       02:57:41.024    -22:09:11.12   0.3224     8.02   155.91    25.03    82.11    32.42     1.55     0.34   1.09e+45  -1.00e+00     UK   9.44e+40     NF
MACS_J0308.9+2645       03:08:55.927    +26:45:38.34   0.3240    10.54   212.76    53.92    70.07    42.18     1.43     0.35   2.06e+45  -1.00e+00     UK   9.55e+40     NF
MACS_J0329.6-0211       03:29:41.681    -02:11:47.67   0.4500     6.30    11.13     2.52    96.68     6.42     1.26     0.07   1.30e+45  -1.00e+00     UK   5.74e+41      F
MACS_J0417.5-1154       04:17:34.686    -11:54:32.71   0.4400    11.07    27.08     7.27    99.69    15.13     1.42     0.23   3.82e+45  -1.00e+00     UK   2.35e+42      F
MACS_J0429.6-0253       04:29:36.088    -02:53:09.02   0.3990     5.66    17.17     4.29    88.87     8.96     1.23     0.11   1.17e+45  -1.00e+00     UK   8.66e+42      F
MACS_J0520.7-1328       05:20:42.052    -13:28:49.38   0.3398     6.27    88.59    22.02    84.92    28.18     1.20     0.24   9.63e+44  -1.00e+00     UK   3.97e+42      F
MACS_J0547.0-3904       05:47:01.582    -39:04:28.24   0.2100     3.58    23.14     4.41   121.59    10.19     1.20     0.10   1.62e+44  -1.00e+00     UK   4.44e+41      F
MACS_J0717.5+3745       07:17:31.654    +37:45:18.52   0.5480    12.77   220.15    96.43   160.08   112.20     0.76     0.40   4.69e+45  -1.00e+00     UK   3.35e+41     NF
MACS_J0744.8+3927       07:44:52.802    +39:27:24.41   0.6860     8.09    42.38    10.89   112.02    17.22     1.11     0.12   2.49e+45  -1.00e+00     UK   5.80e+41     NF
MACS_J1115.2+5320       11:15:15.632    +53:20:03.31   0.4390     8.03   292.28    60.50    27.56    42.31     1.73     1.01   1.43e+45  -1.00e+00     UK   1.96e+41     NF
MACS_J1115.8+0129       11:15:52.048    +01:29:56.56   0.3521     6.78    14.76     3.09   107.65     9.63     1.31     0.11   1.49e+44  -1.00e+00     UK   6.67e+40      F
MACS_J1131.8-1955       11:31:54.580    -19:55:44.54   0.3070     8.64    97.26    22.98   156.32    34.75     1.15     0.19   1.76e+45  -1.00e+00     UK   8.42e+40     NF
MACS_J1149.5+2223       11:49:35.856    +22:23:55.02   0.5440     6.20   280.69    39.24    33.13    20.64     1.47     0.30   2.53e+44  -1.00e+00     UK   2.38e+40     NF
MACS_J1206.2-0847       12:06:12.276    -08:48:02.40   0.4400    10.21    69.04    10.10    94.69    14.51     1.28     0.11   3.73e+45  -1.00e+00     UK   1.27e+43      F
MACS_J1311.0-0310       13:11:01.665    -03:10:39.50   0.4940     5.76    47.36     4.12    63.47     7.29     1.62     0.12   1.02e+45  -1.00e+00     UK   2.60e+41     NF
MACS_J1621.3+3810       16:21:24.801    +38:10:08.65   0.4610     7.12    20.08     5.42   129.83    11.41     1.18     0.08   1.16e+45  -1.00e+00     UK   7.75e+41      F
MACS_J1931.8-2634       19:31:49.656    -26:34:33.99   0.3520     6.97    14.56     3.56    87.52     9.22     1.27     0.11   2.34e+45  -1.00e+00     UK   1.16e+41     NF
MACS_J2049.9-3217       20:49:56.245    -32:16:52.30   0.3254     6.98   195.85    67.61    92.71    71.47     1.06     0.48   8.71e+44  -1.00e+00     UK   9.64e+40     NF
MACS_J2211.7-0349       22:11:45.856    -03:49:37.24   0.2700    11.30   165.49    25.51    78.26    26.31     1.59     0.24   2.22e+45  -1.00e+00     UK   6.26e+40     NF
MACS_J2214.9-1359       22:14:57.467    -14:00:09.35   0.5026     9.78   297.70    83.17   171.96   147.67     1.46     0.76   2.42e+45  -1.00e+00     UK   2.71e+41     NF
MACS_J2228+2036         22:28:33.872    +20:37:18.31   0.4120     7.86   118.79    39.19   107.22    45.93     1.00     0.26   1.81e+45  -1.00e+00     UK   1.68e+41     NF
MACS_J2229.7-2755       22:29:45.358    -27:55:38.41   0.3240     5.01    12.39     2.04    74.97     5.20     1.36     0.08   9.60e+44  -1.00e+00     UK   2.79e+41      F
MACS_J2245.0+2637       22:45:04.657    +26:38:03.46   0.3040     6.06    42.03     6.49   105.93    13.06     1.33     0.13   9.47e+44  -1.00e+00     UK   1.91e+41      F
MKW3S                   15:21:51.930    +07:42:31.97   0.0450     2.18    23.94     1.63   131.08     2.55     0.96     0.03   1.14e+44   1.69e+40      F   5.88e+39      F
MKW_04                  12:04:27.218    +01:53:42.79   0.0198     2.06     6.86     0.30   392.70    29.42     1.26     0.04   2.90e+42  -1.00e+00     UK   2.42e+38     NF
MKW_08                  14:40:39.633    +03:28:13.61   0.0270     3.29   130.68    22.36   228.51    54.18     0.87     0.40   8.51e+43  -1.00e+00     UK   3.62e+38     NF
MS_0016.9+1609          00:18:33.503    +16:26:12.99   0.5410     8.94   162.07    22.53    64.17    26.52     1.29     0.30   3.32e+45  -1.00e+00     UK   3.24e+41     NF
MS_0116.3-0115          01:18:53.944    -01:00:07.54   0.0452     1.84    12.77    31.00   220.80    24.06     0.63     0.22  -1.00e+00  -1.00e+00     UK   1.67e+39      F
MS_0440.5+0204          04:43:09.952    +02:10:18.70   0.1900     5.46    25.46     7.59   164.03    15.15     1.11     0.13   2.21e+44   1.24e+42      F   2.24e+40     NF
MS_0451.6-0305          04:54:11.004    -03:00:52.19   0.5386     8.90   568.13   115.58    15.61    49.93     2.81     2.27   3.36e+45  -1.00e+00     UK   3.21e+41     NF
MS_0735.6+7421          07:41:44.245    +74:14:38.23   0.2160     5.55    15.96     2.12   106.79     4.62     1.14     0.05   7.65e+44   1.24e+42      F   3.18e+41      F
MS_0839.8+2938          08:42:55.969    +29:27:26.97   0.1940     4.68    19.19     2.88   105.79     6.27     1.33     0.11   3.13e+44   6.47e+41      F   2.92e+41      F
MS_0906.5+1110          09:09:12.753    +10:58:32.00   0.1630     5.38   104.23    14.89    97.32    19.55     1.15     0.17   4.69e+44   6.38e+40     NF   2.01e+40     NF
MS_1006.0+1202          10:08:47.462    +11:47:36.31   0.2210     5.61   160.28    21.29    82.81    26.87     1.32     0.24   4.81e+44   8.68e+40     NF   3.14e+40     NF
MS_1008.1-1224          10:10:32.312    -12:39:56.80   0.3010     7.45    97.62    41.49   262.05    56.78     0.76     0.18   8.53e+44   1.97e+41     NF   8.04e+40     NF
MS_1455.0+2232          14:57:15.088    +22:20:32.49   0.2590     4.77    16.88     1.52    81.47     3.96     1.39     0.07   1.04e+45  -1.00e+00     UK   3.75e+41      F
MS_2137.3-2353          21:40:15.178    -23:39:40.71   0.3130     6.01    14.68     1.85    89.85     5.28     1.39     0.06   1.14e+45  -1.00e+00     UK   1.34e+41      F
MS_J1157.3+5531         11:59:52.295    +55:32:05.61   0.0810     3.28     5.93     0.43   277.01    17.71     1.45     0.05   1.24e+43  -1.00e+00     UK   4.44e+39     NF
NGC_0507                01:23:39.905    +33:15:21.73   0.0164     1.40     0.00     2.11    99.89     2.70     0.65     0.01   2.40e+43  -1.00e+00     UK   3.24e+39      F
NGC_4636                12:42:49.856    +02:41:15.86   0.0031     0.66     1.42     0.10 11962.07  8976.96     1.96     0.18  -1.00e+00  -1.00e+00     UK   1.43e+38      F
NGC_5044                13:15:23.947    -16:23:07.62   0.0090     1.22     2.28     0.25    82.15     7.15     0.96     0.05   2.09e+43  -1.00e+00     UK   5.42e+38      F
NGC_5813                15:01:11.260    +01:42:07.23   0.0066     0.76     1.38     0.16   102.51     7.14     0.91     0.03   2.57e+42  -1.00e+00     UK   1.24e+38      F
NGC_5846                15:06:29.289    +01:36:20.13   0.0057     0.64     1.83     0.17   685.78   344.86     1.44     0.15   1.95e+42  -1.00e+00     UK   1.31e+38      F
OPHIUCHUS               17:12:27.731    -23:22:06.74   0.0280    11.12     8.95     1.19   247.48     7.64     0.73     0.03   2.78e+44  -1.00e+00     UK   5.66e+39      F
PKS_0745-191            07:47:31.436    -19:17:39.78   0.1028    10.46    12.41     0.68   110.70     2.75     1.39     0.04   2.16e+45   2.80e+41      F   7.00e+42      F
RBS_0461                03:41:17.490    +15:23:54.66   0.0290     2.60    95.67     3.05    68.80     4.51     1.39     0.10  -1.00e+00   8.81e+38     NF   3.08e+39      F
RBS_0533                04:19:38.105    +02:24:35.54   0.0123     1.29     2.22     0.05   164.34     2.52     1.00     0.01  -1.00e+00   1.56e+38     NF   6.14e+38      F
RBS_0797                09:47:12.693    +76:23:13.40   0.3540     7.68    19.49     1.79    97.67     5.89     1.67     0.10   2.63e+45  -1.00e+00     UK   1.02e+42      F
RCS_J2327-0204          23:27:27.524    -02:04:39.01   0.2000     7.06    68.55    19.94   217.20    36.90     1.28     0.26  -1.00e+00  -1.00e+00     UK   2.51e+40     NF
RXCJ0331.1-2100         03:31:06.020    -21:00:32.93   0.1880     4.61    11.40     1.48   134.10     5.83     1.30     0.07  -1.00e+00  -1.00e+00     UK   1.47e+42      F
RXC_J1023.8-2715        10:23:50.196    -27:15:23.77   0.0963     8.43    20.86     2.74   255.29    12.67     1.45     0.08  -1.00e+00  -1.00e+00     UK  -1.00e+00     UK
RX_J0220.9-3829         02:20:56.582    -38:28:51.21   0.2287     4.86    43.00     6.30   159.95    14.00     1.23     0.12  -1.00e+00  -1.00e+00     UK   3.40e+40     NF
RX_J0232.2-4420         02:32:18.771    -44:20:46.68   0.2836     7.83    44.62    12.42   166.53    24.66     1.16     0.18   1.83e+45  -1.00e+00     UK   1.26e+41     NF
RX_J0439+0520           04:39:02.218    +05:20:43.11   0.2080     4.60    14.92     2.86    95.47     6.24     1.19     0.10   3.61e+44   6.87e+41      F   8.95e+41      F
RX_J0439.0+0715         04:39:00.710    +07:16:07.65   0.2300     5.63    66.75    18.50   129.57    28.44     1.06     0.20   9.56e+44   6.65e+40     NF   4.34e+40     NF
RX_J0528.9-3927         05:28:53.039    -39:28:15.53   0.2632     7.89    72.85    13.75    99.80    22.41     1.47     0.23   1.31e+45  -1.00e+00     UK   1.11e+41      F
RX_J0647.7+7015         06:47:50.029    +70:14:49.66   0.5840    11.28   225.06    47.14    48.82    31.94     1.70     0.39   2.67e+45  -1.00e+00     UK   3.91e+41     NF
RX_J0819.6+6336         08:19:26.007    +63:37:26.53   0.1190     3.87    20.69    14.27   170.57    19.40     0.68     0.12   1.12e+44  -1.00e+00     UK   1.10e+41      F
RX_J1000.4+4409         10:00:32.024    +44:08:39.69   0.1540     3.42    27.71     4.40   151.10     9.94     1.09     0.09  -1.00e+00   1.30e+40      F   1.41e+40     NF
RX_J1022.1+3830         10:22:10.034    +38:31:23.54   0.0491     3.04    51.60     9.81   194.76    18.73     1.04     0.22  -1.00e+00  -1.00e+00     UK   1.24e+39     NF
RX_J1130.0+3637         11:30:02.789    +36:38:08.26   0.0600     2.02    29.93     2.31   149.60     9.16     1.14     0.10  -1.00e+00  -1.00e+00     UK   1.88e+39     NF
RX_J1320.2+3308         13:20:14.650    +33:08:33.06   0.0366     1.01     8.80     0.67   140.28    23.37     1.28     0.12  -1.00e+00   2.12e+39      F   2.24e+40      F
RX_J1347.5-1145         13:47:30.593    -11:45:10.05   0.4510    14.62    12.45    20.65   179.86    35.28     1.06     0.34   1.01e+46  -1.00e+00     UK   3.84e+42      F
RX_J1423.8+2404         14:23:47.759    +24:04:40.45   0.5450     6.64    10.23     5.05   119.91    10.80     1.27     0.17   1.60e+45  -1.00e+00     UK   1.06e+42      F
RX_J1504.1-0248         15:04:07.415    -02:48:15.70   0.2150     8.00    13.08     0.94    95.58     3.51     1.50     0.04   3.49e+45  -1.00e+00     UK   9.02e+41      F
RX_J1532.9+3021         15:32:53.781    +30:20:58.72   0.3450     6.03    16.93     1.81    76.31     4.98     1.51     0.07   2.10e+45   4.73e+42      F   1.01e+42      F
RX_J1539.5-8335         15:39:32.485    -83:35:23.83   0.0728     3.81    25.88     2.85   109.99     5.78     1.41     0.12  -1.00e+00  -1.00e+00     UK   3.92e+40      F
RX_J1720.1+2638         17:20:09.941    +26:37:29.11   0.1640     6.37    21.03     1.93   109.14     5.36     1.39     0.06   1.15e+45   7.60e+40      F   7.14e+41      F
RX_J1720.2+3536         17:20:16.953    +35:36:23.63   0.3913     7.21    24.00     3.35    94.44     7.85     1.42     0.11   1.31e+45  -1.00e+00     UK   1.07e+42      F
RX_J1852.1+5711         18:52:08.815    +57:11:42.63   0.1094     3.44    18.72     8.25   170.36    11.76     0.83     0.16  -1.00e+00  -1.00e+00     UK   1.36e+41      F
RX_J2129.6+0005         21:29:39.944    +00:05:18.83   0.2350     5.91    21.14     3.73    97.91     8.02     1.26     0.10   1.27e+45  -1.00e+00     UK   4.63e+41      F
SC_1327-312             13:29:47.748    -31:36:23.54   0.0531     3.53    64.57     9.95   160.82    12.48     0.81     0.14   3.16e+44  -1.00e+00     UK   1.45e+39     NF
SERSIC_159-03           23:13:58.764    -42:43:34.70   0.0580     2.65    10.45     0.70    77.78     2.42     1.17     0.06   1.10e+44   3.54e+40      F   1.87e+41      F
SS2B153                 10:50:26.125    -12:50:41.76   0.0186     0.80     1.12     0.16    71.35     2.11     0.80     0.02  -1.00e+00  -1.00e+00     UK   2.16e+39      F
UGC_03957               07:40:58.335    +55:25:38.30   0.0341     2.96    12.88     1.03   175.07     7.14     0.98     0.04  -1.00e+00  -1.00e+00     UK   1.23e+40      F
UGC_12491               23:18:38.311    +42:57:29.06   0.0174     0.87     2.99     0.22   148.48    11.72     1.12     0.04  -1.00e+00  -1.00e+00     UK   2.01e+38      F
ZWCL_1215               12:17:41.708    +03:39:15.81   0.0750     6.62   163.23    35.62   131.29    43.57     1.00     0.32   3.52e+44  -1.00e+00     UK   3.78e+39     NF
ZWCL_1358+6245          13:59:50.526    +62:31:04.57   0.3280    10.66    20.67     3.25    97.97     9.44     1.43     0.09   1.25e+45   1.29e+42      F   7.80e+40     NF
ZWCL_1742               17:44:14.515    +32:59:29.68   0.0757     4.40    23.84     1.65   126.53     8.99     1.30     0.12  -1.00e+00  -1.00e+00     UK   1.11e+41      F
ZWCL_1953               08:50:06.677    +36:04:16.16   0.3800     7.37   194.53    56.60    62.12    56.97     1.39     0.65   1.73e+45  -1.00e+00     UK   1.08e+41     NF
ZWCL_3146               10:23:39.735    +04:11:08.05   0.2900     7.48    11.42     1.99   105.48     6.40     1.29     0.08   2.98e+45   5.82e+42      F   2.10e+41      F
ZWICKY_2701             09:52:49.183    +51:53:05.27   0.2100     5.21    39.66     3.92   126.00    10.21     1.45     0.10   5.24e+44   5.41e+40      F   2.05e+41      F
ZwCl_0857.9+2107        09:00:36.835    +20:53:40.36   0.2350    12.10    24.25     4.96    89.27    10.44     1.40     0.18  -1.00e+00  -1.00e+00     UK   1.30e+41      F
