# Model: wabs(mekal) for total spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
ABELL_1204                  2205   0.49   4.81  1.44  0.00  0.00  3.62  3.41  3.85  0.35  0.35  0.35   3.74e-03   3.66e-03   3.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.370   1.52    230
ABELL_1361                  2200   0.71   2.94  2.18  0.00  0.00  7.10  5.97  8.80  0.61  0.61  0.61   3.84e-03   3.71e-03   3.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.749   1.34    105
ABELL_1413                  5003   0.58   2.79  2.19  0.00  0.00  7.82  7.55  8.11  0.21  0.21  0.21   1.06e-02   1.05e-02   1.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.955   1.05    398
ABELL_1650                  4178   0.97   2.94  1.62  0.00  0.00  5.80  5.62  5.99  0.40  0.40  0.40   1.19e-02   1.18e-02   1.20e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  2.043   1.19    355
ABELL_1651                  4185   0.98   4.10  2.02  0.00  0.00  6.46  6.13  6.83  0.32  0.32  0.32   1.64e-02   1.62e-02   1.66e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  1.929   1.11    287
ABELL_1664                  1648   0.65   2.94  8.47  0.00  0.00  4.62  4.25  5.04  0.11  0.11  0.11   5.66e-03   5.53e-03   5.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.790   0.88    165
ABELL_1689                  5004   0.45   4.10  1.87  0.00  0.00  9.84  9.30 10.45  0.25  0.25  0.25   1.60e-02   1.59e-02   1.62e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  1.600   1.07    369
ABELL_1758                  2213   0.31   3.78  1.09  0.00  0.00 18.88 17.12 20.93  0.20  0.20  0.20   7.35e-03   7.24e-03   7.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.966   1.47    407
ABELL_1763                  3591   0.45   4.10  0.82  0.00  0.00  7.56  6.98  8.20  0.16  0.16  0.16   6.91e-03   6.80e-03   7.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.687   1.20    270
ABELL_1835                   495   0.34   2.91  2.36  0.00  0.00 10.94 10.30 11.65  0.36  0.36  0.36   1.23e-02   1.22e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  1.940   0.99    335
ABELL_1942                  3290   0.38   4.32  2.75  0.00  0.00  3.99  3.69  4.33  0.27  0.27  0.27   2.03e-03   1.98e-03   2.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.170   1.35    258
ABELL_1991                  3193   1.44   2.88  2.43  0.00  0.00  2.43  2.35  2.52  0.30  0.30  0.30   3.11e-03   3.06e-03   3.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.509   1.31    228
ABELL_2029                  4977   1.07   3.00  3.26  0.00  0.00  8.18  8.06  8.29  0.42  0.42  0.42   3.15e-02   3.15e-02   3.16e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  5.278   2.09    442
ABELL_2029                  6101   1.07   4.10  3.26  0.00  0.00  9.03  8.61  9.49  0.42  0.42  0.42   3.56e-02   3.53e-02   3.59e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  4.205   1.06    371
ABELL_2034                  2204   0.73   4.10  1.58  0.00  0.00  7.38  7.14  7.64  0.29  0.29  0.29   1.06e-02   1.05e-02   1.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  1.238   1.08    418
ABELL_2104                   895   0.53   2.45  9.04  0.00  0.00 13.68 12.76 14.67  0.32  0.32  0.32   6.38e-03   6.31e-03   6.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.952   2.07    371
ABELL_2124                  3238   1.24   2.77  1.71  0.00  0.00  3.98  3.67  4.33  0.30  0.30  0.30   2.31e-03   2.26e-03   2.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.411   1.05    173
ABELL_2147                  3211   2.27   4.10  3.38  0.00  0.00  3.99  3.78  4.21  0.35  0.35  0.35   5.49e-03   5.39e-03   5.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  0.655   1.06    223
ABELL_2163                  1653   0.49   4.10 12.04  0.00  0.00 21.86 20.85 22.99  0.22  0.22  0.22   2.62e-02   2.60e-02   2.64e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  2.256   1.90    442
ABELL_2199                   497   2.70   2.89  0.88  0.00  0.00  5.05  4.73  5.39  0.43  0.43  0.43   2.89e-03   2.84e-03   2.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.635   1.18    178
ABELL_2204                   499   0.55   2.89  5.84  0.00  0.00  8.77  8.26  9.34  0.38  0.38  0.38   1.71e-02   1.69e-02   1.73e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  2.763   1.23    297
ABELL_2204                  6104   0.55   4.10  5.84  0.00  0.00  9.77  9.06 10.58  0.30  0.30  0.30   1.83e-02   1.80e-02   1.85e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  1.885   0.99    299
ABELL_2218                  1666   0.49   6.38  3.12  0.00  0.00  7.09  6.67  7.56  0.30  0.30  0.30   8.63e-03   8.52e-03   8.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.884   1.26    382
ABELL_2219                   896   0.38   2.99  1.76  0.00  0.00 12.30 11.79 12.87  0.27  0.27  0.27   1.43e-02   1.42e-02   1.44e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  2.250   1.17    409
ABELL_2244                  4179   0.85   2.96  2.09  0.00  0.00  5.48  5.37  5.60  0.29  0.29  0.29   1.27e-02   1.27e-02   1.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  2.074   1.53    409
ABELL_2255                   894   1.02   4.10  2.53  0.00  0.00 10.09  9.59 10.62  0.25  0.25  0.25   9.83e-03   9.75e-03   9.90e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  1.203   1.77    382
ABELL_2259                  3245   0.51   4.10  3.70  0.00  0.00  5.06  4.65  5.54  0.30  0.30  0.30   6.27e-03   6.12e-03   6.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.619   1.04    177
ABELL_2261                  5007   0.38   4.10  3.31  0.00  0.00  7.57  7.13  8.05  0.30  0.30  0.30   9.11e-03   9.00e-03   9.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.848   1.07    320
ABELL_2319                  3231   1.44   4.10  9.05  0.00  0.00 10.22  9.78 10.71  0.25  0.25  0.25   3.52e-02   3.49e-02   3.54e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0562  3.945   1.12    405
ABELL_2384                  4202   0.87   4.10  2.99  0.00  0.00  4.84  4.62  5.09  0.30  0.30  0.30   5.55e-03   5.48e-03   5.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.613   0.98    309
ABELL_2390                  4193   0.37   2.87  6.71  0.00  0.00 12.08 11.71 12.49  0.25  0.25  0.25   1.34e-02   1.33e-02   1.35e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  1.699   1.76    438
ABELL_2409                  3247   0.57   3.85  6.72  0.00  0.00  5.96  5.54  6.43  0.30  0.30  0.30   8.88e-03   8.70e-03   9.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.871   1.25    207
ABELL_2550                  2225   0.54   3.94  2.03  0.00  0.00  1.66  1.60  1.74  0.30  0.30  0.30   1.14e-03   1.11e-03   1.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1543  0.145   1.98    246
ABELL_2554                  1696   0.75   3.69  2.04  0.00  0.00  5.15  4.74  5.64  0.44  0.44  0.44   3.36e-03   3.30e-03   3.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.588   1.04    220
