# Model: wabs(mekal) for total spectra; Fit Range = 0.5 - 9.5; Count Rates = 0.5 - 9.5 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
1RXS_J2129.4-0741           3595   0.16   4.10  4.36  0.00  0.00  9.15  7.56 11.52  0.52  0.52  0.52   2.19e-03   2.10e-03   2.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.109   1.53    156
3C_220.1                     839   0.16   2.38  1.91  0.00  0.00  3.01  1.97  5.63  0.30  0.30  0.30   2.77e-04   2.35e-04   3.33e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100 -0.033   1.05     58
3C_28.0                     3233   0.43   4.10  5.71  0.00  0.00  6.58  6.26  6.90  0.12  0.12  0.12   6.06e-03   5.99e-03   6.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.518   1.38    392
3C_346                      3129   0.52   0.98  5.67  0.00  0.00  2.43  2.04  3.00  0.35  0.35  0.35   2.06e-04   1.90e-04   2.22e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.022   0.94     29
4C_55.16                    4940   0.35   2.95  4.00  0.00  0.00  4.70  4.49  4.92  0.29  0.29  0.29   3.00e-03   2.97e-03   3.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.302   1.67    385
ABELL_0133                  2203   1.46   2.57  1.56  0.00  0.00  4.48  4.33  4.65  0.64  0.64  0.64   4.17e-03   4.13e-03   4.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.851   1.15    301
ABELL_0267                  3580   0.37   4.10  2.74  0.00  0.00  7.64  6.93  8.49  0.26  0.26  0.26   4.85e-03   4.75e-03   4.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.425   1.26    248
ABELL_0370                   515   0.24   2.38  3.37  0.00  0.00  7.29  6.79  7.84  0.39  0.39  0.39   2.90e-03   2.86e-03   2.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.357   1.60    339
ABELL_0383                  2321   0.45   2.94  4.07  0.00  0.00  4.97  4.64  5.36  0.38  0.38  0.38   4.05e-03   3.97e-03   4.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.565   0.99    218
ABELL_0399                  3230   1.14   4.10 11.51  0.00  0.00  6.98  6.76  7.21  0.23  0.23  0.23   1.25e-02   1.24e-02   1.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.280   1.33    450
ABELL_0401                   518   1.10   4.10 12.48  0.00  0.00  8.33  8.02  8.67  0.46  0.46  0.46   2.74e-02   2.72e-02   2.76e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  3.356   1.98    410
ABELL_0478                  1669   0.93   3.39 15.48  0.00  0.00 26.82  0.00  0.00  0.31  0.31  0.31   3.78e-02   0.00e+00   0.00e+00  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  4.901  13.56    495
ABELL_0478                  6102   0.93   4.10 15.48  0.00  0.00 19.27 17.63 21.05  0.31  0.31  0.31   3.63e-02   3.58e-02   3.68e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  3.538   2.50    393
ABELL_0520                  4215   0.42   3.84  7.84  0.00  0.00  7.13  6.87  7.40  0.25  0.25  0.25   8.70e-03   8.63e-03   8.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.747   1.34    444
ABELL_0521                   430   0.34   3.47  6.17  0.00  0.00  5.84  5.49  6.24  0.19  0.19  0.19   6.14e-03   6.05e-03   6.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.704   1.26    309
ABELL_0576                  3289   2.10   3.85  5.57  0.00  0.00  4.16  4.02  4.32  0.46  0.46  0.46   6.32e-03   6.26e-03   6.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.997   1.22    335
ABELL_0644                  2211   1.17   4.10  6.31  0.00  0.00  8.52  8.25  8.79  0.29  0.29  0.29   2.40e-02   2.38e-02   2.41e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  2.764   1.44    451
ABELL_0665                  3586   0.46   4.10  4.24  0.00  0.00  7.94  7.56  8.35  0.19  0.19  0.19   1.12e-02   1.11e-02   1.13e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  1.055   0.96    386
ABELL_0697                  4217   0.30   4.10  3.34  0.00  0.00  9.35  8.63 10.17  0.23  0.23  0.23   8.90e-03   8.77e-03   9.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.748   1.37    300
ABELL_0773                  5006   0.39   4.10  1.46  0.00  0.00  8.71  8.02  9.49  0.34  0.34  0.34   6.98e-03   6.87e-03   7.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.649   1.12    287
ABELL_0907                  3185   0.54   4.10  5.69  0.00  0.00  5.65  5.44  5.87  0.25  0.25  0.25   7.29e-03   7.22e-03   7.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.686   1.36    407
ABELL_0963                   903   0.41   2.98  1.39  0.00  0.00  6.46  6.15  6.76  0.34  0.34  0.34   6.04e-03   5.99e-03   6.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.906   1.13    358
ABELL_1068                  1652   0.61   3.08  0.71  0.00  0.00  4.70  4.50  4.91  0.42  0.42  0.42   5.38e-03   5.32e-03   5.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.879   1.13    306
ABELL_1204                  2205   0.49   4.81  1.44  0.00  0.00  3.59  3.38  3.80  0.35  0.35  0.35   3.74e-03   3.66e-03   3.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.319   1.74    250
ABELL_1361                  2200   0.71   2.94  2.18  0.00  0.00  7.24  6.07  9.01  0.61  0.61  0.61   3.85e-03   3.72e-03   3.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.689   1.35    110
