# Model: wabs(mekal) for total spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
1RXS_J2129.4-0741           3595   0.16   4.10  4.36  0.00  0.00  8.00  6.00 11.26  0.52  0.52  0.52   2.38e-03   2.09e-03   2.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.050   1.44     74
3C_220.1                     839   0.16   2.38  1.91  0.00  0.00  1.35  0.08  5.28  0.30  0.30  0.30   2.19e-03   0.00e+00   4.59e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.003   0.77     24
3C_28.0                     3233   0.43   4.10  5.71  0.00  0.00  6.26  5.69  6.94  0.12  0.12  0.12   6.27e-03   5.99e-03   6.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.179   1.11    262
3C_346                      3129   0.52   0.98  5.67  0.00  0.00  1.52  0.91  3.83  0.35  0.35  0.35   3.98e-04   0.00e+00   1.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.004   1.23      5
4C_55.16                    4940   0.35   2.95  4.00  0.00  0.00  3.59  3.28  3.95  0.29  0.29  0.29   3.74e-03   3.48e-03   4.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.085   1.14    241
ABELL_0133                  2203   1.46   2.57  1.56  0.00  0.00  3.77  3.44  4.18  0.64  0.64  0.64   4.47e-03   4.22e-03   4.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.170   1.22    183
ABELL_0267                  3580   0.37   4.10  2.74  0.00  0.00  8.53  6.83 10.95  0.26  0.26  0.26   4.80e-03   4.50e-03   5.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.154   1.19    134
ABELL_0370                   515   0.24   2.38  3.37  0.00  0.00  9.31  7.97 11.18  0.39  0.39  0.39   2.97e-03   2.83e-03   3.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.096   1.08    205
ABELL_0383                  2321   0.45   2.94  4.07  0.00  0.00  4.51  3.83  5.42  0.38  0.38  0.38   4.34e-03   3.92e-03   4.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.135   0.88    103
ABELL_0399                  3230   1.14   4.10 11.51  0.00  0.00  6.52  6.12  6.96  0.23  0.23  0.23   1.30e-02   1.27e-02   1.33e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.466   1.27    315
ABELL_0401                   518   1.10   4.10 12.48  0.00  0.00  9.22  8.42 10.21  0.46  0.46  0.46   2.71e-02   2.66e-02   2.76e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  1.093   1.01    286
ABELL_0478                  1669   0.93   3.39 15.48  0.00  0.00  6.70  6.48  6.95  0.31  0.31  0.31   4.26e-02   4.21e-02   4.32e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  1.694   1.37    338
ABELL_0478                  6102   0.93   4.10 15.48  0.00  0.00  7.91  7.30  8.62  0.31  0.31  0.31   4.04e-02   3.94e-02   4.14e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  1.529   1.03    278
ABELL_0520                  4215   0.42   3.84  7.84  0.00  0.00  7.30  6.77  7.91  0.25  0.25  0.25   8.84e-03   8.59e-03   9.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.270   0.97    307
ABELL_0521                   430   0.34   3.47  6.17  0.00  0.00  6.69  5.71  7.95  0.19  0.19  0.19   6.05e-03   5.67e-03   6.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.188   1.25    183
ABELL_0576                  3289   2.10   3.85  5.57  0.00  0.00  3.12  2.91  3.36  0.46  0.46  0.46   7.72e-03   7.33e-03   8.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.246   0.99    208
ABELL_0644                  2211   1.17   4.10  6.31  0.00  0.00  7.01  6.63  7.43  0.29  0.29  0.29   2.56e-02   2.51e-02   2.62e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  0.963   1.04    322
ABELL_0665                  3586   0.46   4.10  4.24  0.00  0.00  8.13  7.32  9.07  0.19  0.19  0.19   1.12e-02   1.08e-02   1.16e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.365   0.87    262
ABELL_0697                  4217   0.30   4.10  3.34  0.00  0.00 10.43  8.94 12.62  0.23  0.23  0.23   8.87e-03   8.52e-03   9.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.273   1.20    185
ABELL_0773                  5006   0.39   4.10  1.46  0.00  0.00  8.54  7.30 10.14  0.34  0.34  0.34   7.11e-03   6.80e-03   7.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.233   0.97    171
ABELL_0907                  3185   0.54   4.10  5.69  0.00  0.00  5.05  4.70  5.45  0.25  0.25  0.25   7.92e-03   7.61e-03   8.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.228   0.97    278
ABELL_0963                   903   0.41   2.98  1.39  0.00  0.00  5.70  5.08  6.41  0.34  0.34  0.34   6.39e-03   6.08e-03   6.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.212   1.10    226
ABELL_1068                  1652   0.61   3.08  0.71  0.00  0.00  3.96  3.55  4.49  0.42  0.42  0.42   5.87e-03   5.46e-03   6.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.186   1.07    179
ABELL_1204                  2205   0.49   4.81  1.44  0.00  0.00  2.90  2.58  3.30  0.35  0.35  0.35   4.48e-03   4.00e-03   5.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.084   1.67    128
ABELL_1361                  2200   0.71   2.94  2.18  0.00  0.00 12.60  7.84 37.85  0.61  0.61  0.61   3.63e-03   3.34e-03   3.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.172   0.79     34
ABELL_1413                  5003   0.58   2.79  2.19  0.00  0.00  7.07  6.60  7.61  0.21  0.21  0.21   1.11e-02   1.08e-02   1.14e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.323   0.97    296
ABELL_1650                  4178   0.97   2.94  1.62  0.00  0.00  4.79  4.47  5.17  0.40  0.40  0.40   1.30e-02   1.25e-02   1.35e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.480   1.20    253
ABELL_1651                  4185   0.98   4.10  2.02  0.00  0.00  5.66  5.13  6.31  0.32  0.32  0.32   1.75e-02   1.67e-02   1.83e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.618   1.05    185
ABELL_1664                  1648   0.65   2.94  8.47  0.00  0.00  3.57  3.01  4.35  0.11  0.11  0.11   6.73e-03   5.86e-03   7.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.177   0.78     65
ABELL_1689                  5004   0.45   4.10  1.87  0.00  0.00 10.19  9.14 11.50  0.25  0.25  0.25   1.61e-02   1.57e-02   1.65e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.560   1.03    267
ABELL_1758                  2213   0.31   3.78  1.09  0.00  0.00 20.71 15.90 25.30  0.20  0.20  0.20   7.69e-03   7.55e-03   7.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.282   1.10    305
ABELL_1763                  3591   0.45   4.10  0.82  0.00  0.00  7.79  6.56  9.51  0.16  0.16  0.16   6.88e-03   6.48e-03   7.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.223   1.13    168
ABELL_1835                   495   0.34   2.91  2.36  0.00  0.00 11.76 10.31 13.83  0.36  0.36  0.36   1.22e-02   1.19e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.467   1.00    233
ABELL_1942                  3290   0.38   4.32  2.75  0.00  0.00  3.21  2.77  3.80  0.27  0.27  0.27   2.43e-03   2.10e-03   2.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.041   1.32    156
ABELL_1991                  3193   1.44   2.88  2.43  0.00  0.00  2.09  1.90  2.32  0.30  0.30  0.30   3.74e-03   3.36e-03   4.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.077   1.36    126
ABELL_2029                  4977   1.07   3.00  3.26  0.00  0.00  7.21  7.00  7.42  0.42  0.42  0.42   3.30e-02   3.27e-02   3.33e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  1.421   2.02    340
ABELL_2029                  6101   1.07   4.10  3.26  0.00  0.00  8.72  7.97  9.59  0.42  0.42  0.42   3.61e-02   3.53e-02   3.69e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  1.474   1.03    269
ABELL_2034                  2204   0.73   4.10  1.58  0.00  0.00  7.18  6.69  7.72  0.29  0.29  0.29   1.08e-02   1.05e-02   1.10e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.386   1.13    316
ABELL_2104                   895   0.53   2.45  9.04  0.00  0.00  6.41  5.90  6.99  0.32  0.32  0.32   7.45e-03   7.21e-03   7.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.278   1.09    269
ABELL_2124                  3238   1.24   2.77  1.71  0.00  0.00  3.65  3.00  4.64  0.30  0.30  0.30   2.49e-03   2.17e-03   2.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.080   1.11     72
ABELL_2147                  3211   2.27   4.10  3.38  0.00  0.00  4.16  3.65  4.81  0.35  0.35  0.35   5.39e-03   4.97e-03   5.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  0.178   1.17    121
ABELL_2163                  1653   0.49   4.10 12.04  0.00  0.00 12.34 11.60 13.23  0.22  0.22  0.22   2.71e-02   2.69e-02   2.74e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  0.931   1.24    340
ABELL_2199                   497   2.70   2.89  0.88  0.00  0.00  4.99  4.25  6.02  0.43  0.43  0.43   2.88e-03   2.67e-03   3.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.125   1.26     76
ABELL_2204                   499   0.55   2.89  5.84  0.00  0.00  8.01  7.12  9.09  0.38  0.38  0.38   1.77e-02   1.71e-02   1.84e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.718   1.25    195
ABELL_2204                  6104   0.55   4.10  5.84  0.00  0.00  9.07  7.94 10.60  0.30  0.30  0.30   1.86e-02   1.80e-02   1.93e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.683   1.08    198
ABELL_2218                  1666   0.49   6.38  3.12  0.00  0.00  5.38  4.80  6.09  0.30  0.30  0.30   9.91e-03   9.35e-03   1.05e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.287   1.13    280
ABELL_2219                   896   0.38   2.99  1.76  0.00  0.00  9.78  9.09 10.59  0.27  0.27  0.27   1.49e-02   1.47e-02   1.52e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  0.553   1.05    307
ABELL_2244                  4179   0.85   2.96  2.09  0.00  0.00  4.49  4.31  4.69  0.29  0.29  0.29   1.43e-02   1.39e-02   1.46e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  0.484   1.34    307
ABELL_2255                   894   1.02   4.10  2.53  0.00  0.00 12.72 11.24 15.07  0.25  0.25  0.25   9.64e-03   9.48e-03   9.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.405   1.77    280
ABELL_2259                  3245   0.51   4.10  3.70  0.00  0.00  4.11  3.50  4.96  0.30  0.30  0.30   7.41e-03   6.58e-03   8.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.184   0.88     82
ABELL_2261                  5007   0.38   4.10  3.31  0.00  0.00  7.15  6.38  8.13  0.30  0.30  0.30   9.37e-03   8.95e-03   9.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.283   0.95    218
ABELL_2319                  3231   1.44   4.10  9.05  0.00  0.00  8.89  8.22  9.66  0.25  0.25  0.25   3.64e-02   3.57e-02   3.71e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0562  1.471   1.05    303
ABELL_2384                  4202   0.87   4.10  2.99  0.00  0.00  4.46  4.02  5.01  0.30  0.30  0.30   5.79e-03   5.43e-03   6.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.174   0.99    207
ABELL_2390                  4193   0.37   2.87  6.71  0.00  0.00  8.56  8.15  9.02  0.25  0.25  0.25   1.45e-02   1.43e-02   1.48e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  0.500   1.16    336
ABELL_2409                  3247   0.57   3.85  6.72  0.00  0.00  5.06  4.42  5.88  0.30  0.30  0.30   9.76e-03   9.02e-03   1.06e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.287   1.29    110
ABELL_2550                  2225   0.54   3.94  2.03  0.00  0.00  0.88  0.64  1.17  0.30  0.30  0.30   2.95e-03   1.58e-03   6.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1543 -0.002   2.13    144
ABELL_2554                  1696   0.75   3.69  2.04  0.00  0.00  3.70  3.14  4.56  0.44  0.44  0.44   4.13e-03   3.68e-03   4.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.130   1.03    118
ABELL_2556                  2226   0.95   3.90  2.02  0.00  0.00  2.97  2.65  3.38  0.34  0.34  0.34   5.88e-03   5.34e-03   6.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  0.161   0.99    149
ABELL_2589                  3210   1.95   2.38  3.98  0.00  0.00 12.35  5.72 79.90  0.30  0.30  0.30   3.07e-03   2.78e-03   3.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0415  0.149   1.35     14
ABELL_2597                   922   0.96   1.13  2.51  0.00  0.00  4.24  3.47  5.45  0.37  0.37  0.37   1.24e-03   1.08e-03   1.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0854  0.043   1.04     33
ABELL_2626                  3192   1.42   3.10  4.30  0.00  0.00  2.62  2.40  2.90  0.30  0.30  0.30   5.89e-03   5.41e-03   6.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0573  0.151   1.15    133
