# Model: wabs(mekal) for total spectra; Fit Range = 2.0 - 9.5; Count Rates = 2.0 - 9.5 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
1RXS_J2129.4-0741           3595   0.16   4.10  4.36  0.00  0.00  7.27  5.42  9.82  0.52  0.52  0.52   2.44e-03   2.14e-03   2.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.013   2.13     86
3C_220.1                     839   0.16   2.38  1.91  0.00  0.00  1.34  0.08  5.01  0.30  0.30  0.30   2.21e-03   0.00e+00   4.60e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100 -0.057   1.11     32
3C_28.0                     3233   0.43   4.10  5.71  0.00  0.00  5.79  5.30  6.39  0.12  0.12  0.12   6.46e-03   6.16e-03   6.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.143   1.42    290
3C_346                      3129   0.52   0.98  5.67  0.00  0.00  1.52  0.90  3.73  0.35  0.35  0.35   3.99e-04   0.00e+00   1.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620 -0.003   1.09      7
4C_55.16                    4940   0.35   2.95  4.00  0.00  0.00  3.50  3.21  3.84  0.29  0.29  0.29   3.81e-03   3.54e-03   4.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.002   1.41    283
ABELL_0133                  2203   1.46   2.57  1.56  0.00  0.00  3.78  3.45  4.19  0.64  0.64  0.64   4.46e-03   4.22e-03   4.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.134   1.15    199
ABELL_0267                  3580   0.37   4.10  2.74  0.00  0.00  7.53  6.25  9.49  0.26  0.26  0.26   4.95e-03   4.61e-03   5.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.121   1.33    148
ABELL_0370                   515   0.24   2.38  3.37  0.00  0.00  9.37  8.02 11.28  0.39  0.39  0.39   2.96e-03   2.83e-03   3.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.041   1.14    237
ABELL_0383                  2321   0.45   2.94  4.07  0.00  0.00  4.49  3.82  5.40  0.38  0.38  0.38   4.35e-03   3.93e-03   4.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.061   0.83    116
ABELL_0399                  3230   1.14   4.10 11.51  0.00  0.00  6.25  5.90  6.65  0.23  0.23  0.23   1.31e-02   1.28e-02   1.34e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.438   1.38    348
