#Name                        ObsID  Instr  NH(10^20 cm^2)
1RXS_J2129.4-0741             3199 ACIS-I            4.36
MACS_J0011.7-1523             3261 ACIS-I            2.08
MACS_J0025.4-1222             3251 ACIS-I            2.70
MACS_J0025.4-1222             5010 ACIS-I            2.70
MACS_J0035.4-2015             3262 ACIS-I            1.55
MACS_J0047.3-0810             3263 ACIS-I            4.46
MACS_J0111.5+0855             3256 ACIS-I            4.18
MACS_J0140.0-0555             5013 ACIS-I            2.78
MACS_J0152.5-2852             3264 ACIS-I            1.46
MACS_J0159.0-3412             5818 ACIS-I            1.54
MACS_J0159.8-0849             3265 ACIS-I            2.01
MACS_J0257.1-2325             1654 ACIS-I            2.09
MACS_J0257.1-2325             3581 ACIS-I            2.09
MACS_J0257.6-2209             3267 ACIS-I            2.02
MACS_J0308.9+2645             3268 ACIS-I           12.13
MACS_J0326.8-0043             5810 ACIS-I            7.33
MACS_J0329.6-0211             3257 ACIS-I            6.21
MACS_J0329.7-0212             6108 ACIS-I            6.21
MACS_J0404.6+1109             3269 ACIS-I           14.96
MACS_J0417.5-1154             3270 ACIS-I            4.00
MACS_J0451.9+0006             5815 ACIS-I            7.65
MACS_J0455.2+0657             5812 ACIS-I           10.45
MACS_J0520.7-1328             3272 ACIS-I            8.88
MACS_J0553.4-3342             5813 ACIS-I            2.88
MACS_J0717.5+3745             1655 ACIS-I            6.75
MACS_J0717.5+3745             4200 ACIS-I            6.75
MACS_J0744.8+3927             3197 ACIS-I            4.66
MACS_J0744.8+3927             3585 ACIS-I            4.66
MACS_J0825.5+6157             3198 ACIS-I            4.16
MACS_J0911.2+1746             3587 ACIS-I            3.55
MACS_J1006.9+3200             5819 ACIS-I            1.83
MACS_J1105.7-1014             5817 ACIS-I            4.58
MACS_J1108.8+0906             3252 ACIS-I            2.52
MACS_J1108.8+0906             5009 ACIS-I            2.52
MACS_J1115.2+5320             3253 ACIS-I            0.98
MACS_J1115.2+5320             5008 ACIS-I            0.98
MACS_J1115.2+5320             5350 ACIS-I            0.98
MACS_J1131.8-1955             3276 ACIS-I            4.49
MACS_J1149.5+2223             1656 ACIS-I            2.32
MACS_J1149.5+2223             3589 ACIS-I            2.32
MACS_J1206.2-0847             3277 ACIS-I            4.15
MACS_J1226.8+2153             3590 ACIS-I            1.82
MACS_J1311.0-0310             3258 ACIS-I            2.18
MACS_J1359.1-1929             5811 ACIS-I            6.36
MACS_J1427.2+4407             6112 ACIS-I            1.41
MACS_J1542.0-2915             5820 ACIS-I            9.67
MACS_J1621.3+3810             3254 ACIS-I            1.07
MACS_J1621.6+3810             6172 ACIS-I            1.07
MACS_J1731.6+2252             3281 ACIS-I            6.48
MACS_J1824.3+4309             3255 ACIS-I            4.52
MACS_J2046.0-3430             5816 ACIS-I            4.98
MACS_J2049.9-3217             3283 ACIS-I            5.99
MACS_J2211.7-0349             3284 ACIS-I            5.86
MACS_J2214.9-1359             3259 ACIS-I            3.32
MACS_J2214.9-1359             5011 ACIS-I            3.32
MACS_J2219.1-1844             5814 ACIS-I            2.56
MACS_J2243.3-0935             3260 ACIS-I            4.12
MACS_J2245.0+2637             3287 ACIS-I            5.50
MACS_J911.2+1746              5012 ACIS-I            3.55
RX_J0647.7+7015               3196 ACIS-I            5.18
RX_J1720.3+3536               6107 ACIS-I            3.35
RX_J1720.3+3536               7225 ACIS-I            3.35
