#Cluster	RA		Dec		NH	kT	z	FX	LX	Halpha	Morph	Rcent	tcool	tchi	tclo	t50	t5hi	t5lo	t180	t18hi	t18lo
ABELL_0068	00:37:06.1	09:09:34	4.6	10.0	0.2546	5.5	14.89	?	R	41.3	24.0	10.6	10.8	24.0	10.6	10.8	57.5	0.0	22.6
ABELL_0115	00:55:50.9	26:24:35	5.2	9.8	0.1971	9.0	14.59	Y	D	17.4	1.6	0.2	0.2	4.0	0.7	0.6	23.0	5.8	4.1
ABELL_0115	00:55:59.4	26:20:13	5.2	9.8	0.1971	9.0	14.59	?	D	43.1	22.0	9.7	6.2	22.0	9.7	6.2	34.1	62.1	10.4
ABELL_0267	01:52:42.1	01:00:38	2.8	9.7	0.2300	6.2	13.71	N	R	36.9	25.1	4.2	13.1	25.1	4.2	13.1	22.0	20.7	6.7
ABELL_0520	04:54:09.8	02:55:16	7.4	9.8	0.2030	8.4	14.44	N	D	52.7	14.8	13.6	4.8	13.6	12.5	4.4	24.5	23.2	7.8
ABELL_0586	07:32:20.3	31:37:56	5.4	8.7	0.1710	9.1	11.12	N	R	30.2	8.8	4.3	2.0	8.8	4.3	2.0	15.8	4.3	2.8
ABELL_0665	08:30:58.0	65:50:54	4.0	8.3	0.1818	11.8	16.33	N	D	38.4	18.2	14.9	5.5	18.2	14.9	5.5	16.2	4.4	3.0
ABELL_0697	08:42:57.7	36:21:57	3.4	10.5	0.2820	5.0	16.30	N	R	43.6	28.4	5.2	12.7	28.4	5.2	12.7	25.3	21.5	8.4
ABELL_0750	09:09:12.2	10:58:36	3.6	8.1	0.1630	8.3	9.30	N	R	22.9	7.2	2.5	1.6	7.2	2.5	1.6	25.1	9.2	5.5
ABELL_0773	09:17:52.9	51:43:37	1.5	9.4	0.2170	6.7	13.08	N	R	33.1	24.8	11.6	15.8	24.8	11.6	15.8	63.4	0.0	24.4
ABELL_0781	09:20:25.4	30:30:13	1.9	10.8	0.2984	4.7	17.22	?	2	81.7	17.4	8.9	4.6	7.2	3.7	1.9	17.4	8.9	4.6
ABELL_0963	10:17:03.5	39:02:54	1.4	8.6	0.2060	5.9	10.41	N	R	20.8	4.5	0.9	0.7	4.5	0.9	0.7	23.1	6.0	4.5
ABELL_1204	11:13:20.4	17:35:38	1.4	7.5	0.1904	5.0	7.62	Y	R	9.5	1.1	0.3	0.2	2.1	0.4	0.3	15.4	2.2	1.8
