SEQ_NUM	OBSID	INSTR	GRAT	APP_EXP	EXP_TIME	TARGET_NAME	UPTARGET_NAME	PI_NAME	OBSERVER	RA	DEC	STATUS	START_DATE	PUBLIC_AVAIL	PR_NUM	CATEGORY	TYPE	AO	PR_TITLE	OBS_MODE	JOINT_OBS	COI_CONTACT	GAL_L	GAL_B
800252	3252	ACIS-I	NONE	10.0	10.08	MACS-J1108.8+0906	MACS-J1108.8+0906	VANSPEYBROECK		11 08 55.40	+09 06 00.00	archived	2002-11-17 04:20:02.0	2003-11-21 20:18:20.0	03800996	CLUSTERS OF GALAXIES	GTO	03	OBSERVATION OF MACS CLUSTERS, 0.45<Z<0.5, SECOND SET		None	N	244.76877896887862	59.81948572552448
800253	3253	ACIS-I	NONE	10.0	8.90	MACS-J1115.2+5320	MACS-J1115.2+5320	VANSPEYBROECK		11 15 14.90	+53 19 55.00	archived	2002-03-23 03:20:24.0	2003-03-29 11:52:35.0	03800996	CLUSTERS OF GALAXIES	GTO	03	OBSERVATION OF MACS CLUSTERS, 0.45<Z<0.5, SECOND SET		None	N	150.54605433969996	58.3317256282578
800310	3589	ACIS-I	NONE	20.0	20.31	MACS-J1149.5+2223	MACS-J1149.5+2223	VANSPEYBROECK		11 49 35.00	+22 24 10.80	archived	2003-02-07 19:41:30.0	2004-02-19 20:19:13.0	04800103	CLUSTERS OF GALAXIES	GTO	04	X-RAY/SZ DETERMINATION OF COSMOLOGICAL PARAMETERS		None	N	228.1629383604041	75.19812813283872
800311	3590	ACIS-I	NONE	20.0	19.26	MACS-J1226.8+2153	MACS-J1226.8+2153	VANSPEYBROECK		12 26 51.70	+21 52 25.00	archived	2003-12-13 20:49:46.0	2004-12-17 12:10:00.0	04800103	CLUSTERS OF GALAXIES	GTO	04	X-RAY/SZ DETERMINATION OF COSMOLOGICAL PARAMETERS		None	N	254.84269243147295	82.33007411765973
800258	3258	ACIS-I	NONE	15.0	15.12	MACS-J1311.0-0310	MACS-J1311.0-0310	VANSPEYBROECK		13 11 01.70	-03 10 41.00	archived	2002-12-15 06:00:08.0	2003-12-18 20:24:53.0	03800995	CLUSTERS OF GALAXIES	GTO	03	OBSERVATION OF MACS CLUSTERS, 0.45<Z<0.5		None	N	312.5512474973717	59.3273119479763
800254	3254	ACIS-I	NONE	10.0	9.98	MACS-J1621.3+3810	MACS-J1621.3+3810	VANSPEYBROECK		16 21 24.80	+38 10 09.00	archived	2002-10-18 01:53:32.0	2003-10-29 16:45:00.0	03800996	CLUSTERS OF GALAXIES	GTO	03	OBSERVATION OF MACS CLUSTERS, 0.45<Z<0.5, SECOND SET		None	N	60.94055976780779	45.05627055248844
800315	3594	ACIS-I	NONE	20.0	19.99	MACS-J1621.3+3810	MACS-J1621.3+3810	VANSPEYBROECK		16 21 24.00	+38 10 01.20	archived	2003-08-22 10:48:06.0	2004-08-25 20:16:27.0	04800103	CLUSTERS OF GALAXIES	GTO	04	X-RAY/SZ DETERMINATION OF COSMOLOGICAL PARAMETERS		None	N	60.93736984886028	45.0588146640618
800255	3255	ACIS-I	NONE	15.0	15.12	MACS-J1824.3+4309	MACS-J1824.3+4309	VANSPEYBROECK		18 24 17.60	+43 09 59.00	archived	2002-09-14 04:33:19.0	2003-09-18 06:20:36.0	03800996	CLUSTERS OF GALAXIES	GTO	03	OBSERVATION OF MACS CLUSTERS, 0.45<Z<0.5, SECOND SET		None	N	71.1134679104618	22.870596317763937
800199	3199	ACIS-I	NONE	20.0	20.12	MACS-J2129.4-0741	MACS-J2129.4-0741	VANSPEYBROECK		21 29 26.20	-07 41 27.00	archived	2002-12-23 04:31:47.0	2003-12-31 20:18:04.0	03800113	CLUSTERS OF GALAXIES	GTO	03	OBSERVATION OF MACS CLUSTERS, Z>0.5		None	N	45.3460743406606	-38.46447165152858
800316	3595	ACIS-I	NONE	20.0	20.14	MACS-J2129.4-0741	MACS-J2129.4-0741	VANSPEYBROECK		21 29 26.20	-07 41 27.60	archived	2003-10-18 06:20:27.0	2004-10-20 20:16:23.0	04800103	CLUSTERS OF GALAXIES	GTO	04	X-RAY/SZ DETERMINATION OF COSMOLOGICAL PARAMETERS		None	N	45.34588764915845	-38.46455171211458
