#Name		Th	Thhi	Thhlo	Lx	Lxerr	M500	M500hi	M500lo	r500	r500hi	r500lo	fgas	fgashi	fgaslo	Mg500	Mg500hi	Mg500lo	Lnir	Lnirerr
ABELL_2163	10.55	1.01	0.68	32.16	0.82	16.00	3.48	4.86	1.85	0.13	0.21	0.27	0.08	0.03	43.75	3.73	7.16	0.00	0.00
ABELL_2199	4.28	0.10	0.10	4.20	0.12	4.29	1.18	1.89	1.39	0.12	0.24	0.17	0.08	0.03	7.35	0.91	1.73	4.43	0.04
ABELL_2204	6.38	0.23	0.23	25.89	0.69	5.82	1.91	2.98	1.38	0.14	0.29	0.29	0.15	0.05	16.85	2.24	4.70	0.00	0.00
ABELL_2244	5.77	0.61	0.44	8.30	0.28	5.48	1.48	2.23	1.42	0.12	0.23	0.21	0.08	0.04	11.52	1.71	2.65	0.00	0.00
ABELL_2255	5.92	0.40	0.26	5.46	0.11	7.86	0.92	1.67	1.63	0.06	0.12	0.19	0.03	0.01	14.66	1.06	1.50	8.70	0.08
ABELL_2256	6.83	0.23	0.21	9.24	0.22	12.12	3.41	4.12	1.91	0.16	0.25	0.18	0.07	0.03	21.78	2.19	4.09	10.11	0.04
ABELL_2319	8.84	0.29	0.24	16.37	0.26	13.57	2.15	4.59	1.99	0.10	0.26	0.24	0.07	0.02	32.26	3.88	5.92	14.63	0.04
ABELL_2589	3.38	0.13	0.13	1.87	0.04	3.24	0.54	1.40	1.26	0.07	0.21	0.15	0.08	0.02	4.76	0.81	0.99	2.51	0.06
ABELL_2597	4.20	0.49	0.41	6.75	0.14	3.71	1.35	2.22	1.26	0.14	0.33	0.17	0.13	0.03	6.48	0.86	2.02	0.00	0.00
ABELL_2634	3.45	0.16	0.16	0.99	0.03	4.51	0.67	1.00	1.42	0.07	0.11	0.11	0.02	0.01	5.10	0.16	0.37	4.53	0.08
ABELL_2657	3.53	0.12	0.12	1.74	0.03	6.06	1.32	2.57	1.55	0.11	0.26	0.10	0.05	0.01	6.26	0.39	1.08	2.35	0.09
ABELL_2734	5.07	0.36	0.42	2.40	0.10	4.82	0.85	1.56	1.40	0.08	0.17	0.14	0.05	0.02	6.80	0.97	1.52	3.13	0.09
ABELL_2877	3.50	2.20	1.10	0.40	0.01	6.88	6.74	3.79	1.64	0.42	0.38	0.04	0.03	0.02	3.04	0.51	0.63	0.00	0.00
ABELL_3112	4.72	0.37	0.25	7.32	0.15	4.36	1.26	2.25	1.34	0.12	0.29	0.20	0.13	0.03	8.87	1.71	2.49	4.11	0.08
ABELL_3158	5.41	0.26	0.24	5.61	0.15	5.75	0.89	1.66	1.49	0.07	0.16	0.20	0.05	0.03	11.63	1.13	2.10	6.76	0.05
ABELL_3266	7.72	0.35	0.28	8.62	0.11	19.24	4.76	7.58	2.23	0.17	0.34	0.14	0.05	0.02	27.35	1.97	4.39	7.79	0.06
ABELL_3376	4.43	0.39	0.38	2.16	0.05	6.77	1.55	1.99	1.60	0.11	0.17	0.13	0.04	0.02	8.70	0.86	1.50	3.81	0.04
ABELL_3391	5.89	0.45	0.33	2.64	0.08	6.04	0.74	1.69	1.53	0.06	0.16	0.14	0.03	0.01	8.63	0.52	1.11	5.84	0.09
ABELL_3395n	5.11	0.47	0.43	1.63	0.11	8.13	5.53	4.69	1.69	0.32	0.42	0.10	0.12	0.07	8.24	2.20	5.34	0.00	0.00
ABELL_3395s	5.55	0.89	0.65	2.12	0.13	9.48	4.35	4.29	1.78	0.24	0.32	0.10	0.09	0.04	9.39	2.49	3.88	5.61	0.06
ABELL_3526	3.69	0.05	0.04	1.19	0.04	3.41	0.60	1.36	1.32	0.07	0.20	0.11	0.04	0.01	3.83	0.39	0.75	3.66	0.16
ABELL_3528n	4.79	0.50	0.44	1.56	0.06	4.49	0.78	1.53	1.38	0.08	0.18	0.12	0.04	0.02	5.33	0.67	1.18	0.00	0.00
ABELL_3528s	4.60	0.49	0.27	2.20	0.06	2.76	0.39	0.44	1.17	0.05	0.07	0.20	0.03	0.02	5.56	0.51	0.73	0.00	0.00
ABELL_3530	4.05	0.32	0.30	1.21	0.06	4.34	1.09	1.27	1.37	0.11	0.15	0.12	0.05	0.04	5.22	0.89	1.38	0.00	0.00
ABELL_3532	4.41	0.19	0.18	2.20	0.06	6.63	1.17	2.84	1.57	0.09	0.27	0.12	0.08	0.01	8.11	0.68	1.38	0.00	0.00
ABELL_3558	5.37	0.17	0.15	6.56	0.04	6.71	0.91	2.12	1.59	0.07	0.19	0.22	0.05	0.02	14.60	0.84	2.35	11.10	0.06
ABELL_3560	3.90	1.81	1.23	1.57	0.06	2.77	1.85	1.26	1.18	0.22	0.22	0.17	0.06	0.04	4.61	1.52	1.36	6.50	0.27
ABELL_3562	4.47	0.23	0.21	3.08	0.05	3.51	0.43	0.91	1.28	0.05	0.12	0.20	0.04	0.02	7.07	0.50	1.10	3.23	0.08
ABELL_3571	6.80	0.21	0.18	8.08	0.11	8.76	1.69	3.43	1.75	0.10	0.27	0.19	0.07	0.02	16.45	1.36	2.93	0.00	0.00
ABELL_3581	1.83	0.04	0.02	0.60	0.03	0.93	0.19	0.38	0.84	0.05	0.14	0.15	0.07	0.03	1.41	0.29	0.41	1.22	0.09
ABELL_3627	5.62	0.12	0.11	3.59	0.18	4.92	0.67	0.91	1.48	0.06	0.10	0.19	0.05	0.04	9.57	1.37	2.14	0.00	0.00
ABELL_3667	6.28	0.27	0.26	9.48	0.11	5.28	0.52	1.15	1.46	0.05	0.11	0.30	0.03	0.01	16.04	1.15	2.22	8.65	0.06
ABELL_3695	6.76	3.12	2.14	5.89	0.89	7.03	4.66	4.22	1.55	0.29	0.41	0.18	0.18	0.12	12.82	6.66	7.84	0.00	0.00
ABELL_3822	5.12	0.43	0.31	4.83	0.58	4.69	1.19	1.46	1.37	0.11	0.16	0.19	0.13	0.08	9.07	2.53	4.06	5.38	0.10
ABELL_3827	7.66	3.54	2.42	7.94	0.78	15.50	13.81	9.76	2.01	0.48	0.56	0.13	0.19	0.08	19.88	11.11	11.45	0.00	0.00
ABELL_3888	8.68	4.01	2.75	10.09	0.39	29.81	24.98	21.73	2.38	0.54	0.84	0.07	0.13	0.03	21.97	3.60	6.63	0.00	0.00
ABELL_3921	5.39	0.38	0.35	4.83	0.14	6.59	1.50	2.32	1.51	0.11	0.20	0.16	0.06	0.03	10.76	1.41	2.05	0.00	0.00
ABELL_4038	3.22	0.10	0.10	1.92	0.04	2.58	0.49	1.05	1.18	0.07	0.19	0.16	0.08	0.03	4.14	0.61	0.92	2.85	0.06
ABELL_4059	3.94	0.15	0.15	2.80	0.06	4.41	1.14	2.03	1.39	0.11	0.26	0.14	0.08	0.02	6.17	0.79	1.40	3.12	0.10
AWM7		3.70	0.08	0.05	2.10	0.07	4.92	1.21	2.26	1.48	0.11	0.27	0.12	0.07	0.02	5.85	0.70	1.10	2.90	0.06
COMA		8.07	0.29	0.27	8.09	0.19	9.95	2.10	2.99	1.86	0.12	0.21	0.19	0.07	0.04	19.00	1.89	3.66	8.94	0.05
EXO_0422-086	2.90	0.90	0.60	2.03	0.21	2.72	1.71	1.45	1.19	0.21	0.27	0.14	0.13	0.06	3.68	2.04	1.75	1.63	0.08
FORNAX		1.56	0.05	0.07	0.08	0.01	1.29	0.44	0.55	0.96	0.10	0.16	0.04	0.02	0.01	0.46	0.11	0.14	0.00	0.00
HCG94		3.30	0.17	0.16	1.28	0.02	2.25	0.24	0.60	1.11	0.04	0.11	0.15	0.03	0.01	3.41	0.18	0.49	2.51	0.11
HYDRA_A		3.82	0.20	0.17	5.84	0.04	4.07	1.27	2.14	1.34	0.13	0.29	0.18	0.11	0.03	7.29	0.77	1.72	3.09	0.02
IIIZw54		3.00	1.39	0.95	0.83	0.10	3.76	2.82	2.26	1.33	0.27	0.35	0.08	0.12	0.05	2.95	1.97	1.72	0.00	0.00
IIZw108		4.28	1.98	1.35	1.98	0.24	3.85	2.60	2.00	1.32	0.25	0.28	0.15	0.11	0.07	5.65	2.88	2.73	0.00	0.00
M49		1.33	0.03	0.03	0.02	0.00	0.67	0.40	0.47	0.77	0.13	0.26	0.01	0.01	0.00	0.09	0.02	0.04	0.00	0.00
MKW3S		3.45	0.13	0.10	2.79	0.05	3.22	0.92	1.53	1.25	0.11	0.24	0.15	0.08	0.02	4.92	0.59	1.06	1.96	0.08
MKW_04		1.84	0.05	0.03	0.34	0.01	0.69	0.04	0.14	0.76	0.01	0.06	0.15	0.02	0.01	1.05	0.07	0.15	1.71	0.23
MKW8		3.29	0.23	0.22	0.79	0.11	2.00	0.46	0.59	1.08	0.08	0.12	0.11	0.08	0.06	2.22	1.11	1.29	2.13	0.08
NGC1550		1.44	0.03	0.02	0.28	0.02	0.68	0.14	0.24	0.77	0.05	0.10	0.12	0.07	0.04	0.79	0.29	0.33	0.00	0.00
NGC4636		0.66	0.03	0.01	0.02	0.00	0.18	0.03	0.06	0.49	0.03	0.07	0.04	0.03	0.02	0.08	0.04	0.04	0.00	0.00
NGC499		0.66	0.02	0.03	0.04	0.00	0.33	0.25	0.23	0.60	0.12	0.20	0.03	0.04	0.01	0.08	0.02	0.03	0.00	0.00
NGC5044		1.22	0.04	0.04	0.18	0.00	0.49	0.12	0.25	0.69	0.05	0.15	0.09	0.04	0.01	0.45	0.05	0.14	0.00	0.00
NGC507		1.40	0.04	0.07	0.23	0.00	0.46	0.02	0.07	0.67	0.01	0.04	0.15	0.02	0.01	0.68	0.04	0.08	1.94	0.16
NGC5813		0.76	0.19	0.19	0.02	0.00	0.43	0.45	0.33	0.66	0.18	0.26	0.01	0.05	0.01	0.06	0.07	0.04	0.00	0.00
NGC5846		0.64	0.04	0.03	0.01	0.00	0.18	0.11	0.12	0.49	0.08	0.16	0.03	0.03	0.01	0.05	0.02	0.02	0.00	0.00
OPHIUCHUS	10.25	0.30	0.36	12.14	0.39	38.76	21.59	24.11	2.91	0.46	0.81	0.07	0.09	0.02	28.60	2.89	6.11	0.00	0.00
