# Cluster                  ObsID BgdCCD     ObsCts    DeepCts    Obs/Qui   Deep/Qui   Obs/Deep   Location
#tsm_ESO_5520200                 3206     na     0.0638     0.0454     0.2302     0.1637     1.4062   NAZGUL
HERCULES_A                  1625     na     0.0785     0.0369     0.0728     0.0343     2.1249   NAZGUL
#tsm_HYDRA_A                     4970     na     0.0543     0.0386     0.0504     0.0359     1.4056   NAZGUL
MACS_J0011.7-1523           6105     na     0.0593     0.0439     0.2139     0.1584     1.3501   NAZGUL
MACS_J0242.5-2132           3266     na     0.0616     0.0476     0.2222     0.1716     1.2949   NAZGUL
MACS_J0329.6-0211           3257     na     0.0942     0.0454     0.3397     0.1638     2.0737   MBRANE
MACS_J0329.6-0211           6108     na     0.0872     0.0437     0.3147     0.1577     1.9957   MBRANE
MACS_J0429.6-0253           3271     na     0.0585     0.0460     0.2110     0.1659     1.2718   NAZGUL
MACS_J0451.9+0006           5815     na     0.0932     0.0490     0.3361     0.1767     1.9018   MBRANE
MACS_J0717.5+3745           1655     na     0.1061     0.0669     0.2623     0.1653     1.5867   MBRANE
MACS_J0717.5+3745           4200     na     0.0566     0.0436     0.2041     0.1573     1.2977   MBRANE
MACS_J1131.8-1955           3276     na     0.0635     0.0481     0.2290     0.1736     1.3195   MBRANE
MACS_J1319+7003             3278     na     0.0863     0.0465     0.3114     0.1678     1.8554   NAZGUL
MACS_J1427.6-2521           3279     na     0.0676     0.0475     0.2438     0.1713     1.4234   NAZGUL
MACS_J1621.3+3810           3594     na     0.1064     0.0491     0.3837     0.1772     2.1657   MBRANE
MACS_J1931.8-2634           3282     na     0.0949     0.0475     0.3423     0.1713     1.9986   NAZGUL
MACS_J2214.9-1359           5011     na     0.0629     0.0482     0.2269     0.1739     1.3048   MBRANE
MACS_J2245.0+2637           3287     na     0.0595     0.0470     0.2147     0.1695     1.2668   MBRANE
MACS_J2311+0338             3288     na     0.1245     0.0468     0.4491     0.1687     2.6621   NAZGUL
#tsm_MKW_04                      3234     na     0.0983     0.0424     0.0913     0.0394     2.3196   NAZGUL
MS_0440.5+0204              4196     na     0.0650     0.0410     0.0603     0.0381     1.5846   NAZGUL
MS_0839.8+2938              2224     na     0.1384     0.0651     0.1050     0.0494     2.1262   NAZGUL
MS_1008.1-1224               926     na     0.0892     0.0669     0.2534     0.1901     1.3328   NAZGUL
#tsm_OPHIUCHUS                   3200     na     0.5192     0.0641     0.3940     0.0486     8.1026   NAZGUL
RX_J1504.1-0248             5793     na     0.0644     0.0427     0.2324     0.1541     1.5082   NAZGUL
RX_J1525+0958               1664     na     0.0738     0.0425     0.2661     0.1534     1.7349   NAZGUL
