# Model: wabs(mekal) for r5000 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = no; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
ABELL_0907                  3185   0.00   2.26 83.79 46.94 127.75  4.60  4.06  5.14  0.25  0.25  0.25   1.09e-02   9.76e-03   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.255   91.4   1.21    248
ABELL_0963                   903   0.00   2.03 40.68  0.00 84.75  6.91  5.92  8.05  0.34  0.34  0.34   6.70e-03   6.10e-03   7.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.189   77.0   1.04    193
ABELL_1068                  1652   0.00   2.16  0.00  0.00 21.11  4.63  4.17  5.12  0.42  0.42  0.42   9.07e-03   8.75e-03   9.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.278   82.1   0.88    188
ABELL_1204                  2205   0.00   1.78 44.08  0.00 132.88  3.40  2.83  4.07  0.35  0.35  0.35   8.69e-03   7.13e-03   1.16e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.164   94.0   1.13    123
ABELL_1361                  2200   0.00   2.54  0.00  0.00 55.27  8.97  5.42 18.24  0.61  0.61  0.61   4.85e-03   4.39e-03   5.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.204   72.6   1.02     25
ABELL_1413                  5003   0.00   2.79 66.16 43.25 89.84  6.99  6.34  7.74  0.21  0.21  0.21   1.50e-02   1.41e-02   1.60e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.380   91.6   0.93    297
ABELL_1423                   538   0.00   2.24  0.00  0.00 161.52  6.21  3.79  8.68  0.30  0.30  0.30   3.75e-03   3.34e-03   6.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.094   84.9   1.10     36
ABELL_1650                  4178   0.00   2.94  1.32  0.00 26.15  6.00  5.40  6.44  0.40  0.40  0.40   1.83e-02   1.78e-02   1.97e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.716   79.7   0.97    274
ABELL_1651                  4185   0.00   4.47 24.04  0.00 66.72  6.21  5.21  7.35  0.32  0.32  0.32   2.33e-02   2.13e-02   2.65e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.837   89.6   1.14    215
ABELL_1664                  1648   0.00   2.19  0.24  0.00 105.04  4.45  3.27  5.30  0.11  0.11  0.11   7.95e-03   7.31e-03   1.16e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.224   72.4   1.01     78
ABELL_1682                  3244   0.00   2.19 160.56  5.02 437.93 79.90  7.94 79.90  0.30  0.30  0.30   3.83e-03   3.07e-03   4.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.090   81.7   1.26     19
ABELL_1689                  5004   0.00   2.74 63.75 30.50 95.80  9.90  8.50 11.96  0.25  0.25  0.25   2.01e-02   1.88e-02   2.16e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.599   94.1   1.14    244
ABELL_1758                  2213   0.00   1.78 109.09 42.86 175.82  7.44  6.13  9.48  0.20  0.20  0.20   5.04e-03   4.36e-03   5.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.106   63.7   0.92    166
ABELL_1763                  3591   0.00   2.24  0.00  0.00 45.55 10.67  7.92 15.79  0.16  0.16  0.16   4.85e-03   4.59e-03   5.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.155   86.6   1.06    101
ABELL_1835                   495   0.00   1.87  1.89  0.00 34.66 10.01  8.95 11.28  0.36  0.36  0.36   1.57e-02   1.52e-02   1.66e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.465   94.0   0.94    210
ABELL_1942                  3290   0.00   1.68 145.93 44.34 374.11  3.30  2.25  5.01  0.27  0.27  0.27   2.06e-03   1.24e-03   4.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.025   71.1   1.02     63
ABELL_1991                  3193   0.00   2.88 41.28  0.00 99.07  2.12  1.91  2.36  0.30  0.30  0.30   1.20e-02   9.99e-03   1.49e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.229   67.7   1.26    212
ABELL_2029                  4977   0.00   3.00  0.00  0.00  0.78  7.37  7.22  7.53  0.42  0.42  0.42   5.78e-02   5.74e-02   5.81e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  2.505   91.6   2.48    328
ABELL_2029                  6101   0.00   5.00 29.97 13.12 46.97  8.15  7.44  8.97  0.42  0.42  0.42   6.70e-02   6.43e-02   6.99e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  2.651   95.3   1.01    308
ABELL_2034                  2204   0.00   3.47 44.55 19.34 73.81  7.08  6.17  8.06  0.29  0.29  0.29   1.09e-02   1.02e-02   1.19e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.362   86.5   1.01    296
ABELL_2104                   895   0.00   2.45 54.82 24.78 85.70  7.27  6.42  8.32  0.32  0.32  0.32   8.23e-03   7.65e-03   8.90e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.267   69.2   0.98    260
ABELL_2111                   544   0.00   2.06 194.98  0.00 769.71  3.34  1.49 12.89  0.30  0.30  0.30   3.27e-03   0.00e+00   2.31e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.039   76.8   0.75     18
ABELL_2124                  3238   0.00   2.77 73.17  0.00 201.76  3.66  2.62  5.31  0.30  0.30  0.30   4.33e-03   3.18e-03   6.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.126   41.7   1.44    105
ABELL_2147                  3211   0.00   7.77 80.64 39.32 123.10  3.35  2.95  3.88  0.35  0.35  0.35   2.36e-02   2.02e-02   2.76e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  0.604   68.9   1.08    278
ABELL_2163                  1653   0.00   3.21 32.86  0.00 58.03 14.04 11.46 20.60  0.22  0.22  0.22   2.38e-02   2.25e-02   2.51e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  0.760   92.6   1.32    315
ABELL_2199                   497   0.00   2.89  0.00  0.00  7.97  4.14  3.98  4.29  0.43  0.43  0.43   4.68e-02   4.60e-02   4.83e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  1.890   93.3   1.50    296
ABELL_2204                   499   0.00   2.66 44.80 13.85 76.41  6.43  5.75  7.23  0.38  0.38  0.38   3.31e-02   3.07e-02   3.59e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  1.061   89.3   1.09    220
ABELL_2204                  6104   0.00   3.02 90.63 53.54 132.20  6.08  5.23  7.04  0.30  0.30  0.30   3.56e-02   3.22e-02   4.02e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.987   95.7   1.01    221
ABELL_2218                  1666   0.00   2.37  0.00  0.00 26.17  9.41  8.11 10.95  0.30  0.30  0.30   5.94e-03   5.76e-03   6.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.196   89.6   0.91    217
ABELL_2219                   896   0.00   2.31  7.24  0.00 36.58 12.88 10.91 15.46  0.27  0.27  0.27   1.27e-02   1.23e-02   1.34e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  0.406   83.1   0.99    265
ABELL_2244                  4179   0.00   2.96 21.93  0.76 43.42  5.21  4.82  5.66  0.29  0.29  0.29   1.97e-02   1.85e-02   2.11e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  0.662   78.7   1.08    307
ABELL_2255                   894   0.00   4.45  0.00  0.00  3.23 38.99 30.53 54.52  0.25  0.25  0.25   1.12e-02   1.10e-02   1.17e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.458  100.0   1.77    295
ABELL_2259                  3245   0.00   2.11  0.11  0.00 94.29  5.54  4.12  7.29  0.30  0.30  0.30   5.32e-03   4.80e-03   7.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.143   88.4   0.78     53
