# Cluster             ObsID    Tx1    Tx2    Eta    RealCTR    FakeCTR      Norm1      Norm2      N2/N1
ABELL_0209              522   7.30   1.00   0.80   0.661000   0.683200  5.168e-03  1.503e-03     0.2908
ABELL_0209              522   7.30   1.00   0.85   0.661000   0.686000  5.491e-03  8.796e-04     0.1602
ABELL_0209              522   7.30   1.00   0.90   0.661000   0.681700  5.814e-03  6.153e-04     0.1058
ABELL_0209              522   7.30   1.00   0.95   0.661000   0.688700  6.137e-03  2.363e-04     0.0385
ABELL_0209              522   7.30   1.00   0.96   0.661000   0.716800  6.202e-03  9.019e-05     0.0145
ABELL_0209              522   7.30   1.00   0.97   0.661000   0.712300  6.266e-03  7.137e-05     0.0114
ABELL_0209              522   7.30   1.00   0.98   0.661000   0.726900  6.331e-03  1.442e-04     0.0228
ABELL_0209              522   7.30   1.00   0.99   0.661000   0.724700  6.395e-03  1.009e-04     0.0158
ABELL_0267             1448   6.70   0.50   0.80   0.430000   0.436400  3.464e-03  6.515e-04     0.1881
ABELL_0267             1448   6.70   0.50   0.85   0.430000   0.445800  3.681e-03  3.813e-04     0.1036
ABELL_0267             1448   6.70   0.50   0.90   0.430000   0.458000  3.897e-03  8.130e-05     0.0209
ABELL_0267             1448   6.70   0.50   0.95   0.430000   0.495100  4.114e-03  1.791e-05     0.0044
ABELL_0267             1448   6.70   0.50   0.96   0.430000   0.487000  4.157e-03  8.306e-05     0.0200
ABELL_0267             1448   6.70   0.50   0.97   0.430000   0.488100  4.200e-03  5.728e-05     0.0136
ABELL_0267             1448   6.70   0.50   0.98   0.430000   0.483700  4.243e-03  1.692e-05     0.0040
ABELL_0267             1448   6.70   0.50   0.99   0.430000   0.519900  4.287e-03  3.966e-06     0.0009
ABELL_0267             1448   6.70   0.75   0.80   0.430000   0.448100  3.464e-03  4.599e-04     0.1328
ABELL_0267             1448   6.70   0.75   0.85   0.430000   0.450600  3.681e-03  2.444e-04     0.0664
ABELL_0267             1448   6.70   0.75   0.90   0.430000   0.469700  3.897e-03  6.849e-05     0.0176
ABELL_0267             1448   6.70   0.75   0.95   0.430000   0.473500  4.114e-03  1.791e-05     0.0044
ABELL_0267             1448   6.70   0.75   0.96   0.430000   0.471800  4.157e-03  9.985e-06     0.0024
ABELL_0267             1448   6.70   0.75   0.97   0.430000   0.481200  4.200e-03  1.336e-05     0.0032
ABELL_0267             1448   6.70   0.75   0.98   0.430000   0.510400  4.243e-03  1.305e-05     0.0031
ABELL_0267             1448   6.70   0.75   0.99   0.430000   0.502900  4.287e-03  4.699e-06     0.0011
ABELL_0267             1448   6.70   1.00   0.80   0.430000   0.445000  3.464e-03  4.486e-04     0.1295
ABELL_0267             1448   6.70   1.00   0.85   0.430000   0.451100  3.681e-03  2.759e-04     0.0750
ABELL_0267             1448   6.70   1.00   0.90   0.430000   0.474500  3.897e-03  1.087e-04     0.0279
ABELL_0267             1448   6.70   1.00   0.95   0.430000   0.491600  4.114e-03  2.250e-05     0.0055
ABELL_0267             1448   6.70   1.00   0.96   0.430000   0.493500  4.157e-03  7.463e-06     0.0018
