# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
ABELL_0611                  3194   0.02   2.25  4.99  0.00  0.00  7.06  6.58  7.61  0.35  0.25  0.46   3.58e-03   3.49e-03   3.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.457   54.2   0.97    238
ABELL_0665                  3586   0.02   3.56  4.24  0.00  0.00  7.45  7.11  7.83  0.31  0.24  0.37   1.02e-02   1.00e-02   1.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  1.057   87.7   1.02    343
ABELL_0697                  4217   0.02   2.66  3.34  0.00  0.00  9.52  8.76 10.39  0.37  0.26  0.49   7.40e-03   7.22e-03   7.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.699   89.4   1.08    248
ABELL_0773                  5006   0.02   3.13  1.46  0.00  0.00  7.83  7.26  8.49  0.44  0.32  0.56   6.25e-03   6.08e-03   6.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.648   84.0   1.06    242
ABELL_0907                  3185   0.43   3.19  5.69  0.00  0.00  5.62  5.45  5.80  0.42  0.37  0.48   7.62e-03   7.50e-03   7.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.826   88.4   1.13    364
ABELL_0963                   903   0.02   2.87  1.39  0.00  0.00  6.73  6.43  7.05  0.29  0.21  0.36   6.43e-03   6.31e-03   6.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.968   64.9   1.06    325
ABELL_1063S                 4966   0.21   2.92  1.77  0.00  0.00 11.96 11.17 12.84  0.38  0.29  0.47   1.15e-02   1.13e-02   1.17e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  1.028   90.6   1.02    339
ABELL_1204                  2205   0.02   2.52  1.44  0.00  0.00  3.63  3.47  3.81  0.31  0.22  0.40   4.70e-03   4.53e-03   4.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.484   88.3   1.06    196
ABELL_1423                   538   0.02   3.17  1.60  0.00  0.00  6.01  5.37  6.76  0.30  0.13  0.48   4.22e-03   4.02e-03   4.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.452   78.3   0.87    138
ABELL_1651                  4185   0.74   6.55  2.02  0.00  0.00  6.26  5.99  6.56  0.42  0.33  0.51   2.29e-02   2.24e-02   2.34e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  2.836   86.6   1.19    328
ABELL_1689              540+1663+5004   0.03   3.81  1.87  0.00  0.00  9.48  9.13  9.86  0.36  0.31  0.42   1.52e-02   1.50e-02   1.55e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  1.739   91.1   1.13    926
ABELL_1758                  2213   0.20   2.51  1.09  0.00  0.00 12.14 11.22 13.29  0.56  0.43  0.69   4.95e-03   4.84e-03   5.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.686   58.3   1.21    344
ABELL_1763                  3591   0.02   3.17  0.82  0.00  0.00  7.78  7.18  8.45  0.25  0.15  0.36   6.17e-03   6.01e-03   6.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.656   84.7   1.12    236
ABELL_1835                   495   0.02   2.64  2.36  0.00  0.00  9.77  9.25 10.34  0.31  0.24  0.39   1.34e-02   1.33e-02   1.36e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  1.955   86.5   0.98    336
ABELL_1914                  3593   0.02   4.00  0.97  0.00  0.00  9.62  9.13 10.17  0.30  0.23  0.38   1.83e-02   1.80e-02   1.86e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  1.984   92.0   1.07    356
ABELL_1942                  3290   0.23   2.37  2.75  0.00  0.00  4.77  4.42  5.15  0.33  0.19  0.45   1.45e-03   1.39e-03   1.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.137   70.1   1.06    188
ABELL_1995                   906   0.26   1.36  1.44  0.00  0.00  8.37  7.76  9.07  0.39  0.28  0.51   2.38e-03   2.32e-03   2.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3186  0.328   74.6   1.02    217
ABELL_2034                  2204   0.03   4.91  1.58  0.00  0.00  7.15  6.93  7.38  0.32  0.27  0.37   1.18e-02   1.17e-02   1.19e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  1.425   84.6   1.22    413
ABELL_2069                  4965   0.39   4.95  1.97  0.00  0.00  6.50  6.21  6.83  0.26  0.19  0.34   7.18e-03   7.05e-03   7.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.766   71.4   1.04    389
ABELL_2111                   544   0.02   2.90  2.20  0.00  0.00  7.13  6.18  8.42  0.13  0.00  0.32   3.77e-03   3.59e-03   3.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.395   76.3   1.06    135
ABELL_2125                  2207   0.02   1.60  2.75  0.00  0.00  2.88  2.61  3.18  0.31  0.15  0.49   5.58e-04   5.06e-04   6.11e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.047   61.8   1.26    129
ABELL_2163                  1653   0.29   4.54 12.04  0.00  0.00 19.20 18.40 20.07  0.10  0.04  0.16   2.72e-02   2.69e-02   2.75e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  2.470   90.0   1.37    428
ABELL_2204                  6104   0.46   4.27  5.84  0.00  0.00  8.65  8.13  9.23  0.37  0.28  0.47   2.15e-02   2.10e-02   2.19e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  2.353   90.0   0.95    316
ABELL_2218                  1666   0.29   3.34  3.12  0.00  0.00  7.35  7.00  7.74  0.22  0.16  0.29   7.21e-03   7.10e-03   7.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.770   87.6   1.01    346
ABELL_2255                   894   0.05   6.29  2.53  0.00  0.00  6.12  5.93  6.32  0.30  0.24  0.36   1.45e-02   1.43e-02   1.47e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  1.777   76.8   1.13    422
ABELL_2259                  3245   0.02   2.97  3.70  0.00  0.00  5.18  4.79  5.64  0.41  0.27  0.55   5.86e-03   5.61e-03   6.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.622   85.6   1.05    160
ABELL_2261                  5007   0.02   2.88  3.31  0.00  0.00  7.63  7.20  8.10  0.36  0.28  0.44   8.59e-03   8.42e-03   8.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.853   90.1   0.99    299
ABELL_2294                  3246   0.28   3.34  6.10  0.00  0.00  9.98  8.86 11.41  0.53  0.32  0.74   6.72e-03   6.46e-03   6.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.731   82.8   1.07    187
ABELL_2384                  4202   0.04   4.19  2.99  0.00  0.00  4.75  4.55  4.97  0.23  0.16  0.30   6.74e-03   6.59e-03   6.90e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.759   81.6   1.06    311
ABELL_2409                  3247   0.02   3.42  6.72  0.00  0.00  5.94  5.56  6.37  0.37  0.26  0.50   9.10e-03   8.80e-03   9.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.948   88.3   1.13    201
