# Custom: see config file for specs; E/Cts Range = 0.7 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_0521                   430   0.21   1.75  6.17  0.00  0.00  7.31  6.67  8.10  0.48  0.32  0.65   2.67e-03   2.57e-03   2.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.369   55.4   1.11    188
ABELL_0586                   530   0.29   2.70  4.71  0.00  0.00  6.43  5.94  6.98  0.50  0.35  0.65   6.77e-03   6.51e-03   7.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.769   87.9   0.88    178
ABELL_0611                  3194   0.02   1.59  4.99  0.00  0.00  6.79  6.33  7.30  0.32  0.22  0.42   3.16e-03   3.08e-03   3.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.401   67.3   1.04    209
ABELL_0644                  2211   0.62   5.14  6.31  0.00  0.00  7.81  7.62  8.01  0.42  0.38  0.47   3.24e-02   3.21e-02   3.27e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  4.004   92.5   1.15    419
ABELL_0665                  3586   0.02   2.52  4.24  0.00  0.00  7.35  6.98  7.75  0.29  0.22  0.36   8.06e-03   7.92e-03   8.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.836   91.7   1.07    316
ABELL_0697                  4217   0.27   1.75  3.34  0.00  0.00  9.80  8.94 10.79  0.48  0.35  0.61   5.98e-03   5.82e-03   6.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.577   93.6   1.06    220
ABELL_0773                  5006   0.33   2.14  1.46  0.00  0.00  8.09  7.44  8.84  0.37  0.25  0.49   5.30e-03   5.16e-03   5.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.546   89.9   1.03    211
ABELL_0907                  3185   0.43   2.26  5.69  0.00  0.00  5.62  5.44  5.81  0.46  0.40  0.52   6.66e-03   6.55e-03   6.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.732   92.8   1.18    337
ABELL_0963                   903   0.02   2.03  1.39  0.00  0.00  6.97  6.65  7.32  0.29  0.22  0.37   5.54e-03   5.44e-03   5.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.839   74.6   1.13    299
ABELL_1063S                 4966   0.21   2.06  1.77  0.00  0.00 11.94 11.14 12.85  0.38  0.29  0.48   1.06e-02   1.04e-02   1.08e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.957   94.4   1.01    325
