#Model: mekal; Energy band: 0.5 keV --> 1.5 keV; Fe-frozen? yes; Tx-frozen? yes
#Confidence Level: 1.0; Systematic error: 0.00; Cosmo: 70, 0.3, 0.7
#Name                      ObsID     Tx    Tlo    Thi     Fe   Felo   Fehi       norm     normlo     normhi    Tx2   Tlo2   Thi2      norm2    normlo2    normhi2       area        ctr  chisq    dof
ABELL_3562                  4167   0.20   0.00   0.00   1.00   1.00   1.00   2.48e-04   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.02e+05   5.78e-02  23.47     22
CL_0024+17                   929   0.20   0.00   0.00   1.00   1.00   1.00   5.73e-06   3.73e-06   7.72e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.14e+05   6.37e-03   1.85     20
CL_J1213+0253               4934   0.20   0.00   0.00   1.00   1.00   1.00   0.00e+00   0.00e+00   6.31e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.04e+05  -3.60e-05   1.54      8
HERCULES_A                  1625   0.20   0.00   0.00   1.00   1.00   1.00   5.71e-05   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.46e+05   3.28e-02  12.72     10
MACS_J0011.7-1523           6105   0.20   0.00   0.00   1.00   1.00   1.00   0.00e+00   0.00e+00   1.12e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.50e+05   1.01e-04   2.36     17
MACS_J0242.5-2132           3266   0.20   0.00   0.00   1.00   1.00   1.00   0.00e+00   0.00e+00   5.33e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.35e+05   9.35e-04   2.01      4
MACS_J0329.6-0211           3257   0.20   0.00   0.00   1.00   1.00   1.00   4.97e-05   3.24e-05   6.70e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.87e+05   1.03e-02   1.50     12
MACS_J0329.6-0211           6108   0.20   0.00   0.00   1.00   1.00   1.00   4.20e-05   3.25e-05   5.14e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.44e+05   9.16e-03   1.64     36
MACS_J0429.6-0253           3271   0.20   0.00   0.00   1.00   1.00   1.00   2.65e-05   1.63e-05   3.68e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.06e+05   2.98e-03   0.52     10
MACS_J0451.9+0006           5815   0.20   0.00   0.00   1.00   1.00   1.00   2.35e-04   2.12e-04   2.57e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.67e+05   3.03e-02   2.49     15
