# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF TloBF ThiBF   N/BF Nlo/BF Nhi/BF       z     Cr   Junk  chisq    dof
1RXS_J2129.4-0741           3199    1.0   0.85  4.36  0.00  0.00  6.45  5.65  7.45  0.57  0.37  0.80   1.73e-03   1.62e-03   1.83e-03  0.78  0.78  0.79  0.929  0.921  0.933  0.5700  0.120      0   0.92     76
1RXS_J2129.4-0741           3199    1.0    0.8  4.36  0.00  0.00  4.94  4.34  5.70  0.70  0.47  0.97   1.66e-03   1.55e-03   1.78e-03  0.60  0.60  0.61  0.895  0.880  0.906  0.5700  0.115      0   1.48     75
1RXS_J2129.4-0741           3199    0.5   0.95  4.36  0.00  0.00  7.35  6.36  8.59  0.39  0.20  0.60   1.75e-03   1.65e-03   1.85e-03  0.89  0.88  0.91  0.939  0.939  0.945  0.5700  0.120      0   0.97     76
1RXS_J2129.4-0741           3199    0.5   0.96  4.36  0.00  0.00  7.05  6.07  8.28  0.39  0.19  0.59   1.77e-03   1.67e-03   1.87e-03  0.86  0.84  0.88  0.952  0.948  0.955  0.5700  0.121      0   1.11     78
1RXS_J2129.4-0741           3199    0.5   0.97  4.36  0.00  0.00  7.58  6.54  8.91  0.54  0.32  0.78   1.71e-03   1.60e-03   1.81e-03  0.92  0.90  0.95  0.917  0.911  0.923  0.5700  0.123      0   1.31     80
1RXS_J2129.4-0741           3199    0.5   0.98  4.36  0.00  0.00  7.23  6.26  8.47  0.34  0.14  0.54   1.79e-03   1.70e-03   1.90e-03  0.88  0.86  0.90  0.964  0.964  0.968  0.5700  0.121      0   0.95     75
1RXS_J2129.4-0741           3199    0.5   0.99  4.36  0.00  0.00  9.84  8.08 12.25  0.10  0.00  0.30   1.91e-03   1.81e-03   2.00e-03  1.20  1.11  1.30  1.024  1.030  1.019  0.5700  0.127      0   1.11     81
1RXS_J2129.4-0741           3199    0.5    0.9  4.36  0.00  0.00  7.80  6.64  9.28  0.56  0.33  0.81   1.62e-03   1.52e-03   1.72e-03  0.95  0.91  0.99  0.873  0.863  0.877  0.5700  0.116      0   1.13     76
1RXS_J2129.4-0741           3199   0.75   0.95  4.36  0.00  0.00  7.85  6.79  9.21  0.35  0.16  0.55   1.82e-03   1.72e-03   1.92e-03  0.96  0.93  0.98  0.977  0.977  0.981  0.5700  0.125      0   1.08     80
1RXS_J2129.4-0741           3199   0.75   0.96  4.36  0.00  0.00  7.08  6.13  8.30  0.32  0.15  0.50   1.92e-03   1.81e-03   2.03e-03  0.86  0.84  0.88  1.032  1.031  1.033  0.5700  0.129      0   1.10     83
1RXS_J2129.4-0741           3199   0.75   0.97  4.36  0.00  0.00  6.24  5.49  7.24  0.48  0.29  0.68   1.84e-03   1.73e-03   1.94e-03  0.76  0.76  0.77  0.987  0.983  0.991  0.5700  0.125      0   1.09     78
1RXS_J2129.4-0741           3199   0.75   0.98  4.36  0.00  0.00  7.96  6.77  9.49  0.45  0.23  0.67   1.75e-03   1.65e-03   1.85e-03  0.97  0.93  1.01  0.940  0.935  0.941  0.5700  0.124      0   1.48     77
1RXS_J2129.4-0741           3199   0.75   0.99  4.36  0.00  0.00  7.85  6.79  9.19  0.45  0.24  0.66   1.88e-03   1.78e-03   1.98e-03  0.95  0.93  0.98  1.013  1.011  1.012  0.5700  0.131      0   0.99     83
1RXS_J2129.4-0741           3199   0.75    0.9  4.36  0.00  0.00  5.74  5.06  6.55  0.58  0.38  0.80   1.74e-03   1.64e-03   1.86e-03  0.70  0.70  0.70  0.938  0.932  0.948  0.5700  0.120      0   1.17     79
1RXS_J2129.4-0741           3199    1.0   0.95  4.36  0.00  0.00  6.16  5.45  7.06  0.40  0.23  0.59   1.93e-03   1.82e-03   2.03e-03  0.75  0.75  0.75  1.038  1.034  1.038  0.5700  0.129      0   1.05     81
1RXS_J2129.4-0741           3199    1.0   0.96  4.36  0.00  0.00  6.98  6.11  8.11  0.58  0.37  0.80   1.71e-03   1.61e-03   1.81e-03  0.85  0.84  0.86  0.919  0.915  0.925  0.5700  0.121      0   1.14     77
1RXS_J2129.4-0741           3199    1.0   0.97  4.36  0.00  0.00  7.19  6.23  8.38  0.37  0.18  0.56   1.88e-03   1.78e-03   1.98e-03  0.87  0.86  0.89  1.012  1.010  1.013  0.5700  0.126      0   0.81     78
1RXS_J2129.4-0741           3199    1.0   0.98  4.36  0.00  0.00  7.86  6.75  9.35  0.36  0.15  0.57   1.79e-03   1.70e-03   1.90e-03  0.96  0.93  0.99  0.964  0.964  0.970  0.5700  0.123      0   0.99     79
1RXS_J2129.4-0741           3199    1.0   0.99  4.36  0.00  0.00  7.07  6.23  8.10  0.42  0.24  0.62   1.95e-03   1.85e-03   2.06e-03  0.86  0.86  0.86  1.047  1.049  1.049  0.5700  0.133      0   0.80     83
1RXS_J2129.4-0741           3199    1.0    0.9  4.36  0.00  0.00  5.76  5.05  6.67  0.39  0.21  0.58   1.84e-03   1.73e-03   1.95e-03  0.70  0.70  0.71  0.988  0.986  0.994  0.5700  0.121      0   1.25     78
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.07  7.29  8.97  0.25  0.12  0.38   3.88e-03   3.75e-03   4.02e-03  0.88  0.85  0.91  0.983  0.971  0.996  0.4050  0.324      0   1.25    155
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  9.29  8.28 10.49  0.18  0.05  0.32   3.98e-03   3.84e-03   4.12e-03  1.01  0.97  1.06  1.007  0.995  1.019  0.4050  0.330      0   0.91    159
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  9.29  8.28 10.49  0.18  0.05  0.32   3.98e-03   3.84e-03   4.12e-03  1.01  0.97  1.06  1.007  0.995  1.019  0.4050  0.330      0   0.91    159
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  9.29  8.28 10.49  0.18  0.05  0.32   3.98e-03   3.84e-03   4.12e-03  1.01  0.97  1.06  1.007  0.995  1.019  0.4050  0.330      0   0.91    159
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  9.29  8.28 10.49  0.18  0.05  0.32   3.98e-03   3.84e-03   4.12e-03  1.01  0.97  1.06  1.007  0.995  1.019  0.4050  0.330      0   0.91    159
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.58  7.73  9.60  0.24  0.10  0.38   3.92e-03   3.79e-03   4.07e-03  0.94  0.91  0.97  0.994  0.982  1.006  0.4050  0.327      0   1.01    154
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.58  7.73  9.60  0.24  0.10  0.38   3.92e-03   3.79e-03   4.07e-03  0.94  0.91  0.97  0.994  0.982  1.006  0.4050  0.327      0   1.01    154
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.58  7.73  9.60  0.24  0.10  0.38   3.92e-03   3.79e-03   4.07e-03  0.94  0.91  0.97  0.994  0.982  1.006  0.4050  0.327      0   1.01    154
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.47  7.59  9.54  0.19  0.06  0.32   3.80e-03   3.67e-03   3.94e-03  0.92  0.89  0.97  0.962  0.952  0.975  0.4050  0.316      0   1.12    154
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.47  7.59  9.54  0.19  0.06  0.32   3.80e-03   3.67e-03   3.94e-03  0.92  0.89  0.97  0.962  0.952  0.975  0.4050  0.316      0   1.12    154
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  9.05  8.17 10.10  0.35  0.21  0.51   3.84e-03   3.71e-03   3.99e-03  0.99  0.96  1.02  0.973  0.961  0.986  0.4050  0.330      0   1.02    160
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.47  7.59  9.54  0.19  0.06  0.32   3.80e-03   3.67e-03   3.94e-03  0.92  0.89  0.97  0.962  0.952  0.975  0.4050  0.316      0   1.12    154
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.98  8.09 10.07  0.34  0.19  0.49   3.88e-03   3.74e-03   4.02e-03  0.98  0.95  1.02  0.983  0.970  0.994  0.4050  0.331      0   1.05    158
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.98  8.09 10.07  0.34  0.19  0.49   3.88e-03   3.74e-03   4.02e-03  0.98  0.95  1.02  0.983  0.970  0.994  0.4050  0.331      0   1.05    158
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.98  8.09 10.07  0.34  0.19  0.49   3.88e-03   3.74e-03   4.02e-03  0.98  0.95  1.02  0.983  0.970  0.994  0.4050  0.331      0   1.05    158
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.70  7.83  9.76  0.21  0.08  0.34   4.00e-03   3.87e-03   4.15e-03  0.95  0.92  0.99  1.013  1.002  1.026  0.4050  0.331      0   0.90    158
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.70  7.83  9.76  0.21  0.08  0.34   4.00e-03   3.87e-03   4.15e-03  0.95  0.92  0.99  1.013  1.002  1.026  0.4050  0.331      0   0.90    158
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.70  7.83  9.76  0.21  0.08  0.34   4.00e-03   3.87e-03   4.15e-03  0.95  0.92  0.99  1.013  1.002  1.026  0.4050  0.331      0   0.90    158
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.07  7.29  8.97  0.25  0.12  0.38   3.88e-03   3.75e-03   4.02e-03  0.88  0.85  0.91  0.983  0.971  0.996  0.4050  0.324      0   1.25    155
MACS_J0159.8-0849           3265   0.00    1.0  2.01  0.00  0.00  8.07  7.29  8.97  0.25  0.12  0.38   3.88e-03   3.75e-03   4.02e-03  0.88  0.85  0.91  0.983  0.971  0.996  0.4050  0.324      0   1.25    155
MACS_J0159.8-0849           3265    0.5   0.85  2.01  0.00  0.00  6.98  6.27  7.82  0.32  0.19  0.45   3.55e-03   3.43e-03   3.69e-03  0.76  0.74  0.79  0.899  0.888  0.913  0.4050  0.298      0   1.29    148
MACS_J0159.8-0849           3265    0.5    0.8  2.01  0.00  0.00  6.02  5.46  6.71  0.49  0.35  0.64   3.30e-03   3.17e-03   3.44e-03  0.66  0.64  0.68  0.836  0.822  0.850  0.4050  0.286      0   1.73    144
MACS_J0159.8-0849           3265   0.75   0.85  2.01  0.00  0.00  5.63  5.17  6.18  0.45  0.32  0.58   3.67e-03   3.53e-03   3.81e-03  0.62  0.61  0.63  0.929  0.914  0.943  0.4050  0.306      0   1.41    148
MACS_J0159.8-0849           3265   0.75    0.8  2.01  0.00  0.00  5.05  4.64  5.54  0.46  0.33  0.60   3.63e-03   3.49e-03   3.78e-03  0.55  0.54  0.56  0.920  0.903  0.936  0.4050  0.299      0   1.43    139
MACS_J0159.8-0849           3265    1.0   0.85  2.01  0.00  0.00  5.59  5.13  6.12  0.42  0.29  0.54   3.72e-03   3.58e-03   3.87e-03  0.61  0.60  0.62  0.942  0.928  0.957  0.4050  0.306      0   1.16    145
MACS_J0159.8-0849           3265    1.0    0.8  2.01  0.00  0.00  5.03  4.60  5.53  0.21  0.11  0.32   3.94e-03   3.80e-03   4.10e-03  0.55  0.54  0.56  0.998  0.984  1.014  0.4050  0.302      0   1.31    142
MACS_J0159.8-0849           3265    0.5   0.95  2.01  0.00  0.00  9.51  8.46 10.80  0.37  0.22  0.53   3.83e-03   3.70e-03   3.97e-03  1.04  0.99  1.09  0.970  0.958  0.982  0.4050  0.331      0   1.01    162
MACS_J0159.8-0849           3265    0.5   0.96  2.01  0.00  0.00  7.51  6.80  8.35  0.37  0.24  0.50   3.77e-03   3.63e-03   3.90e-03  0.82  0.80  0.85  0.954  0.941  0.966  0.4050  0.318      0   0.89    152
MACS_J0159.8-0849           3265    0.5   0.97  2.01  0.00  0.00  7.73  6.95  8.68  0.23  0.10  0.37   4.00e-03   3.87e-03   4.14e-03  0.84  0.82  0.88  1.014  1.002  1.026  0.4050  0.334      0   1.38    156
MACS_J0159.8-0849           3265    0.5   0.98  2.01  0.00  0.00  8.98  8.00 10.19  0.15  0.02  0.28   4.01e-03   3.87e-03   4.15e-03  0.98  0.94  1.03  1.014  1.003  1.027  0.4050  0.331      0   1.05    158
MACS_J0159.8-0849           3265    0.5   0.99  2.01  0.00  0.00  7.95  7.17  8.87  0.47  0.33  0.62   3.78e-03   3.64e-03   3.92e-03  0.87  0.84  0.90  0.956  0.944  0.970  0.4050  0.330      0   1.20    156
MACS_J0159.8-0849           3265    0.5    0.9  2.01  0.00  0.00  7.99  7.16  9.01  0.34  0.20  0.49   3.59e-03   3.46e-03   3.72e-03  0.87  0.84  0.91  0.908  0.896  0.920  0.4050  0.307      0   1.27    152
MACS_J0159.8-0849           3265   0.75   0.95  2.01  0.00  0.00  7.05  6.39  7.82  0.24  0.12  0.35   3.89e-03   3.75e-03   4.02e-03  0.77  0.75  0.79  0.984  0.971  0.996  0.4050  0.317      0   1.24    151
MACS_J0159.8-0849           3265   0.75   0.96  2.01  0.00  0.00  7.48  6.77  8.33  0.22  0.11  0.34   3.99e-03   3.86e-03   4.13e-03  0.82  0.79  0.84  1.011  1.000  1.023  0.4050  0.329      0   1.16    155
MACS_J0159.8-0849           3265   0.75   0.97  2.01  0.00  0.00  7.60  6.87  8.47  0.34  0.21  0.47   3.85e-03   3.71e-03   3.98e-03  0.83  0.81  0.86  0.973  0.961  0.985  0.4050  0.324      0   1.01    153
MACS_J0159.8-0849           3265   0.75   0.98  2.01  0.00  0.00  8.03  7.22  9.00  0.40  0.26  0.55   3.76e-03   3.63e-03   3.89e-03  0.88  0.85  0.91  0.951  0.939  0.964  0.4050  0.321      0   0.82    154
MACS_J0159.8-0849           3265   0.75   0.99  2.01  0.00  0.00  8.09  7.35  9.00  0.48  0.33  0.63   3.81e-03   3.68e-03   3.95e-03  0.88  0.86  0.91  0.965  0.953  0.978  0.4050  0.334      0   1.14    158
MACS_J0159.8-0849           3265   0.75    0.9  2.01  0.00  0.00  6.39  5.79  7.12  0.26  0.15  0.37   3.81e-03   3.68e-03   3.95e-03  0.70  0.68  0.72  0.965  0.952  0.977  0.4050  0.309      0   1.11    146
MACS_J0159.8-0849           3265    1.0   0.95  2.01  0.00  0.00  7.35  6.69  8.15  0.34  0.21  0.47   3.88e-03   3.75e-03   4.02e-03  0.80  0.78  0.83  0.982  0.970  0.995  0.4050  0.325      0   0.98    154
MACS_J0159.8-0849           3265    1.0   0.96  2.01  0.00  0.00  7.41  6.72  8.22  0.38  0.25  0.51   3.90e-03   3.77e-03   4.04e-03  0.81  0.79  0.83  0.987  0.976  1.000  0.4050  0.331      0   1.12    154
MACS_J0159.8-0849           3265    1.0   0.97  2.01  0.00  0.00  7.38  6.69  8.22  0.23  0.12  0.35   3.99e-03   3.85e-03   4.13e-03  0.81  0.78  0.83  1.010  0.998  1.022  0.4050  0.327      0   0.93    153
MACS_J0159.8-0849           3265    1.0   0.98  2.01  0.00  0.00  7.88  7.11  8.81  0.27  0.14  0.40   4.03e-03   3.89e-03   4.17e-03  0.86  0.83  0.89  1.020  1.009  1.033  0.4050  0.336      0   1.02    159
MACS_J0159.8-0849           3265    1.0   0.99  2.01  0.00  0.00  6.88  6.29  7.58  0.35  0.23  0.48   3.99e-03   3.85e-03   4.14e-03  0.75  0.74  0.77  1.010  0.998  1.024  0.4050  0.332      0   0.95    155
MACS_J0159.8-0849           3265    1.0    0.9  2.01  0.00  0.00  6.79  6.12  7.59  0.35  0.22  0.47   3.78e-03   3.65e-03   3.93e-03  0.74  0.72  0.77  0.958  0.946  0.972  0.4050  0.320      0   1.51    152
MACS_J0257.6-2209           3267   0.00    1.0  2.02  0.00  0.00  9.27  8.07 10.81  0.25  0.08  0.43   2.48e-03   2.38e-03   2.59e-03  1.16  1.13  1.18  0.951  0.949  0.951  0.3224  0.233      0   0.99    143
MACS_J0257.6-2209           3267   0.00    1.0  2.02  0.00  0.00  7.74  6.92  8.77  0.35  0.18  0.51   2.51e-03   2.41e-03   2.62e-03  0.97  0.97  0.96  0.963  0.961  0.962  0.3224  0.237      0   1.00    144
MACS_J0257.6-2209           3267   0.00    1.0  2.02  0.00  0.00  7.74  6.92  8.77  0.35  0.18  0.51   2.51e-03   2.41e-03   2.62e-03  0.97  0.97  0.96  0.963  0.961  0.962  0.3224  0.237      0   1.00    144
MACS_J0257.6-2209           3267   0.00    1.0  2.02  0.00  0.00  8.13  7.21  9.30  0.25  0.08  0.41   2.51e-03   2.41e-03   2.62e-03  1.01  1.01  1.02  0.961  0.960  0.962  0.3224  0.233      0   0.97    144
MACS_J0257.6-2209           3267   0.00    1.0  2.02  0.00  0.00  7.78  6.91  8.90  0.35  0.17  0.52   2.46e-03   2.36e-03   2.56e-03  0.97  0.97  0.97  0.942  0.940  0.943  0.3224  0.235      0   1.26    144
