#Cluster                   Sequence Instr     nh20    Tx   Tlo   Thi    Fe  Felo  Fehi       z     fx       Lbol  chisq    dof
MKW_04                     Combined G2G3S0S1  1.89  1.83  1.80  1.85  0.55  0.52  0.60  0.0198   1.20e-11  43.66   1.45   1261
MKW_04S                    Combined G2G3S0S1  1.69  2.16  2.09  2.20  0.43  0.36  0.50  0.0236   3.28e-12  43.27   1.07    807
MKW_08                     84049000 G2G3S0S1  2.78  3.03  2.91  3.16  0.41  0.31  0.51  0.0272   9.94e-12  43.93   0.91    660
MKW_09                     83009000 G2G3S0S1  4.17  1.95  1.84  2.07  0.55  0.41  0.73  0.0343   3.89e-12  43.66   1.20    731
MS_0302.5+1717             Combined G2G3S0S1 10.80 10.38  7.91 14.06  0.14  0.00  0.39  0.4250   3.62e-13  45.22   1.21    240
MS_0302.7+1658             84028000 G2G3S0S1 10.90  5.28  4.03  7.26  0.28  0.00  0.72  0.4245   3.83e-13  45.11   0.99    138
MS_0353.6-3642             82042000 G2G3S0S1  1.21  5.35  4.49  6.49  0.30  0.07  0.55  0.3200   9.85e-13  45.25   1.35    143
MS_0418.3-3844             87052000 G2G3S0    2.07  3.61  2.78  4.84  0.38  0.00  1.06  0.3500   3.28e-13  44.79   1.08    156
MS_0440.5+0204             82026000 G2G3S0S1  9.66  5.02  4.52  5.63  0.30  0.14  0.47  0.1965   1.51e-12  44.97   0.94    217
MS_0451.6-0305             81025000 G2S0S1    5.03  8.62  7.41 10.16  0.28  0.10  0.45  0.5391   1.31e-12  45.97   0.97    217
MS_0735.6+7421             83035000 G2G3S0S1  3.49  5.45  5.00  5.98  0.37  0.24  0.51  0.2160   3.11e-12  45.39   0.92    253
MS_0811.6+6301             84061000 G2G3S0S1  4.26  3.53  3.02  4.44  1.25  0.55  2.17  0.3120   4.99e-13  44.85   1.21    113
MS_0821.5+0337             87054000 G2G3S0S1  4.07  4.46  3.06  6.98  0.33  0.00  1.57  0.3470   1.08e-13  44.33   1.12    120
MS_0839.8+2938             82011000 G2G3S0S1  4.09  3.80  3.57  4.05  0.59  0.45  0.75  0.1930   1.85e-12  44.99   1.23    362
MS_1006.0+1202             86057000 G2G3S0S1  3.77  7.03  6.19  7.89  0.37  0.22  0.55  0.2604   2.19e-12  45.46   0.86    270
MS_1008.1-1224             82056000 G2G3S0S1  6.97  7.47  6.26  9.03  0.72  0.46  1.02  0.3063   1.13e-12  45.35   0.99    164
MS_1054.4-0321             83065000 G2G3S0S1  3.58 13.21 10.44 17.25  0.07  0.00  0.33  0.8390   4.31e-13  46.01   1.15    314
MS_1111.8-3754             84011000 G2G3S0S1  9.14  5.79  5.58  6.01  0.37  0.32  0.42  0.1290   5.63e-12  45.19   1.14   1086
MS_1137.5+6625             Combined G2G3S0S1  1.21  6.70  5.24  8.54  0.26  0.00  0.60  0.7842   1.51e-13  45.36   1.09     95
MS_1147.3+1103             84060000 G2G3S0S1  2.75  6.04  5.00  7.41  0.42  0.16  0.72  0.3030   7.54e-13  45.11   0.96    166
MS_1224.7+2007             82043000 G2G3S0S1  2.56  4.75  3.72  5.96  0.31  0.00  0.89  0.3255   5.41e-13  44.99   0.60     77
MS_1241.5+1710             83067000 G2G3S0S1  1.91  7.22  5.47  9.92  0.73  0.33  1.19  0.5490   5.10e-13  45.56   0.92     95
MS_1244.2+7114             Combined G2G3S0S1  1.63  4.13  3.81  4.49  0.40  0.27  0.54  0.2250   1.05e-12  44.90   1.28    342
MS_1305.4+2941             91001000 G2G3S0S1  1.02  2.91  2.51  3.37  0.62  0.22  1.20  0.2410   4.65e-13  44.55   1.36    195
MS_1358.4+6245             Combined G2G3S0S1  1.93  6.70  6.21  7.25  0.26  0.18  0.36  0.3290   1.32e-12  45.45   1.02    607
MS_1426.4+0158             82044000 G2G3S0S1  2.75  8.75  6.52 11.52  0.00  0.00  0.34  0.3200   5.93e-13  45.13   1.02    123
MS_1455.0+2232             Combined G2G3S0S1  3.16  4.51  4.31  4.73  0.35  0.28  0.42  0.2568   3.88e-12  45.61   1.02    641
MS_1512.4+3647             83066000 G2G3S0S1  1.38  3.59  2.85  4.48  0.29  0.00  0.84  0.3727   5.72e-13  45.09   0.85     99
MS_1532.5+0130             87051000 G2G3S0S1  4.90  3.60  2.92  4.51  0.12  0.00  0.46  0.3200   3.49e-13  44.73   0.95    201
MS_1621.5+2640             85051000 G2G3S0S1  3.56  6.54  5.52  7.87  0.49  0.27  0.73  0.4275   6.12e-13  45.37   0.99    209
MS_1910.5+6736             86058000 G2G3S0S1  6.12  4.45  3.93  5.24  0.36  0.14  0.57  0.2460   1.24e-12  45.07   1.07    195
MS_2053.7-0449             85052000 G2G3S0S1  4.96 10.03  6.48 18.76  0.00  0.00  0.31  0.5830   1.33e-13  45.08   0.83     75
MS_2137.3-2353             81022000 G2G3S0S1  3.55  4.57  4.22  4.98  0.53  0.39  0.68  0.3130   2.74e-12  45.65   0.77    267
NGC_0499                   Combined G2G3S0S1  5.24  0.77  0.75  0.79  0.15  0.14  0.16  0.0147   4.31e-12  42.91   1.77    514
NGC_0507                   Combined G2G3S0S1  5.25  1.27  1.25  1.30  0.26  0.24  0.29  0.0165   9.68e-12  43.38   1.52    713
NGC_0533                   Combined G2G3S0S1  3.10  1.20  1.14  1.25  0.30  0.23  0.39  0.0181   2.68e-12  42.89   1.34    309
NGC_1132                   65021000 G2G3S0S1  5.18  1.08  1.04  1.13  0.21  0.17  0.26  0.0232   3.24e-12  43.20   1.17    347
NGC_2300                   Combined G2G3S0S1  5.28  0.98  0.93  1.04  0.10  0.08  0.13  0.0064   3.82e-12  42.17   1.35    663
NGC_2563                   63008000 G2G3S0S1  4.23  1.36  1.27  1.47  0.27  0.19  0.38  0.0149   1.21e-12  42.39   1.10    310
NGC_3258                   61020000 G2G3S0S1  6.49  2.04  1.96  2.13  0.33  0.25  0.43  0.0093   1.36e-11  43.07   1.05    845
NGC_4261                   74085000 G2G3S0S1  1.55  2.18  1.98  2.34  0.33  0.25  0.41  0.0070   2.03e-12  42.01   2.49    553
NGC_4325                   85066000 G2G3S0S1  2.23  0.95  0.92  0.97  0.34  0.30  0.40  0.0255   4.76e-12  43.41   1.20    360
NGC_5044                   Combined G2G3S0S1  4.93  1.01  1.00  1.02  0.27  0.26  0.28  0.0082   3.69e-11  43.32   2.65   1286
NGC_5129                   Combined G2G3S0S1  1.76  0.84  0.81  0.87  0.12  0.10  0.14  0.0240   1.98e-12  43.03   1.29    473
NGC_5813                   65019000 G2G3S0S1  4.21  0.73  0.71  0.75  0.25  0.22  0.29  0.0064   7.94e-12  42.41   1.42    304
NGC_5846                   61012000 G2G3S0S1  4.26  0.73  0.71  0.75  0.21  0.18  0.23  0.0061   6.53e-12  42.29   1.24    431
NGC_6109                   75000000 G2G3S0S1  1.41  2.87  2.74  3.01  0.27  0.18  0.37  0.0301   4.09e-12  43.63   1.08    784
NGC_6173                   85069000 G2G3S0S1  0.95  1.00  0.94  1.07  0.18  0.13  0.24  0.0310   1.45e-12  43.11   1.24    261
NGC_6329                   84047000 G2G3S0S1  2.11  1.45  1.33  1.59  0.33  0.22  0.49  0.0274   1.41e-12  43.00   1.19    268
OPHIUCHUS                  80027000 G2G3S0S1 20.20 11.79 11.49 12.10  0.35  0.32  0.39  0.0280   2.49e-10  45.66   1.07   2057
PAVO_I                     81020000 G2G3S0S1  5.17  0.90  0.83  0.97  0.18  0.13  0.26  0.0126   1.86e-12  42.41   1.17    209
PCC_N34-173                85034000 G2G3S0S1  3.38  1.98  1.79  2.15  0.52  0.31  0.77  0.0267   1.43e-12  43.00   1.09    260
PCC_N34-175                86071000 G2G3S0S1  2.55  2.31  2.23  2.38  0.42  0.34  0.51  0.0283   9.73e-12  43.92   1.28    644
PCC_S34-111                84050000 G2G3S0S1  5.40  2.27  2.14  2.43  0.37  0.25  0.56  0.0173   3.71e-12  43.06   1.08    319
PCC_S49-132                84051000 G2G3S0S1  4.88  3.34  3.16  3.54  0.25  0.14  0.37  0.0400   6.48e-12  44.10   1.04    482
PCC_S49-140                86070000 G2G3S0S1  4.49  1.90  1.74  2.07  0.46  0.27  0.73  0.0191   1.39e-12  42.70   1.00    219
PCC_S49-147                81001000 G2G3S0S1  4.09  1.44  1.31  1.61  0.24  0.16  0.39  0.0191   2.07e-12  42.85   1.33    360
PEGASUS                    63017000 G2G3S0S1  5.01  0.92  0.88  0.95  0.18  0.15  0.21  0.0140   2.63e-12  42.66   1.22    475
PKS_0745-191               81016000 G2G3S0S1 42.40  6.25  6.12  6.38  0.35  0.32  0.37  0.1028   4.73e-11  45.93   1.11   1677
RX_J0138.0-2156            86037000 G2G3S0S1  1.18  6.66  5.99  7.23  0.40  0.28  0.53  0.3451   2.00e-12  45.68   0.91    367
RX_J0232.3-4420            Combined G2G3S0S1  2.49  7.19  6.81  7.61  0.22  0.16  0.29  0.2386   4.16e-12  45.66   1.09    824
RX_J0949.8+1708            84008000 G2G3S0S1  3.16  8.44  7.70  9.32  0.13  0.03  0.24  0.3826   2.02e-12  45.82   1.09    443
RX_J0952.8+5153            86076000 G2G3S0S1  0.89  4.34  4.05  4.66  0.29  0.19  0.40  0.2140   2.93e-12  45.31   1.03    424
RX_J1023.7+0411            80014000 G2G3S0S1  3.00  6.40  6.12  6.70  0.31  0.25  0.36  0.2906   5.93e-12  45.98   0.96    834
RX_J1230.7+3440            Combined G2G3S0S1  1.35  5.62  4.71  6.15  0.24  0.03  0.54  0.3331   1.04e-12  45.32   1.04    135
RX_J1314.5-2517            Combined G2G3S0S1  7.08 10.49  9.81 11.27  0.19  0.12  0.27  0.2440   3.52e-12  45.70   1.12    933
RX_J1320.1+3308            Combined G2G3S0S1  1.05  1.22  1.17  1.28  0.21  0.17  0.27  0.0362   1.94e-12  43.38   1.32    464
RX_J1347.5-1145            83050000 G2G3S0S1  4.85 10.88 10.22 11.61  0.37  0.29  0.45  0.4510   5.15e-12  46.45   1.08    887
RX_J1354.9+7715            84053000 G2G3S0S1  2.88  5.87  4.87  7.26  0.32  0.08  0.58  0.3967   1.16e-12  45.54   1.04    139
RX_J1532.9+3021            86067000 G2G3S0S1  2.16  5.44  5.14  5.77  0.34  0.26  0.41  0.3615   3.46e-12  45.92   0.98    621
RX_J1716.6+6708            Combined G2G3S0S1  3.69 10.19  7.18 15.54  0.39  0.00  0.92  0.8090   1.12e-13  45.35   1.06     95
RX_J1720.0+2638            86062000 G2G3S0S1  4.06  5.45  5.18  5.74  0.26  0.20  0.33  0.1610   1.03e-11  45.64   0.93    729
RX_J1736.4+6804            86054000 G2G3S0S1  4.37  1.76  1.44  2.11  0.50  0.21  1.11  0.0258   9.60e-13  42.79   1.13    221
RX_J2129.6+0005            85029000 G2G3S0S1  4.28  6.10  5.76  6.46  0.40  0.32  0.48  0.2350   5.05e-12  45.70   0.93    722
SC_1327-312                83059000 G2G3S0S1  3.89  3.48  3.37  3.59  0.34  0.28  0.41  0.0508   9.72e-12  44.50   1.05    723
SC_1329-313                84043000 G2G3S0S1  3.93  3.79  3.59  4.01  0.39  0.28  0.52  0.0429   5.20e-12  44.09   0.97    581
TRIAN_AUSTR                Combined G2G3S0S1 13.00 10.19  9.91 10.48  0.26  0.22  0.29  0.0510   7.87e-11  45.65   1.02   1775
WBL_184                    74036000 G2G3S0S1  4.14  3.87  3.65  4.12  0.10  0.02  0.18  0.0512   2.44e-12  43.92   1.14    489
WBL_224                    66000000 G2G3S0S1  2.11  1.43  1.20  1.71  0.16  0.07  0.35  0.0266   5.39e-13  42.57   1.09    251
WBL_225                    83011000 G2G3S0S1  1.51  0.74  0.68  0.80  0.20  0.14  0.30  0.0269   7.95e-13  42.68   0.99    192
ZWCL_0024.0+1652           84046000 G2G3S0S1  4.23  5.17  3.83  7.12  0.42  0.01  0.94  0.3949   3.60e-13  45.01   1.16    173
ZWCL_0847.2+3617           86063000 G2G3S0S1  3.16  9.21  8.01 10.71  0.35  0.19  0.52  0.3737   1.54e-12  45.71   0.93    291
ZWCL_1718.1-0108           74037000 G2G3     10.10  3.58  3.46  3.72  0.45  0.37  0.55  0.0280   1.37e-11  44.13   1.17    636
