###### Started simulating spectra at Tue Dec 12 17:44:28 2006 ######
# Cluster             ObsID    Tx1    Tx2    Eta    RealCTR    FakeCTR      Norm1      Norm2
3C_388                 5295   3.23   0.50   0.50   0.257000   0.263200  1.150e-03  1.190e-03
3C_388                 5295   3.23   0.50   0.60   0.257000   0.258800  1.380e-03  9.156e-04
3C_388                 5295   3.23   0.50   0.70   0.257000   0.269400  1.610e-03  7.515e-04
3C_388                 5295   3.23   0.50   0.80   0.257000   0.263800  1.840e-03  4.958e-04
3C_388                 5295   3.23   0.75   0.50   0.257000   0.268000  1.150e-03  8.813e-04
3C_388                 5295   3.23   0.75   0.60   0.257000   0.265100  1.380e-03  7.515e-04
3C_388                 5295   3.23   0.75   0.70   0.257000   0.260200  1.610e-03  5.101e-04
3C_388                 5295   3.23   0.75   0.80   0.257000   0.269600  1.840e-03  3.914e-04
3C_388                 5295   3.23   1.00   0.50   0.257000   0.266500  1.150e-03  8.813e-04
3C_388                 5295   3.23   1.00   0.60   0.257000   0.268900  1.380e-03  7.139e-04
3C_388                 5295   3.23   1.00   0.70   0.257000   0.264800  1.610e-03  5.369e-04
3C_388                 5295   3.23   1.00   0.80   0.257000   0.268500  1.840e-03  3.815e-04
ABELL_0085              904   5.83   0.50   0.50   5.161000   5.398000  1.990e-02  1.713e-02
ABELL_0085              904   5.83   0.50   0.60   5.161000   5.375000  2.388e-02  1.340e-02
ABELL_0085              904   5.83   0.50   0.70   5.161000   5.372000  2.786e-02  9.766e-03
ABELL_0085              904   5.83   0.50   0.80   5.161000   5.382000  3.184e-02  6.280e-03
ABELL_0085              904   5.83   0.75   0.50   5.161000   5.404000  1.990e-02  1.410e-02
ABELL_0085              904   5.83   0.75   0.60   5.161000   5.345000  2.388e-02  1.085e-02
ABELL_0085              904   5.83   0.75   0.70   5.161000   5.386000  2.786e-02  8.138e-03
ABELL_0085              904   5.83   0.75   0.80   5.161000   5.396000  3.184e-02  5.219e-03
ABELL_0085              904   5.83   1.00   0.50   5.161000   5.298000  1.990e-02  1.410e-02
ABELL_0085              904   5.83   1.00   0.60   5.161000   5.359000  2.388e-02  1.142e-02
ABELL_0085              904   5.83   1.00   0.70   5.161000   5.419000  2.786e-02  8.567e-03
ABELL_0085              904   5.83   1.00   0.80   5.161000   5.391000  3.184e-02  5.354e-03
ABELL_1201             4216   5.61   0.50   0.50   0.575000   0.598500  1.940e-03  1.428e-03
ABELL_1201             4216   5.61   0.50   0.60   0.575000   0.594500  2.328e-03  1.020e-03
ABELL_1201             4216   5.61   0.50   0.70   0.575000   0.599500  2.716e-03  7.248e-04
ABELL_1201             4216   5.61   0.50   0.80   0.575000   0.603400  3.104e-03  3.634e-04
ABELL_1201             4216   5.61   0.75   0.50   0.575000   0.601600  1.940e-03  1.190e-03
ABELL_1201             4216   5.61   0.75   0.60   0.575000   0.599300  2.328e-03  8.698e-04
ABELL_1201             4216   5.61   0.75   0.70   0.575000   0.600900  2.716e-03  5.799e-04
ABELL_1201             4216   5.61   0.75   0.80   0.575000   0.600300  3.104e-03  3.020e-04
ABELL_1201             4216   5.61   1.00   0.50   0.575000   0.593700  1.940e-03  1.190e-03
ABELL_1201             4216   5.61   1.00   0.60   0.575000   0.599000  2.328e-03  9.156e-04
ABELL_1201             4216   5.61   1.00   0.70   0.575000   0.601100  2.716e-03  6.443e-04
ABELL_1201             4216   5.61   1.00   0.80   0.575000   0.599300  3.104e-03  2.877e-04
ABELL_1795             5289   6.08   0.50   0.50   5.914000   6.155000  2.425e-02  2.820e-02
ABELL_1795             5289   6.08   0.50   0.60   5.914000   6.077000  2.910e-02  2.170e-02
ABELL_1795             5289   6.08   0.50   0.70   5.914000   6.189000  3.395e-02  1.713e-02
ABELL_1795             5289   6.08   0.50   0.80   5.914000   6.155000  3.880e-02  1.071e-02
ABELL_1795             5289   6.08   0.75   0.50   5.914000   6.089000  2.425e-02  2.170e-02
ABELL_1795             5289   6.08   0.75   0.60   5.914000   6.206000  2.910e-02  1.809e-02
ABELL_1795             5289   6.08   0.75   0.70   5.914000   6.143000  3.395e-02  1.289e-02
ABELL_1795             5289   6.08   0.75   0.80   5.914000   6.173000  3.880e-02  8.814e-03
ABELL_1795             5289   6.08   1.00   0.50   5.914000   6.057000  2.425e-02  2.170e-02
ABELL_1795             5289   6.08   1.00   0.60   5.914000   6.126000  2.910e-02  1.718e-02
ABELL_1795             5289   6.08   1.00   0.70   5.914000   6.171000  3.395e-02  1.289e-02
ABELL_1795             5289   6.08   1.00   0.80   5.914000   6.172000  3.880e-02  8.373e-03
ABELL_1914             3593   9.62   0.50   0.50   1.984000   2.070000  9.150e-03  1.804e-02
ABELL_1914             3593   9.62   0.50   0.60   1.984000   2.058000  1.098e-02  1.428e-02
ABELL_1914             3593   9.62   0.50   0.70   1.984000   2.060000  1.281e-02  1.031e-02
ABELL_1914             3593   9.62   0.50   0.80   1.984000   2.056000  1.464e-02  6.978e-03
ABELL_1914             3593   9.62   0.75   0.50   1.984000   2.050000  9.150e-03  1.206e-02
ABELL_1914             3593   9.62   0.75   0.60   1.984000   2.078000  1.098e-02  9.766e-03
