# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_0697                  4217   0.02   1.88  3.34  0.00  0.00 14.71 11.81 19.18  0.62  0.41  0.88   5.51e-03   5.23e-03   5.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.211   93.4   0.95    131
ABELL_0773                  5006   0.02   2.22  1.46  0.00  0.00 11.24  9.30 14.08  0.50  0.31  0.72   4.79e-03   4.52e-03   5.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.190   89.8   0.96    122
ABELL_0781                   534   0.02   1.97  1.90  0.00  0.00 32.83 10.42 79.90  1.10  0.00  6.26   1.52e-03   1.13e-03   2.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.058   80.5   0.76     25
ABELL_0907                  3185   0.02   2.26  5.69  0.00  0.00  6.26  5.82  6.75  0.47  0.40  0.55   6.34e-03   6.13e-03   6.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.241   92.6   1.02    248
ABELL_0963                   903   0.02   2.03  1.39  0.00  0.00  7.65  6.83  8.65  0.33  0.24  0.42   5.31e-03   5.07e-03   5.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.212   74.6   1.12    210
ABELL_1060                  2220   0.32   3.66  4.96  0.00  0.00  3.49  3.13  3.97  0.26  0.11  0.43   2.79e-03   2.57e-03   3.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0125  0.091   91.6   1.28     94
ABELL_1063S                 4966   0.21   2.06  1.77  0.00  0.00 14.04 12.57 15.87  0.43  0.32  0.55   1.03e-02   1.00e-02   1.05e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.489   94.4   0.98    263
ABELL_1068                  1652   0.03   2.16  0.71  0.00  0.00  5.49  4.91  6.20  0.31  0.22  0.40   5.88e-03   5.55e-03   6.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.233   77.7   0.91    178
ABELL_1201                  4216   0.02   2.32  1.85  0.00  0.00  5.99  5.04  7.38  0.32  0.18  0.47   3.34e-03   3.05e-03   3.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.131   50.1   1.10    125
ABELL_1204                  2205   0.02   1.78  1.44  0.00  0.00  4.72  4.15  5.47  0.24  0.12  0.37   3.66e-03   3.39e-03   3.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.112   92.7   0.92     92
ABELL_1361                  2200   0.03   2.54  2.18  0.00  0.00  7.24  4.46 15.47  0.10  0.00  0.66   4.22e-03   3.46e-03   5.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.180   61.4   0.82     24
ABELL_1413                  5003   0.03   2.79  2.19  0.00  0.00  8.82  8.27  9.44  0.37  0.31  0.42   1.10e-02   1.08e-02   1.12e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.390   92.8   0.99    313
ABELL_1423                   538   0.02   2.24  1.60  0.00  0.00  7.93  5.73 12.02  0.35  0.11  0.69   3.10e-03   2.69e-03   3.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.110   84.8   0.91     43
ABELL_1650                  4178   0.05   2.94  1.62  0.00  0.00  6.81  6.33  7.33  0.39  0.32  0.45   1.44e-02   1.40e-02   1.49e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.661   81.6   0.93    276
ABELL_1651                  4185   0.05   4.47  2.02  0.00  0.00  7.46  6.65  8.45  0.43  0.32  0.54   1.84e-02   1.77e-02   1.91e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.812   91.8   1.17    208
