# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_0521                   430   0.00   1.75  6.17  0.00  0.00  8.50  6.87 11.35  0.40  0.20  0.58   2.75e-03   2.57e-03   2.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.106   56.0   0.92    101
ABELL_0586                   530   0.00   2.70  4.71  0.00  0.00  8.36  7.24  9.87  0.59  0.41  0.79   7.04e-03   6.67e-03   7.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.367   89.1   0.77    119
ABELL_0611                  3194   0.00   1.59  4.99  0.00  0.00  6.75  5.91  7.77  0.29  0.20  0.39   3.85e-03   3.62e-03   4.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.131   70.6   1.02    134
ABELL_0644                  2211   0.00   5.14  6.31  0.00  0.00  8.00  7.64  8.40  0.43  0.38  0.48   3.59e-02   3.54e-02   3.65e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  1.597   93.2   1.13    333
ABELL_0665                  3586   0.00   2.52  4.24  0.00  0.00 10.45  9.18 12.10  0.30  0.20  0.41   7.77e-03   7.51e-03   8.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.307   92.0   1.00    232
ABELL_0697                  4217   0.00   1.88  3.34  0.00  0.00 14.25 11.57 18.37  0.54  0.35  0.77   5.86e-03   5.57e-03   6.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.222   93.6   1.01    134
ABELL_0773                  5006   0.00   2.22  1.46  0.00  0.00 10.89  9.02 13.52  0.41  0.25  0.59   5.20e-03   4.92e-03   5.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.202   90.3   0.98    129
ABELL_0907                  3185   0.00   2.26  5.69  0.00  0.00  5.81  5.48  6.18  0.49  0.43  0.56   8.17e-03   7.92e-03   8.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.303   94.0   1.15    269
ABELL_0963                   903   0.00   2.03  1.39  0.00  0.00  7.70  6.96  8.58  0.38  0.29  0.47   6.09e-03   5.85e-03   6.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.246   76.8   1.05    222
ABELL_1063S                 4966   0.00   2.06  1.77  0.00  0.00 14.19 12.79 15.90  0.47  0.36  0.59   1.16e-02   1.13e-02   1.18e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.553   94.9   0.96    277
ABELL_1068                  1652   0.00   2.16  0.71  0.00  0.00  4.49  4.17  4.87  0.33  0.26  0.40   9.71e-03   9.28e-03   1.02e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.350   84.0   0.91    207
ABELL_1201                  4216   0.00   2.32  1.85  0.00  0.00  6.07  5.16  7.35  0.34  0.21  0.49   3.69e-03   3.39e-03   4.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.147   53.1   1.20    138
ABELL_1204                  2205   0.00   1.78  1.44  0.00  0.00  4.25  3.90  4.65  0.34  0.25  0.44   6.89e-03   6.50e-03   7.30e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.206   95.8   1.17    147
ABELL_1361                  2200   0.00   2.54  2.18  0.00  0.00  5.65  4.03  8.92  0.26  0.00  0.63   5.96e-03   5.00e-03   7.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.246   68.6   0.94     31
ABELL_1423                   538   0.00   2.24  1.60  0.00  0.00  6.73  5.30  8.97  0.47  0.26  0.72   3.68e-03   3.28e-03   4.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.131   86.4   0.92     49
ABELL_1651                  4185   0.00   4.47  2.02  0.00  0.00  7.48  6.73  8.35  0.46  0.36  0.57   2.08e-02   2.00e-02   2.16e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.929   92.6   1.17    227
ABELL_1664                  1648   0.00   2.19  8.47  0.00  0.00  4.47  3.90  5.19  0.31  0.18  0.45   7.71e-03   7.09e-03   8.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.279   78.1   1.02     92
ABELL_1689              540+1663+5004   0.00   2.69  1.87  0.00  0.00 12.55 11.69 13.55  0.45  0.38  0.52   1.77e-02   1.74e-02   1.81e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.933   95.5   1.03    757
ABELL_1758                  2213   0.00   1.78  1.09  0.00  0.00  9.84  8.08 11.09  0.43  0.22  0.55   3.55e-03   3.41e-03   3.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.201   69.3 237.33    237
ABELL_1763                  3591   0.00   2.24  0.82  0.00  0.00 12.71  9.63 19.51  0.19  0.00  0.38   4.73e-03   4.50e-03   4.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.189   90.2   1.03    120
ABELL_1795                  5289   0.00   6.23  1.22  0.00  0.00  6.32  6.04  6.63  0.34  0.30  0.39   5.82e-02   5.71e-02   5.93e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  2.412   94.7   1.08    323
ABELL_1835                   495   0.00   1.87  2.36  0.00  0.00  9.63  8.79 10.58  0.33  0.26  0.40   1.59e-02   1.55e-02   1.64e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.638   93.5   0.93    245
ABELL_1914                  3593   0.00   2.83  0.97  0.00  0.00 11.67 10.38 13.32  0.36  0.27  0.46   1.72e-02   1.68e-02   1.76e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  0.707   95.6   1.05    261
ABELL_1942                  3290   0.00   1.68  2.75  0.00  0.00  5.85  4.85  7.24  0.39  0.22  0.57   1.11e-03   1.00e-03   1.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.034   79.1   0.94     77
ABELL_1995                   906   0.00   0.97  1.44  0.00  0.00  9.31  8.15 10.83  0.36  0.23  0.49   2.13e-03   2.06e-03   2.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3186  0.129   82.5   0.98    142
ABELL_2029                  6101   0.00   5.00  3.26  0.00  0.00  9.46  8.88 10.12  0.48  0.41  0.54   6.17e-02   6.07e-02   6.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  3.165   95.9   1.06    328
ABELL_2034                  2204   0.00   3.47  1.58  0.00  0.00  9.93  9.11 10.96  0.35  0.28  0.42   9.51e-03   9.31e-03   9.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.415   90.6   0.98    312
ABELL_2065                 31821   0.00   4.63  2.96  0.00  0.00  5.94  5.62  6.30  0.23  0.18  0.29   1.79e-02   1.75e-02   1.84e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0730  0.797   91.2   0.99    303
ABELL_2069                  4965   0.00   3.50  1.97  0.00  0.00  8.25  7.25  9.57  0.26  0.16  0.38   4.70e-03   4.50e-03   4.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.182   78.2   1.15    256
ABELL_2111                   544   0.00   2.06  2.20  0.00  0.00  7.35  4.79 14.23  0.07  0.00  0.44   1.56e-03   1.28e-03   1.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.046   74.3   0.87     22
ABELL_2125                  2207   0.00   1.13  2.75  0.00  0.00  3.75  2.97  5.58  0.37  0.06  0.78   3.33e-04   2.55e-04   4.17e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.008   69.5   1.39     35
ABELL_2163                  1653   0.02   3.21 13.91  0.00  0.00 19.48 17.62 21.51  0.08  0.01  0.15   2.26e-02   2.23e-02   2.29e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  0.860   93.7   1.25    339
ABELL_2204              6104+499   0.00   3.02  5.84  0.00  0.00  7.48  7.13  7.86  0.42  0.37  0.47   2.86e-02   2.80e-02   2.92e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  1.435   90.5   1.05    521
ABELL_2218                  1666   0.00   2.37  3.12  0.00  0.00  9.51  8.46 10.90  0.20  0.12  0.29   6.15e-03   5.95e-03   6.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.238   92.2   0.92    241
ABELL_2219                   896   0.00   2.31  1.76  0.00  0.00 12.53 11.35 14.00  0.30  0.23  0.38   1.25e-02   1.23e-02   1.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  0.526   81.5   0.98    296
ABELL_2255                   894   0.00   4.45  2.53  0.00  0.00  7.83  7.13  8.62  0.35  0.27  0.44   9.47e-03   9.18e-03   9.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.409   81.6   0.85    307
ABELL_2256                  1386   0.00   6.56  4.05  0.00  0.00  7.25  6.67  7.95  0.09  0.00  0.18   3.85e-02   3.76e-02   3.96e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0579  1.671   80.1   1.47    313
ABELL_2259                  3245   0.00   2.11  3.70  0.00  0.00  5.42  4.55  6.62  0.32  0.17  0.48   5.47e-03   4.94e-03   6.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.181   91.5   0.88     65
ABELL_2261                  5007   0.00   2.04  3.31  0.00  0.00  9.78  8.64 11.31  0.46  0.36  0.57   8.10e-03   7.80e-03   8.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.308   94.9   0.86    208
ABELL_2294                  3246   0.00   2.36  6.10  0.00  0.00 11.27  8.80 15.43  0.59  0.34  0.89   5.69e-03   5.30e-03   6.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.242   89.2   0.98     84
ABELL_2384                  4202   0.00   2.96  2.99  0.00  0.00  5.87  5.24  6.64  0.12  0.04  0.21   5.42e-03   5.15e-03   5.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.203   89.1   0.95    191
ABELL_2390                  4193   0.00   2.20  6.71  0.00  0.00  9.72  9.28 10.20  0.38  0.35  0.42   1.45e-02   1.43e-02   1.47e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  0.583   83.4   0.95    331
ABELL_2409                  3247   0.00   2.42  6.72  0.00  0.00  5.83  5.13  6.72  0.46  0.33  0.60   8.34e-03   7.79e-03   8.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.300   93.1   0.85     99
ABELL_2537                  4962   0.00   1.49  4.26  0.00  0.00  7.57  6.56  8.86  0.43  0.31  0.57   2.87e-03   2.69e-03   3.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2950  0.103   62.5   0.87    132
ABELL_2554                  1696   0.00   3.36  2.04  0.00  0.00  6.05  5.01  7.55  0.34  0.16  0.52   3.83e-03   3.51e-03   4.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.162   42.8   0.89    141
ABELL_2556                  2226   0.00   3.35  2.02  0.00  0.00  3.71  3.40  4.09  0.48  0.36  0.62   8.77e-03   8.26e-03   9.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  0.311   66.5   0.95    190
ABELL_2631                  3248   0.00   1.83  3.74  0.00  0.00  8.81  7.00 11.65  0.30  0.08  0.53   3.64e-03   3.38e-03   3.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2779  0.179   89.4   1.00     57
ABELL_2667                  2214   0.00   1.82  1.64  0.00  0.00  6.82  5.97  7.86  0.45  0.33  0.57   9.96e-03   9.35e-03   1.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.385   87.5   1.00    118
ABELL_2670                  4959   0.00   3.68  2.88  0.00  0.00  4.68  4.31  5.12  0.32  0.23  0.41   6.73e-03   6.42e-03   7.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  0.249   82.3   1.20    244
ABELL_2717                  6974   0.00   3.87  1.12  0.00  0.00  2.73  2.50  3.01  0.76  0.47  1.12   4.35e-03   3.83e-03   4.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0475  0.157   74.6   0.87    138
ABELL_2744                  2212   0.00   1.82  1.82  0.00  0.00 11.25  9.44 14.00  0.30  0.16  0.45   4.93e-03   4.68e-03   5.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3080  0.178   74.7   0.75    143
ABELL_3128                   893   0.00   4.41  1.59  0.00  0.00  3.46  3.01  4.04  0.34  0.10  0.62   3.73e-03   3.32e-03   4.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0624  0.132   67.5   1.20    128
ABELL_3158                  3201+3712   0.00   5.57  1.60  0.00  0.00  6.31  6.08  6.55  0.40  0.36  0.44   2.25e-02   2.22e-02   2.30e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0586  1.034   90.3   0.99    656
ABELL_3164                  6955   0.00   4.81  2.55  0.00  0.00  2.94  1.76  6.11  0.00  0.00  0.19   1.32e-03   8.67e-04   1.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0570  0.043   31.1   1.62     55
