# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
ABELL_0370                   515   0.00   0.16  3.37  0.00  0.00  5.10  4.15  5.99  0.00  0.00  0.40   8.22e-05   7.30e-05   8.72e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.010   90.3 369.77    431
ABELL_0383                  2321   0.00   0.26  4.07  0.00  0.00  3.28  3.18  3.38  0.94  0.84  1.06   1.85e-03   1.78e-03   1.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.319   98.4 467.57    431
ABELL_0399                  3230   0.00   0.61 11.51  0.00  0.00  7.27  6.75  7.95  0.42  0.29  0.59   5.85e-04   5.63e-04   6.01e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.064   96.2 457.57    431
ABELL_0401                   518   0.00   0.61 12.48  0.00  0.00  7.20  6.63  7.94  0.53  0.35  0.78   1.63e-03   1.57e-03   1.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  0.211   96.3 463.09    431
ABELL_0478                  6102   0.00   0.51 30.90  0.00  0.00  5.35  5.20  5.52  0.50  0.44  0.56   1.43e-02   1.40e-02   1.45e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  1.358   99.7 467.26    431
ABELL_0514                  3578   0.00   0.63  3.14  0.00  0.00  5.61  4.20  9.44  0.53  0.00  1.73   4.00e-05   3.09e-05   4.80e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  0.005   62.0 354.65    431
ABELL_0520                  4215   0.00   0.25  7.84  0.00  0.00  7.68  6.60  9.19  0.39  0.16  0.67   1.51e-04   1.43e-04   1.61e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.014   94.6 449.11    431
ABELL_0521                   430   0.00   0.21  6.17  0.00  0.00  3.73  3.02  4.77  0.00  0.00  0.22   1.30e-04   1.17e-04   1.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.015   78.1 345.42    431
ABELL_0586                   530   0.00   0.29  4.71  0.00  0.00  7.76  6.84  8.94  0.33  0.15  0.56   1.06e-03   1.01e-03   1.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.117   98.8 425.74    431
ABELL_0611                  3194   0.00   0.19  4.99  0.00  0.00  6.40  5.93  6.97  0.40  0.28  0.55   5.82e-04   5.60e-04   6.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.074   96.1 504.72    431
