# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
CL_J0152-1357                913   0.00   0.11  1.45  0.00  0.00  1.74  1.36  2.28 42.11  0.00 357.49   8.90e-07   0.00e+00   5.81e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.001   69.7 136.47    431
CL_J0542.8-4100              914   0.00   0.12  3.59  0.00  0.00  7.90  5.58 13.30  0.10  0.00  0.62   3.88e-05   3.33e-05   4.42e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.003   92.0 259.89    431
CL_J0848+4456               1708   0.13   0.13  2.53  0.00  0.00  3.20  0.08 79.90  0.30  0.00 1000.00   1.00e-01   0.00e+00   1.00e+24  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.001    NaN   0.00    862
CL_J0848+4456                927   0.13   0.13  2.53  0.00  0.00  3.20  0.08 79.90  0.30  0.00 1000.00   1.00e-01   0.00e+00   1.00e+24  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.001    NaN   0.00    862
CL_J1113.1-2615              915   0.00   0.11  5.51  0.00  0.00  3.53  2.94  4.40  0.82  0.34  1.60   3.35e-05   2.64e-05   3.94e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.002   91.5 287.29    431
CL_J1213+0253               4934   0.00   0.16  1.78  0.00  0.00  1.64  1.32  2.19  0.26  0.09  1.15   1.16e-04   6.43e-05   1.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4090  0.005   82.0 213.15    431
CL_J1226.9+3332             5014   0.11   0.11  1.37  0.00  0.00  6.91  5.86  8.25  0.07  0.00  0.25   1.57e-04   1.42e-04   1.63e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.007   92.4 781.97   1293
CL_J1226.9+3332             3180   0.11   0.11  1.37  0.00  0.00  6.91  5.86  8.25  0.07  0.00  0.25   1.57e-04   1.42e-04   1.63e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.007   92.4 781.97   1293
CL_J1226.9+3332              932   0.11   0.11  1.37  0.00  0.00  6.91  5.86  8.25  0.07  0.00  0.25   1.57e-04   1.42e-04   1.63e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.007   92.4 781.97   1293
CL_J1641+4001               3575   0.00   0.14  1.09  0.00  0.00  3.45  2.83  4.35  1.14  0.47  2.53   3.19e-05   2.29e-05   4.19e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4640  0.003   91.6 236.96    431
CL_J2302.8+0844              918   0.00   0.11  5.05  0.00  0.00  2.57  2.00  3.44  0.00  0.00  0.22   3.63e-05   2.99e-05   4.47e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.001   87.0 248.91    431
DLS_J0514-4904              4980   0.00   0.51  2.52  0.00  0.00  5.46  4.61  6.68  0.66  0.30  1.27   1.56e-04   1.36e-04   1.73e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0912  0.021   88.2 369.71    431
EXO_0422-086                4183   0.00   1.06  6.22  0.00  0.00  3.06  2.99  3.13  0.87  0.79  0.97   7.00e-03   6.78e-03   7.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0397  0.991   98.9 465.65    431
HERCULES_A                  1625   0.00   0.31  6.27  0.00  0.00  2.68  2.55  2.82  0.66  0.53  0.81   9.12e-04   8.55e-04   9.72e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1541  0.140   94.6 414.78    431
IRAS_09104+4109              509   0.00   0.15  1.36  0.00  0.00  5.46  5.06  5.95  0.88  0.66  1.15   1.43e-03   1.34e-03   1.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.192   98.8 496.46    431
LYNX_E                     17081   0.13   0.13  2.53  0.00  0.00  1.34  1.06  1.72  0.00  0.00  0.21   2.72e-05   1.62e-05   4.46e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.2600  0.000   74.3 307.09    862
LYNX_E                      9271   0.13   0.13  2.53  0.00  0.00  1.34  1.06  1.72  0.00  0.00  0.21   2.72e-05   1.62e-05   4.46e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.2600  0.000   74.3 307.09    862
MACS_J0025.4-1222           3251   0.12   0.12  2.72  0.00  0.00  4.67  3.68  6.45  0.56  0.15  1.24   4.91e-05   3.95e-05   5.85e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5843  0.003   94.6 385.60    862
MACS_J0025.4-1222           5010   0.12   0.12  2.72  0.00  0.00  4.67  3.68  6.45  0.56  0.15  1.24   4.91e-05   3.95e-05   5.85e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5843  0.003   94.6 385.60    862
MACS_J0159.8-0849           6106   0.16   0.16  2.01  0.00  0.00  5.33  5.11  5.58  0.56  0.48  0.66   1.14e-03   1.11e-03   1.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4050  0.092   99.7 912.53    862
MACS_J0159.8-0849           3265   0.16   0.16  2.01  0.00  0.00  5.33  5.11  5.58  0.56  0.48  0.66   1.14e-03   1.11e-03   1.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4050  0.092   99.7 912.53    862
MACS_J0242.5-2132           3266   0.00   0.18  2.71  0.00  0.00  3.67  3.53  3.83  0.73  0.61  0.87   2.72e-03   2.60e-03   2.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3140  0.252   99.8 413.17    431
MACS_J0257.1-2325           1654   0.14   0.14  2.09  0.00  0.00  9.10  7.66 10.89  0.06  0.00  0.27   3.25e-04   3.03e-04   3.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5053  0.023   98.8 741.25    862
MACS_J0257.1-2325           3581   0.14   0.14  2.09  0.00  0.00  9.10  7.66 10.89  0.06  0.00  0.27   3.25e-04   3.03e-04   3.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5053  0.023   98.8 741.25    862
MACS_J0257.6-2209           3267   0.00   0.18  2.02  0.00  0.00  6.61  5.82  7.69  0.94  0.63  1.33   3.34e-04   3.06e-04   3.59e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3224  0.034   98.7 394.63    431
MACS_J0308.9+2645           3268   0.00   0.18 11.88  0.00  0.00 10.87  9.08 13.94  0.39  0.10  0.69   4.35e-04   4.11e-04   4.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3240  0.037   98.8 420.54    431
MACS_J0329.6-0211           6108   0.15   0.15  6.21  0.00  0.00  3.98  3.85  4.11  0.74  0.65  0.84   1.02e-03   9.89e-04   1.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4500  0.074   99.5 1299.06   1293
MACS_J0329.6-0211           3582   0.15   0.15  6.21  0.00  0.00  3.98  3.85  4.11  0.74  0.65  0.84   1.02e-03   9.89e-04   1.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4500  0.074   99.5 1299.06   1293
MACS_J0329.6-0211           3257   0.15   0.15  6.21  0.00  0.00  3.98  3.85  4.11  0.74  0.65  0.84   1.02e-03   9.89e-04   1.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4500  0.074   99.5 1299.06   1293
MACS_J0404.6+1109           3269   0.00   0.16 14.96  0.00  0.00  4.92  3.28  8.51  0.32  0.00  1.17   4.11e-05   3.25e-05   5.43e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3548  0.003   90.3 196.55    431
MACS_J0417.5-1154           3270   0.00   0.15  4.00  0.00  0.00  4.83  4.47  5.32  0.35  0.21  0.50   1.35e-03   1.29e-03   1.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.097   99.6 396.08    431
MACS_J0429.6-0253           3271   0.00   0.16  5.70  0.00  0.00  4.21  4.00  4.45  0.89  0.71  1.08   1.09e-03   1.03e-03   1.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3990  0.091   99.7 427.03    431
MACS_J0451.9+0006           5815   0.00   0.15  7.65  0.00  0.00  7.63  5.56 12.05  1.22  0.50  2.54   1.15e-04   9.10e-05   1.38e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4300  0.010   97.3 242.85    431
MACS_J0547.0-3904           3273   0.00   0.25  4.08  0.00  0.00  2.84  2.70  2.99  0.14  0.07  0.18   1.16e-03   1.11e-03   1.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2100  0.091   99.1 468.96    431
MACS_J0717.5+3745           4200   0.13   0.13  6.75  0.00  0.00 12.53  9.82 16.73  0.00  0.00  0.12   1.18e-04   1.12e-04   1.24e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5480  0.008   94.7 666.70    862
MACS_J0717.5+3745           1655   0.13   0.13  6.75  0.00  0.00 12.53  9.82 16.73  0.00  0.00  0.12   1.18e-04   1.12e-04   1.24e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5480  0.008   94.7 666.70    862
MACS_J0744.8+3927           3585   0.11   0.11  4.66  0.00  0.00  7.39  6.81  8.06  0.57  0.44  0.72   3.92e-04   3.69e-04   4.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6860  0.023   99.0 1178.12   1293
MACS_J0744.8+3927           3197   0.11   0.11  4.66  0.00  0.00  7.39  6.81  8.06  0.57  0.44  0.72   3.92e-04   3.69e-04   4.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6860  0.023   99.0 1178.12   1293
MACS_J0744.8+3927           6111   0.11   0.11  4.66  0.00  0.00  7.39  6.81  8.06  0.57  0.44  0.72   3.92e-04   3.69e-04   4.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6860  0.023   99.0 1178.12   1293
MACS_J0949+1708             3274   0.00   0.16  3.17  0.00  0.00  9.74  7.39 15.39  0.51  0.00  1.10   2.47e-04   2.22e-04   2.74e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3820  0.022   98.7 394.08    431
MACS_J1115.8+0129           3275   0.00   0.39  4.36  0.00  0.00  5.42  5.09  5.78  0.05  0.00  0.12   2.36e-03   2.30e-03   2.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1200  0.248   99.2 549.80    431
MACS_J1131.8-1955           3276   0.00   0.18  4.49  0.00  0.00 10.06  7.32 15.40  0.82  0.25  1.85   1.57e-04   1.35e-04   1.78e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3070  0.016   97.4 340.11    431
MACS_J1149.5+2223           3589   0.28   0.28  2.32  0.00  0.00 11.21  9.29 13.85  0.33  0.09  0.61   2.82e-04   2.63e-04   3.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5440  0.020   96.1 748.87    862
MACS_J1149.5+2223           1656   0.28   0.28  2.32  0.00  0.00 11.21  9.29 13.85  0.33  0.09  0.61   2.82e-04   2.63e-04   3.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5440  0.020   96.1 748.87    862
MACS_J1206.2-0847           3277   0.00   0.15  4.15  0.00  0.00  8.35  7.22  9.82  0.20  0.03  0.39   5.74e-04   5.48e-04   6.04e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.044   99.4 449.25    431
MACS_J1226.8+2153           3590   0.00   0.16  1.82  0.00  0.00  5.04  3.85  6.64  0.00  0.00  0.16   1.40e-04   1.25e-04   1.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3700  0.009   96.7 265.49    431
MACS_J1311.0-0310           3258   0.14   0.14  2.18  0.00  0.00  4.67  4.39  4.99  0.41  0.30  0.53   4.65e-04   4.40e-04   4.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4940  0.032   98.7 868.33    862
MACS_J1311.0-0310           6110   0.14   0.14  2.18  0.00  0.00  4.67  4.39  4.99  0.41  0.30  0.53   4.65e-04   4.40e-04   4.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4940  0.032   98.7 868.33    862
MACS_J1319+7003             3278   0.00   0.17  1.53  0.00  0.00  9.73  7.01 17.31  0.83  0.12  1.70   1.63e-04   1.39e-04   1.87e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3275  0.016   96.4 329.88    431
MACS_J1427.6-2521           3279   0.00   0.24  6.11  0.00  0.00  3.95  3.67  4.34  0.25  0.10  0.40   7.39e-04   7.01e-04   7.96e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.065   98.9 447.82    431
MACS_J1621.3+3810           6109   0.14   0.14  1.07  0.00  0.00  4.69  4.47  4.95  0.34  0.25  0.44   5.22e-04   5.02e-04   5.43e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4610  0.036   99.4 1536.40   1724
MACS_J1621.3+3810           6172   0.14   0.14  1.07  0.00  0.00  4.69  4.47  4.95  0.34  0.25  0.44   5.22e-04   5.02e-04   5.43e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4610  0.036   99.4 1536.40   1724
MACS_J1621.3+3810           3254   0.14   0.14  1.07  0.00  0.00  4.69  4.47  4.95  0.34  0.25  0.44   5.22e-04   5.02e-04   5.43e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4610  0.036   99.4 1536.40   1724
MACS_J1621.3+3810           3594   0.14   0.14  1.07  0.00  0.00  4.69  4.47  4.95  0.34  0.25  0.44   5.22e-04   5.02e-04   5.43e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4610  0.036   99.4 1536.40   1724
MACS_J1824.3+4309           3255   0.00   0.14  4.52  0.00  0.00  2.25  1.90  2.69  0.49  0.16  1.14   1.22e-04   8.87e-05   1.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4870  0.006   96.4 183.01    431
MACS_J1931.8-2634           3282   0.00   0.16  9.13  0.00  0.00  4.87  4.63  5.14  0.62  0.51  0.75   2.71e-03   2.61e-03   2.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3520  0.221   99.8 480.82    431
MACS_J2211.7-0349           3284   0.00   0.21  5.86  0.00  0.00 11.68 10.14 13.84  0.02  0.00  0.19   1.10e-03   1.06e-03   1.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2700  0.098   99.5 462.88    431
MACS_J2214.9-1359           3259   0.14   0.14  3.32  0.00  0.00 11.16  8.97 14.33  0.00  0.00  0.21   2.08e-04   1.95e-04   2.20e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5026  0.015   98.7 683.56    862
MACS_J2214.9-1359           5011   0.14   0.14  3.32  0.00  0.00 11.16  8.97 14.33  0.00  0.00  0.21   2.08e-04   1.95e-04   2.20e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5026  0.015   98.7 683.56    862
MACS_J2228+2036             3285   0.00   0.16  4.52  0.00  0.00  9.73  7.46 13.89  0.87  0.37  1.57   1.69e-04   1.49e-04   1.88e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4120  0.015   98.2 340.61    431
MACS_J2229.7-2755           3286   0.00   0.18  1.34  0.00  0.00  3.37  3.24  3.52  0.71  0.57  0.86   1.81e-03   1.72e-03   1.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3240  0.162   99.7 407.45    431
MACS_J2243.3-0935           3260   0.00   0.47  4.31  0.00  0.00  7.09  6.05  8.68  0.02  0.00  0.29   4.00e-04   3.76e-04   4.16e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1010  0.044   94.6 478.79    431
MACS_J2245.0+2637           3287   0.00   0.19  5.50  0.00  0.00  4.76  4.42  5.16  0.86  0.65  1.12   8.95e-04   8.38e-04   9.53e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3040  0.086   99.4 438.31    431
MACS_J2311+0338             3288   0.00   0.19  5.23  0.00  0.00  5.60  4.70  6.92  0.23  0.02  0.52   3.75e-04   3.44e-04   4.07e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2998  0.032   97.8 387.45    431
MKW3S                        900   0.00   0.98  3.05  0.00  0.00  3.42  3.39  3.46  0.77  0.74  0.81   7.73e-03   7.65e-03   7.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  1.145   98.6 523.32    431
MS_0016.9+1609               520   0.00   0.13  4.06  0.00  0.00  8.72  7.25 11.42  0.50  0.22  0.93   1.25e-04   1.17e-04   1.37e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.010   97.8 405.39    431
MS_0302.7+1658               525   0.00   0.15 10.95  0.00  0.00  3.19  2.64  4.06  0.39  0.09  1.05   2.39e-04   1.89e-04   2.90e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4240  0.015   97.8 244.19    431
MS_0440.5+0204              4196   0.00   0.26  9.10  0.00  0.00  5.02  4.62  5.50  0.66  0.44  0.93   6.64e-04   6.21e-04   7.05e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.092   93.8 429.25    431
MS_0451.6-0305               902   0.00   0.13  5.68  0.00  0.00 13.14 10.00 19.28  0.42  0.16  0.60   1.72e-04   1.59e-04   1.84e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5386  0.017   92.1 410.35    431
MS_0735.6+7421              4197   0.00   0.24  3.40  0.00  0.00  3.68  3.58  3.79  0.71  0.63  0.80   1.19e-03   1.15e-03   1.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2160  0.172   97.7 459.88    431
MS_0839.8+2938              2224   0.00   0.26  3.92  0.00  0.00  3.35  3.23  3.49  0.69  0.59  0.81   9.78e-04   9.38e-04   1.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1940  0.153   96.2 438.98    431
MS_0906.5+1110               924   0.00   0.30  3.60  0.00  0.00  6.43  5.88  7.10  0.39  0.24  0.57   5.92e-04   5.66e-04   6.15e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1630  0.065   97.9 471.11    431
MS_1006.0+1202               925   0.00   0.24  3.63  0.00  0.00 11.27  8.60 16.16  0.54  0.07  1.18   1.37e-04   1.24e-04   1.51e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2210  0.015   94.7 408.44    431
MS_1008.1-1224               926   0.00   0.19  6.71  0.00  0.00  5.23  4.52  6.19  0.78  0.45  1.26   1.60e-04   1.46e-04   1.81e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3010  0.016   96.7 459.05    431
MS_1054.5-0321               512   0.00   0.11  3.69  0.00  0.00  1.16  0.92  1.52  0.00  0.00  0.06   5.52e-05   3.82e-05   7.36e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8300  0.002   64.5 163.82    431
MS_1455.0+2232              4192   0.00   0.21  3.35  0.00  0.00  4.05  3.98  4.12  0.54  0.51  0.58   2.49e-03   2.46e-03   2.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2590  0.219   99.8 498.03    431
MS_1621.5+2640               546   0.00   0.15  3.59  0.00  0.00  7.41  4.90 12.64  1.46  0.47  3.45   2.82e-05   2.02e-05   3.55e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4260  0.003   88.4 239.95    431
MS_2053.7-0449              1667   0.12   0.12  5.16  0.00  0.00  3.88  3.26  4.71  0.48  0.19  0.98   5.32e-05   4.92e-05   6.16e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.003   92.9 464.96    862
MS_2053.7-0449               551   0.12   0.12  5.16  0.00  0.00  3.88  3.26  4.71  0.48  0.19  0.98   5.32e-05   4.92e-05   6.16e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.003   92.9 464.96    862
MS_2137.3-2353              4974   0.00   0.18  3.40  0.00  0.00  4.22  4.07  4.39  0.54  0.45  0.63   2.21e-03   2.14e-03   2.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3130  0.266   99.0 409.17    431
MS_J1157.3+5531             4964   0.00   0.57  1.22  0.00  0.00  1.53  1.50  1.56  0.46  0.42  0.51   5.15e-04   4.93e-04   5.37e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0810  0.091   79.4 511.57    431
NGC_6338                    4194   0.00   1.54  2.60  0.00  0.00  2.11  2.08  2.15  0.78  0.73  0.84   2.40e-03   2.33e-03   2.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.369   93.5 540.94    431
PKS_0745-191                6103   0.00   0.44 40.80  0.00  0.00  5.02  4.90  5.16  0.43  0.38  0.48   1.77e-02   1.74e-02   1.79e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1028  1.476   99.8 487.30    431
RBS_0797                    2202   0.00   0.16  2.22  0.00  0.00  5.68  5.36  6.03  0.43  0.33  0.55   3.31e-03   3.21e-03   3.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.292   99.8 403.34    431
RDCS_1252-29                4198   0.00   0.10  6.06  0.00  0.00  2.06  1.58  2.69  0.00  0.00  0.44   3.31e-05   2.36e-05   4.37e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.2370  0.001   82.9 177.67    431
RX_J0232.2-4420             4993   0.00   0.21  2.53  0.00  0.00  5.42  5.05  5.85  0.77  0.59  0.98   1.09e-03   1.04e-03   1.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2836  0.107   99.3 484.37    431
RX_J0340-4542               6954   0.00   0.57  1.63  0.00  0.00  2.18  1.18  4.42  0.16  0.00 10.00   9.20e-05   0.00e+00   1.52e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0818  0.008   63.1   0.95      4
RX_J0439+0520                527   0.00   0.25 10.02  0.00  0.00  3.39  3.22  3.60  0.65  0.51  0.86   1.70e-03   1.58e-03   1.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2080  0.164   99.6 438.99    431
RX_J0439.0+0715             3583   0.22   0.22 11.16  0.00  0.00  5.50  5.07  6.02  0.30  0.18  0.46   7.78e-04   7.46e-04   8.15e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.067   98.6 860.26    862
RX_J0439.0+0715             1449   0.22   0.22 11.16  0.00  0.00  5.50  5.07  6.02  0.30  0.18  0.46   7.78e-04   7.46e-04   8.15e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.067   98.6 860.26    862
RX_J0528.9-3927             4994   0.00   0.21  2.36  0.00  0.00  7.40  6.42  8.67  0.13  0.00  0.33   7.69e-04   7.29e-04   8.00e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2632  0.071   99.0 451.61    431
RX_J0647.7+7015             3196   0.12   0.12  5.18  0.00  0.00 10.54  8.46 14.46  0.17  0.00  0.48   2.08e-04   1.92e-04   2.26e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5840  0.013   98.3 658.22    862
RX_J0647.7+7015             3584   0.12   0.12  5.18  0.00  0.00 10.54  8.46 14.46  0.17  0.00  0.48   2.08e-04   1.92e-04   2.26e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5840  0.013   98.3 658.22    862
RX_J0819.6+6336             2199   0.00   0.39  4.11  0.00  0.00  3.45  3.19  3.73  0.76  0.56  1.03   5.80e-04   5.32e-04   6.26e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1190  0.105   89.2 422.78    431
RX_J0910+5422               2452   0.10   0.10  2.07  0.00  0.00  1.96  1.45  2.80  0.00  0.00  0.56   1.85e-05   9.59e-06   2.39e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1000  0.000   80.9 245.41    862
RX_J0910+5422               2227   0.10   0.10  2.07  0.00  0.00  1.96  1.45  2.80  0.00  0.00  0.56   1.85e-05   9.59e-06   2.39e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1000  0.000   80.9 245.41    862
RX_J0910+5422               2452   0.00   0.10  2.07  0.00  0.00  1.52  0.90  2.93  0.00  0.00  2.55   2.26e-05   0.00e+00   4.95e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1000  0.000   81.4  95.56    431
RX_J1053+5735               4936   0.00   0.10  0.59  0.00  0.00  3.52  2.76  4.84  4.44  1.23 1000.00   7.89e-06   0.00e+00   1.47e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1400  0.001   59.9 186.66    431
RX_J1347.5-1145              507   0.15   0.15  4.89  0.00  0.00  8.88  8.60  9.18  0.47  0.42  0.52   3.79e-03   3.72e-03   3.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4510  0.434   99.9 869.74    862
RX_J1347.5-1145             3592   0.15   0.15  4.89  0.00  0.00  8.88  8.60  9.18  0.47  0.42  0.52   3.79e-03   3.72e-03   3.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4510  0.434   99.9 869.74    862
RX_J1350+6007               2229   0.00   0.11  1.77  0.00  0.00  1.43  1.19  1.88  0.03  0.00  1.91   1.24e-04   0.00e+00   1.60e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8040  0.003   81.7 219.37    431
RX_J1423.8+2404             4195   0.13   0.13  2.65  0.00  0.00  4.78  4.66  4.91  0.59  0.53  0.65   1.06e-03   1.04e-03   1.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5450  0.099   99.8 929.73    862
RX_J1423.8+2404             1657   0.13   0.13  2.65  0.00  0.00  4.78  4.66  4.91  0.59  0.53  0.65   1.06e-03   1.04e-03   1.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5450  0.099   99.8 929.73    862
RX_J1504.1-0248             5793   0.00   0.24  6.27  0.00  0.00  5.32  5.24  5.41  0.44  0.41  0.47   1.14e-02   1.13e-02   1.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2150  1.116   99.9 535.19    431
