# Custom: see config file for specs; E/Cts Range = 0.7 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_0383                  2321   0.00   1.69  4.07  0.00  0.00  4.13  3.97  4.30  0.58  0.50  0.68   6.02e-03   5.84e-03   6.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.945   81.2   1.25    214
ABELL_0399                  3230   0.00   4.71  8.20  7.41  9.00  7.98  7.63  8.36  0.33  0.27  0.38   1.51e-02   1.49e-02   1.54e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.757   87.6   1.05    414
ABELL_0401                   518   0.00   5.26 12.48  0.00  0.00  7.76  7.52  8.01  0.59  0.52  0.67   3.63e-02   3.57e-02   3.67e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  4.625   97.2   1.74    408
ABELL_0478                  6102   0.00   4.21 30.90  0.00  0.00  6.73  6.54  6.93  0.46  0.42  0.51   6.46e-02   6.38e-02   6.54e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  6.142   96.2   1.05    400
ABELL_0514                  3578   0.00   4.43  3.14  0.00  0.00  3.89  3.64  4.15  0.31  0.21  0.44   2.36e-03   2.25e-03   2.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  0.279   58.7   0.96    273
ABELL_0520                  4215   0.00   2.18  1.21  0.07  2.36  9.16  8.53  9.87  0.36  0.29  0.43   5.63e-03   5.52e-03   5.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.590   91.2   1.12    361
ABELL_0521                   430   0.00   1.75  6.17  0.00  0.00  7.26  6.64  8.02  0.47  0.32  0.63   2.78e-03   2.68e-03   2.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.384   56.0   1.11    190
ABELL_0586                   530   0.00   2.70  4.71  0.00  0.00  6.57  6.08  7.13  0.46  0.32  0.61   7.85e-03   7.58e-03   8.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.886   89.1   0.87    188
ABELL_0611                  3194   0.00   1.59  4.99  0.00  0.00  6.67  6.27  7.12  0.33  0.24  0.42   3.74e-03   3.65e-03   3.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.474   70.6   1.06    223
ABELL_0644                  2211   0.00   5.14  6.31  0.00  0.00  7.71  7.53  7.89  0.43  0.39  0.48   3.63e-02   3.60e-02   3.67e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  4.513   93.2   1.26    422
ABELL_0665                  3586   0.00   2.52  4.24  0.00  0.00  7.36  7.00  7.76  0.29  0.22  0.36   8.57e-03   8.43e-03   8.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.889   92.0   1.11    321
ABELL_0697                  4217   0.00   1.88  3.34  0.00  0.00  9.73  8.91 10.69  0.44  0.32  0.56   6.30e-03   6.13e-03   6.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.605   93.6   1.12    223
ABELL_0773                  5006   0.00   2.22  1.46  0.00  0.00  8.00  7.38  8.71  0.33  0.22  0.45   5.68e-03   5.53e-03   5.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.581   90.3   1.07    218
ABELL_0907                  3185   0.00   2.26  5.69  0.00  0.00  5.21  5.07  5.35  0.50  0.45  0.56   8.53e-03   8.40e-03   8.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.942   94.0   1.29    358
ABELL_0963                   903   0.00   2.03  1.39  0.00  0.00  6.89  6.60  7.20  0.35  0.28  0.42   6.38e-03   6.27e-03   6.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.978   76.8   1.05    311
ABELL_1063S                 4966   0.00   2.06  1.77  0.00  0.00 12.04 11.28 12.90  0.41  0.32  0.50   1.20e-02   1.18e-02   1.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  1.081   94.9   1.01    339
ABELL_1068                  1652   0.00   2.16  0.71  0.00  0.00  3.91  3.81  4.01  0.48  0.43  0.53   9.96e-03   9.79e-03   1.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  1.681   84.0   1.04    296
ABELL_1201                  4216   0.00   2.32  1.85  0.00  0.00  5.50  5.17  5.88  0.40  0.29  0.51   3.78e-03   3.66e-03   3.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.564   53.1   1.09    227
ABELL_1204                  2205   0.00   1.78  1.44  0.00  0.00  3.51  3.40  3.62  0.42  0.36  0.50   7.72e-03   7.50e-03   7.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.826   95.8   1.30    236
ABELL_1361                  2200   0.00   2.54  2.18  0.00  0.00  4.03  3.65  4.46  0.56  0.36  0.80   6.37e-03   5.93e-03   6.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  1.148   68.6   1.00    101
ABELL_1423                   538   0.00   2.24  1.60  0.00  0.00  5.73  5.19  6.37  0.51  0.33  0.70   3.88e-03   3.68e-03   4.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.436   86.4   1.02    125
