r_{max-70}          0         1.01826        0.922630
r_{max-70}          1         1.02618        0.917167
r_{max-70}          2         1.03149        0.914339
r_{max-70}          3         1.03149        0.914339
r_{max-70}          4         1.03186        0.914103

r_{break-70}          0         1.02382        0.925876
r_{break-70}          1         1.02368        0.924896
r_{break-70}          2         1.03725        0.917370
r_{break-70}          3         1.04310        0.914310
r_{break-70}          4         1.04336        0.914169

r_{2500-70}          0        0.989383        0.941014
r_{2500-70}          1        0.987696        0.941153
r_{2500-70}          2        0.990395        0.939479
r_{2500-70}          3        0.989945        0.939714
r_{2500-70}          4        0.990243        0.939534

r_{5000-70}          0        0.976036        0.949805
r_{5000-70}          1        0.991722        0.940068
r_{5000-70}          2        0.994516        0.938430
r_{5000-70}          3        0.994516        0.938430
r_{5000-70}          4        0.994343        0.938542

r_{2500}          0        0.978637        0.964621
r_{2500}          1        0.982905        0.961914
r_{2500}          2        0.988162        0.958579
r_{2500}          3        0.992705        0.955714
r_{2500}          4        0.992705        0.955714

r_{5000}          0        0.887883         1.00260
r_{5000}          1        0.894750        0.997591
r_{5000}          2        0.897821        0.995494
r_{5000}          3        0.898044        0.995331
r_{5000}          4        0.897829        0.995488
