# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF TloBF ThiBF   N/BF Nlo/BF Nhi/BF       z     Cr   Junk  chisq    dof
1RXS_J2129.4-0741           3595    0.5   0.85  4.36  0.00  0.00 13.79 10.43 19.55  0.47  0.12  0.91   1.54e-03   1.42e-03   1.67e-03  1.34  1.28  1.45  0.801  0.796  0.812  0.5700  0.079      0   1.19     60
1RXS_J2129.4-0741           3595    0.5    0.8  4.36  0.00  0.00  8.72  7.02 11.17  0.41  0.18  0.65   1.63e-03   1.50e-03   1.75e-03  0.85  0.86  0.83  0.847  0.842  0.855  0.5700  0.076      0   0.59     56
1RXS_J2129.4-0741           3595   0.75   0.85  4.36  0.00  0.00  8.70  6.99 11.17  0.21  0.00  0.43   1.66e-03   1.54e-03   1.80e-03  0.85  0.86  0.83  0.864  0.863  0.877  0.5700  0.076      0   1.47     56
1RXS_J2129.4-0741           3595   0.75    0.8  4.36  0.00  0.00  6.95  5.65  8.70  0.38  0.17  0.62   1.57e-03   1.43e-03   1.73e-03  0.68  0.69  0.64  0.820  0.801  0.842  0.5700  0.070      0   1.16     52
1RXS_J2129.4-0741           3595    1.0   0.85  4.36  0.00  0.00  7.77  6.35  9.76  0.28  0.09  0.49   1.71e-03   1.59e-03   1.86e-03  0.76  0.78  0.72  0.891  0.891  0.905  0.5700  0.077      0   1.14     56
1RXS_J2129.4-0741           3595    1.0    0.8  4.36  0.00  0.00  7.86  6.24 10.21  0.60  0.34  0.93   1.41e-03   1.26e-03   1.54e-03  0.76  0.76  0.75  0.732  0.709  0.750  0.5700  0.070      0   1.68     53
1RXS_J2129.4-0741           3595    0.5   0.95  4.36  0.00  0.00  9.40  7.52 13.02  0.36  0.09  0.61   1.77e-03   1.65e-03   1.90e-03  0.91  0.92  0.96  0.921  0.926  0.927  0.5700  0.084      0   1.03     60
1RXS_J2129.4-0741           3595    0.5   0.96  4.36  0.00  0.00  7.71  6.37  9.66  0.32  0.11  0.53   1.84e-03   1.71e-03   1.98e-03  0.75  0.78  0.71  0.957  0.962  0.965  0.5700  0.083      0   0.82     60
1RXS_J2129.4-0741           3595    0.5   0.97  4.36  0.00  0.00 10.70  8.44 14.41  0.54  0.25  0.85   1.71e-03   1.59e-03   1.84e-03  1.04  1.03  1.07  0.890  0.892  0.895  0.5700  0.085      0   0.61     61
1RXS_J2129.4-0741           3595    0.5   0.98  4.36  0.00  0.00  8.56  7.09 10.65  0.48  0.25  0.73   1.78e-03   1.65e-03   1.92e-03  0.83  0.87  0.79  0.926  0.925  0.936  0.5700  0.085      0   0.78     59
1RXS_J2129.4-0741           3595    0.5   0.99  4.36  0.00  0.00 10.89  8.67 14.46  0.58  0.30  0.89   1.82e-03   1.69e-03   1.95e-03  1.06  1.06  1.07  0.948  0.952  0.953  0.5700  0.091      0   1.07     66
1RXS_J2129.4-0741           3595    0.5    0.9  4.36  0.00  0.00  6.77  5.63  8.28  0.30  0.12  0.48   1.84e-03   1.69e-03   2.00e-03  0.66  0.69  0.61  0.959  0.950  0.975  0.5700  0.078      0   0.85     57
1RXS_J2129.4-0741           3595   0.75   0.95  4.36  0.00  0.00 12.14  9.30 16.89  0.36  0.06  0.67   1.73e-03   1.61e-03   1.86e-03  1.18  1.14  1.25  0.903  0.907  0.909  0.5700  0.085      0   0.98     61
1RXS_J2129.4-0741           3595   0.75   0.96  4.36  0.00  0.00  8.81  7.16 11.17  0.44  0.21  0.69   1.74e-03   1.61e-03   1.87e-03  0.86  0.88  0.83  0.907  0.906  0.911  0.5700  0.082      0   1.03     61
1RXS_J2129.4-0741           3595   0.75   0.97  4.36  0.00  0.00 11.51  9.01 15.45  0.10  0.00  0.34   1.91e-03   1.79e-03   2.03e-03  1.12  1.10  1.14  0.994  1.004  0.991  0.5700  0.088      0   0.85     63
1RXS_J2129.4-0741           3595   0.75   0.98  4.36  0.00  0.00 10.41  8.23 14.07  0.43  0.13  0.72   1.71e-03   1.59e-03   1.83e-03  1.01  1.01  1.04  0.893  0.893  0.895  0.5700  0.084      0   1.04     62
1RXS_J2129.4-0741           3595   0.75   0.99  4.36  0.00  0.00  7.89  6.56  9.77  0.33  0.14  0.52   1.97e-03   1.83e-03   2.12e-03  0.77  0.80  0.72  1.024  1.029  1.033  0.5700  0.090      0   1.04     66
1RXS_J2129.4-0741           3595   0.75    0.9  4.36  0.00  0.00  7.84  6.36 10.11  0.27  0.05  0.48   1.73e-03   1.60e-03   1.86e-03  0.76  0.78  0.75  0.899  0.899  0.907  0.5700  0.077      0   1.30     56
1RXS_J2129.4-0741           3595    1.0   0.95  4.36  0.00  0.00  9.21  7.37 12.39  0.39  0.13  0.65   1.73e-03   1.62e-03   1.86e-03  0.90  0.90  0.92  0.902  0.908  0.906  0.5700  0.083      0   0.87     61
1RXS_J2129.4-0741           3595    1.0   0.96  4.36  0.00  0.00  8.99  7.17 11.76  0.32  0.09  0.55   1.81e-03   1.69e-03   1.95e-03  0.87  0.88  0.87  0.944  0.949  0.952  0.5700  0.084      0   0.99     60
1RXS_J2129.4-0741           3595    1.0   0.97  4.36  0.00  0.00  7.85  6.50  9.84  0.13  0.00  0.30   1.96e-03   1.82e-03   2.11e-03  0.76  0.80  0.73  1.020  1.020  1.030  0.5700  0.085      0   0.99     63
1RXS_J2129.4-0741           3595    1.0   0.98  4.36  0.00  0.00  6.65  5.58  8.01  0.14  0.00  0.29   2.19e-03   2.03e-03   2.36e-03  0.65  0.68  0.59  1.139  1.142  1.151  0.5700  0.089      0   1.08     61
1RXS_J2129.4-0741           3595    1.0   0.99  4.36  0.00  0.00  7.89  6.58  9.63  0.44  0.24  0.67   1.88e-03   1.74e-03   2.03e-03  0.77  0.81  0.71  0.978  0.976  0.992  0.5700  0.086      0   0.87     62
1RXS_J2129.4-0741           3595    1.0    0.9  4.36  0.00  0.00  7.38  6.15  9.10  0.34  0.13  0.56   1.77e-03   1.64e-03   1.91e-03  0.72  0.75  0.67  0.923  0.922  0.929  0.5700  0.079      0   1.02     57
3C_220.1                     839    0.5   0.85  1.91  0.00  0.00  3.58  1.84 10.43  0.24  0.00  1.42   3.16e-04   2.12e-04   5.90e-04  0.50  0.54  0.42  1.001  0.837  1.381  0.6100  0.013      0   0.86     25
3C_220.1                     839    0.5    0.8  1.91  0.00  0.00  2.40  1.67  6.40  2.50  0.00 1000.00   1.55e-04   0.00e+00   3.16e-04  0.33  0.49  0.26  0.491  0.000  0.739  0.6100  0.010      0   0.94     23
3C_220.1                     839   0.75   0.85  1.91  0.00  0.00  2.11  1.51  8.69  1.48  0.00 76.10   2.44e-04   0.00e+00   4.33e-04  0.29  0.44  0.35  0.772  0.000  1.013  0.6100  0.010      0   1.57     23
3C_220.1                     839   0.75    0.8  1.91  0.00  0.00  4.57  2.10 14.11  0.01  0.00  1.37   2.69e-04   1.74e-04   4.66e-04  0.64  0.62  0.57  0.852  0.688  1.092  0.6100  0.011      0   0.97     23
3C_220.1                     839    1.0   0.85  1.91  0.00  0.00  3.20  1.76  6.73  0.00  0.00  1.55   3.40e-04   1.92e-04   5.32e-04  0.45  0.52  0.27  1.077  0.758  1.247  0.6100  0.013      0   1.23     24
3C_220.1                     839    1.0    0.8  1.91  0.00  0.00  3.36  1.98  8.38  0.32  0.00  2.36   2.80e-04   1.63e-04   4.08e-04  0.47  0.58  0.34  0.887  0.644  0.957  0.6100  0.011      0   1.08     22
3C_220.1                     839    0.5   0.95  1.91  0.00  0.00  7.05  2.86 24.66  0.80  0.00  3.08   2.32e-04   1.57e-04   3.23e-04  0.98  0.84  1.00  0.735  0.621  0.757  0.6100  0.015      0   0.48     26
3C_220.1                     839    0.5   0.96  1.91  0.00  0.00  2.44  1.38  4.97  0.13  0.00  1.56   3.94e-04   2.18e-04   7.41e-04  0.34  0.41  0.20  1.248  0.861  1.736  0.6100  0.010      0   0.88     23
3C_220.1                     839    0.5   0.97  1.91  0.00  0.00  4.12  2.28 11.57  0.15  0.00  1.65   3.43e-04   2.46e-04   5.16e-04  0.57  0.67  0.47  1.084  0.974  1.207  0.6100  0.016      0   1.62     27
3C_220.1                     839    0.5   0.98  1.91  0.00  0.00  4.39  2.34  9.03  0.00  0.00  1.09   2.94e-04   2.19e-04   4.33e-04  0.61  0.69  0.37  0.931  0.867  1.013  0.6100  0.012      0   1.27     23
3C_220.1                     839    0.5   0.99  1.91  0.00  0.00  7.40  3.38 22.23  0.00  0.00  0.95   2.90e-04   2.22e-04   3.81e-04  1.03  0.99  0.90  0.917  0.878  0.892  0.6100  0.014      0   0.45     26
3C_220.1                     839    0.5    0.9  1.91  0.00  0.00  3.09  1.61  6.42  0.00  0.00  0.66   3.75e-04   2.51e-04   6.95e-04  0.43  0.47  0.26  1.188  0.993  1.627  0.6100  0.012      0   0.99     24
3C_220.1                     839   0.75   0.95  1.91  0.00  0.00 12.07  4.59 79.90  0.00  0.00  2.78   2.56e-04   1.93e-04   3.22e-04  1.68  1.34  3.23  0.810  0.763  0.754  0.6100  0.015      0   1.23     26
3C_220.1                     839   0.75   0.96  1.91  0.00  0.00 10.95  4.28 76.12  0.54  0.00  5.29   2.59e-04   1.75e-04   3.38e-04  1.53  1.25  3.08  0.819  0.690  0.792  0.6100  0.017      0   0.88     27
3C_220.1                     839   0.75   0.97  1.91  0.00  0.00  5.16  2.61 13.35  0.00  0.00  0.45   3.00e-04   2.27e-04   4.41e-04  0.72  0.77  0.54  0.948  0.896  1.032  0.6100  0.014      0   1.23     25
3C_220.1                     839   0.75   0.98  1.91  0.00  0.00  3.10  1.74  6.03  0.15  0.00  1.39   4.14e-04   2.68e-04   6.77e-04  0.43  0.51  0.24  1.309  1.060  1.586  0.6100  0.013      0   0.66     25
3C_220.1                     839   0.75   0.99  1.91  0.00  0.00  6.62  3.24 24.21  0.47  0.00  1.67   2.96e-04   2.21e-04   4.04e-04  0.92  0.95  0.98  0.938  0.872  0.947  0.6100  0.017      0   0.88     27
3C_220.1                     839   0.75    0.9  1.91  0.00  0.00 11.62  4.87 79.40  0.00  0.00  1.07   2.75e-04   2.29e-04   3.40e-04  1.62  1.43  3.21  0.869  0.906  0.797  0.6100  0.014      0   1.80     25
3C_220.1                     839    1.0   0.95  1.91  0.00  0.00  6.45  2.56 21.62  0.00  0.00  1.19   2.53e-04   1.98e-04   3.84e-04  0.90  0.75  0.87  0.802  0.783  0.899  0.6100  0.014      0   1.65     26
3C_220.1                     839    1.0   0.96  1.91  0.00  0.00 26.37  7.29 79.90  0.72  0.00 19.39   2.57e-04   1.79e-04   3.65e-04  3.67  2.14  3.23  0.814  0.708  0.855  0.6100  0.016      0   0.98     28
3C_220.1                     839    1.0   0.97  1.91  0.00  0.00  2.14  1.45 17.27  1.60  0.00 1000.00   1.96e-04   0.00e+00   4.24e-04  0.30  0.42  0.70  0.621  0.000  0.994  0.6100  0.012      0   1.49     24
3C_220.1                     839    1.0   0.98  1.91  0.00  0.00  6.72  3.47 19.33  0.00  0.00  0.57   2.86e-04   2.30e-04   3.76e-04  0.94  1.02  0.78  0.906  0.910  0.881  0.6100  0.014      0   0.88     25
3C_220.1                     839    1.0   0.99  1.91  0.00  0.00  3.61  2.29  8.59  1.28  0.08  6.09   2.50e-04   1.11e-04   3.74e-04  0.50  0.67  0.35  0.792  0.440  0.876  0.6100  0.014      0   1.04     25
3C_220.1                     839    1.0    0.9  1.91  0.00  0.00  6.79  3.31 21.34  0.00  0.00  0.77   2.98e-04   2.37e-04   4.05e-04  0.95  0.97  0.86  0.943  0.936  0.949  0.6100  0.014      0   0.80     25
3C_28.0                     3233    0.5   0.85  5.71  0.00  0.00  5.02  4.66  5.43  0.28  0.20  0.35   3.38e-03   3.25e-03   3.53e-03  0.74  0.75  0.72  0.937  0.935  0.943  0.1952  0.144      0   1.01    188
3C_28.0                     3233    0.5    0.8  5.71  0.00  0.00  5.47  5.03  5.97  0.32  0.24  0.41   3.04e-03   2.91e-03   3.16e-03  0.80  0.81  0.79  0.841  0.837  0.845  0.1952  0.136      0   1.05    187
3C_28.0                     3233   0.75   0.85  5.71  0.00  0.00  5.17  4.80  5.59  0.27  0.20  0.34   3.39e-03   3.26e-03   3.53e-03  0.76  0.77  0.74  0.940  0.937  0.944  0.1952  0.145      0   0.95    190
3C_28.0                     3233   0.75    0.8  5.71  0.00  0.00  4.91  4.56  5.31  0.33  0.25  0.41   3.20e-03   3.07e-03   3.33e-03  0.72  0.73  0.71  0.886  0.883  0.891  0.1952  0.136      0   0.90    180
