# Model: wabs(mekal) for rmax-70 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
ABELL_0781                   534   0.02   4.59  1.90  0.00  0.00  4.79  4.20  5.51  0.30  0.30  0.30   3.46e-03   3.32e-03   3.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.322   63.1   1.20    134
ABELL_0907                  3185   0.04   5.76  5.69  0.00  0.00  5.42  5.23  5.63  0.25  0.25  0.25   8.43e-03   8.35e-03   8.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.861   70.9   1.20    399
ABELL_0963                   903   0.03   3.04  1.39  0.00  0.00  6.62  6.32  6.94  0.34  0.34  0.34   5.95e-03   5.89e-03   6.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.904   61.5   1.11    325
ABELL_1068                  1652   0.04   3.08  0.71  0.00  0.00  4.88  4.68  5.09  0.42  0.42  0.42   5.85e-03   5.78e-03   5.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.977   65.1   1.04    281
ABELL_1204                  2205   0.03   5.59  1.44  0.00  0.00  3.53  3.33  3.74  0.35  0.35  0.35   4.40e-03   4.30e-03   4.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.450   67.5   1.12    249
ABELL_1361                  2200   0.05   2.94  2.18  0.00  0.00  6.21  5.21  7.64  0.61  0.61  0.61   3.88e-03   3.73e-03   4.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.711   54.4   1.01     77
ABELL_1413                  5003   0.04   2.75  2.19  0.00  0.00  7.58  7.35  7.82  0.21  0.21  0.21   1.08e-02   1.07e-02   1.08e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  1.015   92.5   1.17    398
ABELL_1423                   538   0.03   4.26  1.60  0.00  0.00  6.15  5.47  6.98  0.30  0.30  0.30   4.46e-03   4.33e-03   4.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.478   71.0   1.01    154
ABELL_1650                  4178   0.07   2.90  1.62  0.00  0.00  6.17  5.98  6.38  0.40  0.40  0.40   1.29e-02   1.28e-02   1.30e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  2.139   80.2   0.85    353
ABELL_1651                  4185   0.07   7.28  2.02  0.00  0.00  6.32  6.03  6.65  0.32  0.32  0.32   2.27e-02   2.25e-02   2.30e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  2.730   82.6   1.28    329
