ABELL_3558                  1646   0.00   3.03  3.84  0.00  0.00  7.29  6.68  8.01  0.56  0.46  0.67   1.95e-02   1.88e-02   2.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0480  1.007   86.1   1.04    239
ABELL_3571                  4203   0.00   2.17  4.66  0.00  0.00  7.86  7.51  8.24  0.44  0.39  0.49   2.71e-02   2.67e-02   2.75e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0391  1.426   92.5   1.28    325
ABELL_3667                  5751   0.00   6.11  5.45  0.00  0.00  7.61  7.40  7.82  0.35  0.32  0.38   3.41e-02   3.38e-02   3.44e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0556  1.348   88.2   1.03    339
ABELL_4038                  4992   0.00   8.00  1.57  0.00  0.00  3.32  3.22  3.42  0.39  0.34  0.44   3.80e-02   3.71e-02   3.90e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  1.210   84.7   1.12    336
CYGNUS_A                     360   0.07   2.39 30.64  0.00  0.00  8.05  7.59  8.56  0.45  0.38  0.51   1.74e-02   1.71e-02   1.78e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0561  0.857   83.2   1.14    312
ESO_3060170                 3189   0.00   5.29  3.43  0.00  0.00  3.21  2.90  3.59  0.35  0.18  0.55   8.58e-03   7.86e-03   9.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0358  0.267   79.5   0.90    153
ESO_5520200                 3206   0.00   5.77  4.29  0.00  0.00  2.74  2.42  3.16  0.47  0.17  0.86   4.44e-03   3.82e-03   5.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0314  0.134   61.1   1.18    156
HYDRA_A                     4970   0.07   4.66  3.35  0.00  0.00  4.48  4.37  4.59  0.29  0.26  0.31   2.65e-02   2.62e-02   2.69e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0549  1.041   74.4   1.08    339
MKW_04                      3234   0.00   3.83  1.90  0.00  0.00  1.90  1.81  2.00  0.91  0.68  1.20   6.65e-03   5.82e-03   7.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0198  0.201   61.1   1.05    194
OPHIUCHUS                   3200   0.15   3.00 33.45  0.00  0.00 10.81 10.47 11.18  0.40  0.37  0.43   7.19e-02   7.14e-02   7.24e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  3.664   93.4   1.09    339
PKS_0745-191            6103+508   0.00   4.11 36.27  0.00  0.00 13.87 12.92 14.98  0.78  0.69  0.86   5.00e-02   4.92e-02   5.09e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1028  2.638   91.2   2.25    645
RX_J0820.9+0752             1647   0.00   3.03  2.37  0.00  0.00  1.64  0.66  2.22  0.65  0.00 45.22   4.45e-03   0.00e+00   8.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1100  0.094   37.3  12.68     15
SERSIC_159-03               1668   0.00   2.93  1.89  0.00  0.00  2.54  2.40  2.71  0.28  0.19  0.38   2.26e-02   2.13e-02   2.41e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0580  0.629   85.0   1.07    158
