#Model: mekal; Energy band: 0.4 keV --> 1.0 keV; Fe-frozen? yes; Tx-frozen? no
#Confidence Level: 1.0; Systematic error: 0.00; Cosmo: 70, 0.3, 0.7
#Name                      ObsID     Tx    Tlo    Thi     Fe   Felo   Fehi       norm     normlo     normhi    Tx2   Tlo2   Thi2      norm2    normlo2    normhi2       area        ctr  chisq    dof
ABELL_0665                  3586   0.08   0.08  79.90   1.00   1.00   1.00  -2.42e-04  -5.08e-04   2.31e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.874e+05  -1.15e-04   0.63      6
ABELL_0697                  4217   0.19   0.16   0.21   1.00   1.00   1.00  -5.65e-05  -8.43e-05  -3.70e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.041e+05  -3.97e-03   0.79      2
ABELL_0754                   577   0.25   0.00   0.00   1.00   1.00   1.00   1.56e-03   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.500e+05   3.99e-01  41.29     38
ABELL_0773                  5006   0.18   0.16   0.21   1.00   1.00   1.00  -6.31e-05  -9.46e-05  -4.14e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.405e+05  -4.16e-03   0.33      3
ABELL_0781                   534   0.76   0.08  79.90   1.00   1.00   1.00   7.22e-06  -2.97e-06   1.65e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.155e+05   4.79e-04   0.77      2
ABELL_0907                  3185   0.25   0.21   0.31   1.00   1.00   1.00  -1.45e-05  -2.15e-05  -9.25e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.294e+05  -2.09e-03   1.27      8
ABELL_0963                   903   0.44   0.26   0.67   1.00   1.00   1.00   1.60e-06   5.48e-07   3.04e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.356e+05   1.52e-03   1.95     14
ABELL_1060                  2220   0.31   0.30   0.32   1.00   1.00   1.00   2.40e-04   2.28e-04   2.52e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.267e+05   4.86e-02   7.42     23
ABELL_1063S                 4966   0.21   0.20   0.24   1.00   1.00   1.00  -5.07e-05  -6.48e-05  -3.95e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.818e+05  -5.75e-03   1.90      9
ABELL_1068                  1652   0.57   0.44   0.67   1.00   1.00   1.00   5.67e-06   4.47e-06   6.89e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.438e+05   4.71e-03   0.27      9
ABELL_1201                  4216   0.62   0.46   0.74   1.00   1.00   1.00   8.17e-06   6.69e-06   9.95e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.768e+05   5.76e-03   3.83      6
ABELL_1204                  2205   0.76   0.43   1.25   1.00   1.00   1.00   6.93e-06   2.92e-06   2.79e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.280e+05   5.73e-04   0.62      4
