###### Started simulating spectra at Wed Nov  1 18:13:19 2006 ######
# Cluster             ObsID    Tx1    Tx2    Eta    RealCTR    FakeCTR      Norm1      Norm2
4C_55.16               4940   5.08   0.50   0.60   0.353000   0.369000  1.674e-03  1.085e-03
4C_55.16               4940   5.08   0.50   0.70   0.353000   0.365400  1.953e-03  7.051e-04
4C_55.16               4940   5.08   0.50   0.80   0.353000   0.372000  2.232e-03  4.016e-04
# exited via overflow
4C_55.16               4940   5.08   0.50   0.90   0.353000   0.395700  2.511e-03  2.421e-04
# exited via overflow
4C_55.16               4940   5.08   0.75   0.50   0.353000   0.364200  1.395e-03  1.085e-03
4C_55.16               4940   5.08   0.75   0.60   0.353000   0.366000  1.674e-03  8.247e-04
4C_55.16               4940   5.08   0.75   0.70   0.353000   0.363500  1.953e-03  5.509e-04
4C_55.16               4940   5.08   0.75   0.80   0.353000   0.378200  2.232e-03  3.204e-04
# exited via overflow
4C_55.16               4940   5.08   0.75   0.90   0.353000   0.400000  2.511e-03  2.152e-04
# exited via overflow
4C_55.16               4940   5.08   1.00   0.50   0.353000   0.369700  1.395e-03  1.082e-03
4C_55.16               4940   5.08   1.00   0.60   0.353000   0.366500  1.674e-03  7.813e-04
4C_55.16               4940   5.08   1.00   0.70   0.353000   0.368800  1.953e-03  5.493e-04
4C_55.16               4940   5.08   1.00   0.80   0.353000   0.376900  2.232e-03  3.382e-04
# exited via overflow
4C_55.16               4940   5.08   1.00   0.90   0.353000   0.399700  2.511e-03  2.152e-04
# exited via overflow
ABELL_0068             3250   9.40   0.50   0.50   0.371000   0.375800  1.905e-03  5.411e-03
ABELL_0068             3250   9.40   0.50   0.60   0.371000   0.385300  2.286e-03  4.340e-03
ABELL_0068             3250   9.40   0.50   0.70   0.371000   0.378400  2.667e-03  3.472e-03
ABELL_0068             3250   9.40   0.50   0.80   0.371000   0.384500  3.048e-03  2.203e-03
ABELL_0068             3250   9.40   0.50   0.90   0.371000   0.387200  3.429e-03  1.503e-03
ABELL_0068             3250   9.40   0.75   0.50   0.371000   0.387000  1.905e-03  3.525e-03
ABELL_0068             3250   9.40   0.75   0.60   0.371000   0.380300  2.286e-03  2.856e-03
ABELL_0068             3250   9.40   0.75   0.70   0.371000   0.387800  2.667e-03  2.170e-03
ABELL_0068             3250   9.40   0.75   0.80   0.371000   0.388700  3.048e-03  1.503e-03
ABELL_0068             3250   9.40   0.75   0.90   0.371000   0.386800  3.429e-03  8.657e-04
# exited via overflow
ABELL_0068             3250   9.40   1.00   0.50   0.371000   0.381300  1.905e-03  3.006e-03
ABELL_0068             3250   9.40   1.00   0.60   0.371000   0.382800  2.286e-03  2.405e-03
ABELL_0068             3250   9.40   1.00   0.70   0.371000   0.381600  2.667e-03  1.833e-03
ABELL_0068             3250   9.40   1.00   0.80   0.371000   0.387900  3.048e-03  1.332e-03
ABELL_0068             3250   9.40   1.00   0.90   0.371000   0.388100  3.429e-03  8.875e-04
ABELL_0133             2203   4.55   0.50   0.50   1.099000   1.148000  2.765e-03  7.932e-04
ABELL_0133             2203   4.55   0.50   0.60   1.099000   1.150000  3.318e-03  5.426e-04
ABELL_0133             2203   4.55   0.50   0.70   1.099000   1.162000  3.871e-03  3.173e-04
# exited via overflow
ABELL_0133             2203   4.55   0.50   0.80   1.099000   1.219000  4.424e-03  1.913e-04
# exited via overflow
ABELL_0133             2203   4.55   0.50   0.90   1.099000   1.314000  4.977e-03  1.063e-04
# exited via overflow
ABELL_0133             2203   4.55   0.75   0.50   1.099000   1.139000  2.765e-03  7.932e-04
ABELL_0133             2203   4.55   0.75   0.60   1.099000   1.149000  3.318e-03  5.493e-04
ABELL_0133             2203   4.55   0.75   0.70   1.099000   1.155000  3.871e-03  3.173e-04
# exited via overflow
ABELL_0133             2203   4.55   0.75   0.80   1.099000   1.236000  4.424e-03  1.913e-04
# exited via overflow
ABELL_0133             2203   4.55   0.75   0.90   1.099000   1.321000  4.977e-03  1.063e-04
# exited via overflow
ABELL_0133             2203   4.55   1.00   0.50   1.099000   1.152000  2.765e-03  9.138e-04
ABELL_0133             2203   4.55   1.00   0.60   1.099000   1.124000  3.318e-03  6.121e-04
ABELL_0133             2203   4.55   1.00   0.70   1.099000   1.149000  3.871e-03  3.757e-04
ABELL_0133             2203   4.55   1.00   0.80   1.099000   1.221000  4.424e-03  2.152e-04
# exited via overflow
ABELL_0133             2203   4.55   1.00   0.90   1.099000   1.312000  4.977e-03  1.196e-04
# exited via overflow
ABELL_0267             3580   6.98   0.50   0.50   0.316000   0.324200  1.610e-03  4.340e-03
ABELL_0267             3580   6.98   0.50   0.60   0.316000   0.328700  1.932e-03  3.525e-03
ABELL_0267             3580   6.98   0.50   0.70   0.316000   0.330700  2.254e-03  2.577e-03
ABELL_0267             3580   6.98   0.50   0.80   0.316000   0.324000  2.576e-03  1.763e-03
ABELL_0267             3580   6.98   0.50   0.90   0.316000   0.337700  2.898e-03  1.085e-03
# exited via overflow
ABELL_0267             3580   6.98   0.75   0.50   0.316000   0.322700  1.610e-03  2.856e-03
ABELL_0267             3580   6.98   0.75   0.60   0.316000   0.329400  1.932e-03  2.405e-03
ABELL_0267             3580   6.98   0.75   0.70   0.316000   0.328300  2.254e-03  1.828e-03
ABELL_0267             3580   6.98   0.75   0.80   0.316000   0.326500  2.576e-03  1.142e-03
ABELL_0267             3580   6.98   0.75   0.90   0.316000   0.331200  2.898e-03  6.848e-04
# exited via overflow
ABELL_0267             3580   6.98   1.00   0.50   0.316000   0.320800  1.610e-03  2.538e-03
ABELL_0267             3580   6.98   1.00   0.60   0.316000   0.329100  1.932e-03  1.953e-03
ABELL_0267             3580   6.98   1.00   0.70   0.316000   0.322900  2.254e-03  1.432e-03
ABELL_0267             3580   6.98   1.00   0.80   0.316000   0.331400  2.576e-03  1.099e-03
ABELL_0267             3580   6.98   1.00   0.90   0.316000   0.335000  2.898e-03  5.711e-04
# exited via overflow
ABELL_0370              515   9.88   0.50   0.50   0.383000   0.398500  1.450e-03  9.138e-04
ABELL_0370              515   9.88   0.50   0.60   0.383000   0.398600  1.740e-03  6.443e-04
ABELL_0370              515   9.88   0.50   0.70   0.383000   0.400000  2.030e-03  3.955e-04
ABELL_0370              515   9.88   0.50   0.80   0.383000   0.427700  2.320e-03  2.272e-04
# exited via overflow
ABELL_0370              515   9.88   0.50   0.90   0.383000   0.457500  2.610e-03  1.196e-04
# exited via overflow
ABELL_0370              515   9.88   0.75   0.50   0.383000   0.401200  1.450e-03  7.139e-04
ABELL_0370              515   9.88   0.75   0.60   0.383000   0.396000  1.740e-03  4.897e-04
ABELL_0370              515   9.88   0.75   0.70   0.383000   0.396500  2.030e-03  3.006e-04
# exited via overflow
ABELL_0370              515   9.88   0.75   0.80   0.383000   0.418800  2.320e-03  1.686e-04
# exited via overflow
ABELL_0370              515   9.88   0.75   0.90   0.383000   0.447600  2.610e-03  1.063e-04
# exited via overflow
ABELL_0370              515   9.88   1.00   0.50   0.383000   0.400900  1.450e-03  7.139e-04
ABELL_0370              515   9.88   1.00   0.60   0.383000   0.401000  1.740e-03  4.897e-04
ABELL_0370              515   9.88   1.00   0.70   0.383000   0.401000  2.030e-03  3.006e-04
# exited via overflow
ABELL_0370              515   9.88   1.00   0.80   0.383000   0.416000  2.320e-03  1.597e-04
# exited via overflow
ABELL_0370              515   9.88   1.00   0.90   0.383000   0.450900  2.610e-03  1.063e-04
# exited via overflow
ABELL_0383             2321   5.04   0.50   0.50   0.578000   0.584500  1.925e-03  1.142e-03
ABELL_0383             2321   5.04   0.50   0.60   0.578000   0.606400  2.310e-03  8.681e-04
ABELL_0383             2321   5.04   0.50   0.70   0.578000   0.605900  2.695e-03  6.104e-04
ABELL_0383             2321   5.04   0.50   0.80   0.578000   0.614200  3.080e-03  3.035e-04
# exited via overflow
ABELL_0383             2321   5.04   0.50   0.90   0.578000   0.670100  3.465e-03  1.913e-04
# exited via overflow
ABELL_0383             2321   5.04   0.75   0.50   0.578000   0.602100  1.925e-03  1.015e-03
ABELL_0383             2321   5.04   0.75   0.60   0.578000   0.595700  2.310e-03  7.139e-04
ABELL_0383             2321   5.04   0.75   0.70   0.578000   0.601100  2.695e-03  4.407e-04
ABELL_0383             2321   5.04   0.75   0.80   0.578000   0.615000  3.080e-03  2.698e-04
# exited via overflow
ABELL_0383             2321   5.04   0.75   0.90   0.578000   0.659700  3.465e-03  1.513e-04
# exited via overflow
ABELL_0383             2321   5.04   1.00   0.50   0.578000   0.605100  1.925e-03  1.028e-03
ABELL_0383             2321   5.04   1.00   0.60   0.578000   0.606800  2.310e-03  7.932e-04
ABELL_0383             2321   5.04   1.00   0.70   0.578000   0.605700  2.695e-03  4.897e-04
ABELL_0383             2321   5.04   1.00   0.80   0.578000   0.628400  3.080e-03  2.848e-04
# exited via overflow
ABELL_0383             2321   5.04   1.00   0.90   0.578000   0.665100  3.465e-03  1.913e-04
# exited via overflow
ABELL_0399             3230   6.85   0.50   0.50   2.201000   2.265000  1.025e-02  2.031e-02
ABELL_0399             3230   6.85   0.50   0.60   2.201000   2.276000  1.230e-02  1.645e-02
ABELL_0399             3230   6.85   0.50   0.70   2.201000   2.285000  1.435e-02  1.250e-02
ABELL_0399             3230   6.85   0.50   0.80   2.201000   2.287000  1.640e-02  8.350e-03
ABELL_0399             3230   6.85   0.50   0.90   2.201000   2.309000  1.845e-02  4.639e-03
# exited via iteration cut-off
