# Model: wabs(mekal) for inner50chi spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF    lo    hi  N/NBF     lo     hi       z     Cr   Junk   cash    dof
1E0657_56                   3184   0.00    1.0  6.53  0.00  0.00 10.14  8.49 12.57  0.14  0.00  0.38   3.30e-04   3.13e-04   3.46e-04  0.83  0.68  1.05  1.069  1.005  1.127  0.2960  0.029      0 497.77    431
1E0657_56                   3184   0.00    1.0  6.53  0.00  0.00 12.52 10.23 16.21  0.47  0.17  0.84   3.06e-04   2.87e-04   3.24e-04  1.03  0.82  1.35  0.991  0.921  1.054  0.2960  0.028      0 451.18    431
1E0657_56                   3184   0.00    1.0  6.53  0.00  0.00 12.52 10.23 16.21  0.47  0.17  0.84   3.06e-04   2.87e-04   3.24e-04  1.03  0.82  1.35  0.991  0.921  1.054  0.2960  0.028      0 451.18    431
1E0657_56                   3184   0.00    1.0  6.53  0.00  0.00 11.11  9.21 13.89  0.48  0.21  0.81   2.94e-04   2.77e-04   3.12e-04  0.91  0.74  1.16  0.953  0.891  1.014  0.2960  0.027      0 419.47    431
1E0657_56                   3184   0.00    1.0  6.53  0.00  0.00 11.11  9.21 13.89  0.48  0.21  0.81   2.94e-04   2.77e-04   3.12e-04  0.91  0.74  1.16  0.953  0.891  1.014  0.2960  0.027      0 419.47    431
1E0657_56                   3184   0.00    1.0  6.53  0.00  0.00 11.11  9.21 13.89  0.48  0.21  0.81   2.94e-04   2.77e-04   3.12e-04  0.91  0.74  1.16  0.953  0.891  1.014  0.2960  0.027      0 419.47    431
1E0657_56                   3184   0.00    1.0  6.53  0.00  0.00 12.36 10.09 15.61  0.25  0.00  0.57   3.14e-04   2.96e-04   3.33e-04  1.02  0.81  1.30  1.015  0.952  1.082  0.2960  0.028      0 443.92    431
1E0657_56                   3184   0.00    1.0  6.53  0.00  0.00 12.36 10.09 15.61  0.25  0.00  0.57   3.14e-04   2.96e-04   3.33e-04  1.02  0.81  1.30  1.015  0.952  1.082  0.2960  0.028      0 443.92    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 14.17 11.54 18.53  0.86  0.48  1.35   2.82e-04   2.63e-04   3.02e-04  1.17  0.93  1.54  0.912  0.846  0.981  0.2960  0.028      0 471.31    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 14.17 11.54 18.53  0.86  0.48  1.35   2.82e-04   2.63e-04   3.02e-04  1.17  0.93  1.54  0.912  0.846  0.981  0.2960  0.028      0 471.31    431
