# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF    lo    hi  N/NBF     lo     hi       z     Cr   Junk  chisq    dof
1E0657_56                   5356    0.5    0.8  6.53  0.00  0.00  7.24  7.03  7.45  0.29  0.26  0.32   1.13e-02   1.12e-02   1.14e-02  0.60  0.58  0.63  0.894  0.796  1.000  0.2960  0.956      0   6.05    406
1E0657_56                   5356   0.75   0.85  6.53  0.00  0.00  7.20  7.01  7.40  0.27  0.24  0.30   1.21e-02   1.20e-02   1.22e-02  0.60  0.58  0.62  0.957  0.921  1.001  0.2960  1.010      0   4.51    412
1E0657_56                   5356   0.75    0.8  6.53  0.00  0.00  6.20  6.04  6.35  0.28  0.25  0.31   1.19e-02   1.18e-02   1.20e-02  0.52  0.50  0.53  0.943  0.894  1.001  0.2960  0.988      0   6.46    406
1E0657_56                   5356    1.0   0.85  6.53  0.00  0.00  6.97  6.80  7.15  0.25  0.22  0.27   1.24e-02   1.23e-02   1.25e-02  0.58  0.56  0.60  0.983  0.971  1.002  0.2960  1.027      0   4.47    409
1E0657_56                   5356    1.0    0.8  6.53  0.00  0.00  6.02  5.87  6.17  0.27  0.24  0.29   1.23e-02   1.21e-02   1.24e-02  0.50  0.49  0.52  0.973  0.952  1.001  0.2960  1.010      0   6.39    407
1E0657_56                   5356    0.5   0.95  6.53  0.00  0.00 10.17  9.86 10.51  0.27  0.23  0.31   1.22e-02   1.21e-02   1.23e-02  0.85  0.82  0.88  0.970  0.947  1.001  0.2960  1.035      0   1.38    411
1E0657_56                   5356    0.5   0.96  6.53  0.00  0.00 10.40 10.07 10.75  0.28  0.24  0.32   1.23e-02   1.22e-02   1.24e-02  0.87  0.83  0.90  0.977  0.959  1.002  0.2960  1.044      0   1.35    415
1E0657_56                   5356    0.5   0.97  6.53  0.00  0.00 10.10  9.80 10.43  0.32  0.28  0.36   1.24e-02   1.23e-02   1.25e-02  0.84  0.81  0.88  0.983  0.971  1.002  0.2960  1.056      0   1.31    414
1E0657_56                   5356    0.5   0.98  6.53  0.00  0.00 10.99 10.64 11.38  0.27  0.22  0.31   1.24e-02   1.23e-02   1.25e-02  0.92  0.88  0.95  0.985  0.974  1.003  0.2960  1.050      0   1.16    414
1E0657_56                   5356    0.5   0.99  6.53  0.00  0.00 11.28 10.91 11.68  0.33  0.29  0.37   1.24e-02   1.23e-02   1.26e-02  0.94  0.90  0.98  0.987  0.978  1.003  0.2960  1.064      0   1.11    417
1E0657_56                   5356    0.5    0.9  6.53  0.00  0.00  8.78  8.52  9.04  0.27  0.24  0.31   1.20e-02   1.19e-02   1.21e-02  0.73  0.71  0.76  0.954  0.916  1.001  0.2960  1.016      0   2.42    411
1E0657_56                   5356   0.75   0.95  6.53  0.00  0.00  9.91  9.61 10.23  0.30  0.27  0.34   1.23e-02   1.22e-02   1.24e-02  0.83  0.80  0.86  0.975  0.956  1.001  0.2960  1.045      0   1.36    411
1E0657_56                   5356   0.75   0.96  6.53  0.00  0.00 10.43 10.11 10.78  0.30  0.26  0.34   1.23e-02   1.22e-02   1.24e-02  0.87  0.84  0.91  0.973  0.953  1.001  0.2960  1.043      0   1.25    413
1E0657_56                   5356   0.75   0.97  6.53  0.00  0.00 10.07  9.76 10.39  0.28  0.24  0.32   1.25e-02   1.24e-02   1.27e-02  0.84  0.81  0.87  0.995  0.987  1.006  0.2960  1.063      0   1.36    413
1E0657_56                   5356   0.75   0.98  6.53  0.00  0.00 10.06  9.76 10.39  0.27  0.24  0.31   1.27e-02   1.25e-02   1.28e-02  0.84  0.81  0.87  1.004  0.989  1.014  0.2960  1.071      0   1.33    412
1E0657_56                   5356   0.75   0.99  6.53  0.00  0.00 10.81 10.47 11.17  0.30  0.26  0.34   1.26e-02   1.25e-02   1.27e-02  0.90  0.87  0.94  1.003  0.989  1.012  0.2960  1.074      0   1.18    416
1E0657_56                   5356   0.75    0.9  6.53  0.00  0.00  8.57  8.33  8.83  0.27  0.24  0.30   1.22e-02   1.21e-02   1.23e-02  0.71  0.69  0.74  0.966  0.939  1.001  0.2960  1.026      0   2.32    411
1E0657_56                   5356    1.0   0.95  6.53  0.00  0.00  9.76  9.47 10.07  0.26  0.23  0.30   1.24e-02   1.23e-02   1.25e-02  0.81  0.78  0.85  0.984  0.973  1.002  0.2960  1.047      0   1.50    415
1E0657_56                   5356    1.0   0.96  6.53  0.00  0.00  9.91  9.60 10.22  0.25  0.21  0.28   1.25e-02   1.24e-02   1.26e-02  0.83  0.80  0.86  0.992  0.983  1.003  0.2960  1.051      0   1.40    416
1E0657_56                   5356    1.0   0.97  6.53  0.00  0.00 10.29  9.97 10.62  0.28  0.24  0.32   1.26e-02   1.25e-02   1.27e-02  0.86  0.83  0.89  0.997  0.987  1.006  0.2960  1.065      0   1.35    415
1E0657_56                   5356    1.0   0.98  6.53  0.00  0.00 10.18  9.87 10.50  0.28  0.24  0.31   1.27e-02   1.26e-02   1.28e-02  0.85  0.82  0.88  1.010  0.990  1.023  0.2960  1.077      0   1.23    414
1E0657_56                   5356    1.0   0.99  6.53  0.00  0.00  9.94  9.65 10.26  0.26  0.22  0.29   1.29e-02   1.28e-02   1.30e-02  0.83  0.80  0.86  1.024  0.991  1.050  0.2960  1.089      0   1.41    415
1E0657_56                   5356    1.0    0.9  6.53  0.00  0.00  8.21  7.98  8.45  0.28  0.25  0.31   1.23e-02   1.22e-02   1.24e-02  0.68  0.66  0.71  0.974  0.953  1.001  0.2960  1.035      0   2.80    410
1E0657_56                   5361    0.5   0.85  6.53  0.00  0.00  8.01  7.77  8.27  0.26  0.22  0.29   1.15e-02   1.14e-02   1.16e-02  0.67  0.64  0.69  0.911  0.829  1.000  0.2960  1.004      0   2.97    405
1E0657_56                   5361    0.5    0.8  6.53  0.00  0.00  7.34  7.12  7.58  0.28  0.25  0.31   1.12e-02   1.11e-02   1.13e-02  0.61  0.59  0.64  0.892  0.791  1.000  0.2960  0.994      0   5.67    407
1E0657_56                   5361   0.75   0.85  6.53  0.00  0.00  7.69  7.47  7.92  0.26  0.23  0.30   1.18e-02   1.16e-02   1.19e-02  0.64  0.62  0.67  0.933  0.873  1.001  0.2960  1.029      0   3.73    403
1E0657_56                   5361   0.75    0.8  6.53  0.00  0.00  6.68  6.50  6.87  0.27  0.24  0.30   1.17e-02   1.16e-02   1.18e-02  0.56  0.54  0.58  0.927  0.861  1.001  0.2960  1.014      0   4.84    402
1E0657_56                   5361    1.0   0.85  6.53  0.00  0.00  7.75  7.53  7.98  0.26  0.23  0.30   1.19e-02   1.18e-02   1.20e-02  0.65  0.62  0.67  0.945  0.897  1.001  0.2960  1.040      0   3.17    404
1E0657_56                   5361    1.0    0.8  6.53  0.00  0.00  6.34  6.17  6.51  0.27  0.24  0.30   1.20e-02   1.19e-02   1.21e-02  0.53  0.51  0.55  0.951  0.908  1.001  0.2960  1.033      0   5.25    401
1E0657_56                   5361    0.5   0.95  6.53  0.00  0.00 10.95 10.57 11.36  0.27  0.22  0.31   1.20e-02   1.19e-02   1.22e-02  0.91  0.88  0.95  0.955  0.917  1.001  0.2960  1.059      0   0.88    410
1E0657_56                   5361    0.5   0.96  6.53  0.00  0.00  9.98  9.66 10.32  0.32  0.28  0.37   1.22e-02   1.21e-02   1.23e-02  0.83  0.80  0.87  0.970  0.947  1.001  0.2960  1.086      0   1.34    407
1E0657_56                   5361    0.5   0.97  6.53  0.00  0.00 10.53 10.18 10.90  0.27  0.23  0.32   1.24e-02   1.23e-02   1.26e-02  0.88  0.84  0.91  0.987  0.977  1.003  0.2960  1.095      0   1.03    409
1E0657_56                   5361    0.5   0.98  6.53  0.00  0.00 10.92 10.54 11.32  0.27  0.22  0.31   1.24e-02   1.23e-02   1.26e-02  0.91  0.87  0.95  0.988  0.978  1.003  0.2960  1.097      0   1.12    409
1E0657_56                   5361    0.5   0.99  6.53  0.00  0.00 10.66 10.31 11.04  0.27  0.23  0.32   1.25e-02   1.24e-02   1.27e-02  0.89  0.85  0.93  0.995  0.986  1.006  0.2960  1.106      0   1.12    408
1E0657_56                   5361    0.5    0.9  6.53  0.00  0.00  9.28  8.98  9.60  0.26  0.23  0.30   1.18e-02   1.17e-02   1.19e-02  0.77  0.74  0.81  0.935  0.877  1.001  0.2960  1.037      0   1.96    407
1E0657_56                   5361   0.75   0.95  6.53  0.00  0.00 10.71 10.35 11.09  0.32  0.27  0.36   1.20e-02   1.19e-02   1.21e-02  0.89  0.86  0.93  0.953  0.913  1.001  0.2960  1.067      0   1.16    408
1E0657_56                   5361   0.75   0.96  6.53  0.00  0.00 10.71 10.35 11.10  0.27  0.23  0.31   1.23e-02   1.22e-02   1.24e-02  0.89  0.86  0.93  0.976  0.957  1.002  0.2960  1.084      0   1.20    412
1E0657_56                   5361   0.75   0.97  6.53  0.00  0.00 10.05  9.73 10.38  0.28  0.24  0.32   1.24e-02   1.23e-02   1.26e-02  0.84  0.81  0.87  0.987  0.978  1.003  0.2960  1.097      0   1.10    408
1E0657_56                   5361   0.75   0.98  6.53  0.00  0.00 10.76 10.40 11.16  0.23  0.19  0.28   1.27e-02   1.26e-02   1.28e-02  0.90  0.86  0.94  1.007  0.989  1.018  0.2960  1.110      0   1.15    409
1E0657_56                   5361   0.75   0.99  6.53  0.00  0.00 10.73 10.37 11.10  0.30  0.26  0.35   1.25e-02   1.24e-02   1.26e-02  0.89  0.86  0.93  0.992  0.983  1.004  0.2960  1.107      0   1.05    409
1E0657_56                   5361   0.75    0.9  6.53  0.00  0.00  9.14  8.85  9.45  0.28  0.25  0.32   1.18e-02   1.17e-02   1.20e-02  0.76  0.73  0.79  0.940  0.888  1.001  0.2960  1.046      0   1.92    407
1E0657_56                   5361    1.0   0.95  6.53  0.00  0.00 10.60 10.23 10.99  0.24  0.20  0.28   1.22e-02   1.21e-02   1.23e-02  0.88  0.85  0.92  0.969  0.944  1.001  0.2960  1.070      0   1.12    406
1E0657_56                   5361    1.0   0.96  6.53  0.00  0.00 10.24  9.91 10.61  0.25  0.21  0.29   1.23e-02   1.22e-02   1.24e-02  0.85  0.82  0.89  0.977  0.960  1.002  0.2960  1.080      0   1.03    410
1E0657_56                   5361    1.0   0.97  6.53  0.00  0.00 10.63 10.27 11.00  0.29  0.25  0.34   1.23e-02   1.22e-02   1.24e-02  0.89  0.85  0.92  0.976  0.958  1.002  0.2960  1.088      0   1.19    408
1E0657_56                   5361    1.0   0.98  6.53  0.00  0.00 10.12  9.80 10.46  0.26  0.22  0.30   1.28e-02   1.27e-02   1.29e-02  0.84  0.81  0.88  1.014  0.990  1.030  0.2960  1.122      0   1.18    411
1E0657_56                   5361    1.0   0.99  6.53  0.00  0.00 10.35 10.01 10.71  0.28  0.24  0.32   1.27e-02   1.26e-02   1.28e-02  0.86  0.83  0.90  1.007  0.990  1.020  0.2960  1.120      0   1.23    409
1E0657_56                   5361    1.0    0.9  6.53  0.00  0.00  9.37  9.07  9.68  0.24  0.20  0.28   1.21e-02   1.19e-02   1.22e-02  0.78  0.75  0.81  0.957  0.920  1.001  0.2960  1.056      0   1.87    407
1RXS_J2129.4-0741           3199    0.5   0.85  4.36  0.00  0.00  6.00  5.22  7.01  0.30  0.12  0.49   1.79e-03   1.68e-03   1.89e-03  0.73  0.60  0.89  0.960  0.902  1.068  0.5700  0.114      0   0.92     71
1RXS_J2129.4-0741           3199    0.5    0.8  4.36  0.00  0.00  6.30  5.48  7.36  0.44  0.24  0.65   1.58e-03   1.48e-03   1.68e-03  0.77  0.63  0.94  0.849  0.740  1.061  0.5700  0.108      0   1.13     71
1RXS_J2129.4-0741           3199   0.75   0.85  4.36  0.00  0.00  5.75  5.02  6.71  0.34  0.16  0.53   1.75e-03   1.64e-03   1.85e-03  0.70  0.58  0.85  0.941  0.884  1.067  0.5700  0.114      0   1.13     73
1RXS_J2129.4-0741           3199   0.75    0.8  4.36  0.00  0.00  5.41  4.71  6.27  0.28  0.11  0.47   1.70e-03   1.60e-03   1.82e-03  0.66  0.54  0.80  0.915  0.852  1.067  0.5700  0.107      0   1.20     68
1RXS_J2129.4-0741           3199    1.0   0.85  4.36  0.00  0.00  5.90  5.12  6.89  0.36  0.20  0.55   1.87e-03   1.75e-03   1.97e-03  0.72  0.59  0.88  1.003  0.920  1.080  0.5700  0.122      0   0.98     75
1RXS_J2129.4-0741           3199    1.0    0.8  4.36  0.00  0.00  6.04  5.16  7.09  0.26  0.10  0.44   1.82e-03   1.71e-03   1.92e-03  0.74  0.60  0.90  0.976  0.914  1.073  0.5700  0.118      0   1.26     75
