# Model: wabs(mekal) for r2500-core spectra; Fit Range = 0.6 - 10.0; Count Rates = 0.6 - 10.0 keV
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 1.00; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
ABELL_0773                  5006  0.976  2.900  1.46  0.00  0.00  8.67  8.08  9.33  0.43  0.32  0.54   3.30e-03   3.23e-03   3.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.0000  0.0000  0.358   81.6   1.14    206
ABELL_0963                   903  0.902  2.670  1.39  0.00  0.00  6.50  6.23  6.77  0.18  0.12  0.25   3.24e-03   3.19e-03   3.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.0000  0.0000  0.515   56.7   1.13    373
ABELL_1063S                 4966  0.722  2.160  1.77  0.00  0.00 14.29 13.37 15.38  0.30  0.00  0.00   5.55e-03   5.50e-03   5.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.0000  0.0000  0.511   91.9   1.21    264
ABELL_1068                  1652  0.992  2.950  0.71  0.00  0.00  4.73  4.55  4.92  0.19  0.13  0.25   3.21e-03   3.15e-03   3.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.0000  0.0000  0.537   52.0   1.08    325
ABELL_1204                  2205  0.804  2.390  1.44  0.00  0.00  4.01  3.80  4.23  0.22  0.13  0.32   1.81e-03   1.75e-03   1.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.0000  0.0000  0.192   81.2   1.01    152
ABELL_1361                  2200  1.181  3.520  2.18  0.00  0.00  6.18  5.29  7.38  0.50  0.17  0.88   2.43e-03   2.24e-03   2.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.0000  0.0000  0.479   47.8   0.99     81
ABELL_1423                   538  0.984  2.940  1.60  0.00  0.00  5.64  5.16  6.24  0.25  0.10  0.41   2.26e-03   2.16e-03   2.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.0000  0.0000  0.245   72.3   1.01     99
ABELL_1576                  7938  0.853  2.530  0.95  0.00  0.00 16.96 14.05 21.11  0.00  0.00  0.25   1.61e-03   1.54e-03   1.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2790  0.0000  0.0000  0.166   71.2   1.16    103
ABELL_1651                  4185  2.107  6.290  2.02  0.00  0.00  6.63  6.36  6.91  0.42  0.35  0.50   1.20e-02   1.18e-02   1.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.0000  0.0000  1.454   79.0   1.06    279
ABELL_1758                  2213  0.754  2.250  1.09  0.00  0.00 11.86 11.25 12.56  0.66  0.57  0.75   3.58e-03   3.52e-03   3.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.0000  0.0000  0.549   62.6   1.27    420
ABELL_1763                  3591  1.000  2.980  0.82  0.00  0.00  8.26  7.73  8.86  0.32  0.22  0.42   3.53e-03   3.46e-03   3.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.0000  0.0000  0.400   82.1   1.42    209
ABELL_1835                   495  0.804  2.390  2.36  0.00  0.00 10.92 10.33 11.58  0.32  0.24  0.40   5.58e-03   5.50e-03   5.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.0000  0.0000  0.886   82.3   1.11    319
ABELL_1914                  3593  1.337  3.980  0.97  0.00  0.00  8.87  8.43  9.36  0.25  0.18  0.33   6.74e-03   6.64e-03   6.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  0.0000  0.0000  0.746   83.6   1.08    296
ABELL_1942                  3290  0.730  2.180  2.75  0.00  0.00  4.05  3.81  4.29  0.15  0.07  0.24   9.55e-04   9.21e-04   9.91e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.0000  0.0000  0.089   63.9   1.26    188
ABELL_2034                  2204  1.615  4.810  1.58  0.00  0.00  7.15  6.99  7.33  0.33  0.30  0.38   7.55e-03   7.48e-03   7.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.0000  0.0000  0.964   81.9   1.22    513
ABELL_2065                 31821  2.107  6.280  2.96  0.00  0.00  6.57  6.42  6.74  0.39  0.34  0.43   1.26e-02   1.25e-02   1.27e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0730  0.0000  0.0000  1.606   79.5   1.11    515
ABELL_2069                  4965  1.656  4.940  1.97  0.00  0.00  7.94  7.66  8.25  0.39  0.33  0.45   5.10e-03   5.03e-03   5.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.0000  0.0000  0.637   75.2   1.30    489
ABELL_2111                   544  0.894  2.670  2.20  0.00  0.00  7.93  7.02  9.13  0.10  0.00  0.25   2.31e-03   2.23e-03   2.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.0000  0.0000  0.255   75.6   1.19    102
ABELL_2125                  2207  0.533  1.590  2.75  0.00  0.00  2.47  2.29  2.66  0.13  0.06  0.22   4.90e-04   4.59e-04   5.28e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.0000  0.0000  0.036   56.0   1.15    135
ABELL_2163                  1653  1.451  4.310 12.04  0.00  0.00 26.15 25.13 27.26  0.05  0.00  0.11   1.49e-02   1.47e-02   1.50e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  0.0000  0.0000  1.367   89.0   1.38    570
ABELL_2218                  1666  1.066  3.180  3.12  0.00  0.00  7.29  7.01  7.60  0.27  0.22  0.33   4.01e-03   3.96e-03   4.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.0000  0.0000  0.459   86.4   1.08    343
ABELL_2255                   894  2.099  6.260  2.53  0.00  0.00  6.13  6.00  6.28  0.34  0.30  0.38   1.07e-02   1.05e-02   1.08e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.0000  0.0000  1.271   66.1   1.01    478
ABELL_2259                  3245  0.951  2.840  3.70  0.00  0.00  4.97  4.67  5.32  0.41  0.29  0.54   3.42e-03   3.30e-03   3.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.0000  0.0000  0.371   79.9   1.11    131
ABELL_2261                  5007  0.894  2.660  3.31  0.00  0.00  7.83  7.42  8.28  0.40  0.32  0.48   3.90e-03   3.83e-03   3.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.0000  0.0000  0.405   85.4   1.09    235
ABELL_2294                  3246  1.058  3.160  6.10  0.00  0.00  9.80  8.95 10.88  0.39  0.23  0.55   4.09e-03   3.97e-03   4.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.0000  0.0000  0.448   79.7   1.05    158
ABELL_2384                  4202  1.394  4.140  2.99  0.00  0.00  5.18  5.00  5.38  0.23  0.18  0.29   4.04e-03   3.97e-03   4.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.0000  0.0000  0.481   75.7   1.06    322
ABELL_2390                  4193  0.959  2.850  6.71  0.00  0.00 12.28 11.96 12.62  0.33  0.29  0.37   7.64e-03   7.58e-03   7.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  0.0000  0.0000  1.017   64.6   1.10    608
ABELL_2409                  3247  1.107  3.290  6.72  0.00  0.00  6.46  6.09  6.88  0.37  0.26  0.47   4.97e-03   4.84e-03   5.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.0000  0.0000  0.540   84.4   1.07    172
ABELL_2420                  8271  2.222  6.630  3.76  0.00  0.00  8.45  7.94  9.02  0.66  0.53  0.81   9.93e-03   9.67e-03   1.02e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0846  0.0000  0.0000  1.326   73.8   1.31    294
ABELL_2462                  4159  1.427  4.260  3.30  0.00  0.00  1.75  1.69  1.81  0.11  0.09  0.13   1.94e-03   1.88e-03   2.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0737  0.0000  0.0000  0.223   15.7   1.33    402
ABELL_2537                  4962  0.631  1.870  4.26  0.00  0.00 10.81  9.94 11.80  0.40  0.27  0.54   1.54e-03   1.50e-03   1.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2950  0.0000  0.0000  0.212   50.8   1.05    252
ABELL_2554                  1696  1.558  4.660  2.04  0.00  0.00  5.10  4.78  5.50  0.40  0.30  0.57   2.13e-03   2.05e-03   2.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.0000  0.0000  0.380   24.5   1.04    368
ABELL_2631                  3248  0.828  2.480  3.74  0.00  0.00  7.06  6.41  7.82  0.26  0.13  0.39   3.04e-03   2.94e-03   3.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2779  0.0000  0.0000  0.289   82.5   1.12     95
