# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
RBS_0797                    7902 34.459 34.560  2.20  0.00  0.00  6.27  5.17  7.93  0.63  0.15  1.25   1.95e-04   1.70e-04   2.17e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.0000  0.0000  0.026   99.2   1.04     33

# Model: wabs(mekal) for se-arm spectra; Fit Range = 0.5 - 8.0; Count Rates = 0.5 - 8.0 keV
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
RBS_0797                    7902 34.275 34.520  2.20  0.00  0.00  5.90  4.88  7.53  0.25  0.00  0.68   2.38e-04   2.14e-04   2.61e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.0000  0.0000  0.030   99.3   0.79     37

# Model: wabs(mekal) for sw-arm spectra; Fit Range = 0.5 - 8.0; Count Rates = 0.5 - 8.0 keV
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
RBS_0797                    7902 34.429 34.470  2.20  0.00  0.00  6.31  5.20  8.03  1.12  0.56  1.86   1.58e-04   1.36e-04   1.78e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.0000  0.0000  0.024   99.2   1.21     30

# Model: wabs(powerlaw) for cent spectra; Fit Range = 0.5 - 8.0; Count Rates = 0.5 - 8.0 keV
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi  plaw   plo   phi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
RBS_0797                    7902  0.000  0.033  2.20  0.00  0.00  1.12  1.06  1.17  0.00  0.00  0.00   5.37e-05   5.11e-05   5.63e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.0000  0.0000  0.057  100.0   1.11     72

# Model: wabs(mekal+powerlaw) for cent spectra; Fit Range = 0.5 - 8.0; Count Rates = 0.5 - 8.0 keV; fixed comp: Tx=7.44, Z=0.46, z=0.354, norm=4.25e-06 +/- 0.303e-06
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi  plaw   plo   phi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
RBS_0797                    7902  0.000  0.033  2.20  0.00  0.00  1.11  1.02  1.17  0.00  0.00  0.00   5.32e-05   2.11e-05   1.00e+24  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.0000  0.0000  0.057  100.0   1.13     71
norm ratio fixed at 0.41*plaw and 0.59*mekal	
