           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    1.71480E-01    1.76410E-01    1.00268E-02    1.10632E-03    9.58108E+00    5.95608E+00    2.66676E-23    1.04605E+01    6.60440E+00    6.27629E+00    3.96264E+00
    1.76410E-01    1.81340E-01    4.77168E-03    1.66872E-03    9.67432E+00    5.54426E+00    2.66946E-23    2.21722E+01    1.48857E+01    1.33033E+01    8.93140E+00
    1.81340E-01    1.86280E-01    7.73743E-03    1.23107E-03    9.76766E+00    5.13201E+00    2.67216E-23    1.37916E+01    7.57119E+00    8.27496E+00    4.54271E+00
    1.86280E-01    1.91210E-01    5.16735E-03    1.51991E-03    9.86100E+00    4.71977E+00    2.67486E-23    2.08274E+01    1.17005E+01    1.24964E+01    7.02032E+00
    1.91210E-01    1.96150E-01    6.14832E-03    1.38391E-03    9.95433E+00    4.30753E+00    2.67757E-23    1.76522E+01    8.61020E+00    1.05913E+01    5.16612E+00
    1.96150E-01    2.01080E-01    5.18181E-03    1.47774E-03    9.91582E+00    4.08658E+00    2.65634E-23    2.10304E+01    1.05399E+01    1.26182E+01    6.32393E+00
    2.01080E-01    2.06020E-01    6.47327E-03    1.21982E-03    9.79577E+00    3.98392E+00    2.62030E-23    1.68596E+01    7.55702E+00    1.01157E+01    4.53421E+00
    2.06020E-01    2.10950E-01    3.89448E-03    1.46218E-03    9.67572E+00    3.88127E+00    2.58427E-23    2.80659E+01    1.54202E+01    1.68396E+01    9.25213E+00
    2.10950E-01    2.15890E-01    5.93943E-03    1.19333E-03    9.55568E+00    3.77862E+00    2.54824E-23    1.84315E+01    8.17522E+00    1.10589E+01    4.90513E+00
    2.15890E-01    2.20820E-01    2.39766E-03    1.33469E-03    9.43563E+00    3.67597E+00    2.51221E-23    4.57310E+01    3.10719E+01    2.74386E+01    1.86431E+01
    2.20820E-01    2.25760E-01    3.88097E-03    1.33591E-03    9.31558E+00    3.57332E+00    2.47618E-23    2.82990E+01    1.45850E+01    1.69794E+01    8.75100E+00
    2.25760E-01    2.30690E-01    3.91526E-03    1.32277E-03    9.42946E+00    4.24468E+00    2.47737E-23    2.83804E+01    1.59734E+01    1.70283E+01    9.58402E+00
    2.30690E-01    2.35620E-01    5.44481E-03    1.09569E-03    9.57806E+00    5.03064E+00    2.48411E-23    2.06732E+01    1.16278E+01    1.24039E+01    6.97668E+00
    2.35620E-01    2.40560E-01    5.10769E-03    1.03801E-03    9.72682E+00    5.81740E+00    2.49085E-23    2.23194E+01    1.40983E+01    1.33916E+01    8.45901E+00
    2.40560E-01    2.45490E-01    3.60893E-03    1.19704E-03    9.87558E+00    6.60416E+00    2.49759E-23    3.19850E+01    2.38760E+01    1.91910E+01    1.43256E+01
    2.45490E-01    2.50430E-01    4.51776E-03    1.05628E-03    1.00243E+01    7.39092E+00    2.50434E-23    2.58656E+01    2.00066E+01    1.55194E+01    1.20040E+01
    2.50430E-01    2.55360E-01    2.88091E-03    1.19673E-03    1.01731E+01    8.17768E+00    2.51108E-23    4.10531E+01    3.71466E+01    2.46319E+01    2.22880E+01
    2.55360E-01    2.60300E-01    5.83033E-03    7.98421E-04    1.03797E+01    8.03076E+00    2.57651E-23    2.01717E+01    1.58494E+01    1.21030E+01    9.50966E+00
    2.60300E-01    2.65230E-01    1.62670E-03    1.10167E-03    1.05991E+01    7.67765E+00    2.65490E-23    7.16466E+01    7.10483E+01    4.29880E+01    4.26290E+01
    2.65230E-01    2.70170E-01    3.94483E-03    9.79519E-04    1.08185E+01    7.32454E+00    2.73329E-23    2.92910E+01    2.11229E+01    1.75746E+01    1.26737E+01
    2.70170E-01    2.75100E-01    3.13295E-03    1.01615E-03    1.10378E+01    6.97143E+00    2.81168E-23    3.65803E+01    2.59723E+01    2.19482E+01    1.55834E+01
    2.75100E-01    2.80040E-01    2.42499E-03    1.02651E-03    1.12572E+01    6.61832E+00    2.89007E-23    4.68917E+01    3.39709E+01    2.81350E+01    2.03825E+01
    2.80040E-01    2.84970E-01    3.29332E-03    9.21887E-04    1.14766E+01    6.26521E+00    2.96846E-23    3.42713E+01    2.10254E+01    2.05628E+01    1.26152E+01
    2.84970E-01    2.89900E-01    3.20010E-03    7.80574E-04    1.16335E+01    5.97796E+00    3.03794E-23    3.49343E+01    1.98710E+01    2.09606E+01    1.19226E+01
    2.89900E-01    2.94840E-01    1.98055E-03    9.82842E-04    1.14711E+01    6.02683E+00    3.06211E-23    5.52182E+01    3.99063E+01    3.31309E+01    2.39438E+01
    2.94840E-01    2.99770E-01    4.36381E-03    3.43893E-04    1.13087E+01    6.07570E+00    3.08629E-23    2.45129E+01    1.33107E+01    1.47077E+01    7.98640E+00
