# Model: wabs(mekal) for total spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
1RXS_J2129.4-0741           3595   0.16   4.10  4.36  0.00  0.00  4.10  2.99  5.94  0.52  0.52  0.52   2.21e-03   1.67e-03   3.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.050   1.74    340
3C_220.1                     839   0.16   2.38  1.91  0.00  0.00  1.11  0.08 79.90  0.30  0.30  0.30   0.00e+00   0.00e+00   7.97e+11  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.003   0.98    340
3C_28.0                     3233   0.43   4.10  5.71  0.00  0.00  5.96  5.43  6.62  0.12  0.12  0.12   6.37e-03   6.07e-03   6.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.178   1.06    340
3C_346                      3129   0.52   0.98  5.67  0.00  0.00  1.12  0.52  8.79  0.35  0.35  0.35   3.54e-04   0.00e+00   2.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.005   0.43    340
4C_55.16                    4940   0.35   2.95  4.00  0.00  0.00  3.36  3.10  3.68  0.29  0.29  0.29   3.90e-03   3.63e-03   4.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.085   1.25    340
ABELL_0133                  2203   1.46   2.57  1.56  0.00  0.00  3.31  3.07  3.60  0.64  0.64  0.64   4.70e-03   4.46e-03   4.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.170   1.15    340
ABELL_0267                  3580   0.37   4.10  2.74  0.00  0.00  5.49  4.69  6.62  0.26  0.26  0.26   5.29e-03   4.83e-03   5.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.154   1.25    340
ABELL_0370                   515   0.24   2.38  3.37  0.00  0.00  8.24  7.16  9.67  0.39  0.39  0.39   3.00e-03   2.86e-03   3.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.095   1.24    340
ABELL_0383                  2321   0.45   2.94  4.07  0.00  0.00  3.08  2.74  3.51  0.38  0.38  0.38   5.04e-03   4.53e-03   5.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.135   1.27    340
ABELL_0399                  3230   1.14   4.10 11.51  0.00  0.00  6.44  6.05  6.87  0.23  0.23  0.23   1.30e-02   1.27e-02   1.33e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.466   1.29    340
ABELL_0401                   518   1.10   4.10 12.48  0.00  0.00  9.01  8.25  9.95  0.46  0.46  0.46   2.71e-02   2.66e-02   2.77e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  1.093   0.97    340
ABELL_0478                  1669   0.93   3.39 15.48  0.00  0.00  6.69  6.47  6.93  0.31  0.31  0.31   4.26e-02   4.21e-02   4.32e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  1.694   1.39    340
