# Model: wabs(mekal) for robs-70 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
ABELL_0781                   534   0.02   2.00  1.90  0.00  0.00  7.59  6.29  9.65  0.30  0.30  0.30   1.96e-03   1.85e-03   2.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.096   80.2   1.21     38
ABELL_0907                  3185   0.04   3.03  5.69  0.00  0.00  6.97  6.67  7.28  0.25  0.25  0.25   6.32e-03   6.23e-03   6.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.296   87.6   1.04    274
ABELL_0963                   903   0.03   3.04  1.39  0.00  0.00  6.80  6.44  7.21  0.34  0.34  0.34   5.85e-03   5.76e-03   5.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.325   61.5   1.06    259
ABELL_1068                  1652   0.04   2.18  0.71  0.00  0.00  5.77  5.39  6.21  0.42  0.42  0.42   4.69e-03   4.57e-03   4.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.252   74.5   0.92    179
ABELL_1204                  2205   0.03   1.66  1.44  0.00  0.00  4.48  4.17  4.84  0.35  0.35  0.35   2.70e-03   2.59e-03   2.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.111   91.8   1.07     89
ABELL_1361                  2200   0.05   1.33  2.18  0.00  0.00  4.42  3.56  5.87  0.61  0.61  0.61   2.35e-03   2.10e-03   2.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.113   75.1   0.39     13
ABELL_1413                  5003   0.04   2.75  2.19  0.00  0.00  9.39  9.04  9.77  0.21  0.21  0.21   1.01e-02   1.01e-02   1.02e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.434   92.5   1.06    326
ABELL_1423                   538   0.03   1.12  1.60  0.00  0.00 11.89  9.00 17.34  0.30  0.30  0.30   1.54e-03   1.47e-03   1.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.078   91.7   0.56     28
ABELL_1650                  4178   0.07   2.90  1.62  0.00  0.00  6.59  6.32  6.90  0.40  0.40  0.40   1.26e-02   1.25e-02   1.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.664   80.2   0.88    274
ABELL_1651                  4185   0.07   3.03  2.02  0.00  0.00  7.95  7.37  8.65  0.32  0.32  0.32   1.27e-02   1.25e-02   1.30e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.625   94.6   0.88    170
ABELL_1664                  1648   0.05   1.44  8.47  0.00  0.00  4.86  4.37  5.45  0.11  0.11  0.11   3.43e-03   3.25e-03   3.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.154   77.4   0.73     55
ABELL_1682                  3244   0.02   2.57  1.10  0.00  0.00  9.76  7.50 13.81  0.30  0.30  0.30   3.06e-03   2.91e-03   3.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.153   69.1   0.92     39
ABELL_1689                  5004   0.03   2.72  1.87  0.00  0.00 14.25 13.12 15.58  0.25  0.25  0.25   1.35e-02   1.34e-02   1.36e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.696   94.3   1.11    270
ABELL_1758                  2213   0.02   2.82  1.09  0.00  0.00 40.07 34.81 50.20  0.20  0.20  0.20   5.97e-03   5.84e-03   6.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.330   54.1   1.11    303
ABELL_1763                  3591   0.03   3.86  0.82  0.00  0.00 11.51 10.30 13.09  0.16  0.16  0.16   5.99e-03   5.88e-03   6.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.301   80.2   0.91    185
ABELL_1835                   495   0.02   3.15  2.36  0.00  0.00 11.46 10.74 12.25  0.36  0.36  0.36   1.21e-02   1.19e-02   1.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.734   82.3   0.98    276
ABELL_1942                  3290   0.03   1.75  2.75  0.00  0.00  6.00  5.39  6.68  0.27  0.27  0.27   1.00e-03   9.65e-04   1.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.044   76.2   0.92     94
