# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
 # Nh frozen = yes; Fe frozen = yes; Confidence Levels = 1.00; Systematic error = 0.00
 # Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
ABELL_1795                  5289   0.00   0.69  1.22  0.00  0.00  4.04  3.97  4.11  0.37  0.37  0.37   1.46e-02   1.45e-02   1.47e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  1.809   99.7 341.92    282
ABELL_1835                   495   0.00   0.21  2.36  0.00  0.00  5.15  5.02  5.32  0.36  0.36  0.36   5.11e-03   5.06e-03   5.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.732   99.7 209.83    185
ABELL_1914                  3593   0.00   0.29  0.97  0.00  0.00 10.87  9.64 12.51  0.30  0.30  0.30   1.31e-03   1.29e-03   1.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  0.142   99.4 111.77     85
ABELL_1942                  3290   0.00   0.23  2.75  0.00  0.00  6.87  5.71  8.53  0.27  0.27  0.27   1.13e-04   1.07e-04   1.18e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.010   94.5  14.12     20
ABELL_1991                  3193   0.00   0.76  2.43  0.00  0.00  1.72  1.71  1.74  0.30  0.30  0.30   5.40e-03   5.37e-03   5.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.827   94.8 589.67    206
ABELL_2029             6101+4977   0.00   0.57  3.26  0.00  0.00  6.22  6.16  6.28  0.42  0.42  0.42   1.52e-02   1.52e-02   1.52e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  2.566   98.8 750.44    417
ABELL_2034                  2204   0.00   0.40  1.58  0.00  0.00  7.47  6.87  8.20  0.29  0.29  0.29   4.67e-04   4.60e-04   4.78e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.058   96.8 107.50     99
ABELL_2069                  4965   0.00   0.39  1.97  0.00  0.00  6.71  5.62  8.26  0.30  0.30  0.30   1.43e-04   1.40e-04   1.53e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.015   87.6  18.91     29
ABELL_2104                   895   0.00   0.31 14.93  0.00  0.00  8.82  7.97  9.92  0.32  0.32  0.32   4.60e-04   4.53e-04   4.70e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.064   87.6  79.26     98
ABELL_2111                   544   0.00   0.23  2.20  0.00  0.00  4.36  3.39  5.92  0.30  0.30  0.30   1.61e-04   1.44e-04   1.75e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.015   94.8   7.11      6
ABELL_2124                  3238   0.00   0.66  1.71  0.00  0.00  4.47  4.14  4.88  0.30  0.30  0.30   6.32e-04   6.20e-04   6.50e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.109   78.4  81.43     67
ABELL_2125                  2207   0.00   0.21  2.75  0.00  0.00  3.01  2.53  3.70  0.30  0.30  0.30   3.47e-05   3.13e-05   3.75e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.003   83.0   7.99      8
ABELL_2147                  3211   0.00   1.18  3.38  0.00  0.00  4.57  4.29  4.90  0.35  0.35  0.35   1.21e-03   1.19e-03   1.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  0.152   91.9  84.58     91
ABELL_2163                  1653   0.00   0.29 12.04  0.00  0.00 20.80 18.00 24.36  0.22  0.22  0.22   8.15e-04   8.00e-04   8.36e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  0.074   98.6 154.49    152
ABELL_2199                   497   0.00   1.39  0.88  0.00  0.00  3.69  3.65  3.72  0.43  0.43  0.43   2.37e-02   2.36e-02   2.38e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  4.759   96.8 596.76    335
ABELL_2204              6104+499   0.00   0.31  5.84  0.00  0.00  4.32  4.22  4.43  0.38  0.38  0.38   1.14e-02   1.13e-02   1.14e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  1.731   99.5 274.74    206
ABELL_2218                  1666   0.00   0.29  3.12  0.00  0.00  9.63  8.41 11.21  0.30  0.30  0.30   4.23e-04   4.13e-04   4.33e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.045   97.9  79.56     63
ABELL_2219                   896   0.00   0.23  1.76  0.00  0.00 13.35 11.69 15.82  0.27  0.27  0.27   4.86e-04   4.77e-04   4.99e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  0.073   93.9  95.46     95
ABELL_2244                  4179   0.00   0.47  2.09  0.00  0.00  5.51  5.37  5.65  0.29  0.29  0.29   2.96e-03   2.94e-03   2.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  0.477   96.3 258.60    266
ABELL_2255                   894   0.00   0.55  2.53  0.00  0.00  8.36  7.18 10.12  0.25  0.25  0.25   2.60e-04   2.54e-04   2.70e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.033   89.9  61.56     47
ABELL_2259                  3245   0.00   0.30  3.70  0.00  0.00  5.15  4.37  6.28  0.30  0.30  0.30   5.04e-04   4.77e-04   5.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.048   98.0  15.36     18
ABELL_2261                  5007   0.00   0.23  3.31  0.00  0.00  7.32  6.81  7.92  0.30  0.30  0.30   1.38e-03   1.36e-03   1.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.134   99.6  82.45    104
ABELL_2294                  3246   0.00   0.28  6.10  0.00  0.00  8.69  6.94 11.53  0.30  0.30  0.30   5.08e-04   4.89e-04   5.36e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.052   97.9  25.41     19
ABELL_2319                  3231   0.00   0.76  9.05  0.00  0.00  8.02  7.43  8.68  0.25  0.25  0.25   2.76e-03   2.72e-03   2.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0562  0.316   98.3 156.17    133
ABELL_2384                  4202   0.00   0.48  2.99  0.00  0.00  2.67  2.59  2.76  0.30  0.30  0.30   1.49e-03   1.47e-03   1.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.154   98.4 174.84    118
ABELL_2390                  4193   0.00   0.23  6.71  0.00  0.00  6.49  6.32  6.66  0.25  0.25  0.25   2.22e-03   2.20e-03   2.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  0.278   98.4 300.10    270
ABELL_2409                  3247   0.00   0.32  6.72  0.00  0.00  4.87  4.37  5.55  0.30  0.30  0.30   7.86e-04   7.58e-04   8.24e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.076   98.4  44.58     28
