# Cluster                  ObsID BgdCCD     ObsCts    DeepCts    Obs/Qui   Deep/Qui   Obs/Deep
ABELL_2294                  3246      6     0.0894     0.0701     0.3226     0.2529     1.2757
ABELL_2319                  3231      6     0.0807     0.0701     0.2941     0.2556     1.1507
ABELL_2384                  4202      6     0.0694     0.0701     0.2505     0.2529     0.9905
ABELL_2390                  4193      2     0.0661     0.0653     0.0614     0.0606     1.0129
ABELL_2409                  3247      6     0.0740     0.0701     0.2669     0.2529     1.0552
ABELL_2537                  4962      2     0.0798     0.0653     0.0740     0.0606     1.2216
ABELL_2550                  2225      3     0.0676     0.0696     0.0628     0.0647     0.9711
ABELL_2554                  1696      2     0.0705     0.0653     0.0654     0.0606     1.0797
ABELL_2556                  2226      3     0.0712     0.0696     0.0661     0.0647     1.0230
ABELL_2589                  3210      3     0.0737     0.0696     0.0684     0.0647     1.0580
ABELL_2597                   922      2     0.1028     0.1057     0.0806     0.0829     0.9723
ABELL_2626                  3192      3     0.0703     0.0696     0.0652     0.0647     1.0088
ABELL_2634                  4816      2     0.0776     0.0653     0.0720     0.0606     1.1879
ABELL_2667                  2214      3     0.0702     0.0696     0.0652     0.0647     1.0077
ABELL_2670                  4959      6     0.0957     0.0701     0.3452     0.2529     1.3649
ABELL_2744                  2212      2     0.0631     0.0653     0.0585     0.0606     0.9659
ABELL_3112                  2516      3     0.0713     0.0696     0.0662     0.0647     1.0245
ABELL_3158                  3201      6     0.0816     0.0701     0.2943     0.2529     1.1638
ABELL_3266                   899      6     0.1131     0.1186     0.3235     0.3392     0.9535
ABELL_3558                  1646      3     0.0673     0.0696     0.0625     0.0647     0.9666
ABELL_3562                  4167      6     0.0799     0.0701     0.2958     0.2596     1.1392
ABELL_3571                  4203      2     0.0692     0.0653     0.0642     0.0606     1.0600
ABELL_3667                  5751      6     0.0965     0.0701     0.3483     0.2529     1.3772
ABELL_4038                  4992      6     0.0942     0.0701     0.3488     0.2596     1.3435
AC_114                      1562      2     0.1077     0.1057     0.0845     0.0829     1.0190
CL_0024+17                   929      2     0.1112     0.1057     0.0872     0.0829     1.0520
CL_1221+4918                1662      6     0.0768     0.0701     0.2771     0.2529     1.0955
CL_J0030+2618               5762      6     0.0983     0.0701     0.3544     0.2529     1.4015
CL_J0152-1357                913      6     0.1146     0.1194     0.3257     0.3393     0.9599
CL_J0542.8-4100              914      6     0.1134     0.1194     0.3223     0.3393     0.9500
CL_J0848+4456                927      6     0.0794     0.1186     0.2271     0.3392     0.8694
CL_J1113.1-2615              915      6     0.1125     0.1194     0.3196     0.3393     0.9420
CL_J1213+0253               4934      6     0.0944     0.0701     0.3407     0.2529     1.3471
CL_J1226.9+3332              932      2     0.0938     0.0839     0.0736     0.0658     1.1191
CL_J1500+2244               4927      6     0.1154     0.0701     0.4162     0.2529     1.6456
CL_J1641+4001               3575      6     0.0798     0.0701     0.2880     0.2529     1.1387
CL_J2302.8+0844              918      6     0.1137     0.1194     0.3232     0.3393     0.9526
CYGNUS_A                     360      2     0.1125     0.1057     0.0883     0.0829     1.0644
ESO_3060170                 3189      6     0.0792     0.0701     0.2962     0.2622     1.1297
ESO_5520200                 3206      6     0.0819     0.0701     0.2953     0.2529     1.1677
EXO_0422-086                4183      6     0.0773     0.0701     0.2790     0.2529     1.1033
HERCULES_A                  1625      2     0.0685     0.0653     0.0636     0.0606     1.0498
HYDRA_A                     4970      2     0.0846     0.0653     0.0786     0.0606     1.2964
HYDRA_A                      575      7     0.8002     0.7335     1.8488     1.6949     1.0908
IRAS_09104+4109              509      2     0.1309     0.1173     0.0909     0.0815     1.1157
LYNX_E                      9271      6     0.0794     0.1186     0.2312     0.3455     0.8692
M87                          352      2     0.0947     0.1057     0.0743     0.0829     0.9854
MACS_J0011.7-1523           6105      6     0.0943     0.0701     0.3403     0.2529     1.3456
MACS_J0159.8-0849           6106      6     0.0954     0.0701     0.3442     0.2529     1.3612
MACS_J0242.5-2132           3266      6     0.0815     0.0701     0.2940     0.2529     1.1623
MACS_J0329.6-0211           3582      6     0.0712     0.0701     0.2568     0.2529     1.0154
MACS_J0429.6-0253           3271      6     0.0798     0.0701     0.2880     0.2529     1.1388
MACS_J0547.0-3904           3273      6     0.0789     0.0701     0.2847     0.2529     1.1259
MACS_J0744.9+3927           6111      6     0.0977     0.0701     0.3524     0.2529     1.3935
MACS_J0949+1708             3274      6     0.0676     0.0701     0.2440     0.2529     0.9650
MACS_J1115.8+0129           3275      6     0.0904     0.0701     0.3262     0.2529     1.2899
MACS_J1311.0-0311           6110      6     0.0942     0.0701     0.3400     0.2529     1.3444
MACS_J1319+7003             3278      6     0.1211     0.0701     0.4368     0.2529     1.7271
MACS_J1427.6-2521           3279      6     0.0779     0.0701     0.2809     0.2529     1.1106
MACS_J1621.3+3810           3594      6     0.0916     0.0701     0.3306     0.2529     1.3071
MACS_J1621.6+3810           6109      6     0.0910     0.0701     0.3283     0.2529     1.2983
MACS_J1931.8-2634           3282      6     0.0725     0.0701     0.2614     0.2529     1.0338
MACS_J2228+2036             3285      6     0.0726     0.0701     0.2618     0.2529     1.0353
MACS_J2229.7-2755           3286      6     0.0791     0.0701     0.2853     0.2529     1.1282
MACS_J2311+0338             3288      6     0.1366     0.0701     0.4927     0.2529     1.6482
MKW_04                      3234      3     0.0691     0.0696     0.0641     0.0647     0.9920
MS_0016.9+1609               520      6     0.1102     0.1186     0.3131     0.3371     0.9288
MS_0302.7+1658               525      6     0.1158     0.1186     0.3290     0.3371     0.9760
MS_0440.5+0204              4196      2     0.0709     0.0653     0.0658     0.0606     1.0861
MS_0451.6-0305               902      2     0.1026     0.1057     0.0805     0.0829     0.9703
MS_0735.6+7421              4197      2     0.0568     0.0653     0.0527     0.0606     0.8701
MS_0839.8+2938              2224      2     0.1081     0.1139     0.0821     0.0865     0.9490
MS_0906.5+1110               924      6     0.1177     0.1186     0.3345     0.3371     0.9923
MS_1006.0+1202               925      6     0.1215     0.1186     0.3453     0.3371     1.0244
MS_1008.1-1224               926      6     0.1175     0.1186     0.3338     0.3371     0.9902
MS_1054.5-0321               512      2     0.1118     0.1057     0.0877     0.0829     1.0574
