# Model: wabs(mekal) for annuli spectra; Fit Range = 0.7 - 9.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
OPHIUCHUS                   3200          2.02 30.63 28.93 32.33 10.80  9.67 12.21  0.30  0.30  0.30   3.22e-03   3.16e-03   3.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.387   0.87    288
OPHIUCHUS                   3200          2.09 33.83 32.23 35.45 10.01  9.08 11.12  0.30  0.30  0.30   3.76e-03   3.70e-03   3.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.441   1.13    306
OPHIUCHUS                   3200          2.16 31.96 30.19 33.73 10.28  9.20 11.65  0.30  0.30  0.30   3.29e-03   3.24e-03   3.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.393   1.15    293
OPHIUCHUS                   3200          2.22 31.27 29.67 32.92 11.04  9.90 12.42  0.30  0.30  0.30   3.35e-03   3.29e-03   3.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.400   1.12    299
OPHIUCHUS                   3200          2.29 33.32 31.55 35.10  9.71  8.76 10.90  0.30  0.30  0.30   3.36e-03   3.30e-03   3.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.395   1.07    294
OPHIUCHUS                   3200          2.35 32.83 31.17 34.52 10.42  9.39 11.69  0.30  0.30  0.30   3.44e-03   3.39e-03   3.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.405   0.96    298
OPHIUCHUS                   3200          2.43 33.20 31.61 34.85 10.16  9.21 11.28  0.30  0.30  0.30   3.93e-03   3.86e-03   4.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.459   1.02    310
OPHIUCHUS                   3200          2.48 33.11 31.28 34.95 10.22  9.12 11.63  0.30  0.30  0.30   3.09e-03   3.03e-03   3.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.360   0.93    285
OPHIUCHUS                   3200          2.55 33.66 31.93 35.40 10.18  9.16 11.46  0.30  0.30  0.30   3.56e-03   3.50e-03   3.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.414   1.14    299
OPHIUCHUS                   3200          2.62 31.83 30.17 33.54 11.33 10.11 12.86  0.30  0.30  0.30   3.57e-03   3.51e-03   3.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.418   0.83    303
OPHIUCHUS                   3200          2.68 32.77 31.10 34.46  9.57  8.70 10.65  0.30  0.30  0.30   3.61e-03   3.55e-03   3.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.422   0.99    297
OPHIUCHUS                   3200          2.75 32.88 31.22 34.56 10.13  9.16 11.34  0.30  0.30  0.30   3.66e-03   3.59e-03   3.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.426   0.95    303
OPHIUCHUS                   3200          2.81 31.84 30.20 33.54 10.39  9.36 11.59  0.30  0.30  0.30   3.58e-03   3.52e-03   3.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.421   1.10    301
OPHIUCHUS                   3200          2.87 33.99 32.22 35.84  9.56  8.59 10.70  0.30  0.30  0.30   3.19e-03   3.13e-03   3.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.367   1.00    286
OPHIUCHUS                   3200          2.94 32.29 30.71 34.00 11.64 10.33 13.05  0.30  0.30  0.30   3.61e-03   3.56e-03   3.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.419   1.10    301
OPHIUCHUS                   3200          3.00 34.33 32.64 36.02  9.77  8.86 10.91  0.30  0.30  0.30   3.70e-03   3.63e-03   3.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.421   1.01    305
