# Model: wabs(mekal) for total spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
1RXS_J2129.4-0741           3595   0.16   0.00  4.36  0.00  0.00  9.79  7.97 12.65  0.52  0.22  0.85   2.20e-03   2.04e-03   2.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.146   1.13    143
3C_220.1                     839   0.16   0.00  1.91  0.00  0.00  2.92  1.83  6.28  0.26  0.00  1.35   2.90e-04   1.85e-04   4.07e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.027   0.90     49
3C_28.0                     3233   0.43   0.00  5.71  0.00  0.00  6.75  6.42  7.12  0.12  0.06  0.19   6.05e-03   5.95e-03   6.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.554   1.14    363
3C_346                      3129   0.52   0.00  5.67  0.00  0.00  2.42  1.91  3.12  0.33  0.07  0.91   2.08e-04   1.59e-04   2.59e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.029   0.99     26
4C_55.16                    4940   0.35   0.00  4.00  0.00  0.00  4.72  4.52  4.94  0.34  0.27  0.41   2.97e-03   2.90e-03   3.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.385   1.50    342
ABELL_0133                  2203   1.46   0.00  1.56  0.00  0.00  4.31  4.15  4.48  0.37  0.30  0.45   4.47e-03   4.37e-03   4.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.887   1.09    284
ABELL_0267                  3580   0.37   0.00  2.74  0.00  0.00  7.91  7.14  8.85  0.27  0.13  0.40   4.84e-03   4.69e-03   5.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.459   1.18    233
ABELL_0370                   515   0.24   0.00  3.37  0.00  0.00  7.26  6.77  7.81  0.43  0.34  0.53   2.87e-03   2.81e-03   2.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.412   1.61    306
ABELL_0383                  2321   0.45   0.00  4.07  0.00  0.00  5.04  4.65  5.38  0.40  0.27  0.55   4.03e-03   3.86e-03   4.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.638   1.03    204
ABELL_0399                  3230   1.14   0.00 11.51  0.00  0.00  7.09  6.87  7.34  0.23  0.18  0.28   1.25e-02   1.23e-02   1.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.309   1.23    416
ABELL_0401                   518   1.10   0.00 12.48  0.00  0.00  8.00  7.69  8.32  0.46  0.39  0.54   2.73e-02   2.69e-02   2.77e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  3.333   1.66    387
ABELL_0478                  1669   0.93   0.00 15.48  0.00  0.00 29.09  0.00  0.00  0.00  0.00  0.00   3.99e-02   0.00e+00   0.00e+00  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  4.887  14.65    439
ABELL_0478                  6102   0.93   0.00 15.48  0.00  0.00 18.91 17.09 20.78  0.40  0.25  0.56   3.58e-02   3.49e-02   3.67e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  3.538   2.58    375
ABELL_0520                  4215   0.42   0.00  7.84  0.00  0.00  7.29  7.02  7.59  0.25  0.20  0.30   8.70e-03   8.58e-03   8.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.777   1.17    408
ABELL_0521                   430   0.34   0.00  6.17  0.00  0.00  5.85  5.51  6.24  0.35  0.26  0.44   5.93e-03   5.78e-03   6.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.811   1.25    284
