# Model: wabs(mekal) for total spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
ABELL_1204                  2205   0.49   0.00  1.44  0.00  0.00  3.21  2.77  3.73  0.01  0.00  0.18   4.73e-03   4.13e-03   5.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.084   1.61    127
ABELL_1361                  2200   0.71   0.00  2.18  0.00  0.00 15.13  8.49 56.82  1.27  0.25  4.74   3.30e-03   2.60e-03   3.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.172   0.79     33
ABELL_1413                  5003   0.58   0.00  2.19  0.00  0.00  7.07  6.60  7.61  0.22  0.17  0.26   1.11e-02   1.08e-02   1.14e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.323   0.98    295
ABELL_1650                  4178   0.97   0.00  1.62  0.00  0.00  4.94  4.62  5.32  0.24  0.18  0.30   1.34e-02   1.29e-02   1.39e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.480   1.12    252
ABELL_1651                  4185   0.98   0.00  2.02  0.00  0.00  5.66  5.12  6.32  0.32  0.23  0.42   1.75e-02   1.67e-02   1.84e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.618   1.05    184
ABELL_1664                  1648   0.65   0.00  8.47  0.00  0.00  3.63  3.04  4.45  0.05  0.00  0.20   6.79e-03   5.89e-03   7.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.177   0.78     64
ABELL_1689                  5004   0.45   0.00  1.87  0.00  0.00 10.19  9.13 11.50  0.24  0.16  0.33   1.61e-02   1.56e-02   1.66e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.560   1.03    266
ABELL_1758                  2213   0.31   0.00  1.09  0.00  0.00 16.82 13.32 22.38  0.49  0.34  0.65   7.38e-03   7.16e-03   7.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.282   1.07    304
ABELL_1763                  3591   0.45   0.00  0.82  0.00  0.00  7.80  6.56  9.55  0.16  0.04  0.27   6.89e-03   6.45e-03   7.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.223   1.14    167
ABELL_1835                   495   0.34   0.00  2.36  0.00  0.00 11.69 10.21 13.79  0.33  0.23  0.43   1.23e-02   1.19e-02   1.27e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.467   1.01    232
ABELL_1942                  3290   0.38   0.00  2.75  0.00  0.00  3.33  2.83  4.02  0.07  0.00  0.24   2.55e-03   2.17e-03   3.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.041   1.30    155
ABELL_1991                  3193   1.44   0.00  2.43  0.00  0.00  2.10  1.90  2.34  0.19  0.03  0.39   3.94e-03   3.42e-03   4.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.077   1.37    125
ABELL_2029                  4977   1.07   0.00  3.26  0.00  0.00  7.07  6.86  7.28  0.32  0.29  0.34   3.38e-02   3.35e-02   3.42e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  1.421   1.88    339
ABELL_2029                  6101   1.07   0.00  3.26  0.00  0.00  8.59  7.84  9.49  0.24  0.17  0.31   3.75e-02   3.65e-02   3.86e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  1.474   0.97    268
ABELL_2034                  2204   0.73   0.00  1.58  0.00  0.00  7.23  6.73  7.78  0.20  0.14  0.25   1.10e-02   1.07e-02   1.13e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.386   1.10    315
ABELL_2104                   895   0.53   0.00  9.04  0.00  0.00  6.39  5.89  6.97  0.29  0.23  0.36   7.51e-03   7.23e-03   7.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.278   1.09    268
ABELL_2124                  3238   1.24   0.00  1.71  0.00  0.00  4.07  3.26  5.10  0.00  0.00  0.18   2.55e-03   2.24e-03   2.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.080   1.05     71
ABELL_2147                  3211   2.27   0.00  3.38  0.00  0.00  4.42  3.85  5.14  0.12  0.00  0.27   5.58e-03   5.13e-03   6.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  0.178   1.12    120
ABELL_2163                  1653   0.49   0.00 12.04  0.00  0.00 13.00 12.14 14.13  0.10  0.06  0.14   2.76e-02   2.73e-02   2.79e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  0.931   1.17    339
ABELL_2199                   497   2.70   0.00  0.88  0.00  0.00  5.03  4.29  6.08  0.34  0.15  0.54   2.94e-03   2.69e-03   3.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.125   1.27     75
ABELL_2204                   499   0.55   0.00  5.84  0.00  0.00  7.71  6.83  8.78  0.19  0.10  0.27   1.87e-02   1.79e-02   1.96e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.718   1.19    194
ABELL_2204                  6104   0.55   0.00  5.84  0.00  0.00  8.99  7.86 10.53  0.26  0.17  0.37   1.88e-02   1.80e-02   1.97e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.683   1.08    197
ABELL_2218                  1666   0.49   0.00  3.12  0.00  0.00  5.68  5.09  6.42  0.09  0.02  0.17   1.03e-02   9.71e-03   1.09e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.287   1.06    279
ABELL_2219                   896   0.38   0.00  1.76  0.00  0.00  9.63  8.92 10.44  0.21  0.16  0.26   1.52e-02   1.48e-02   1.56e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  0.553   1.04    306
ABELL_2244                  4179   0.85   0.00  2.09  0.00  0.00  4.54  4.35  4.75  0.24  0.21  0.28   1.44e-02   1.40e-02   1.48e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  0.484   1.33    306
ABELL_2255                   894   1.02   0.00  2.53  0.00  0.00 11.81 10.75 13.11  0.87  0.74  1.01   8.81e-03   8.57e-03   9.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.405   1.48    279
ABELL_2259                  3245   0.51   0.00  3.70  0.00  0.00  4.27  3.63  5.14  0.13  0.01  0.26   7.68e-03   6.80e-03   8.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.184   0.83     81
ABELL_2261                  5007   0.38   0.00  3.31  0.00  0.00  7.07  6.31  8.00  0.22  0.15  0.29   9.62e-03   9.14e-03   1.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.283   0.94    217
ABELL_2319                  3231   1.44   0.00  9.05  0.00  0.00  8.91  8.25  9.68  0.30  0.23  0.36   3.60e-02   3.52e-02   3.69e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0562  1.471   1.05    302
ABELL_2384                  4202   0.87   0.00  2.99  0.00  0.00  4.92  4.40  5.57  0.03  0.00  0.11   5.96e-03   5.60e-03   6.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.174   0.87    206
ABELL_2390                  4193   0.37   0.00  6.71  0.00  0.00  8.54  8.12  9.00  0.23  0.20  0.26   1.46e-02   1.44e-02   1.49e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  0.500   1.16    335
ABELL_2409                  3247   0.57   0.00  6.72  0.00  0.00  5.05  4.41  5.88  0.31  0.19  0.42   9.74e-03   8.98e-03   1.06e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.287   1.30    109
ABELL_2550                  2225   0.54   0.00  2.03  0.00  0.00  0.83  0.61  1.11  0.00  0.00  0.47   5.66e-03   0.00e+00   1.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1543 -0.002   2.13    143
ABELL_2554                  1696   0.75   0.00  2.04  0.00  0.00  4.13  3.41  5.12  0.09  0.00  0.27   4.32e-03   3.84e-03   4.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.130   0.96    117
ABELL_2556                  2226   0.95   0.00  2.02  0.00  0.00  3.09  2.72  3.57  0.17  0.02  0.36   6.10e-03   5.45e-03   6.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  0.161   0.98    148
ABELL_2589                  3210   1.95   0.00  3.98  0.00  0.00  9.67  5.24 79.90  1.46  0.00 39.39   2.65e-03   0.00e+00   3.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0415  0.149   1.36     13
ABELL_2597                   922   0.96   0.00  2.51  0.00  0.00  4.99  3.86  6.52  0.00  0.00  0.33   1.26e-03   1.11e-03   1.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0854  0.043   0.97     32
ABELL_2626                  3192   1.42   0.00  4.30  0.00  0.00  2.57  2.36  2.83  0.57  0.36  0.83   5.33e-03   4.85e-03   6.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0573  0.151   1.12    132
ABELL_2667                  2214   0.37   0.00  1.64  0.00  0.00  5.42  4.68  6.39  0.16  0.07  0.25   1.04e-02   9.60e-03   1.14e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.313   1.27    106
ABELL_2670                  4959   1.07   0.00  2.88  0.00  0.00  4.50  4.08  4.98  0.09  0.01  0.17   6.22e-03   5.88e-03   6.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  0.185   1.13    230
