#ResultsfromquerytoNASA/IPACExtragalacticDatabase(NED),
#whichisoperatedbytheJetPropulsionLaboratory,CaliforniaInstituteof
#Technology,undercontractwiththeNationalAeronauticsandSpaceAdministration.
#queryDateTime:2009-12-03T16:26:02PST
#PhotometricDataforUGC08058
#No.	ObservedPassband	PhotometryMeasurement	Uncertainty	Units	Frequency	NEDPhotometryMeasurement	NEDUncertainty	NEDUnits	Refcode	Significance	Publishedfrequency	FrequencyMode	CoordinatesTargeted	SpatialMode	Qualifiers	Comments
84	3.43microns	0.33		Jy	8.74E+13	3.30E-01		Jy	1976ApJ210L5R	nouncertaintyreported	3.43microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
85	3.45microns	0.321	0.020	Jy	8.69E+13	3.21E-01	2.00E-02	Jy	1976PASP88870J	uncertainty	3.45microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
86	3.5microns	7.40	0.1	mag	8.57E+13	3.07E-01	2.96E-02	Jy	1976ApJ20544S	uncertainty	3.5microns	Broad-bandmeasurement		Fluxinfixedaperture	8.4"aperture	Averagednewandpreviouslypublisheddata
87	3.5microns	0.34	0.04	Jy	8.57E+13	3.40E-01	4.00E-02	Jy	1972ApJ176L95R	1sigma	3.5microns	Broad-bandmeasurement		Fluxinfixedaperture	6"aperture	Fromnewrawdata
88	3.5microns	0.326	0.016	Jy	8.57E+13	3.26E-01	1.60E-02	Jy	1975PASP87683J	uncertainty	3.4microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
89	L(Johnson)	7.43	0.02	mag	8.47E+13	3.07E-01	5.71E-03	Jy	1976ApJ207367A	uncertainty	3.54microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
90	3.6microns	0.360	10%	Jy	8.33E+13	3.60E-01	3.61E-02	Jy	1978ApJ226550R	uncertainty	3.6microns	Broad-bandmeasurement		Fluxinfixedaperture	8.5"aperture	Fromnewrawdata
91	3.6microns	0.36		Jy	8.33E+13	3.60E-01		Jy	1976ApJ210L5R	nouncertaintyreported	3.6microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
92	L'(KPNO)	0.270	0.006	Jy	8.21E+13	2.70E-01	6.00E-03	Jy	1979ApJ234471M	uncertainty	3.65microns	Broad-bandmeasurement		Fluxinfixedaperture	10"aperture	Fromnewrawdata
93	L'(KPNO)	0.300	0.009	Jy	8.21E+13	3.00E-01	9.00E-03	Jy	1979ApJ234471M	uncertainty	3.65microns	Broad-bandmeasurement		Fluxinfixedaperture	15"aperture	Fromnewrawdata
94	M(KPNO)	0.400	0.034	Jy	6.45E+13	4.00E-01	3.40E-02	Jy	1979ApJ234471M	uncertainty	4.65microns	Broad-bandmeasurement		Fluxinfixedaperture	10"aperture	Fromnewrawdata
95	5.0microns	0.38	0.03	Jy	6.00E+13	3.80E-01	3.00E-02	Jy	1976ApJ210L5R	uncertainty	5.0microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
96	5.0microns	0.47	0.07	Jy	6.00E+13	4.70E-01	7.00E-02	Jy	1972ApJ176L95R	1sigma	5.0microns	Broad-bandmeasurement		Fluxinfixedaperture	6"aperture	Fromnewrawdata
97	H_2S(7)line(IRS)		122.3E-20	Wcm-2	5.44E+13		2.25E-02	Jy	2006ApJ648323H	nouncertaintyreported	5.51microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission	125614.29+565225.10(J2000)	Fluxintegratedfrommap		Fromnewrawdata
98	6microns(Spitzer)	0.84		Jy	5.00E+13	8.40E-01		Jy	2005ApJ633706W	nouncertaintyreported	6microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
99	PAH6.2(IRS)	78.6E-14	29.6E-14	ergscm-2s-1	4.84E+13	1.62E-03	6.12E-04	Jy	2007ApJ656148A	uncertainty	6.2microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
100	8.4microns	1.08	0.07	Jy	3.57E+13	1.08E+00	7.00E-02	Jy	1976ApJ210L5R	uncertainty	8.4microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
101	8.4microns	1.12	0.29	Jy	3.57E+13	1.12E+00	2.90E-01	Jy	1975PASP87683J	uncertainty	8.4microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
102	8.4microns	4.20	0.2	mag	3.57E+13	1.13E+00	1.03E+00	Jy	1976ApJ207367A	uncertainty	8.4microns	Broad-bandmeasurement		Fluxinfixedaperture	13"aperture	Fromnewrawdata
103	8.8microns	1.00	0.10	Jy	3.41E+13	1.00E+00	1.00E-01	Jy	1976ApJ210L5R	uncertainty	8.8microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
104	H_2S(3)line(IRS)	0.46E-20	0.13E-20	Wcm-2	3.10E+13	1.48E-04	4.19E-05	Jy	2006ApJ648323H	uncertainty	9.67microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission	125614.29+565225.10(J2000)	Fluxintegratedfrommap		Fromnewrawdata
105	H_2S(3)line(IRS)	4.33E-14	1.02E-14	ergscm-2s-1	3.10E+13	1.40E-04	3.29E-05	Jy	2007ApJ656148A	uncertainty	9.665microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
106	10microns(ISO)	1.4250	30%	Jy	3.00E+13	1.43E+00	4.28E-01	Jy	2001A&A379823K	uncertainty	10microns	Broad-bandmeasurement		Fluxinfixedaperture	Aperture52"	Fromnewrawdata
107	10microns(Spitzer)	0.95		Jy	3.00E+13	9.50E-01		Jy	2005ApJ633706W	nouncertaintyreported	10microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
108	10.4microns	0.75	0.08	Jy	2.88E+13	7.50E-01	8.00E-02	Jy	1976ApJ210L5R	uncertainty	10.4microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
109	10.5microns	1.41	0.17	Jy	2.86E+13	1.41E+00	1.70E-01	Jy	1975PASP87683J	uncertainty	10.5microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
110	10.5microns	1.42	0.11	Jy	2.86E+13	1.42E+00	1.10E-01	Jy	1972ApJ176L95R	1sigma	10.5microns	Broad-bandmeasurement		Fluxinfixedaperture	6"aperture	Fromnewrawdata
111	[SIV]line(IRS)		3.1E-14	ergscm-2s-1	2.85E+13		1.09E-04	Jy	2007ApJ656148A	3sigma	10.511microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
112	10.6microns	1.420	10%	Jy	2.83E+13	1.42E+00	1.00E+01	Jy	1978ApJ226550R	uncertainty	10.6microns	Broad-bandmeasurement		Fluxinfixedaperture	5.7"aperture	Fromnewrawdata
113	10.8micronsMIRLIN	1235	60	milliJy	2.78E+13	1.24E+00	6.00E-02	Jy	2004ApJ605156G	statisticalerror	10.8microns	Broad-bandmeasurement		Fluxinfixedaperture	1.5"diamaperture	Fromnewrawdata
114	11.1microns	3.90	0.3	mag	2.70E+13	8.26E-01	2.63E-01	Jy	1976ApJ207367A	uncertainty	11.1microns	Broad-bandmeasurement		Fluxinfixedaperture	13"aperture	Fromnewrawdata
115	11.1microns	1.22	0.25	Jy	2.70E+13	1.22E+00	2.50E-01	Jy	1975PASP87683J	uncertainty	11.1microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
116	PAH11.3(IRS)	75.57E-14	5.29E-14	ergscm-2s-1	2.65E+13	2.85E-03	2.00E-04	Jy	2007ApJ656148A	uncertainty	11.3microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
117	11.6microns	1.00	0.14	Jy	2.58E+13	1.00E+00	1.40E-01	Jy	1976ApJ210L5R	uncertainty	11.6microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
118	12microns(ISO)	2.4000	30%	Jy	2.52E+13	2.40E+00	7.20E-01	Jy	2001A&A379823K	uncertainty	12microns	Broad-bandmeasurement		Fluxinfixedaperture	Aperture52"	Fromnewrawdata
119	IRAS12microns	1.83	0.017	Jy	2.50E+13	1.83E+00	1.70E-02	Jy	2003AJ.126.1607S	1sigma	12microns	Broad-bandmeasurement	125615.0+565217(J2000)	Totalflux	Size,Method,Flagcodes:UT;seepaper	Fromreprocessedrawdata
120	IRAS12microns	1.872E+00	5%	Jy	2.50E+13	1.87E+00	9.36E-02	Jy	1990IRASF.C0000M	uncertainty	12microns	Broad-bandmeasurement	125405.8+570830(B1950)	Fluxinfixedaperture	IRASqualityflag=3	Fromnewrawdata
121	IRAS12microns	1.93	0.024	Jy	2.50E+13	1.93E+00	2.40E-02	Jy	1989AJ98766S	rmsnoise	12microns	Broad-bandmeasurement	125404.8+570838(B1950)	Integratedfromscans	Unresolvedwith0.77'beam	Fromreprocessedrawdata
122	H_2S(2)line(IRS)		26.8E-20	Wcm-2	2.44E+13		1.10E-02	Jy	2006ApJ648323H	nouncertaintyreported	12.28microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission	125614.29+565225.10(J2000)	Fluxintegratedfrommap		Fromnewrawdata
123	H_2S(2)line(IRS)	3.93E-14	1.42E-14	ergscm-2s-1	2.44E+13	1.61E-04	5.82E-05	Jy	2007ApJ656148A	uncertainty	12.279microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
124	12.6microns	1.39	0.3	Jy	2.38E+13	1.39E+00	3.00E-01	Jy	1975PASP87683J	uncertainty	12.6microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
125	12.6microns	2.00	0.14	Jy	2.38E+13	2.00E+00	1.40E-01	Jy	1976ApJ210L5R	uncertainty	12.6microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
126	12.8microns	3.20	0.2	mag	2.34E+13	1.31E+00	2.65E-01	Jy	1976ApJ207367A	uncertainty	12.8microns	Broad-bandmeasurement		Fluxinfixedaperture	13"aperture	Fromnewrawdata
127	[NeII]line(IRS)	21.11E-14	1.74E-14	ergscm-2s-1	2.34E+13	9.02E-04	7.44E-05	Jy	2007ApJ656148A	uncertainty	12.814microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
128	14microns(IRS)	2.83		Jy	2.14E+13	2.83E+00		Jy	2007ApJ659296L	nouncertaintyreported	14microns	Broad-bandmeasurement		Fluxintegratedfrommap	S/N=200	Fromreprocessedrawdata
129	[NeV]line(IRS)		2.9E-14	ergscm-2s-1	2.09E+13		1.39E-04	Jy	2007ApJ656148A	3sigma	14.322microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
130	[ClII]line(IRS)		2.9E-14	ergscm-2s-1	2.09E+13		1.39E-04	Jy	2007ApJ656148A	3sigma	14.368microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
131	[NeV]14.32		0.44E-20	W/cm2	2.09E+13		2.11E-04	Jy	2007ApJ66471D	nouncertaintyreported	14.32microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxintegratedfrommap		Averagedfrompreviouslypublisheddata
132	15microns(Spitzer)	03.4		Jy	2.00E+13	3.40E+00		Jy	2005ApJ633706W	nouncertaintyreported	15microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
133	15microns(ISO)	2.9000	30%	Jy	1.98E+13	2.90E+00	8.70E-01	Jy	2001A&A379823K	uncertainty	15microns	Broad-bandmeasurement		Fluxinfixedaperture	Aperture52"	Fromnewrawdata
134	[NeIII]line(IRS)	4.65E-14	1.72E-14	ergscm-2s-1	1.93E+13	2.41E-04	8.91E-05	Jy	2007ApJ656148A	uncertainty	15.555microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
135	H_2S(1)line(IRS)		31.7E-20	Wcm-2	1.76E+13		1.80E-02	Jy	2006ApJ648323H	nouncertaintyreported	17.04microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission	125614.29+565225.10(J2000)	Fluxintegratedfrommap		Fromnewrawdata
136	H_2S(1)line(IRS)	11.42E-14	2.78E-14	ergscm-2s-1	1.76E+13	6.49E-04	1.58E-04	Jy	2007ApJ656148A	uncertainty	17.035microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
137	17.5microns	4.70	0.7	Jy	1.71E+13	4.70E+00	7.00E-01	Jy	1976ApJ210L5R	uncertainty	17.5microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
138	[SIII]line(IRS)		5.9E-14	ergscm-2s-1	1.60E+13		3.69E-04	Jy	2007ApJ656148A	3sigma	18.713microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
139	[SIII]18.71		0.47E-20	W/cm2	1.60E+13		2.94E-04	Jy	2007ApJ66471D	nouncertaintyreported	18.71microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxintegratedfrommap		Averagedfrompreviouslypublisheddata
140	20microns(Spitzer)	5.3		Jy	1.50E+13	5.30E+00		Jy	2005ApJ633706W	nouncertaintyreported	20microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
141	20microns	1.00	0.2	mag	1.50E+13	4.18E+00	8.46E-01	Jy	1976ApJ207367A	uncertainty	20microns	Broad-bandmeasurement		Fluxinfixedaperture	13"aperture	Fromnewrawdata
142	21.6microns	5.1	0.67	Jy	1.39E+13	5.10E+00	6.70E-01	Jy	1975PASP87683J	uncertainty	21.6microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
143	22.5microns	6.90	0.5	Jy	1.33E+13	6.90E+00	5.00E-01	Jy	1976ApJ210L5R	uncertainty	22.5microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
144	25microns(ISO)	8.6600	30%	Jy	1.26E+13	8.66E+00	2.60E+00	Jy	2001A&A379823K	uncertainty	25microns	Broad-bandmeasurement		Fluxinfixedaperture	Aperture52"	Fromnewrawdata
145	[NeV]line(IRS)		5.6E-14	ergscm-2s-1	1.23E+13		4.55E-04	Jy	2007ApJ656148A	3sigma	24.318microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
146	[NeV]24.32		0.69E-20	W/cm2	1.23E+13		5.61E-04	Jy	2007ApJ66471D	nouncertaintyreported	24.31microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxintegratedfrommap		Averagedfrompreviouslypublisheddata
147	IRAS25microns	8.84	0.028	Jy	1.20E+13	8.84E+00	2.80E-02	Jy	2003AJ.126.1607S	1sigma	25microns	Broad-bandmeasurement	125615.0+565217(J2000)	Totalflux	Size,Method,Flagcodes:UT;seepaper	Fromreprocessedrawdata
148	IRAS25microns	8.662E+00	5%	Jy	1.20E+13	8.66E+00	9.36E-02	Jy	1990IRASF.C0000M	uncertainty	25microns	Broad-bandmeasurement	125405.8+570830(B1950)	Fluxinfixedaperture	IRASqualityflag=3	Fromnewrawdata
149	IRAS25microns	8.80	0.035	Jy	1.20E+13	8.80E+00	3.50E-02	Jy	1989AJ98766S	rmsnoise	25microns	Broad-bandmeasurement	125404.8+570838(B1950)	Integratedfromscans	Unresolvedwith0.78'beam	Fromreprocessedrawdata
150	[OIV]line(IRS)		6.7E-14	ergscm-2s-1	1.16E+13		5.78E-04	Jy	2007ApJ656148A	3sigma	25.890microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
151	H_2S(0)line(IRS)		67.5E-20	Wcm-2	1.06E+13		6.37E-02	Jy	2006ApJ648323H	nouncertaintyreported	28.22microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission	125614.29+565225.10(J2000)	Fluxintegratedfrommap		Fromnewrawdata
152	30microns(Spitzer)	14.4		Jy	9.99E+12	1.44E+01		Jy	2005ApJ633706W	nouncertaintyreported	30microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
153	[SIII]line(IRS)		27.5E-14	ergscm-2s-1	8.95E+12		3.07E-03	Jy	2007ApJ656148A	3sigma	33.481microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxinfixedaperture		Fromnewrawdata
154	[SIII]33.48		2.30E-20	W/cm2	8.95E+12		2.57E-03	Jy	2007ApJ66471D	nouncertaintyreported	33.48microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxintegratedfrommap		Averagedfrompreviouslypublisheddata
155	IRAS60microns	30.80	0.042	Jy	5.00E+12	3.08E+01	4.20E-02	Jy	2003AJ.126.1607S	1sigma	60microns	Broad-bandmeasurement	125615.0+565217(J2000)	Totalflux	Size,Method,Flagcodes:UT;seepaper	Fromreprocessedrawdata
156	IRAS60microns	3.199E+01	5%	Jy	5.00E+12	3.20E+01	1.60E+00	Jy	1990IRASF.C0000M	uncertainty	60microns	Broad-bandmeasurement	125405.8+570830(B1950)	Fluxinfixedaperture	IRASqualityflag=3	Fromnewrawdata
157	IRAS60microns	35.40	0.039	Jy	5.00E+12	3.54E+01	3.90E-02	Jy	1989AJ98766S	rmsnoise	60microns	Broad-bandmeasurement	125404.8+570838(B1950)	Integratedfromscans	Unresolvedwith1.44'beam	Fromreprocessedrawdata
158	60microns(ISO)	31.6800	30%	Jy	4.93E+12	3.17E+01	9.50E+00	Jy	2001A&A379823K	uncertainty	60microns	Broad-bandmeasurement		Fluxintegratedfrommap	Aperture46"x46"	Fromnewrawdata
159	90microns(ISO)	27.3400	30%	Jy	3.15E+12	2.73E+01	8.20E+00	Jy	2001A&A379823K	uncertainty	90microns	Broad-bandmeasurement		Fluxintegratedfrommap	Aperture46"x46"	Fromnewrawdata
160	IRAS100microns	29.74	0.108	Jy	3.00E+12	2.97E+01	1.08E-01	Jy	2003AJ.126.1607S	1sigma	100microns	Broad-bandmeasurement	125615.0+565217(J2000)	Totalflux	Size,Method,Flagcodes:UT;seepaper	Fromreprocessedrawdata
161	IRAS100microns	32.28	0.122	Jy	3.00E+12	3.23E+01	1.22E-01	Jy	1989AJ98766S	rmsnoise	100microns	Broad-bandmeasurement	125404.8+570838(B1950)	Integratedfromscans	Unresolvedwith2.94'beam	Fromreprocessedrawdata
162	IRAS100microns	3.029E+01	4%	Jy	3.00E+12	3.03E+01	1.21E+00	Jy	1990IRASF.C0000M	uncertainty	100microns	Broad-bandmeasurement	125405.8+570830(B1950)	Fluxinfixedaperture	IRASqualityflag=2	Fromnewrawdata
163	11cm(NRAO)	256	38	milliJy	2.70E+12	2.56E-01	3.80E-02	Jy	1980AJ85.1462K	uncertainty	11cm	Broad-bandmeasurement		Fluxintegratedfrommap		Fromnewrawdata
164	120microns(ISO)	24.3200	30%	Jy	2.52E+12	2.43E+01	7.30E+00	Jy	2001A&A379823K	uncertainty	120microns	Broad-bandmeasurement		Fluxintegratedfrommap	Aperture184"x184"	Fromnewrawdata
165	150microns(ISO)	14.7400	30%	Jy	1.86E+12	1.47E+01	4.42E+00	Jy	2001A&A379823K	uncertainty	150microns	Broad-bandmeasurement		Fluxintegratedfrommap	Aperture184"x184"	Fromnewrawdata
166	170microns(ISO)	20.81	15%	Jy	1.76E+12	2.08E+01	3.12E+00	Jy	2004A&A42239S	uncertainty	170microns	Broad-bandmeasurement	125616.92+565225.6(J2000)	Integratedfromscans		Averagedfrompreviouslypublisheddata
167	180microns(ISO)	9.7500	30%	Jy	1.62E+12	9.75E+00	2.92E+00	Jy	2001A&A379823K	uncertainty	180microns	Broad-bandmeasurement		Fluxintegratedfrommap	Aperture184"x184"	Fromnewrawdata
168	200microns(ISO)	6.8800	30%	Jy	1.47E+12	6.88E+00	2.06E+00	Jy	2001A&A379823K	uncertainty	200microns	Broad-bandmeasurement		Fluxintegratedfrommap	Aperture184"x184"	Fromnewrawdata
169	350microns(CSO)	1.73	0.07	Jy	8.57E+11	1.73E+00	7.00E-02	Jy	2007ApJ662284Y	uncertainty	350microns	Broad-bandmeasurement	125614.2+565225(J2000)	Fluxintegratedfrommap		Fromnewrawdata
170	350microns	2.485	0.420	Jy	8.57E+11	2.49E+00	4.20E-01	Jy	1996MNRAS.278.1049R	basedoncountstatisticsonly	350microns	Broad-bandmeasurement	125614.24+565225.13(J2000)	Fluxinfixedaperture	8"FWHP	Fromnewrawdata
171	350microns	1.05	0.25	Jy	8.57E+11	1.05E+00	2.50E-01	Jy	1999CITT00R.B	1sigma	350microns	Broad-bandmeasurement		Fluxintegratedfrommap		Fromnewrawdata
172	CO(6-5)(JCMT)	1465	500	Jykm/s	6.91E+11	4.50E-03	1.54E-03	Jy	2007ApJ668815P	uncertainty	12650kms-1	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission	125614.18+565225.8(J2000)	Fluxintegratedfrommap		Fromnewrawdata
173	450microns	0.513	0.134	Jy	6.66E+11	5.13E-01	1.34E-01	Jy	1996MNRAS.278.1049R	basedoncountstatisticsonly	450microns	Broad-bandmeasurement	125614.24+565225.13(J2000)	Fluxinfixedaperture	8"FWHP	Fromnewrawdata
174	CO(4-3)(JCMT)	980	230	Jykm/s	4.61E+11	3.01E-03	7.06E-04	Jy	2007ApJ668815P	uncertainty	12650kms-1	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission	125614.18+565225.8(J2000)	Fluxintegratedfrommap		Fromnewrawdata
175	800microns	0.096	0.018	Jy	3.75E+11	9.60E-02	1.80E-02	Jy	1996MNRAS.278.1049R	basedoncountstatisticsonly	800microns	Broad-bandmeasurement	125614.24+565225.13(J2000)	Fluxinfixedaperture	19"FWHP	Fromnewrawdata
176	HCN(4-3)(JCMT)	65	13	Jykm/s	3.55E+11	1.99E-04	3.99E-05	Jy	2007ApJ668815P	uncertainty	12650kms-1	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission	125614.18+565225.8(J2000)	Fluxintegratedfrommap		Fromnewrawdata
177	CO(3-2)(JCMT)	568	80	Jykm/s	3.46E+11	1.74E-03	2.46E-04	Jy	2007ApJ668815P	uncertainty	12650kms-1	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission	125614.18+565225.8(J2000)	Fluxintegratedfrommap		Fromnewrawdata
178	1100microns	0.0469	0.0116	Jy	2.73E+11	4.69E-02	1.16E-02	Jy	1996MNRAS.278.1049R	basedoncountstatisticsonly	1100microns	Broad-bandmeasurement	125614.24+565225.13(J2000)	Fluxinfixedaperture	19"FWHP	Fromnewrawdata
179	1.25mm	0.029	0.008	Jy	2.40E+11	2.90E-02	8.00E-03	Jy	1992PASP104.1086C	uncertainty	1.25mm	Broad-bandmeasurement		Fluxinfixedaperture	30"aperture	Fromnewrawdata
180	3.2mm			Jy	9.30E+10		4.00E-02	Jy	1976PASP88870J	uncertainty	3.2mm	Broad-bandmeasurement		Fluxinfixedaperture	75"aperture	Fromnewrawdata
181	3.3mm	0.02	0.06	Jy	9.08E+10	2.00E-02	6.00E-02	Jy	1975PASP87683J	uncertainty	3.3mm	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
182	NRAO9.5mm	-0.04	0.14	fluxunits	3.16E+10	-4.00E-02	1.40E-01	Jy	1972AJ77705T	rmsuncertainty	9.5mm	Broad-bandmeasurement		Integratedfromscans		Fromnewrawdata
183	20.0GHz(OVRO)	123	11	milliJy	2.00E+10	1.23E-01	1.10E-02	Jy	1987ApJ313651E	uncertainty	20.0GHz	Broad-bandmeasurement	125405.11+570838.5(B1950)	Fluxintegratedfrommap		Fromnewrawdata
184	8.4GHz	255		milliJy	8.40E+09	2.55E-01		Jy	1992MNRAS.254655P	nouncertaintyreported	8.4GHz	Broad-bandmeasurement	125614.23440+565225.2367(J2000)	Fluxintegratedfrommap	>80%unresolvedat0.2"	Fromnewrawdata
185	8.1GHz	86	5	milliJy	8.10E+09	8.60E-02	5.00E-03	Jy	1976ApJ207725S	uncertainty	8.1GHz	Broad-bandmeasurement	125405.04+570838.1(B1950)	Fluxinfixedaperture		Fromnewrawdata
186	5GHz(VLBA)	185.5		milliJy	5.00E+09	1.85E-01		Jy	2007ApJ658203H	nouncertaintyreported	5GHz	Broad-bandmeasurement	125614.2345+565225.235(J2000)	Totalflux	rmsnoise=0.41mJy/beam	Fromnewrawdata
187	4.89GHz(VLA)	270	14	milliJy	4.89E+09	2.70E-01	1.40E-02	Jy	1987ApJ313651E	uncertainty	4.89GHz	Broad-bandmeasurement	125405.11+570838.5(B1950)	Fluxintegratedfrommap	High-resolutiondata	Fromnewrawdata
188	4.89GHz(VLA)	278	13	milliJy	4.89E+09	2.78E-01	1.30E-02	Jy	1987ApJ313651E	uncertainty	4.89GHz	Broad-bandmeasurement	125405.11+570838.5(B1950)	Fluxintegratedfrommap	Low-resolutiondata	Fromnewrawdata
189	4.85GHz	419	43	milliJy	4.85E+09	4.19E-01	4.30E-02	Jy	1991ApJS75.1011G	rmsnoise	4.85GHz	Broad-bandmeasurement	125405.2+570847(B1950)	Modelleddatum		Fromnewrawdata;Correctedforcontaminatingsources
190	4.85GHz	414	15%	milliJy	4.85E+09	4.14E-01	6.21E-02	Jy	1991ApJS75.1B	uncertainty	4.85GHz	Broad-bandmeasurement	125405.4+570847(B1950)	Peakflux		Fromnewrawdata;Correctedforcontaminatingsources
191	6cm(NRAO)	154	24	milliJy	4.75E+09	1.54E-01	2.40E-02	Jy	1980AJ85.1462K	uncertainty	6cm	Broad-bandmeasurement		Fluxintegratedfrommap		Fromnewrawdata
192	2.7GHz	165	8	milliJy	2.70E+09	1.65E-01	8.00E-03	Jy	1976ApJ207725S	uncertainty	2.7GHz	Broad-bandmeasurement	125405.04+570838.1(B1950)	Fluxinfixedaperture		Fromnewrawdata
193	1.46GHz(VLA)	255	13	milliJy	1.46E+09	2.55E-01	1.30E-02	Jy	1987ApJ313651E	uncertainty	1.46GHz	Broad-bandmeasurement	125405.11+570838.5(B1950)	Fluxintegratedfrommap		Fromnewrawdata
194	1.4GHz(VLA)	237.		milliJy	1.42E+09	2.37E-01		Jy	2006A&A449559B	nouncertaintyreported	1.42GHz	Broad-bandmeasurement	125405.01+570838.2(J2000)	Totalflux		Fromnewrawdata
195	HI(21cmline)		1.50	Jykms-1	1.42E+09		4.61E-06	Jy	1989H&RHI.C0000H	nouncertaintyreported	21cm	Linemeasurement;fluxintegratedoverline;notdetected	125405.0+570841.(B1950)	Notreportedinpaper		Transformedfrompreviouslypublisheddata
196	1.4GHz(VLA)	309.0		milliJy	1.40E+09	3.09E-01		Jy	2002AJ.124675C	nouncertaintyreported	1.4GHz	Broad-bandmeasurement		Fluxintegratedfrommap		Averagedfrompreviouslypublisheddata
197	1.40GHz	288		milliJy	1.40E+09	2.88E-01		Jy	1992ApJS79331W	nouncertaintyreported	1.4GHz	Broad-bandmeasurement	125405.4+570847(B1950)	Peakflux		Fromnewrawdata
198	Texas365MHz	0.551	0.039	Jy	3.65E+08	5.51E-01	3.90E-02	Jy	1996AJ.111.1945D	internalerror	365MHz	Broad-bandmeasurement;obtainedbyinterpolationoverfrequency	125404.798570835.95(B1950)	Integratedfromscans	Model:D;MFlag:+;EFlag:+;LFlag:+.	Fromnewrawdata
