#ResultsfromquerytoNASA/IPACExtragalacticDatabase(NED),
#whichisoperatedbytheJetPropulsionLaboratory,CaliforniaInstituteof
#Technology,undercontractwiththeNationalAeronauticsandSpaceAdministration.
#queryDateTime:2009-12-03T16:26:02PST
#PhotometricDataforUGC08058
#No.	ObservedPassband	PhotometryMeasurement	Uncertainty	Units	Frequency	NEDPhotometryMeasurement	NEDUncertainty	NEDUnits	Refcode	Significance	Publishedfrequency	FrequencyMode	CoordinatesTargeted	SpatialMode	Qualifiers	Comments
21	B(B_T0)	13.97		mag	6.81E+14	1.10E-02		Jy	1991RC3.9.C0000d	nouncertaintyreported	4400A	Broad-bandmeasurement	125405.0+57837(B1950)	Multiplemethods		Homogenizedfromnewandpreviouslypublisheddata;Extinction-correctedforinternalandMilkyWayandK-correctionapplied;StandardJohnsonUBVRIfiltersassumed
22	B(m_B)	14.04	0.18	mag	6.81E+14	1.03E-02	1.86E-03	Jy	1991RC3.9.C0000d	rmsuncertainty	4400A	Broad-bandmeasurement	125405.0+57837(B1950)	Multiplemethods		Homogenizedfromnewandpreviouslypublisheddata;StandardJohnsonUBVRIfiltersassumed
23	J_pg	13.4	0.3	mag	6.41E+14	1.72E-02	4.76E-03	Jy	2007ApJS17033P	estimatederror	4680A	Broad-bandmeasurement	125613.97+565224.(J2000)	Fluxinfixedaperture	Isophotalmag	Fromreprocessedrawdata
24	g(SDSSPSF)AB	13.974	0.014	asinhmag	6.17E+14	9.34E-03	1.21E-04	Jy	2007SDSS6.C0000:	basedoncountstatisticsonly	4858A	Broad-bandmeasurement	194.059295552556.8736997947(J2000)	Modelleddatum	SDSSflags:CHILD-objectispartofablendedparentobject;COSMIC_RAY-containsacosmicraypixel;BAD_RADIAL-somelowS/Nradialpoints;INTERP-objectcontainsinterpolated-overpixels;DEBLENDED_AS_PSF-childobjectisunresolved;BINNED1-detectedat>=5sigmainoriginalimagingframe;	Fromnewrawdata
25	V(V_T0)	13.28		mag	5.42E+14	1.78E-02		Jy	1991RC3.9.C0000d	nouncertaintyreported	5530A	Broad-bandmeasurement	125405.0+57837(B1950)	Frommulti-aperturedata		Homogenizedfromnewandpreviouslypublisheddata;Extinction-correctedforinternalandMilkyWayandK-correctionapplied;StandardJohnsonUBVRIfiltersassumed
26	V(V_T)	13.61	0.17	mag	5.42E+14	1.31E-02	2.22E-03	Jy	1991RC3.9.C0000d	rmsuncertainty	5530A	Broad-bandmeasurement	125405.0+57837(B1950)	Frommulti-aperturedata		Homogenizedfromnewandpreviouslypublisheddata;StandardJohnsonUBVRIfiltersassumed
27	r(SDSSPSF)AB	14.978	0.014	asinhmag	4.77E+14	3.71E-03	4.85E-05	Jy	2007SDSS6.C0000:	basedoncountstatisticsonly	6290A	Broad-bandmeasurement	194.059295552556.8736997947(J2000)	Modelleddatum	SDSSflags:CHILD-objectispartofablendedparentobject;COSMIC_RAY-containsacosmicraypixel;BAD_RADIAL-somelowS/Nradialpoints;INTERP-objectcontainsinterpolated-overpixels;SATUR-objectcontainssaturatedpixels;DEBLENDED_AS_PSF-childobjectisunresolved;BINNED1-detectedat>=5sigmainoriginalimagingframe;SATUR_CENTER-object'scenterissaturated;INTERP_CENTER-interpolatedpixel(s)within3pixelsofcenter;PSF_FLUX_INTERP-asignifcantamountofPSF'sfluxisinterpolated;BRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren;CANONICAL_BAND-thisbandwasprimary(usuallyr);NOTCHECKED_CENTER-object'scenterhaspixelsnotcheckedforpeaks;	Fromnewrawdata
28	F_pg	12.9	0.3	mag	4.68E+14	2.13E-02	5.89E-03	Jy	2007ApJS17033P	estimatederror	6400A	Broad-bandmeasurement	125613.97+565224.(J2000)	Fluxinfixedaperture	Isophotalmag	Fromreprocessedrawdata
29	i(SDSSPSF)AB	12.944	0.002	asinhmag	3.89E+14	2.41E-02	3.72E-05	Jy	2007SDSS6.C0000:	basedoncountstatisticsonly	7706A	Broad-bandmeasurement	194.059295552556.8736997947(J2000)	Modelleddatum	SDSSflags:CHILD-objectispartofablendedparentobject;COSMIC_RAY-containsacosmicraypixel;BAD_RADIAL-somelowS/Nradialpoints;INTERP-objectcontainsinterpolated-overpixels;SATUR-objectcontainssaturatedpixels;BINNED1-detectedat>=5sigmainoriginalimagingframe;SATUR_CENTER-object'scenterissaturated;INTERP_CENTER-interpolatedpixel(s)within3pixelsofcenter;PSF_FLUX_INTERP-asignifcantamountofPSF'sfluxisinterpolated;BRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren;AMOMENT_FAINT-toofaintforadaptivemoments;NOTCHECKED_CENTER-object'scenterhaspixelsnotcheckedforpeaks;HAS_SATUR_DN-saturated,butbleedtrailcountsaddedbackin;	Fromnewrawdata
30	z(SDSSPSF)AB	13.010	0.028	asinhmag	3.25E+14	2.23E-02	5.75E-04	Jy	2007SDSS6.C0000:	basedoncountstatisticsonly	9222A	Broad-bandmeasurement	194.059295552556.8736997947(J2000)	Modelleddatum	SDSSflags:CHILD-objectispartofablendedparentobject;BAD_RADIAL-somelowS/Nradialpoints;DEBLENDED_AS_PSF-childobjectisunresolved;BINNED1-detectedat>=5sigmainoriginalimagingframe;BRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren;	Fromnewrawdata
