#ID                                  Freq            Flux            Ferr       Type       Line
#--                                    Hz              Jy              Jy         --         --
K_tot(2MASSLGA)                1.3800e+14      1.9900e-01      3.1400e-03       cont       none
K_s_14arcsec(2MASS)            1.3800e+14      1.7700e-01      2.4700e-03       cont       none
F_K(total)                     1.3700e+14      1.8600e-01      4.8200e-02       cont       none
2.2microns                     1.3600e+14      1.7500e-01      0.0000e+00       cont       none
2.2microns                     1.3600e+14      1.5400e-01      3.0000e-03       cont       none
K(ESO/SPM)                     1.3600e+14      1.8600e-01      1.2400e-02       cont       none
K(KPNO)                        1.3500e+14      1.4100e-01      2.0000e-03       cont       none
2.2microns                     1.3500e+14      1.7000e-01      2.0000e-02       cont       none
K(Johnson)                     1.3500e+14      1.6500e-01      3.0600e-03       cont       none
2.22microns                    1.3500e+14      1.5400e-01      6.0000e-03       cont       none
2.2microns                     1.3500e+14      1.7500e-01      1.7600e-02       cont       none
K(KPNO)                        1.3500e+14      1.6000e-01      2.0000e-03       cont       none
2.35microns                    1.2800e+14      1.8000e-01      0.0000e+00       cont       none
3.0microns                     9.9900e+13      2.3000e-01      0.0000e+00       cont       none
# 3.3microns(SUBARU)             9.1100e+13      1.9800e-04      7.9000e-05       cont       none
3.43microns                    8.7400e+13      3.3000e-01      0.0000e+00       cont       none
3.45microns                    8.6900e+13      3.2100e-01      2.0000e-02       cont       none
3.5microns                     8.5700e+13      3.0700e-01      2.9600e-02       cont       none
3.5microns                     8.5700e+13      3.4000e-01      4.0000e-02       cont       none
3.5microns                     8.5700e+13      3.2600e-01      1.6000e-02       cont       none
L(Johnson)                     8.4700e+13      3.0700e-01      5.7100e-03       cont       none
3.6microns                     8.3300e+13      3.6000e-01      3.6100e-02       cont       none
3.6microns                     8.3300e+13      3.6000e-01      0.0000e+00       cont       none
L'(KPNO)                       8.2100e+13      2.7000e-01      6.0000e-03       cont       none
L'(KPNO)                       8.2100e+13      3.0000e-01      9.0000e-03       cont       none
M(KPNO)                        6.4500e+13      4.0000e-01      3.4000e-02       cont       none
5.0microns                     6.0000e+13      3.8000e-01      3.0000e-02       cont       none
5.0microns                     6.0000e+13      4.7000e-01      7.0000e-02       cont       none
# H_2S(7)line(IRS)               5.4400e+13      2.2500e-02      2.2500e-02       cont       none
6microns(Spitzer)              5.0000e+13      8.4000e-01      0.0000e+00       cont       none
# PAH6.2(IRS)                    4.8400e+13      1.6200e-03      6.1200e-04       cont       none
8.4microns                     3.5700e+13      1.0800e+00      7.0000e-02       cont       none
8.4microns                     3.5700e+13      1.1200e+00      2.9000e-01       cont       none
8.4microns                     3.5700e+13      1.1300e+00      1.0300e+00       cont       none
8.8microns                     3.4100e+13      1.0000e+00      1.0000e-01       cont       none
# H_2S(3)line(IRS)               3.1000e+13      1.4800e-04      4.1900e-05       cont       none
# H_2S(3)line(IRS)               3.1000e+13      1.4000e-04      3.2900e-05       cont       none
10microns(ISO)                 3.0000e+13      1.4300e+00      4.2800e-01       cont       none
10microns(Spitzer)             3.0000e+13      9.5000e-01      0.0000e+00       cont       none
10.4microns                    2.8800e+13      7.5000e-01      8.0000e-02       cont       none
10.5microns                    2.8600e+13      1.4100e+00      1.7000e-01       cont       none
10.5microns                    2.8600e+13      1.4200e+00      1.1000e-01       cont       none
# [SIV]line(IRS)                 2.8500e+13      1.0900e-04      1.0900e-04       cont       none
10.6microns                    2.8300e+13      1.4200e+00      1.0000e+01       cont       none
10.8micronsMIRLIN              2.7800e+13      1.2400e+00      6.0000e-02       cont       none
11.1microns                    2.7000e+13      8.2600e-01      2.6300e-01       cont       none
11.1microns                    2.7000e+13      1.2200e+00      2.5000e-01       cont       none
# PAH11.3(IRS)                   2.6500e+13      2.8500e-03      2.0000e-04       cont       none
11.6microns                    2.5800e+13      1.0000e+00      1.4000e-01       cont       none
12microns(ISO)                 2.5200e+13      2.4000e+00      7.2000e-01       cont       none
IRAS12microns                  2.5000e+13      1.8300e+00      1.7000e-02       cont       none
IRAS12microns                  2.5000e+13      1.8700e+00      9.3600e-02       cont       none
IRAS12microns                  2.5000e+13      1.9300e+00      2.4000e-02       cont       none
# H_2S(2)line(IRS)               2.4400e+13      1.1000e-02      1.1000e-02       cont       none
# H_2S(2)line(IRS)               2.4400e+13      1.6100e-04      5.8200e-05       cont       none
12.6microns                    2.3800e+13      1.3900e+00      3.0000e-01       cont       none
12.6microns                    2.3800e+13      2.0000e+00      1.4000e-01       cont       none
12.8microns                    2.3400e+13      1.3100e+00      2.6500e-01       cont       none
# [NeII]line(IRS)                2.3400e+13      9.0200e-04      7.4400e-05       cont       none
14microns(IRS)                 2.1400e+13      2.8300e+00      0.0000e+00       cont       none
# [NeV]line(IRS)                 2.0900e+13      1.3900e-04      1.3900e-04       cont       none
# [ClII]line(IRS)                2.0900e+13      1.3900e-04      1.3900e-04       cont       none
# [NeV]14.32                     2.0900e+13      2.1100e-04      2.1100e-04       cont       none
15microns(Spitzer)             2.0000e+13      3.4000e+00      0.0000e+00       cont       none
15microns(ISO)                 1.9800e+13      2.9000e+00      8.7000e-01       cont       none
# [NeIII]line(IRS)               1.9300e+13      2.4100e-04      8.9100e-05       cont       none
# H_2S(1)line(IRS)               1.7600e+13      1.8000e-02      1.8000e-02       cont       none
# H_2S(1)line(IRS)               1.7600e+13      6.4900e-04      1.5800e-04       cont       none
17.5microns                    1.7100e+13      4.7000e+00      7.0000e-01       cont       none
# [SIII]line(IRS)                1.6000e+13      3.6900e-04      3.6900e-04       cont       none
# [SIII]18.71                    1.6000e+13      2.9400e-04      2.9400e-04       cont       none
20microns(Spitzer)             1.5000e+13      5.3000e+00      0.0000e+00       cont       none
20microns                      1.5000e+13      4.1800e+00      8.4600e-01       cont       none
21.6microns                    1.3900e+13      5.1000e+00      6.7000e-01       cont       none
22.5microns                    1.3300e+13      6.9000e+00      5.0000e-01       cont       none
25microns(ISO)                 1.2600e+13      8.6600e+00      2.6000e+00       cont       none
# [NeV]line(IRS)                 1.2300e+13      4.5500e-04      4.5500e-04       cont       none
# [NeV]24.32                     1.2300e+13      5.6100e-04      5.6100e-04       cont       none
IRAS25microns                  1.2000e+13      8.8400e+00      2.8000e-02       cont       none
