#ResultsfromquerytoNASA/IPACExtragalacticDatabaseNED,
#whichisoperatedbytheJetPropulsionLaboratory,CaliforniaInstituteof
#Technology,undercontractwiththeNationalAeronauticsandSpaceAdministration.
#queryDateTime2009-06-10T082217PDT
#PhotometricDatafor2MASSiJ0913454+405628
#No.	ObservedPassband	PhotometryMeasurement	Uncertainty	Units	Frequency	NEDPhotometryMeasurement	NEDUncertainty	NEDUnits	Refcode	Significance	Publishedfrequency	FrequencyMode	CoordinatesTargeted	SpatialMode	Qualifiers	Comments
13	iSDSSPSFAB	17.575	0.014	asinhmag	3.89E+14	3.39E-04	4.22E-06	Jy	2007SDSS6.C0000	basedoncountstatisticsonly	7706A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
14	iSDSSCModelAB	17.059		asinhmag	3.89E+14	5.45E-04		Jy	2007SDSS6.C0000	nouncertaintyreported	7706A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
15	iSDSSModelAB	16.822	0.005	asinhmag	3.89E+14	6.78E-04	3.30E-06	Jy	2007SDSS6.C0000	basedoncountstatisticsonly	7706A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
16	zSDSSCModelAB	17.222		asinhmag	3.25E+14	4.69E-04		Jy	2007SDSS6.C0000	nouncertaintyreported	9222A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBINNED_CENTER-imagewasbinnedwhilecentroidingBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
17	zSDSSPSFAB	18.188	0.026	asinhmag	3.25E+14	1.89E-04	4.53E-06	Jy	2007SDSS6.C0000	basedoncountstatisticsonly	9222A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBINNED_CENTER-imagewasbinnedwhilecentroidingBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
18	zSDSSModelAB	17.169	0.016	asinhmag	3.25E+14	4.92E-04	7.03E-06	Jy	2007SDSS6.C0000	basedoncountstatisticsonly	9222A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBINNED_CENTER-imagewasbinnedwhilecentroidingBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
19	K_sWHT	15.00	0.05	mag	1.39E+14	6.67E-04	3.07E-05	Jy	2004MNRAS.349518F	uncertainty	2.150microns	Broad-bandmeasurement	091345.4+405628.0J2000	Fluxintegratedfrommap		Fromnewrawdata
20	IRAS12microns	1.297E-01	24%	Jy	2.50E+13	1.30E-01	3.11E-02	Jy	1990IRASF.C0000M	uncertainty	12microns	Broad-bandmeasurement	091031.4+410859B1950	Fluxinfixedaperture	IRASqualityflag=2	Fromnewrawdata
21	IRAS25microns	3.335E-01	10%	Jy	1.20E+13	3.34E-01	1.30E-02	Jy	1990IRASF.C0000M	uncertainty	25microns	Broad-bandmeasurement	091031.4+410859B1950	Fluxinfixedaperture	IRASqualityflag=3	Fromnewrawdata
22	IRAS60microns	5.254E-01	8%	Jy	5.00E+12	5.25E-01	4.20E-02	Jy	1990IRASF.C0000M	uncertainty	60microns	Broad-bandmeasurement	091031.4+410859B1950	Fluxinfixedaperture	IRASqualityflag=3	Fromnewrawdata
23	IRAS100microns		4.379E-01	Jy	3.00E+12	0.0	4.38E-01	Jy	1990IRASF.C0000M	90%confidence	100microns	Broad-bandmeasurement	091031.4+410859B1950	Fluxinfixedaperture		Fromnewrawdata
24	28.5GHzBIMA	0.69	0.12	milliJy	2.85E+10	6.90E-04	1.20E-04	Jy	2007AJ.134897C	uncertainty	28.5GHz	Broad-bandmeasurement	091345.4+405626.7J2000	Fluxintegratedfrommap	Beamattenuationcorrectedflux	Fromnewrawdata
