#Name           Obsid   Chip    Exp Time        RegArea Counts/Reg      Cts/Chip        Chip/Qbgd Ratio
ABELL_2597	922	s3	16469.262	38841.4	696.00000	1.1408799	0.89501839
ABELL_2626	3192	s3	23542.093	32853.3	662.00000	0.89749868	0.83317739
ABELL_2667	2214	s3	9646.5916	30969.9	241.00000	0.84586987	0.78524868
ABELL_2670	4959	i1	36839.194	47028.8	469.00000	0.28385615	1.0348383
ABELL_2744	2212	s3	24403.055	26718.6	355.00000	0.57091287	0.52999710
ABELL_3112	2516	s3	14450.178	21704.4	393.00000	1.3139278	1.2197622
ABELL_3158	3201	i1	24685.849	24146.5	155.00000	0.27266455	0.99403774
ABELL_3266	899	i0	29755.980	39764.4	327.00000	0.28978689	0.84857070
ABELL_3558	1646	s3	11883.261	19700.7	700.00000	3.1353049	2.9106061
ABELL_3562	4167	i1	19283.924	39398.0	179.00000	0.24704886	0.90065204
ABELL_3571	4203	s3	31543.543	21667.3	2545.0000	3.9045547	3.6247259
ABELL_4038	4992	i0	33529.019	34061.3	315.00000	0.28921971	1.0815995
AC_114		1562	s3	71387.653	20413.4	1061.0000	0.76344441	0.59892085
CL_1221+4918	1662	i0	70131.625	32340.0	440.00000	0.20342255	0.76074252
CL_1416+4446	541	i0	27571.509	19590.0	152.00000	0.29508645	0.74762211
CL_J0542.8-4100	914	i0	47016.415	19873.4	208.00000	0.23342218	0.68352028
CL_J1113.1-2615	915	i0	91554.533	21277.1	388.00000	0.20885187	0.61157209
CL_J1226.9+3332	932	s3	7448.9473	11237.8	30.000000	0.37578986	0.29480651
CL_J2302.8+0844	918	i1	96927.268	20106.2	464.00000	0.24965603	0.71391488
CYGNUS_A	360	s3	34719.522	10440.1	509.00000	1.4724404	1.1551270
ESO_3060170	3189	i3	14002.978	26707.5	97.000000	0.27196773	0.98112458
ESO_5520200	3206	i2	19508.551	36719.4	162.00000	0.23713444	0.87827571
EXO_0422-086	4183	i1	9903.4689	25910.8	79.000000	0.32281832	1.1768805
HERCULES_A	1625	s3	14517.335	19847.1	208.00000	0.75696975	0.70271978
IRAS_09104+4109	509	s3	6792.4074	26086.4	550.00000	3.2548075	2.2602830
MS_0016.9+1609	520	i0	65362.684	27084.0	346.00000	0.20494328	0.60012673
MS_0302.7+1658	525	i0	8945.4743	38012.6	55.000000	0.16960237	0.49663943
MS_0440.5+0204	4196	s3	12282.831	18961.9	252.00000	1.1345424	1.0532328
MS_0451.6-0305	902	s3	41119.680	19725.4	448.00000	0.57916428	0.45435340
MS_0735.6+7421	4197	s3	44975.108	20093.7	491.00000	0.56970409	0.52887495
MS_0839.8+2938	2224	s3	27246.247	15368.0	360.00000	0.90152630	0.68416658
MS_0906.5+1110	924	i0	29596.149	19819.3	101.00000	0.18055027	0.52869770
MS_1006.0+1202	925	i0	28824.999	22868.6	91.000000	0.14475467	0.42387897
MS_1008.1-1224	926	i0	39811.261	32727.7	278.00000	0.22372922	0.65513681
MS_1054.5-0321	512	s3	71098.245	12781.9	667.00000	0.76961413	0.60376098
MS_1137.5+6625	536	i0	107628.19	23696.9	681.00000	0.27998160	0.70935293
MS_1455.0+2232	4192	i0	91371.572	22402.8	360.00000	0.18441234	0.68964975
MS_1621.5+2640	546	i0	29513.845	21652.5	182.00000	0.29863266	0.87447339
MS_2053.7-0449	1667	i0	39898.889	32344.2	251.00000	0.20394664	0.76270247
MS_2137.3-2353	928	s3	24575.697	18334.4	434.00000	1.0099895	0.70138160
OPHIUCHUS	3200	s3	50295.283	15969.8	9033.0000	11.792502	8.9493068
PKS_0745-191	508	s3	4544.0032	27667.6	1006.0000	8.3904841	6.5823206
PKS_0745-191	6103	i0	10223.611	33607.5	79.000000	0.24109414	0.90162355
RBS_0797	2202	i0	11393.524	38727.9	69.000000	0.16397116	0.48014981
RX_J0439.0+0520	527	i2	9592.1803	40150.1	57.000000	0.15519238	0.45192890
RX_J0439.0+0715	1449	i0	6228.4008	48010.2	87.000000	0.30507702	0.77293393
RX_J0647.7+7015	3584	i0	18652.011	31920.7	119.00000	0.20957925	0.78376682
RX_J0819.6+6336	2199	s3	10848.389	18808.6	137.00000	0.70404288	0.55232046
RX_J0820.9+0752	1647	s3	3071.9621	19564.6	70.000000	1.2212705	0.95808466
RX_J1347.5-1145	3592	i0	57714.337	28756.1	335.00000	0.21165649	0.79153512
RX_J1347.5-1145	507	s3	9951.8871	17404.6	136.00000	0.82332212	0.64589482
RX_J1423.8+2404	1657	i0	16872.490	31253.1	92.000000	0.18294275	0.68415388
RX_J1423.8+2404	4195	s3	113528.39	14163.8	953.00000	0.62145364	0.57691574
RX_J1532.9+3021	1649	s3	8848.5762	24928.8	154.00000	0.73205786	0.67959326
RX_J1532.9+3021	1665	i0	9945.2773	36930.9	45.000000	0.12847105	0.48044523
RX_J1716.9+6708	548	i0	47890.208	35020.4	439.00000	0.27447089	0.80372149
RX_J1720.1+2638	4361	i0	24818.455	22224.2	114.00000	0.21672200	0.81047866
RX_J1720.2+3536	3280	i0	19707.538	36275.5	129.00000	0.18920990	0.70759124
RX_J2129.6+0005	552	i0	9877.7578	27567.5	50.000000	0.19253693	0.56379774
SERSIC_159-03	1668	s3	9674.4785	15628.9	148.00000	1.0263747	0.95281722
V_1121.0+2327	1660	i0	61927.243	39703.5	403.00000	0.17186756	0.64273582
ZWCL_1358+6245	516	s3	34074.830	18624.1	462.00000	0.76336680	0.59885996
ZWCL_1953	1659	i0	21491.895	26958.8	135.00000	0.24431935	0.71543002
ZWCL_3146	909	i0	46005.184	34357.8	360.00000	0.23881980	0.69932593
ZWCL_5247	539	i2	9021.3018	42942.5	93.000000	0.25172510	0.73303757
ZWCL_7160	543	i0	9852.4819	40653.7	84.000000	0.21990409	0.64393586
ZWICKY_2701	3195	s3	24283.399	15695.9	263.00000	0.72353739	0.67168343
