# Model: wabs(mekal) for total spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
ABELL_1204                  2205   0.49   4.81  5.77  3.91  7.72  3.13  2.89  3.40  0.16  0.08  0.25   4.45e-03   4.18e-03   4.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.370   1.43    228
ABELL_1361                  2200   0.71   2.94  0.00  0.00  1.73  8.71  6.72 11.24  0.70  0.21  1.27   3.68e-03   3.43e-03   4.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.749   1.32    103
ABELL_1413                  5003   0.58   2.79  1.94  1.26  2.63  7.90  7.55  8.29  0.21  0.17  0.26   1.06e-02   1.04e-02   1.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.955   1.05    396
ABELL_1650                  4178   0.97   2.94  2.33  1.86  2.81  5.55  5.33  5.79  0.22  0.17  0.27   1.26e-02   1.23e-02   1.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  2.043   1.10    353
ABELL_1651                  4185   0.98   4.10  1.82  0.64  2.94  6.50  6.09  7.03  0.32  0.23  0.41   1.63e-02   1.58e-02   1.68e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  1.929   1.11    285
ABELL_1664                  1648   0.65   2.94 10.91  9.27 12.57  4.06  3.64  4.58  0.00  0.00  0.10   6.25e-03   5.88e-03   6.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.790   0.84    163
ABELL_1689                  5004   0.45   4.10  0.90  0.00  1.81 10.40  9.61 11.33  0.25  0.17  0.34   1.58e-02   1.55e-02   1.61e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  1.600   1.07    367
ABELL_1758                  2213   0.31   3.78  0.00  0.00  0.15 20.72 18.52 23.58  0.63  0.44  0.82   6.94e-03   6.73e-03   7.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.966   1.36    405
ABELL_1763                  3591   0.45   4.10  1.52  0.04  3.06  7.29  6.56  8.16  0.17  0.07  0.27   6.98e-03   6.74e-03   7.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.687   1.21    268
ABELL_1835                   495   0.34   2.91  2.58  2.06  3.11 10.71  9.88 11.67  0.31  0.23  0.40   1.25e-02   1.22e-02   1.27e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  1.940   0.99    333
