# Model: wabs(mekal) for total spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
1RXS_J2129.4-0741           3595   0.16   0.00 270.11 89.15 484.36  3.47  2.19  6.01  0.17  0.06  0.32   7.67e-03   0.00e+00   2.13e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.050   1.39     72
3C_220.1                     839   0.16   0.00 1395.60  0.00 4298.33  0.53  0.18 79.90  8.74  0.00 1000.00   2.49e-01   0.00e+00   2.10e+04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.003   0.73     22
3C_28.0                     3233   0.43   0.00 125.99 84.55 169.16  3.90  3.37  4.59  0.10  0.06  0.15   1.01e-02   8.49e-03   1.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.179   1.02    260
3C_346                      3129   0.52   0.00 1400.30 71.44 3376.03  0.32  0.12  4.04 25.45  0.00 1000.00   6.01e-02   0.00e+00   1.35e+02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.004   1.89      3
4C_55.16                    4940   0.35   0.00 83.42 24.69 149.90  2.85  2.36  3.49  0.22  0.14  0.30   5.50e-03   4.13e-03   7.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.085   1.12    239
ABELL_0133                  2203   1.46   0.00  6.76  0.00 51.49  3.86  3.20  4.41  0.42  0.30  0.56   4.73e-03   4.38e-03   5.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.170   1.20    181
ABELL_0267                  3580   0.37   0.00 16.74  0.00 81.03  7.70  5.41 10.56  0.20  0.07  0.38   5.13e-03   4.50e-03   6.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.154   1.21    132
ABELL_0370                   515   0.24   0.00 66.36 24.22 115.93  7.15  5.59  9.09  0.26  0.17  0.38   3.70e-03   3.14e-03   4.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.096   1.06    203
ABELL_0383                  2321   0.45   0.00  0.00  0.00 61.43  4.56  3.50  5.51  0.43  0.27  0.62   4.22e-03   3.86e-03   5.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.135   0.89    101
ABELL_0399                  3230   1.14   0.00 57.44 36.50 78.96  5.27  4.77  5.87  0.20  0.15  0.24   1.53e-02   1.41e-02   1.66e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.466   1.24    313
