           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    1.19900E-02    1.13213E-01    1.60015E-03    2.76000E+00    1.80000E-01    1.89247E-23    3.76068E-01    2.50956E-02    2.25641E-01    1.50573E-02
    1.19900E-02    2.39900E-02    5.51886E-02    7.81822E-04    2.90753E+00    2.07662E-01    1.84224E-23    8.34855E-01    6.07887E-02    5.00913E-01    3.64732E-02
    2.39900E-02    3.59800E-02    3.08604E-02    6.60230E-04    3.34861E+00    2.26808E-01    1.82198E-23    1.73861E+00    1.23495E-01    1.04317E+00    7.40968E-02
    3.59800E-02    4.79700E-02    2.18059E-02    5.59848E-04    3.65827E+00    2.67017E-01    1.85666E-23    2.63787E+00    2.04102E-01    1.58272E+00    1.22461E-01
    4.79700E-02    5.99700E-02    1.67592E-02    4.90891E-04    3.82568E+00    2.93210E-01    1.88286E-23    3.53933E+00    2.90398E-01    2.12360E+00    1.74239E-01
    5.99700E-02    7.19600E-02    1.38230E-02    4.27537E-04    3.87833E+00    2.99791E-01    1.88852E-23    4.33715E+00    3.61099E-01    2.60229E+00    2.16659E-01
    7.19600E-02    8.39600E-02    1.13246E-02    3.81388E-04    4.30652E+00    3.66804E-01    1.95150E-23    5.68878E+00    5.21038E-01    3.41327E+00    3.12623E-01
    8.39600E-02    9.59500E-02    9.32521E-03    3.48813E-04    4.72588E+00    4.32059E-01    2.01144E-23    7.35531E+00    7.26558E-01    4.41319E+00    4.35935E-01
    9.59500E-02    1.07940E-01    7.67767E-03    3.32172E-04    4.91483E+00    4.56552E-01    2.01784E-23    9.26138E+00    9.49050E-01    5.55683E+00    5.69430E-01
    1.07940E-01    1.19940E-01    6.65013E-03    3.13747E-04    5.10386E+00    4.81056E-01    2.02425E-23    1.10685E+01    1.16664E+00    6.64110E+00    6.99984E-01
    1.19940E-01    1.31930E-01    6.05901E-03    2.84778E-04    5.25555E+00    4.98991E-01    2.02839E-23    1.24839E+01    1.32257E+00    7.49033E+00    7.93541E-01
    1.31930E-01    1.43920E-01    4.89557E-03    2.95883E-04    5.27999E+00    4.94546E-01    2.02480E-23    1.55501E+01    1.73339E+00    9.33004E+00    1.04003E+00
    1.43920E-01    1.55920E-01    4.46445E-03    2.73615E-04    5.30445E+00    4.90100E-01    2.02121E-23    1.71611E+01    1.90270E+00    1.02967E+01    1.14162E+00
    1.55920E-01    1.67910E-01    3.84112E-03    2.71272E-04    5.32891E+00    4.85653E-01    2.01761E-23    2.00736E+01    2.31442E+00    1.20442E+01    1.38865E+00
    1.67910E-01    1.79910E-01    3.20091E-03    2.83397E-04    5.35336E+00    4.81207E-01    2.01402E-23    2.42422E+01    3.05862E+00    1.45453E+01    1.83517E+00
    1.79910E-01    1.91900E-01    3.02635E-03    2.64956E-04    5.37782E+00    4.76760E-01    2.01043E-23    2.58036E+01    3.21504E+00    1.54822E+01    1.92903E+00
    1.91900E-01    2.03890E-01    2.56906E-03    2.77830E-04    5.40227E+00    4.72315E-01    2.00684E-23    3.05894E+01    4.25392E+00    1.83537E+01    2.55235E+00
    2.03890E-01    2.15890E-01    2.90390E-03    2.17906E-04    5.42672E+00    4.67869E-01    2.00325E-23    2.72335E+01    3.11273E+00    1.63401E+01    1.86764E+00
    2.15890E-01    2.27880E-01    2.17452E-03    2.57135E-04    5.45118E+00    4.63422E-01    1.99966E-23    3.65977E+01    5.32997E+00    2.19586E+01    3.19798E+00
    2.27880E-01    2.39870E-01    2.11397E-03    2.50017E-04    5.47562E+00    4.58977E-01    1.99607E-23    3.78828E+01    5.49152E+00    2.27297E+01    3.29491E+00
    2.39870E-01    2.51870E-01    2.10709E-03    2.24436E-04    5.50008E+00    4.54531E-01    1.99248E-23    3.82450E+01    5.15597E+00    2.29470E+01    3.09358E+00
    2.51870E-01    2.63860E-01    2.00110E-03    2.10650E-04    5.52454E+00    4.50084E-01    1.98889E-23    4.05228E+01    5.39403E+00    2.43137E+01    3.23642E+00
    2.63860E-01    2.75860E-01    1.34456E-03    2.83822E-04    5.54899E+00    4.45638E-01    1.98530E-23    6.06863E+01    1.37060E+01    3.64118E+01    8.22361E+00
    2.75860E-01    2.87850E-01    2.11056E-03    1.68964E-04    5.57345E+00    4.41191E-01    1.98171E-23    3.89018E+01    4.37973E+00    2.33411E+01    2.62784E+00
    2.87850E-01    2.99840E-01    8.35972E-04    2.91882E-04    5.59789E+00    4.36746E-01    1.97812E-23    9.88242E+01    3.53557E+01    5.92945E+01    2.12134E+01
    2.99840E-01    3.11840E-01    1.73114E-03    1.77299E-04    5.62235E+00    4.32300E-01    1.97453E-23    4.80181E+01    6.14957E+00    2.88109E+01    3.68974E+00
    3.11840E-01    3.23830E-01    1.36845E-03    2.01491E-04    5.64681E+00    4.27853E-01    1.97094E-23    6.11201E+01    1.01210E+01    3.66720E+01    6.07259E+00
    3.23830E-01    3.35820E-01    1.02587E-03    2.44568E-04    5.67125E+00    4.23409E-01    1.96735E-23    8.20329E+01    2.04932E+01    4.92197E+01    1.22959E+01
