           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    9.92000E-03    1.10081E-02    4.74851E-03    7.13000E+00    1.01644E+00    2.13336E-23    8.86333E+00    4.02671E+00    5.31800E+00    2.41603E+00
    9.92000E-03    1.98300E-02    7.23745E-03    1.89923E-03    7.13000E+00    1.01090E+00    2.15390E-23    1.33525E+01    3.98264E+00    8.01150E+00    2.38958E+00
    1.98300E-02    2.97500E-02    5.13010E-03    1.37618E-03    7.13000E+00    1.00536E+00    2.17444E-23    1.86595E+01    5.65489E+00    1.11957E+01    3.39293E+00
    2.97500E-02    3.96600E-02    4.05735E-03    1.16237E-03    7.13000E+00    9.99817E-01    2.19498E-23    2.33722E+01    7.45488E+00    1.40233E+01    4.47293E+00
    3.96600E-02    4.95800E-02    3.70810E-03    9.27385E-04    7.13000E+00    9.94276E-01    2.21552E-23    2.53365E+01    7.25503E+00    1.52019E+01    4.35302E+00
    4.95800E-02    5.94900E-02    3.21532E-03    8.26745E-04    7.13000E+00    9.88735E-01    2.23606E-23    2.89512E+01    8.45771E+00    1.73707E+01    5.07463E+00
    5.94900E-02    6.94100E-02    2.71647E-03    7.82546E-04    7.13000E+00    9.83193E-01    2.25660E-23    3.39558E+01    1.08447E+01    2.03735E+01    6.50683E+00
    6.94100E-02    7.93300E-02    2.72706E-03    6.68205E-04    7.13000E+00    9.77649E-01    2.27715E-23    3.35187E+01    9.41152E+00    2.01112E+01    5.64691E+00
    7.93300E-02    8.92400E-02    2.45131E-03    6.14540E-04    7.13000E+00    9.72108E-01    2.29769E-23    3.69559E+01    1.05463E+01    2.21735E+01    6.32776E+00
    8.92400E-02    9.91600E-02    2.54283E-03    5.01511E-04    7.15069E+00    9.73184E-01    2.34489E-23    3.50099E+01    8.38925E+00    2.10059E+01    5.03355E+00
    9.91600E-02    1.09070E-01    2.10213E-03    5.20473E-04    7.18408E+00    9.78321E-01    2.40847E-23    4.14242E+01    1.17053E+01    2.48545E+01    7.02320E+00
    1.09070E-01    1.18990E-01    2.18630E-03    4.25153E-04    7.21748E+00    9.83458E-01    2.47204E-23    3.89855E+01    9.25711E+00    2.33913E+01    5.55427E+00
    1.18990E-01    1.28900E-01    1.92811E-03    4.25614E-04    7.25087E+00    9.88596E-01    2.53562E-23    4.32970E+01    1.12335E+01    2.59782E+01    6.74013E+00
    1.28900E-01    1.38820E-01    1.89353E-03    3.59239E-04    7.11027E+00    9.76542E-01    2.48100E-23    4.41846E+01    1.03487E+01    2.65108E+01    6.20920E+00
    1.38820E-01    1.48740E-01    1.63872E-03    3.49375E-04    6.90410E+00    9.58009E-01    2.38185E-23    5.16383E+01    1.31357E+01    3.09830E+01    7.88140E+00
    1.48740E-01    1.58650E-01    1.39925E-03    3.80793E-04    6.69803E+00    9.39485E-01    2.28275E-23    6.12177E+01    1.87425E+01    3.67306E+01    1.12455E+01
