           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    2.91200E-02    7.15546E-02    8.88055E-04    3.52000E+00    3.40000E-01    1.90306E-23    7.54632E-01    7.34898E-02    4.52779E-01    4.40939E-02
    2.91200E-02    5.82400E-02    3.27300E-02    3.70887E-04    3.75689E+00    3.81060E-01    1.90679E-23    1.75737E+00    1.79358E-01    1.05442E+00    1.07615E-01
    5.82400E-02    8.73600E-02    1.31570E-02    3.68957E-04    4.20052E+00    4.57957E-01    1.91052E-23    4.87842E+00    5.49176E-01    2.92705E+00    3.29506E-01
    8.73600E-02    1.16480E-01    8.48452E-03    3.20351E-04    4.64416E+00    5.34854E-01    1.91424E-23    8.34769E+00    1.01173E+00    5.00862E+00    6.07036E-01
    1.16480E-01    1.45600E-01    6.25668E-03    2.54928E-04    5.03695E+00    6.04072E-01    1.92101E-23    1.22342E+01    1.54960E+00    7.34055E+00    9.29758E-01
    1.45600E-01    1.74730E-01    3.89090E-03    2.56507E-04    5.14786E+00    6.30720E-01    1.94464E-23    1.98619E+01    2.76341E+00    1.19171E+01    1.65804E+00
    1.74730E-01    2.03850E-01    2.72227E-03    2.62736E-04    5.25878E+00    6.57369E-01    1.96827E-23    2.86518E+01    4.52489E+00    1.71911E+01    2.71493E+00
    2.03850E-01    2.32970E-01    2.15941E-03    2.45469E-04    5.36968E+00    6.84013E-01    1.99190E-23    3.64443E+01    6.22211E+00    2.18666E+01    3.73327E+00
    2.32970E-01    2.62090E-01    1.92235E-03    2.08341E-04    5.48057E+00    7.10657E-01    2.01553E-23    4.12941E+01    6.97856E+00    2.47765E+01    4.18713E+00
    2.62090E-01    2.91210E-01    1.38761E-03    2.17379E-04    5.59147E+00    7.37301E-01    2.03915E-23    5.76889E+01    1.18127E+01    3.46133E+01    7.08762E+00
    2.91210E-01    3.20330E-01    1.21070E-03    2.07861E-04    5.70236E+00    7.63945E-01    2.06278E-23    6.66575E+01    1.45161E+01    3.99945E+01    8.70965E+00
    3.20330E-01    3.49450E-01    8.59741E-04    2.36105E-04    5.81326E+00    7.90589E-01    2.08641E-23    9.46100E+01    2.89935E+01    5.67660E+01    1.73961E+01
    3.49450E-01    3.78570E-01    1.21327E-03    1.53902E-04    5.92416E+00    8.17233E-01    2.11003E-23    6.75559E+01    1.26603E+01    4.05336E+01    7.59619E+00
    3.78570E-01    4.07690E-01    9.78360E-04    1.48046E-04    6.03505E+00    8.43877E-01    2.13366E-23    8.43997E+01    1.73892E+01    5.06398E+01    1.04335E+01
    4.07690E-01    4.36810E-01    3.08641E-04    1.87189E-04    6.14595E+00    8.70521E-01    2.15729E-23    2.69470E+02    1.67830E+02    1.61682E+02    1.00698E+02
    4.36810E-01    4.65930E-01    7.46425E-04    1.57420E-04    6.25685E+00    8.97165E-01    2.18091E-23    1.12206E+02    2.86154E+01    6.73234E+01    1.71693E+01
    4.65930E-01    4.95060E-01    5.75537E-04    7.60074E-05    6.36776E+00    9.23814E-01    2.20454E-23    1.46514E+02    2.87436E+01    8.79083E+01    1.72462E+01
