# Name                             Obsid        type           z        flux         err     intrlum  intrlumerr    source
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s    ------
MACS_J0717.5+3745                   1655          NF      0.5480      0.0025      0.0003     33.4543      3.3454      NVSS
MACS_J0744.8+3927                   3585          NF      0.6860      0.0025      0.0003     58.0112      5.8011      NVSS
MACS_J0744.8+3927                   3197          NF      0.6860      0.0025      0.0003     58.0112      5.8011      NVSS
MACS_J0744.8+3927                   6111          NF      0.6860      0.0025      0.0003     58.0112      5.8011      NVSS
MACS_J1115.2+5320                   3253          NF      0.4390      0.0025      0.0003     19.5838      1.9584      NVSS
MACS_J1115.2+5320                   5008          NF      0.4390      0.0025      0.0003     19.5838      1.9584      NVSS
MACS_J1115.2+5320                   5350          NF      0.4390      0.0025      0.0003     19.5838      1.9584      NVSS
MACS_J1149.5+2223                   3589          NF      0.1761      0.0025      0.0003      2.3839      0.2384      NVSS
MACS_J1149.5+2223                   1656          NF      0.1761      0.0025      0.0003      2.3839      0.2384      NVSS
MACS_J1311.0-0310                   3258          NF      0.4940      0.0025      0.0003     26.0134      2.6013      NVSS
MACS_J1311.0-0310                   6110          NF      0.4940      0.0025      0.0003     26.0134      2.6013      NVSS
MACS_J1621.3+3810                   6109           F      0.4610      0.0088      0.0005     77.5148      4.4042      NVSS
MACS_J1621.3+3810                   6172           F      0.4610      0.0088      0.0005     77.5148      4.4042      NVSS
MACS_J1621.3+3810                   3254           F      0.4650      0.0088      0.0005     79.1417      4.4967      NVSS
MACS_J1621.3+3810                   3594           F      0.4610      0.0088      0.0005     77.5148      4.4042      NVSS
MACS_J2214.9-1359                   3259          NF      0.5026      0.0025      0.0003     27.1218      2.7122      NVSS
MACS_J2214.9-1359                   5011          NF      0.5026      0.0025      0.0003     27.1218      2.7122      NVSS
PKS_0745-191                        2427           F      0.1028      2.3720      0.0837    699.9968     24.7006      NVSS
PKS_0745-191                         508           F      0.1028      2.3720      0.0837    699.9968     24.7006      NVSS
PKS_0745-191                        6103           F      0.1028      2.3720      0.0837    699.9968     24.7006      NVSS
RX_J0439.0+0715                     3583          NF      0.2300      0.0025      0.0003      4.3399      0.4340      NVSS
RX_J0439.0+0715                     1449          NF      0.2300      0.0025      0.0003      4.3399      0.4340      NVSS
