# Name                             Obsid        type           z        flux         err     intrlum  intrlumerr    source
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s    ------
SDSS_J198.070267-00.984433          4990          NF      0.0848      0.0025      0.0003      0.4835      0.0483      NVSS
SS2B153                             3243           F      0.0186      0.0319      0.0018      0.2162      0.0122      NVSS
UGC_03957                           8265           F      0.0341      0.0526      0.0020      1.2270      0.0467      NVSS
ZwCl_0857.9+2107                    7897           F      0.2350      0.0090      0.0005     13.0182      0.7232      NVSS
ABELL_0193                          6931           F      0.0485      0.0324      0.0016      1.5624      0.0772      NVSS
ABELL_1240                          4961          NF      0.1590      0.0025      0.0003      1.5092      0.1509      NVSS
ABELL_1569                          6100          NF      0.0735      0.0025      0.0003      0.2872      0.0287      NVSS
RX_J1000.4+4409                     9421          NF      0.1540      0.0025      0.0003      1.4067      0.1407      NVSS
ZWCL_1742                           8267           F      0.0757      0.0912      0.0033     11.1479      0.4034      NVSS
ABELL_0160                          3219          NF      0.0447      0.0025      0.0003      0.1018      0.0102      NVSS
ABELL_1446                          4975          NF      0.1035      0.0025      0.0003      0.5940      0.0594      NVSS
ABELL_2813                          9409          NF      0.2924      0.0025      0.0003      5.9688      0.5969      NVSS
ABELL_3074                          6950          NF      0.0730      0.0060      0.0003      0.3844      0.0192     SUMSS
ABELL_3074                          7374          NF      0.0730      0.0060      0.0003      0.3844      0.0192     SUMSS
ABELL_3120                          6951           F      0.0690      0.0476      0.0016      2.7085      0.0910     SUMSS
M87                                 5826           F      0.0044    169.4870      4.8587     46.9842      1.3469      NVSS
M87                                 5827           F      0.0044    169.4870      4.8587     46.9842      1.3469      NVSS
MS_0116.3-0115                      4963           F      0.0452      0.0040      0.0005      0.1667      0.0208      NVSS
RX_J1130.0+3637                     6945          NF      0.0600      0.0025      0.0003      0.1877      0.0188      NVSS
RX_J1206.6+2811                     6939          NF      0.0282      0.0025      0.0003      0.0395      0.0040      NVSS
RX_J1320.2+3308                     6941           F      0.0366      0.0829      0.0025      2.2362      0.0674      NVSS
RX_J1852.1+5711                     5749           F      0.1094      0.0509      0.0019     13.6224      0.5085      NVSS
ABELL_0068                          3250          NF      0.2546      0.0025      0.0003      4.3407      0.4341      NVSS
ABELL_0521                           430          NF      0.2533      0.0025      0.0003      4.2902      0.4290      NVSS
ABELL_1361                          2200           F      0.1171      0.8632      0.0259    267.4718      8.0254      NVSS
ABELL_2124                          3238          NF      0.0658      0.0025      0.0003      0.2276      0.0228      NVSS
ABELL_2554                          1696          NF      0.1103      0.0025      0.0003      0.6810      0.0681      NVSS
AC_114                              1562          NF      0.3120      0.0025      0.0003      6.9387      0.6939      NVSS
MS_0440.5+0204                      4196          NF      0.1900      0.0025      0.0003      2.2404      0.2240      NVSS
MS_1054.5-0321                       512          NF      0.8300      0.0025      0.0003     73.8009      7.3801      NVSS
MS_1621.5+2640                       546          NF      0.4260      0.0025      0.0003     14.4625      1.4462      NVSS
RX_J0439+0520                        527           F      0.2080      0.0815      0.0029     89.4632      3.1834      NVSS
RX_J0819.6+6336                     2199           F      0.1190      0.0344      0.0014     11.0362      0.4491      NVSS
ZWCL_1358+6245                       516          NF      0.3280      0.0025      0.0003      7.7972      0.7797      NVSS
ZWCL_5247                            539          NF      0.2290      0.0025      0.0003      3.4100      0.3410      NVSS
ABELL_3084                          9413          NF      0.0977      0.0025      0.0003      0.5251      0.0525      NVSS
ABELL_3088                          9414          NF      0.2534      0.0025      0.0003      4.2941      0.4294      NVSS
ABELL_3528S                         8268           F      0.0530      1.0527      0.0402     61.0250      2.3304      NVSS
ABELL_3822                          8269          NF      0.0759      0.0060      0.0003      0.4172      0.0209     SUMSS
ABELL_S0405                         8272           F      0.0613      0.0285      0.0012      1.2657      0.0533     SUMSS
ABELL_0368                          9412           F      0.2200      0.0052      0.0005      6.4775      0.6228      NVSS
ABELL_2462                          4159          NF      0.0737      0.0025      0.0003      0.2888      0.0289      NVSS
RX_J0220.9-3829                     9411          NF      0.2287      0.0025      0.0003      3.3999      0.3400      NVSS
ABELL_1995                          7021          NF      0.3186      0.0025      0.0003      7.2855      0.7285      NVSS
ABELL_2147                          3211           F      0.0356      0.0161      0.0011      0.4103      0.0280      NVSS
ABELL_2589                          3210          NF      0.0415      0.0025      0.0003      0.0873      0.0087      NVSS
ABELL_S0592                         9420          NF      0.2216      0.0060      0.0003      4.2981      0.2149     SUMSS
M49                                  321           F      0.0033      0.2199      0.0078      0.0458      0.0016      NVSS
MKW_08                              4942          NF      0.0270      0.0025      0.0003      0.0362      0.0036      NVSS
NGC_0507                            2882           F      0.0164      0.0617      0.0025      0.3240      0.0131      NVSS
NGC_4636                            4415           F      0.0031      0.0778      0.0028      0.0143      0.0005      NVSS
NGC_4636                            3926           F      0.0031      0.0778      0.0028      0.0143      0.0005      NVSS
NGC_5044                            3225           F      0.0090      0.0347      0.0011      0.0542      0.0017      NVSS
NGC_5044                            3664           F      0.0090      0.0347      0.0011      0.0542      0.0017      NVSS
NGC_5813                            5907           F      0.0066      0.0148      0.0010      0.0124      0.0008      NVSS
NGC_5846                             788           F      0.0057      0.0210      0.0013      0.0131      0.0008      NVSS
RX_J1539.5-8335                     8266           F      0.0728      0.0616      0.0030      3.9233      0.1911     SUMSS
ABELL_2420                          8271          NF      0.0846      0.0025      0.0003      0.4835      0.0483      NVSS
ABELL_3364                          9419           F      0.1483      0.0152      0.0010      7.8730      0.5180      NVSS
ABELL_1983                          0000          NF      0.0436      0.0025      0.0003      0.1301      0.0130      NVSS
RXCJ0331.1-2100                    10790           F      0.1880      0.1684      0.0051    147.3892      4.4636      NVSS
RXCJ0331.1-2100                     9415           F      0.1880      0.1684      0.0051    147.3892      4.4636      NVSS
ABELL_2204                          7940           F      0.1524      0.0693      0.0025     38.1085      1.3747      NVSS
ABELL_0141                          9410          NF      0.2300      0.0025      0.0002      3.4438      0.3443      NVSS
ABELL_1576                          7938           F      0.2790      0.0184      0.0007     39.4187      1.4996      NVSS
RCS_J2327-0204                      7355          NF      0.2000      0.0025      0.0002      2.5128      0.2512      NVSS
UGC_12491                           7896           F      0.0174      0.0034      0.0005      0.0201      0.0029      NVSS
ABELL_3827                          7920          NF      0.0984      0.0060      0.0003      0.7238      0.0361     SUMSS
