#Name                              Obsid      Type         z      HaFlux         err       HaLum         err
#---                                 ---       ---       ---       1d-15       1d-15        1d40        1d40
RX_J0439.0+0715                     3583        NF    0.2300      0.4198      0.0000      6.6470      0.0000
RX_J0439.0+0715                     1449        NF    0.2300      0.4198      0.0000      6.6470      0.0000
RX_J1532.9+3021                     1665         F    0.3450     11.7111      0.8839    472.5576     35.6647
RX_J1532.9+3021                     1649         F    0.3450     11.7111      0.8839    472.5576     35.6647
2A_0335+096                          919         F    0.0347      9.2900      0.0000      2.5815      0.0000
3C_295                              2254         F    0.4641      2.8460      0.0000    232.3593      0.0000
4C_55.16                            4940         F    0.2420     45.0116      0.0000    800.0000      0.0000
ABELL_0085                           904         F    0.0558      0.5810      0.1200      0.4309      0.0890
ABELL_0119                          4180        NF    0.0442      0.0360      0.0000      0.0165      0.0000
ABELL_0133                          2203         F    0.0558      0.8800      0.1800      0.6526      0.1335
ABELL_0193                          6931        NF    0.0485      0.4535      0.0000      0.2514      0.0000
ABELL_0222                          4967        NF    0.2130      0.4226      0.0000      5.6247      0.0000
ABELL_0223                         49671        NF    0.2070      0.4236      0.0000      5.2868      0.0000
ABELL_0399                          3230        NF    0.0716      0.4487      0.0000      0.5607      0.0000
ABELL_0400                          4181        NF    0.0240      0.4589      0.0000      0.0600      0.0000
ABELL_0496                          3361         F    0.0328      2.9000      0.6000      0.7179      0.1485
ABELL_0520                          4215        NF    0.2020      0.4244      0.0000      5.0142      0.0000
ABELL_0576                          3289        NF    0.0385      0.4557      0.0000      0.1568      0.0000
ABELL_0586                           530        NF    0.1710      0.4298      0.0000      3.5020      0.0000
ABELL_0611                          3194        NF    0.2880      0.4108      0.0000     10.8842      0.0000
ABELL_0644                          2211        NF    0.0698      0.2918      0.0000      0.3456      0.0000
ABELL_0665                          3586        NF    0.1810      0.4280      0.0000      3.9567      0.0000
ABELL_0697                          4217        NF    0.2820      0.4117      0.0000     10.3904      0.0000
ABELL_0744                          6947        NF    0.0729      5.0000      0.0000      6.4885      0.0000
ABELL_0754                           577        NF    0.0543      0.3122      0.0000      0.2188      0.0000
ABELL_0773                          5006        NF    0.2170      0.4219      0.0000      5.8566      0.0000
ABELL_0963                           903        NF    0.2056      0.4238      0.0000      5.2096      0.0000
ABELL_1068                          1652         F    0.1375     44.8306      8.2247    226.2147     41.5019
ABELL_1201                          4216        NF    0.1688      0.4302      0.0000      3.4061      0.0000
ABELL_1204                          2205         F    0.1706      0.7867      0.1336      6.3771      1.0829
ABELL_1413                          5003        NF    0.1426      0.4349      0.0000      2.3761      0.0000
ABELL_1423                           538        NF    0.2130      0.4226      0.0000      5.6247      0.0000
ABELL_1644                          7922         F    0.0471      1.0000      0.3000      0.5216      0.1565
ABELL_1644                          2206         F    0.0471      1.0000      0.3000      0.5216      0.1565
ABELL_1650                          4178        NF    0.0843      0.0286      0.0000      0.0504      0.0000
ABELL_1651                          4185        NF    0.0840      0.4462      0.0000      0.7810      0.0000
ABELL_1736                          4186        NF    0.0338      0.0260      0.0000      0.0068      0.0000
ABELL_1758                          2213        NF    0.2792      0.4121      0.0000     10.1645      0.0000
ABELL_1763                          3591        NF    0.1866      0.4271      0.0000      4.2250      0.0000
ABELL_1835                           495         F    0.2532     25.5714      5.2513    503.9140    103.4823
ABELL_1914                          3593        NF    0.1712      0.4297      0.0000      3.5108      0.0000
ABELL_1942                          3290        NF    0.2240      0.4208      0.0000      6.2752      0.0000
ABELL_1991                          3193         F    0.0565      0.7824      0.2134      0.5955      0.1624
ABELL_2034                          2204        NF    0.1130      0.4405      0.0000      1.4527      0.0000
ABELL_2065                         31821        NF    0.0730      0.4484      0.0000      0.5836      0.0000
ABELL_2069                          4965        NF    0.1160      0.4399      0.0000      1.5350      0.0000
ABELL_2104                           895        NF    0.1554      0.4326      0.0000      2.8537      0.0000
ABELL_2107                          4960        NF    0.0411      0.4551      0.0000      0.1792      0.0000
ABELL_2111                           544        NF    0.2300      0.4198      0.0000      6.6470      0.0000
ABELL_2147                          3211        NF    0.0356      0.4563      0.0000      0.1337      0.0000
ABELL_2151                          4996        NF    0.0366      0.4561      0.0000      0.1414      0.0000
ABELL_2199                           497         F    0.0300      6.8980      0.7664      1.4225      0.1581
ABELL_2218                          1666        NF    0.1713      0.4297      0.0000      3.5152      0.0000
ABELL_2219                           896        NF    0.2256      0.4205      0.0000      6.3731      0.0000
ABELL_2244                          4179        NF    0.0967      0.4436      0.0000      1.0477      0.0000
ABELL_2255                           894        NF    0.0805      0.4469      0.0000      0.7149      0.0000
ABELL_2259                          3245        NF    0.1640      0.4310      0.0000      3.2019      0.0000
ABELL_2261                          5007        NF    0.2240      0.4208      0.0000      6.2752      0.0000
ABELL_2319                          3231        NF    0.0562      8.5741      0.0000      6.4539      0.0000
ABELL_2390                          4193         F    0.2301      4.1835      1.1555     66.3038     18.3125
ABELL_2409                          3247        NF    0.1479      0.4339      0.0000      2.5680      0.0000
ABELL_2589                          3210        NF    0.0415      0.4551      0.0000      0.1827      0.0000
ABELL_2597                           922         F    0.0854     29.7000      6.0000     53.8436     10.8775
ABELL_2626                          3192         F    0.0573      0.7604      0.2765      0.5960      0.2167
ABELL_2631                          3248        NF    0.2779      0.4123      0.0000     10.0605      0.0000
ABELL_2657                          4941        NF    0.0402      0.4553      0.0000      0.1712      0.0000
ABELL_3112                          2516         F    0.0720      2.6600      0.5000      3.3628      0.6321
ABELL_3266                           899        NF    0.0590      0.0270      0.0000      0.0225      0.0000
ABELL_3558                          1646        NF    0.0480      0.3200      0.0000      0.1736      0.0000
ABELL_3562                          4167        NF    0.0490      0.4700      0.0000      0.2661      0.0000
ABELL_3571                          4203        NF    0.0391      0.3200      0.0000      0.1137      0.0000
ABELL_3581                          1650         F    0.0218    198.1852      0.0000     21.3109      0.0000
CENTAURUS                           5310         F    0.0109     56.7541      7.5672      1.5000      0.2000
CENTAURUS                           4190         F    0.0109     56.7541      7.5672      1.5000      0.2000
CENTAURUS                           4191         F    0.0109     56.7541      7.5672      1.5000      0.2000
CENTAURUS                           4954         F    0.0109     56.7541      7.5672      1.5000      0.2000
CENTAURUS                           4955         F    0.0109     56.7541      7.5672      1.5000      0.2000
CENTAURUS                            504         F    0.0109     56.7541      7.5672      1.5000      0.2000
CENTAURUS                            505         F    0.0109     56.7541      7.5672      1.5000      0.2000
CYGNUS_A                             360         F    0.0561     28.4000      6.0000     21.2981      4.4996
EXO_0422-086                        4183        NF    0.0397      0.0310      0.0000      0.0114      0.0000
HCG_0062                             921         F    0.0146      0.8000      0.0000      0.0382      0.0000
MKW3S                                900         F    0.0450      3.5512      0.0000      1.6855      0.0000
MS_0735.6+7421                      4197         F    0.2160      9.0000      2.0000    123.6267     27.4726
MS_0839.8+2938                      2224         F    0.1940      6.0000      0.8000     64.7465      8.6329
MS_0906.5+1110                       924        NF    0.1630      0.8700      0.0000      6.3763      0.0000
MS_1006.0+1202                       925        NF    0.2210      0.6000      0.0000      8.6789      0.0000
MS_1008.1-1224                       926        NF    0.3010      0.6700      0.0000     19.6630      0.0000
RBS_0461                            4182        NF    0.0290      0.4578      0.0000      0.0881      0.0000
RX_J1000.4+4409                     9421         F    0.1540      0.2018      0.0734      1.3048      0.4745
RX_J1720.1+2638                     4361         F    0.1640      1.0227      0.2577      7.5976      1.9144
SERSIC_159-03                       1668         F    0.0580      4.4011      0.0000      3.5378      0.0000
ZWCL_1358+6245                       516         F    0.3280      3.6000      0.8000    129.0497     28.6777
ZWCL_3146                            909         F    0.2900     21.6337      2.1830    582.4403     58.7723
ZWCL_7160                            543         F    0.2578      1.5799      0.1476     32.4422      3.0314
ZWICKY_2701                         3195         F    0.2100      0.4194      0.1350      5.4071      1.7402
ABELL_0160                          3219        NF    0.0447      0.4544      0.0000      0.2127      0.0000
M87                                 5826         F    0.0044     24.0522     12.0261      0.1025      0.0513
M87                                 5827         F    0.0044     24.0522     12.0261      0.1025      0.0513
RX_J1320.2+3308                     6941         F    0.0366      0.6844      0.5133      0.2122      0.1591
ABELL_0068                          3250        NF    0.2546      0.4159      0.0000      8.2998      0.0000
ABELL_1361                          2200         F    0.1171      2.1752      0.5639      7.7469      2.0084
ABELL_2124                          3238        NF    0.0658      0.4499      0.0000      0.4708      0.0000
MS_0440.5+0204                      4196         F    0.1900     12.0000      2.6000    123.6012     26.7803
RX_J0439+0520                        527         F    0.2080      5.4444      0.2213     68.6905      2.7923
