#Cluster                Obsid             RA            Dec      Sep    Maj    Min  Theta       Flux      Flerr    Found        z   type  notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s        "      "      "   deg.        mJy        mJy      ---      ---    ---    ---
ABELL_1068               1652    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1375     na     na
ABELL_1201               4216    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1688     na     na
ABELL_1204               2205    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1706     na     na
ABELL_1413               5003    11:55:17.90    +23:24:20.8    1.040   72.1   45.8    0.0       3.50       0.50        F   0.1426     na     na
ABELL_1423                538    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.2130     na     na
ABELL_1644               2206    12:57:11.61    -17:24:33.9    8.240   17.4   17.0    0.0      98.40       3.00        F   0.0471     na     na
ABELL_1650               4178    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0843     na     na
ABELL_1651               4185    12:59:22.21    -04:11:44.2    9.480   55.3   37.0    0.0       6.00       0.50        F   0.0840     na     na
ABELL_1664               1648    13:03:42.65    -24:14:42.6    1.080   20.8   15.6    0.0      36.40       1.20        F   0.1276     na     na
ABELL_1689               1663    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1843     na     na
ABELL_1689               5004    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1843     na     na
ABELL_1689                540    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1843     na     na
ABELL_1736               4186    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0338     na     na
ABELL_1758               2213    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.2792     na     na
ABELL_1763               3591    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1866     na     na
ABELL_1795                493    13:48:52.43    +26:35:33.6   11.200   18.4   17.2    0.0     924.50      27.70        F   0.0625     na     na
ABELL_1795               5289    13:48:52.43    +26:35:33.6   11.000   18.4   17.2    0.0     924.50      27.70        F   0.0625     na     na
ABELL_1835                495     14:01:2.05    +02:52:41.0    2.660   18.7   21.6   -8.0      39.30       1.60        F   0.2532     na     na
ABELL_1914               3593    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1712     na     na
ABELL_1942               3290    14:38:22.01    +03:40:16.1    3.690   46.4   17.7   79.6     743.30      23.90        F   0.2240     na     na
ABELL_1991               3193    14:54:31.55    +18:38:32.9    8.600   16.8   16.7    0.0      39.00       1.20        F   0.0565     na     na
ABELL_1995                906    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.3186     na     na
ABELL_2029               4977    15:10:55.87    +05:44:39.3    4.180   23.2   19.8  -26.4     527.80      18.20        F   0.0765     na     na
ABELL_2029               6101    15:10:55.87    +05:44:39.3    4.650   23.2   19.8  -26.4     527.80      18.20        F   0.0765     na     na
ABELL_2029                891    15:10:55.87    +05:44:39.3    4.560   23.2   19.8  -26.4     527.80      18.20        F   0.0765     na     na
ABELL_2034               2204    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1130     na     na
ABELL_2052               5807    15:16:44.58    +07:01:18.1    1.420   25.2   15.5    1.6    5499.30     209.10        F   0.0353     na     na
ABELL_2052                890    15:16:44.58    +07:01:18.1    0.900   25.2   15.5    1.6    5499.30     209.10        F   0.0353     na     na
ABELL_2063               4187     15:23:5.24    +08:36:36.4   17.200   27.5   22.0    0.0      14.60       0.60        F   0.0351     na     na
ABELL_2063               6263     15:23:5.24    +08:36:36.4   16.800   27.5   22.0    0.0      14.60       0.60        F   0.0351     na     na
ABELL_2065              31821    15:22:29.03    +27:42:25.7    7.110  111.5   70.4   69.0       9.20       1.60        F   0.0730     na     na
ABELL_2069               4965    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1160     na     na
ABELL_2104                895    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1554     na     na
ABELL_2107               4960    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0411     na     na
ABELL_2111                544    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.2300     na     na
ABELL_2125               2207    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.2465     na     na
ABELL_2142               1196    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0898     na     na
ABELL_2142               1228    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0898     na     na
ABELL_2142               5005    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0898     na     na
ABELL_2147               3211    16:02:17.22    +15:58:38.1   25.400   52.0   21.5   23.0      16.10       1.10        F   0.0356     na     na
ABELL_2151               4996    16:04:35.44    +17:43:41.0   24.500   57.1   54.6    0.0       2.40       0.40        F   0.0366     na     na
ABELL_2163               1653    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1695     na     na
ABELL_2199                497    16:28:38.34    +39:32:60.0    4.420   72.7   18.0   84.4    3678.70     123.30        F   0.0300     na     na
ABELL_2204                499    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1524     na     na
ABELL_2204               6104    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1524     na     na
ABELL_2218               1666    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1713     na     na
ABELL_2219                896    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.2256     na     na
ABELL_2244               4179    17:02:42.73    +34:03:36.2    2.160   73.8   46.9    0.0       3.10       0.40        F   0.0967     na     na
ABELL_2255                894    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0805     na     na
ABELL_2256               1386    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0579     na     na
ABELL_2256               2419    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0579     na     na
ABELL_2259               3245    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1640     na     na
ABELL_2261               5007    17:22:27.66    +32:07:57.8    5.250   77.0   42.9    0.0       5.30       0.50        F   0.2240     na     na
ABELL_2294               3246    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1780     na     na
ABELL_2319               3231    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0562     na     na
ABELL_2384               4202    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0945     na     na
ABELL_2390               4193    21:53:36.81    +17:41:44.8    0.460   17.9   18.8  -78.3     235.30       8.30        F   0.2301     na     na
ABELL_2409               3247    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1479     na     na
ABELL_2537               4962    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.2950     na     na
ABELL_2556               2226    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0862     na     na
ABELL_2597                922    23:25:19.82    -12:07:28.6    1.090   16.9   16.0    0.0    1874.60      56.20        F   0.0854     na     na
ABELL_2626               3192    23:36:30.42    +21:08:45.1    2.270   54.5   39.6  -38.9      54.50       2.40        F   0.0573     na     na
ABELL_2631               3248    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.2779     na     na
ABELL_2634               4816    23:38:30.90    +27:01:36.0   26.400   77.3   13.9  -55.0     946.30      29.20        F   0.0314     na     na
ABELL_2657               4941    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0402     na     na
ABELL_2667               2214    23:51:39.37     -26:05:2.7    0.380   20.5   23.9   58.0      19.40       1.00        F   0.2300     na     na
ABELL_2670               4959    23:54:13.77    -10:25:12.4    3.760   36.8   30.3    0.0       6.20       0.50        F   0.0763     na     na
ABELL_2717               6974    00:03:12.88    -35:56:12.9   12.800   55.9   30.9   60.1     515.50      17.30        F   0.0475     na     na
ABELL_2744               2212    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.3080     na     na
ABELL_3112               2516    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0720     na     na
ABELL_3128                893    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0624     na     na
ABELL_3158               3201    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0580     na     na
ABELL_3158               3712    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0580     na     na
ABELL_3266                899    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0590     na     na
ABELL_3376               3202    06:02:10.50     -39:57:9.1   17.600   79.5   24.2  -16.8     261.00       8.70        F   0.0456     na     na
ABELL_3376               3450    06:02:10.50     -39:57:9.1   17.500   79.5   24.2  -16.8     261.00       8.70        F   0.0456     na     na
ABELL_3391               4943    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0560     na     na
ABELL_3395               4944    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0510     na     na
ABELL_3526               4190    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0114     na     na
ABELL_3526               4191    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0114     na     na
ABELL_3558               1646    13:27:57.07    -31:29:45.3    3.130   68.1   42.6    0.0       4.00       0.60        F   0.0480     na     na
ABELL_3562               4167    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0490     na     na
ABELL_3571               4203    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0391     na     na
ABELL_3581               1650    14:07:29.83     -27:01:4.2    1.810   14.3   18.2   73.8     645.50      22.80        F   0.0218     na     na
ABELL_3667               5751    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0556     na     na
ABELL_3667               5752    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0556     na     na
ABELL_3667               5753    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0556     na     na
ABELL_3667                889    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0556     na     na
ABELL_3921               4973    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0927     na     na
ABELL_4038               4992    23:47:44.85    -28:08:22.9   25.100   30.4   23.7  -19.3      27.50       1.30        F   0.0300     na     na
ABELL_4059               5785     23:57:0.67    -34:45:31.7    5.070   62.4   23.5  -32.9    1284.70      43.30        F   0.0475     na     na
ABELL_4059                897     23:57:0.67    -34:45:31.7    5.620   62.4   23.5  -32.9    1284.70      43.30        F   0.0475     na     na
AWM7                      908    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0172     na     na
CENTAURUS                4954    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0109     na     na
CID_0072                 2018     17:33:2.07    +43:45:34.1   13.100   25.9   28.4  -37.7      16.40       1.00        F   0.0344     na     na
CID_0072                 6949     17:33:2.07    +43:45:34.1   13.300   25.9   28.4  -37.7      16.40       1.00        F   0.0344     na     na
CID_0072                 7321     17:33:2.07    +43:45:34.1   12.900   25.9   28.4  -37.7      16.40       1.00        F   0.0344     na     na
CID_0072                 7322     17:33:2.07    +43:45:34.1   12.900   25.9   28.4  -37.7      16.40       1.00        F   0.0344     na     na
CL_J0030+2618            1190    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.5000     na     na
CL_J0030+2618            1226    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.5000     na     na
CL_J0030+2618            5762    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.5000     na     na
